BlockNumber;EventNumber;Time Since Block start;isHit;target;pressed;sequence
1;1;4,416351;1;2;2;yellow
1;2;4,800133;1;1;1;yellow
1;3;5,350494;1;4;4;yellow
1;4;5,699852;1;1;1;yellow
1;5;6,233101;1;3;3;yellow
1;6;6,583412;1;2;2;yellow
1;7;7,566574;1;4;4;yellow
1;8;8,000046;0;3;2;yellow
2;9;5,332878;1;2;2;blue
2;10;5,766678;1;3;3;blue
2;11;6,183174;1;1;1;blue
2;12;6,66655;1;4;4;blue
2;13;7,449638;1;3;3;blue
2;14;7,900085;1;1;1;blue
2;15;8,200027;1;2;2;blue
2;16;8,516869;1;4;4;blue
3;17;4,199883;1;2;2;blue
3;18;4,599464;1;3;3;blue
3;19;4,932861;1;1;1;blue
3;20;5,316238;1;4;4;blue
3;21;5,799362;1;3;3;blue
3;22;6,366272;1;1;1;blue
3;23;6,633156;1;2;2;blue
3;24;6,983223;1;4;4;blue
4;25;3,59948;1;2;2;blue
4;26;3,949989;1;3;3;blue
4;27;4,31636;1;1;1;blue
4;28;4,69957;1;4;4;blue
4;29;5,149818;1;3;3;blue
4;30;5,516151;1;1;1;blue
4;31;5,88279;1;2;2;blue
4;32;6,199898;1;4;4;blue
5;33;3,533112;1;2;2;blue
5;34;3,899498;1;3;3;blue
5;35;4,266396;1;1;1;blue
5;36;4,666405;1;4;4;blue
5;37;5,116112;1;3;3;blue
5;38;5,41642;1;1;1;blue
5;39;5,749718;1;2;2;blue
5;40;6,199615;1;4;4;blue
6;41;3,583443;1;2;2;blue
6;42;3,950096;1;3;3;blue
6;43;4,283554;1;1;1;blue
6;44;4,70015;1;4;4;blue
6;45;5,06707;1;3;3;blue
6;46;5,399979;1;1;1;blue
6;47;5,683464;1;2;2;blue
6;48;5,983246;1;4;4;blue
7;49;4,433464;1;1;1;yellow
7;50;4,916695;1;3;3;yellow
7;51;5,816818;1;4;4;yellow
7;52;6,26722;1;2;2;yellow
7;53;6,89994;1;4;4;yellow
7;54;7,250313;1;1;1;yellow
7;55;7,850258;1;3;3;yellow
7;56;8,183182;1;2;2;yellow
8;57;4,000046;1;2;2;yellow
8;58;4,400528;1;1;1;yellow
8;59;4,900391;1;3;3;yellow
8;60;5,300247;1;4;4;yellow
8;61;6,050217;1;2;2;yellow
8;62;6,533585;1;4;4;yellow
8;63;7,317032;1;1;1;yellow
8;64;7,633469;1;2;2;yellow
9;65;4,033691;1;3;3;green
9;66;4,38324;1;4;4;green
9;67;4,817322;1;2;2;green
9;68;5,083359;1;1;1;green
9;69;5,666824;1;3;3;green
9;70;6,033218;1;2;2;green
9;71;6,383423;1;4;4;green
9;72;6,683212;1;1;1;green
10;73;3,800201;1;3;3;green
10;74;4,150208;1;4;4;green
10;75;4,533478;1;2;2;green
10;76;4,867249;1;1;1;green
10;77;5,350082;1;3;3;green
10;78;5,883926;1;2;2;green
10;79;6,450241;1;4;4;green
10;80;6,750061;1;1;1;green
11;81;3,533386;1;2;2;blue
11;82;3,883301;1;3;3;blue
11;83;4,200104;1;1;1;blue
11;84;4,766785;1;4;4;blue
11;85;5,166611;1;3;3;blue
11;86;5,499985;1;1;1;blue
11;87;5,799988;1;2;2;blue
11;88;6,06665;1;4;4;blue
12;89;3,83342;1;3;3;green
12;90;4,19986;1;4;4;green
12;91;4,566788;1;2;2;green
12;92;4,949844;1;1;1;green
12;93;5,433411;1;3;3;green
12;94;5,767441;1;2;2;green
12;95;6,183456;1;4;4;green
12;96;6,550095;1;1;1;green
13;97;3,88327;1;2;2;blue
13;98;4,283142;1;3;3;blue
13;99;4,649841;1;1;1;blue
13;100;5,066437;1;4;4;blue
13;101;5,516739;1;3;3;blue
13;102;5,849854;1;1;1;blue
13;103;6,182999;1;2;2;blue
13;104;6,517303;1;4;4;blue
