BlockNumber;EventNumber;Time Since Block start;isHit;target;pressed;sequence
1;1;3,653709;1;2;2;yellow
1;2;3,770248;1;1;1;yellow
1;3;3,920311;1;4;4;yellow
1;4;4,053619;1;1;1;yellow
1;5;4,553734;1;3;3;yellow
1;6;4,636879;1;2;2;yellow
1;7;4,787041;1;4;4;yellow
1;8;5,070343;1;3;3;yellow
2;9;3,316437;1;2;2;blue
2;10;3,416588;1;3;3;blue
2;11;3,500038;1;1;1;blue
2;12;3,700333;1;4;4;blue
2;13;3,833191;1;3;3;blue
2;14;3,916412;1;1;1;blue
2;15;3,999931;1;2;2;blue
2;16;4,116623;1;4;4;blue
3;17;3,316902;1;2;2;blue
3;18;3,417107;1;3;3;blue
3;19;3,500237;1;1;1;blue
3;20;3,666763;1;4;4;blue
3;21;3,816612;1;3;3;blue
3;22;3,899971;1;1;1;blue
3;23;3,949921;1;2;2;blue
3;24;4,100029;1;4;4;blue
4;25;3,316566;1;2;2;blue
4;26;3,400063;1;3;3;blue
4;27;3,483292;1;1;1;blue
4;28;3,650673;1;4;4;blue
4;29;3,816864;1;3;3;blue
4;30;3,93351;1;1;1;blue
4;31;3,966614;1;2;2;blue
4;32;4,099754;1;4;4;blue
5;33;3,300308;1;2;2;blue
5;34;3,400612;1;3;3;blue
5;35;3,483414;1;1;1;blue
5;36;3,616951;1;4;4;blue
5;37;3,783897;1;3;3;blue
5;38;3,867104;1;1;1;blue
5;39;3,96682;1;2;2;blue
5;40;4,100044;1;4;4;blue
6;41;3,283508;1;2;2;blue
6;42;3,400154;1;3;3;blue
6;43;3,483208;1;1;1;blue
6;44;3,567307;1;4;4;blue
6;45;3,817055;1;3;3;blue
6;46;3,966637;1;1;1;blue
6;47;4,033623;1;2;2;blue
6;48;4,133743;1;4;4;blue
7;49;3,699944;1;1;1;yellow
7;50;3,866188;1;3;3;yellow
7;51;4,01635;1;4;4;yellow
7;52;4,183647;1;2;2;yellow
7;53;4,632912;1;4;4;yellow
7;54;4,73304;1;1;1;yellow
7;55;4,982872;1;3;3;yellow
7;56;5,04969;1;2;2;yellow
8;57;3,59993;0;2;1;yellow
8;58;3,66658;0;1;2;yellow
8;59;4,600021;1;3;3;yellow
8;60;4,699875;1;4;4;yellow
8;61;4,849945;0;2;3;yellow
8;62;4,933304;0;4;2;yellow
8;63;5,633133;1;1;1;yellow
8;64;6,18309;1;2;2;yellow
9;65;3,300064;1;3;3;green
9;66;3,433594;1;4;4;green
9;67;3,567001;1;2;2;green
9;68;3,633301;1;1;1;green
9;69;3,816986;1;3;3;green
9;70;3,950089;1;2;2;green
9;71;4,066788;1;4;4;green
9;72;4,150146;1;1;1;green
10;73;3,116684;1;3;3;green
10;74;3,266937;1;4;4;green
10;75;3,350403;1;2;2;green
10;76;3,483429;1;1;1;green
10;77;3,649902;1;3;3;green
10;78;4,049927;1;2;2;green
10;79;4,183182;1;4;4;green
10;80;4,266663;1;1;1;green
11;81;3,299866;1;2;2;blue
11;82;3,416763;1;3;3;blue
11;83;3,516602;1;1;1;blue
11;84;3,683395;1;4;4;blue
11;85;3,816605;1;3;3;blue
11;86;3,933258;1;1;1;blue
11;87;4,016678;1;2;2;blue
11;88;4,133484;1;4;4;blue
12;89;3,333115;1;3;3;green
12;90;3,449768;1;4;4;green
12;91;3,516449;1;2;2;green
12;92;3,58316;1;1;1;green
12;93;3,749619;1;3;3;green
12;94;3,899734;1;2;2;green
12;95;3,983444;1;4;4;green
12;96;4,066345;1;1;1;green
13;97;3,283386;1;2;2;blue
13;98;3,366989;1;3;3;blue
13;99;3,450897;1;1;1;blue
13;100;3,583313;1;4;4;blue
13;101;3,733414;1;3;3;blue
13;102;3,833313;1;1;1;blue
13;103;3,999939;0;2;4;blue
13;104;4,500092;1;4;4;blue
14;105;3,317047;1;2;2;blue
14;106;3,416656;1;3;3;blue
14;107;3,483643;1;1;1;blue
14;108;3,633133;0;4;3;blue
