BlockNumber;EventNumber;Time Since Block start;isHit;target;pressed;sequence
1;1;4,383873;1;2;2;blue
1;2;4,583298;1;3;3;blue
1;3;4,816467;1;1;1;blue
1;4;5,066566;1;4;4;blue
1;5;6,33313;1;3;3;blue
1;6;6,499748;1;1;1;blue
1;7;6,79995;1;2;2;blue
1;8;6,933167;1;4;4;blue
2;9;5,916435;1;1;1;yellow
2;10;6,216835;1;3;3;yellow
2;11;7,500008;1;4;4;yellow
2;12;7,749825;1;2;2;yellow
2;13;8,416557;1;4;4;yellow
2;14;9,366646;1;1;1;yellow
2;15;10,34994;1;3;3;yellow
2;16;10,59991;1;2;2;yellow
3;17;4,849991;1;3;3;green
3;18;4,966721;1;4;4;green
3;19;5,133408;0;2;1;green
3;20;6,100037;1;1;1;green
3;21;7,28334;1;3;3;green
3;22;7,449768;1;2;2;green
3;23;7,599731;1;4;4;green
3;24;8,08345;1;1;1;green
4;25;4,849854;1;2;2;yellow
4;26;5,033051;1;4;4;yellow
4;27;5,166489;1;1;1;yellow
4;28;5,516434;1;3;3;yellow
4;29;6,24971;1;4;4;yellow
4;30;6,533127;1;2;2;yellow
4;31;7,066315;1;3;3;yellow
4;32;7,266525;1;1;1;yellow
5;33;5,683441;1;3;3;green
5;34;5,816666;1;4;4;green
5;35;6,016647;1;2;2;green
5;36;6,183182;1;1;1;green
5;37;7,017303;1;3;3;green
5;38;7,183655;1;2;2;green
5;39;7,317017;1;4;4;green
5;40;7,450272;1;1;1;green
6;41;3,533234;1;2;2;blue
6;42;3,649612;1;3;3;blue
6;43;3,832901;1;1;1;blue
6;44;4,016174;1;4;4;blue
6;45;4,666168;1;3;3;blue
6;46;4,79953;1;1;1;blue
6;47;4,999939;1;2;2;blue
6;48;5,14978;1;4;4;blue
7;49;3,599731;1;2;2;blue
7;50;3,749695;1;3;3;blue
7;51;3,91655;1;1;1;blue
7;52;4,133102;1;4;4;blue
7;53;5,283035;1;3;3;blue
7;54;5,432938;1;1;1;blue
7;55;5,566559;1;2;2;blue
7;56;5,649796;0;4;2;blue
8;57;4,350311;1;2;2;yellow
8;58;4,50087;1;4;4;yellow
8;59;4,783829;1;1;1;yellow
8;60;5,083252;1;3;3;yellow
8;61;6,59993;1;4;4;yellow
8;62;7,583099;1;2;2;yellow
8;63;7,783249;1;3;3;yellow
8;64;7,933472;1;1;1;yellow
9;65;4,183105;1;1;1;yellow
9;66;4,416565;1;3;3;yellow
9;67;5,533035;1;4;4;yellow
9;68;5,666321;1;2;2;yellow
9;69;5,933289;1;4;4;yellow
9;70;6,516876;1;1;1;yellow
9;71;7,533447;1;3;3;yellow
