BlockNumber;EventNumber;Time Since Block start;isHit;target;pressed;sequence
1;1;3,550011;1;2;2;blue
1;2;3,583359;1;3;3;blue
1;3;3,833443;1;1;1;blue
1;4;3,949951;1;4;4;blue
1;5;4,200089;0;3;2;blue
1;6;4,416622;0;1;4;blue
1;7;5,066673;1;2;2;blue
1;8;5,116673;1;4;4;blue
2;9;3,849937;1;2;2;yellow
2;10;3,966652;1;4;4;yellow
2;11;4,2668;1;1;1;yellow
2;12;4,516853;1;3;3;yellow
2;13;5,266541;1;4;4;yellow
2;14;5,399994;1;2;2;yellow
2;15;5,699974;1;3;3;yellow
2;16;5,833466;1;1;1;yellow
3;17;3,699722;1;1;1;yellow
3;18;3,883072;1;3;3;yellow
3;19;4,14978;1;4;4;yellow
3;20;4,399666;1;2;2;yellow
3;21;4,649979;1;4;4;yellow
3;22;4,866501;1;1;1;yellow
3;23;5,399986;1;3;3;yellow
3;24;5,48304;1;2;2;yellow
4;25;3,850281;0;4;3;yellow
4;26;3,950119;0;3;4;yellow
4;27;4,59993;1;1;1;yellow
4;28;4,683426;1;4;4;yellow
4;29;5,433571;1;3;3;yellow
4;30;5,533218;1;1;1;yellow
4;31;6,033478;1;4;4;yellow
4;32;6,116684;1;2;2;yellow
5;33;3,48349;1;2;2;blue
5;34;3,53376;1;3;3;blue
5;35;3,716667;1;1;1;blue
5;36;3,78347;1;4;4;blue
5;37;3,983276;1;3;3;blue
5;38;4,116997;1;1;1;blue
5;39;4,283203;1;2;2;blue
5;40;4,383392;1;4;4;blue
6;41;3,783371;1;2;2;yellow
6;42;3,883202;1;1;1;yellow
6;43;4,133263;1;4;4;yellow
6;44;4,316513;1;1;1;yellow
6;45;4,749863;1;3;3;yellow
6;46;4,8666;1;2;2;yellow
6;47;5,183205;1;4;4;yellow
6;48;5,449944;1;3;3;yellow
7;49;3,466583;1;2;2;blue
7;50;3,499908;1;3;3;blue
7;51;3,66655;1;1;1;blue
7;52;3,749817;1;4;4;blue
7;53;3,949875;1;3;3;blue
7;54;4,016701;0;1;3;blue
7;55;4,116722;0;2;1;blue
7;56;4,383301;0;4;2;blue
8;57;3,600433;1;2;2;blue
8;58;3,666641;1;3;3;blue
8;59;3,851212;1;1;1;blue
8;60;3,933266;1;4;4;blue
8;61;4,149979;1;3;3;blue
8;62;4,266693;1;1;1;blue
8;63;4,433441;1;2;2;blue
8;64;4,516594;1;4;4;blue
9;65;3,533226;1;3;3;green
9;66;3,616653;1;4;4;green
9;67;3,783302;1;2;2;green
9;68;3,86676;1;1;1;green
9;69;4,283363;1;3;3;green
9;70;4,366821;1;2;2;green
9;71;4,499931;1;4;4;green
9;72;4,666603;1;1;1;green
10;73;3,45005;1;2;2;blue
10;74;3,483398;1;3;3;blue
10;75;3,650078;1;1;1;blue
10;76;3,750381;1;4;4;blue
10;77;3,950195;1;3;3;blue
10;78;4,066757;1;1;1;blue
10;79;4,20005;1;2;2;blue
10;80;4,283455;1;4;4;blue
11;81;3,483383;1;2;2;blue
11;82;3,516548;1;3;3;blue
11;83;3,66642;1;1;1;blue
11;84;3,749962;1;4;4;blue
11;85;3,933128;1;3;3;blue
11;86;4,01725;1;1;1;blue
11;87;4,150017;1;2;2;blue
11;88;4,249771;1;4;4;blue
12;89;3,716713;1;3;3;green
12;90;3,816826;1;4;4;green
12;91;3,966751;1;2;2;green
12;92;4,050186;1;1;1;green
12;93;4,266678;1;3;3;green
12;94;4,383728;1;2;2;green
12;95;4,533524;1;4;4;green
12;96;4,616753;1;1;1;green
13;97;3,416527;1;2;2;blue
13;98;3,483253;1;3;3;blue
13;99;3,633224;1;1;1;blue
13;100;3,70002;1;4;4;blue
13;101;3,916931;1;3;3;blue
13;102;4,000122;1;1;1;blue
