BlockNumber;EventNumber;Time Since Block start;isHit;target;pressed;sequence
1;1;5,849915;1;2;2;blue
1;2;7,53302;1;3;3;blue
1;3;8,382965;1;1;1;blue
1;4;9,082947;0;4;1;blue
1;5;9,332993;0;3;4;blue
1;6;9,616684;1;1;1;blue
1;7;11,26653;0;2;1;blue
1;8;11,44962;0;4;1;blue
2;9;3,616745;1;1;1;yellow
2;10;4,450119;0;3;1;yellow
2;11;4,58345;0;4;1;yellow
2;12;4,699997;0;2;1;yellow
2;13;4,950012;0;4;1;yellow
2;14;10,81696;0;1;4;yellow
2;15;10,85017;0;3;1;yellow
2;16;11,80002;0;2;1;yellow
3;17;5,466797;1;3;3;green
3;18;7,19986;1;4;4;green
3;19;8,366791;1;2;2;green
3;20;9,849884;1;1;1;green
3;21;10,49991;0;3;1;green
3;22;11,26663;0;2;3;green
3;23;13,50006;1;4;4;green
3;24;14,50018;1;1;1;green
4;25;3,216797;0;2;1;yellow
4;26;3,332977;0;4;1;yellow
4;27;3,433105;1;1;1;yellow
4;28;3,533051;0;3;1;yellow
4;29;5,566498;1;4;4;yellow
4;30;6,666443;0;2;1;yellow
4;31;7,016266;0;3;2;yellow
4;32;9,182953;0;1;3;yellow
5;33;4,633484;1;3;3;green
5;34;6,766693;0;4;2;green
5;35;10,89993;0;2;1;green
5;36;12,39999;0;1;3;green
5;37;13,33334;0;3;2;green
5;38;14,31686;0;2;4;green
5;39;14,44992;0;4;1;green
5;40;14,5668;1;1;1;green
6;41;6,166779;1;2;2;blue
6;42;7,383514;1;3;3;blue
6;43;8,299805;1;1;1;blue
6;44;9,249847;1;4;4;blue
6;45;10,69995;1;3;3;blue
6;46;11,34998;0;1;2;blue
6;47;11,74988;1;2;2;blue
6;48;13,36652;1;4;4;blue
7;49;4,983246;1;2;2;blue
7;50;6,333252;1;3;3;blue
7;51;7,266479;1;1;1;blue
7;52;7,983246;1;4;4;blue
7;53;8,783234;0;3;2;blue
7;54;9,033203;0;1;3;blue
7;55;12,41647;1;2;2;blue
7;56;13,49997;1;4;4;blue
8;57;4,166565;1;2;2;yellow
8;58;4,299805;0;4;2;yellow
8;59;4,616516;0;1;2;yellow
8;60;4,699982;0;3;2;yellow
8;61;6,266388;1;4;4;yellow
8;62;7,833649;0;2;3;yellow
8;63;8,449951;0;3;1;yellow
8;64;12,75046;1;1;1;yellow
9;65;4,132538;1;1;1;yellow
9;66;5,066071;0;3;4;yellow
9;67;7,499359;1;4;4;yellow
9;68;9,949402;1;2;2;yellow
9;69;10,24924;0;4;2;yellow
9;70;10,91592;0;1;2;yellow
9;71;11,01596;0;3;2;yellow
9;72;11,51584;0;2;1;yellow
10;73;4,283295;0;3;2;green
10;74;5,117035;0;4;1;green
10;75;5,166809;0;2;3;green
10;76;5,533508;1;1;1;green
10;77;6,81665;1;3;3;green
10;78;6,883392;0;2;1;green
10;79;7,68338;0;4;1;green
10;80;16,51675;1;1;1;green
11;81;5,100586;1;2;2;yellow
11;82;5,150543;1;1;1;yellow
11;83;5,533173;0;4;2;yellow
11;84;6,866547;1;1;1;yellow
11;85;7,883118;0;3;1;yellow
11;86;8,149902;0;2;3;yellow
11;87;9,416412;1;4;4;yellow
11;88;9,933319;0;3;1;yellow
12;89;4,699799;1;2;2;blue
12;90;4,749939;0;3;1;blue
12;91;6,366852;1;1;1;blue
12;92;6,983154;0;4;1;blue
12;93;7,216431;0;3;4;blue
12;94;7,483215;1;1;1;blue
12;95;8,733185;1;2;2;blue
12;96;9,633331;0;4;1;blue
13;97;4,250092;1;2;2;blue
13;98;4,866547;1;3;3;blue
13;99;5,233093;1;1;1;blue
13;100;5,44986;0;4;1;blue
13;101;6,999969;1;3;3;blue
13;102;7,533112;0;1;2;blue
13;103;9,049866;0;2;1;blue
13;104;10,29974;1;4;4;blue
14;105;3,483398;0;2;1;blue
14;106;3,950165;0;3;1;blue
14;107;8,050171;1;1;1;blue
14;108;8,94989;0;4;1;blue
14;109;10,14987;1;3;3;blue
14;110;11,08371;1;1;1;blue
14;111;12,31659;1;2;2;blue
14;112;13,21664;1;4;4;blue
15;113;4,73349;1;3;3;green
15;114;5,766663;1;4;4;green
15;115;6,583405;1;2;2;green
15;116;7,150299;1;1;1;green
15;117;8,216522;1;3;3;green
15;118;9,350067;1;2;2;green
15;119;9,41684;0;4;1;green
15;120;11,58328;1;1;1;green
16;121;4,683441;1;3;3;green
16;122;5,199921;1;4;4;green
