BlockNumber;EventNumber;Time Since Block start;isHit;target;pressed;sequence
1;1;4,300072;1;2;2;blue
1;2;4,333397;1;3;3;blue
1;3;5,467384;1;1;1;blue
1;4;5,800079;0;4;1;blue
1;5;8,116608;1;3;3;blue
1;6;8,999977;1;1;1;blue
1;7;9,350098;0;2;1;blue
1;8;9,566841;0;4;1;blue
2;9;4,049828;1;1;1;yellow
2;10;4,716537;1;3;3;yellow
2;11;5,383064;1;4;4;yellow
2;12;6,033226;1;2;2;yellow
2;13;6,083214;0;4;3;yellow
2;14;7,599808;1;1;1;yellow
2;15;7,61644;0;3;2;yellow
2;16;8,399803;0;2;4;yellow
3;17;4,533318;1;3;3;green
3;18;5,233253;1;4;4;green
3;19;5,850075;1;2;2;green
3;20;6,366829;1;1;1;green
3;21;7,000053;1;3;3;green
3;22;7,549995;1;2;2;green
3;23;8,016609;1;4;4;green
3;24;8,516624;1;1;1;green
4;25;3,84993;1;2;2;yellow
4;26;3,899948;0;4;3;yellow
4;27;5,083389;1;1;1;yellow
4;28;5,716782;1;3;3;yellow
4;29;6,283325;1;4;4;yellow
4;30;6,899963;1;2;2;yellow
4;31;7,483353;1;3;3;yellow
4;32;8,066879;1;1;1;yellow
5;33;3,099792;0;3;1;green
5;34;4,299713;1;4;4;green
5;35;4,88324;1;2;2;green
5;36;5,433121;1;1;1;green
5;37;5,98317;1;3;3;green
5;38;6,632996;1;2;2;green
5;39;7,216248;1;4;4;green
5;40;7,799728;1;1;1;green
6;41;3,733353;1;2;2;blue
6;42;4,199844;1;3;3;blue
6;43;4,666611;1;1;1;blue
6;44;5,149994;1;4;4;blue
6;45;5,583099;1;3;3;blue
6;46;6,050003;1;1;1;blue
6;47;6,533325;1;2;2;blue
6;48;6,983414;1;4;4;blue
7;49;3,716583;1;2;2;blue
7;50;3,766479;1;3;3;blue
7;51;4,616547;1;1;1;blue
7;52;5,433197;1;4;4;blue
7;53;5,983231;1;3;3;blue
