BlockNumber;EventNumber;Time Since Block start;isHit;target;pressed;sequence
1;1;5,283249;1;2;2;yellow
1;2;5,94986;1;3;3;yellow
1;3;6,633102;1;1;1;yellow
1;4;7,249718;1;4;4;yellow
1;5;8,133194;1;3;3;yellow
1;6;8,749794;1;1;1;yellow
1;7;9,982941;1;2;2;yellow
1;8;10,48326;1;4;4;yellow
2;9;5,966537;1;2;2;blue
2;10;6,716415;1;3;3;blue
2;11;7,249878;1;1;1;blue
2;12;7,79966;1;4;4;blue
2;13;8,549828;1;3;3;blue
2;14;9,183273;1;1;1;blue
2;15;10,45012;1;2;2;blue
2;16;10,96645;1;4;4;blue
3;17;4,116714;1;2;2;blue
3;18;5,050179;0;3;2;blue
3;19;5,066635;0;1;3;blue
3;20;5,416595;0;4;3;blue
3;21;8,416557;0;3;1;blue
3;22;11,06692;1;1;1;blue
3;23;13,55006;1;2;2;blue
3;24;14,70016;1;4;4;blue
4;25;4,632965;1;1;1;yellow
4;26;5,866409;1;3;3;yellow
4;27;6,599663;1;4;4;yellow
4;28;7,216454;1;2;2;yellow
4;29;7,88298;1;4;4;yellow
4;30;8,666512;1;1;1;yellow
4;31;10,19976;0;3;2;yellow
4;32;11,13302;1;2;2;yellow
5;33;5,016815;1;3;3;green
5;34;5,483429;1;4;4;green
5;35;7,583527;1;2;2;green
5;36;8,216919;1;1;1;green
5;37;9,066589;1;3;3;green
5;38;10,18329;1;2;2;green
5;39;10,68327;1;4;4;green
5;40;11,18327;1;1;1;green
6;41;5,733406;1;2;2;yellow
6;42;6,25016;1;3;3;yellow
6;43;6,800011;1;1;1;yellow
6;44;7,416664;1;4;4;yellow
6;45;8,566734;1;3;3;yellow
6;46;9,233467;1;1;1;yellow
6;47;10,80016;1;2;2;yellow
6;48;11,76684;1;4;4;yellow
7;49;3,116394;1;1;1;yellow
7;50;5,999786;1;2;2;yellow
7;51;6,783051;1;4;4;yellow
7;52;7,416702;1;1;1;yellow
7;53;8,516418;1;3;3;yellow
7;54;9,116287;1;4;4;yellow
7;55;9,849777;1;2;2;yellow
7;56;11,23318;1;3;3;yellow
8;57;4,483063;1;2;2;blue
8;58;5,166382;1;3;3;blue
8;59;5,716476;1;1;1;blue
8;60;6,516571;1;4;4;blue
8;61;7,249908;1;3;3;blue
8;62;8,849976;1;1;1;blue
8;63;10,06636;1;2;2;blue
8;64;10,69987;1;4;4;blue
9;65;4,616638;1;4;4;yellow
9;66;5,266449;1;1;1;yellow
9;67;6,083221;1;3;3;yellow
9;68;6,71669;1;2;2;yellow
9;69;7,533295;1;4;4;yellow
9;70;8,666489;1;3;3;yellow
9;71;9,633469;1;1;1;yellow
9;72;10,11671;1;2;2;yellow
10;73;4,999863;1;2;2;blue
10;74;5,683258;1;3;3;blue
10;75;6,216446;1;1;1;blue
10;76;6,816467;1;4;4;blue
10;77;8,183304;1;3;3;blue
10;78;9,316696;1;1;1;blue
10;79;10,36659;1;2;2;blue
10;80;11,0331;1;4;4;blue
11;81;8,316605;1;2;2;blue
11;82;9,099945;1;3;3;blue
11;83;9,66658;1;1;1;blue
11;84;10,29987;1;4;4;blue
11;85;11,48328;1;3;3;blue
11;86;12,55003;1;1;1;blue
11;87;13,15007;1;2;2;blue
11;88;13,21664;0;4;1;blue
12;89;6,100128;1;2;2;blue
12;90;6,149918;0;3;1;blue
12;91;9,783188;1;1;1;blue
12;92;10,7832;1;4;4;blue
12;93;11,73317;1;3;3;blue
12;94;12,78326;1;1;1;blue
12;95;13,6165;1;2;2;blue
12;96;14,11653;1;4;4;blue
13;97;4,616684;1;3;3;green
13;98;5,41684;1;4;4;green
13;99;6,999969;1;2;2;green
13;100;7,600006;1;1;1;green
13;101;8,233444;1;3;3;green
13;102;9,083191;1;2;2;green
