BlockNumber;EventNumber;Time Since Block start;isHit;target;pressed;sequence
1;1;5,115776;1;2;2;blue
1;2;6,432304;1;3;3;blue
1;3;7,28241;1;1;1;blue
1;4;8,132439;1;4;4;blue
1;5;11,46653;1;3;3;blue
1;6;12,29949;1;1;1;blue
1;7;14,13263;1;2;2;blue
1;8;14,53233;1;4;4;blue
2;9;5,733727;1;1;1;yellow
2;10;6,600342;1;3;3;yellow
2;11;7,833519;1;4;4;yellow
2;12;8,501068;1;2;2;yellow
2;13;10,58387;0;4;1;yellow
2;14;12,23328;0;1;3;yellow
2;15;12,71713;0;3;2;yellow
2;16;24,56723;1;2;2;yellow
3;17;6,149399;1;3;3;green
3;18;6,616043;1;4;4;green
3;19;7,299973;1;2;2;green
3;20;9,165863;1;1;1;green
3;21;10,63284;1;3;3;green
3;22;11,1994;1;2;2;green
3;23;12,61557;1;4;4;green
3;24;13,29938;1;1;1;green
4;25;28,28325;1;2;2;yellow
4;26;28,75032;1;4;4;yellow
4;27;30,25032;1;1;1;yellow
4;28;30,76692;1;3;3;yellow
4;29;32,50035;1;4;4;yellow
4;30;34,18369;1;2;2;yellow
4;31;34,74953;1;3;3;yellow
4;32;35,40004;1;1;1;yellow
5;33;5,966782;1;3;3;green
5;34;6,300186;1;4;4;green
5;35;7,033081;1;2;2;green
5;36;8,249542;1;1;1;green
5;37;8,782684;1;3;3;green
5;38;10,46619;1;2;2;green
5;39;11,01668;1;4;4;green
5;40;12,16643;1;1;1;green
6;41;5,01622;1;2;2;blue
6;42;5,283798;1;3;3;blue
6;43;5,899979;1;1;1;blue
6;44;7,250015;1;4;4;blue
6;45;7,983414;0;3;2;blue
6;46;11,04953;1;1;1;blue
6;47;11,74963;1;2;2;blue
6;48;12,2498;1;4;4;blue
7;49;5,349792;1;2;2;blue
7;50;5,916428;1;3;3;blue
7;51;6,649811;1;1;1;blue
7;52;8,050049;1;4;4;blue
7;53;8,699905;0;3;2;blue
7;54;10,70036;1;1;1;blue
7;55;11,14969;1;2;2;blue
7;56;11,49982;1;4;4;blue
8;57;6,533264;1;2;2;yellow
8;58;6,850189;1;4;4;yellow
8;59;7,749786;1;1;1;yellow
8;60;9,983154;1;3;3;yellow
8;61;10,6498;1;4;4;yellow
8;62;12,23392;1;2;2;yellow
8;63;12,66661;1;3;3;yellow
8;64;13,41661;1;1;1;yellow
9;65;5,049988;1;1;1;yellow
9;66;5,816666;1;3;3;yellow
9;67;6,217026;1;4;4;yellow
9;68;8,183258;1;2;2;yellow
9;69;8,633408;1;4;4;yellow
9;70;10,84984;1;1;1;yellow
9;71;11,56699;1;3;3;yellow
9;72;12,1165;1;2;2;yellow
10;73;6,01741;1;3;3;green
10;74;6,34993;1;4;4;green
10;75;7,016647;1;2;2;green
10;76;9,416702;0;1;2;green
10;77;12,74998;1;3;3;green
10;78;14,35005;1;2;2;green
10;79;14,74986;1;4;4;green
10;80;15,55043;1;1;1;green
11;81;5,082733;1;2;2;yellow
11;82;5,499451;1;1;1;yellow
11;83;6,050018;1;4;4;yellow
11;84;7,982849;1;1;1;yellow
11;85;8,482819;1;3;3;yellow
11;86;10,38269;1;2;2;yellow
11;87;10,81625;1;4;4;yellow
11;88;12,03259;1;3;3;yellow
12;89;5,016724;1;2;2;blue
12;90;5,2836;1;3;3;blue
12;91;5,834015;1;1;1;blue
12;92;8,833405;1;4;4;blue
12;93;9,333527;1;3;3;blue
12;94;11,4837;1;1;1;blue
12;95;11,73325;1;2;2;blue
12;96;12,15012;1;4;4;blue
13;97;5,416779;1;2;2;blue
13;98;5,817047;1;3;3;blue
13;99;6,599976;1;1;1;blue
13;100;8,200317;1;4;4;blue
13;101;8,666687;1;3;3;blue
13;102;10,51721;1;1;1;blue
13;103;10,78378;1;2;2;blue
13;104;11,23331;1;4;4;blue
14;105;5,000122;1;2;2;blue
14;106;5,40033;0;3;4;blue
14;107;6,183716;1;1;1;blue
14;108;7,549805;1;4;4;blue
14;109;9,083405;1;3;3;blue
14;110;9,750061;1;1;1;blue
14;111;11,08325;1;2;2;blue
14;112;11,39975;1;4;4;blue
15;113;5,499939;0;3;2;green
15;114;5,867004;1;4;4;green
15;115;8,666687;1;2;2;green
15;116;10,33325;1;1;1;green
15;117;10,73358;1;3;3;green
15;118;12,73318;1;2;2;green
15;119;13,08377;1;4;4;green
15;120;14,0336;1;1;1;green
16;121;5,282928;1;3;3;green
16;122;5,550293;1;4;4;green
16;123;6,199707;1;2;2;green
16;124;7,883118;1;1;1;green
16;125;8,516388;1;3;3;green
16;126;10,81662;1;2;2;green
16;127;11,11685;1;4;4;green
16;128;11,93326;1;1;1;green
17;129;5,133728;1;2;2;blue
17;130;5,749634;1;3;3;blue
17;131;6,5;1;1;1;blue
17;132;8,033203;1;4;4;blue
17;133;8,500671;1;3;3;blue
17;134;10,43298;1;1;1;blue
17;135;10,69986;1;2;2;blue
17;136;10,99951;1;4;4;blue
18;137;6,11673;1;4;4;yellow
18;138;6,433441;1;3;3;yellow
18;139;7,133606;1;1;1;yellow
18;140;9,283966;0;4;3;yellow
18;141;10,01663;0;3;1;yellow
18;142;11,4169;1;1;1;yellow
18;143;13,25021;1;4;4;yellow
18;144;13,81653;1;2;2;yellow
19;145;5,366852;1;2;2;blue
19;146;5,683289;1;3;3;blue
19;147;6,366608;1;1;1;blue
19;148;7,800568;1;4;4;blue
19;149;8,216583;1;3;3;blue
19;150;9,999969;1;1;1;blue
19;151;10,28339;1;2;2;blue
19;152;10,61694;1;4;4;blue
20;153;5,917084;1;2;2;blue
20;154;6,166321;1;3;3;blue
20;155;6,849731;1;1;1;blue
20;156;8,716431;1;4;4;blue
20;157;9,2836;1;3;3;blue
20;158;11,08337;1;1;1;blue
20;159;11,46667;1;2;2;blue
20;160;11,83316;1;4;4;blue
21;161;5,683563;1;2;2;blue
21;162;5,933472;1;3;3;blue
21;163;6,850098;1;1;1;blue
21;164;8,349762;1;4;4;blue
21;165;8,766632;1;3;3;blue
21;166;10,99988;1;1;1;blue
21;167;11,31631;1;2;2;blue
21;168;11,63324;1;4;4;blue
22;169;5,699829;1;1;1;yellow
22;170;5,983246;1;2;2;yellow
22;171;6,316376;1;4;4;yellow
22;172;8,400085;1;1;1;yellow
22;173;8,883209;1;3;3;yellow
22;174;11,30008;1;4;4;yellow
22;175;11,8334;1;2;2;yellow
22;176;12,08331;1;3;3;yellow
23;177;5,06665;1;2;2;blue
23;178;5,333405;1;3;3;blue
23;179;6,099731;1;1;1;blue
23;180;7,549805;1;4;4;blue
23;181;7,932861;1;3;3;blue
23;182;9,766388;1;1;1;blue
23;183;10,0502;1;2;2;blue
23;184;10,34976;1;4;4;blue
24;185;6,566833;1;3;3;green
24;186;6,866669;1;4;4;green
24;187;7,566772;1;2;2;green
24;188;8,999969;1;1;1;green
24;189;9,417511;1;3;3;green
24;190;11,26709;1;2;2;green
24;191;11,5834;1;4;4;green
24;192;12,26721;1;1;1;green
25;193;5,899506;1;2;2;blue
25;194;6,199921;1;3;3;blue
25;195;6,799652;1;1;1;blue
25;196;8,299683;1;4;4;blue
25;197;8,799591;1;3;3;blue
25;198;11,04929;1;1;1;blue
25;199;11,31598;1;2;2;blue
25;200;11,6828;1;4;4;blue
26;201;5,283661;1;2;2;yellow
26;202;5,649994;1;1;1;yellow
26;203;6,100372;1;3;3;yellow
26;204;7,58316;1;4;4;yellow
26;205;9,582977;1;2;2;yellow
26;206;10,06656;1;4;4;yellow
26;207;10,81686;1;1;1;yellow
26;208;11,93335;1;2;2;yellow
27;209;5,016602;1;2;2;blue
27;210;5,299988;1;3;3;blue
27;211;5,983337;1;1;1;blue
27;212;8,18335;1;4;4;blue
27;213;8,800232;1;3;3;blue
27;214;10,46667;1;1;1;blue
27;215;10,76627;1;2;2;blue
27;216;11,06683;1;4;4;blue
28;217;5,383118;1;2;2;yellow
28;218;5,73291;1;1;1;yellow
28;219;6,116791;1;3;3;yellow
28;220;7,683441;1;4;4;yellow
28;221;8,466064;1;2;2;yellow
28;222;9,882843;0;4;1;yellow
28;223;10,11597;0;1;2;yellow
28;224;11,74939;1;2;2;yellow
29;225;5,650055;1;2;2;blue
29;226;5,934021;1;3;3;blue
29;227;6,633636;1;1;1;blue
29;228;8,083405;1;4;4;blue
