BlockNumber;EventNumber;Time Since Block start;isHit;target;pressed;sequence
1;1;3,449814;1;2;2;blue
1;2;3,566681;1;3;3;blue
1;3;3,733074;1;1;1;blue
1;4;3,883469;1;4;4;blue
1;5;4,016533;1;3;3;blue
1;6;4,149864;1;1;1;blue
1;7;4,283241;1;2;2;blue
1;8;4,349823;1;4;4;blue
2;9;3,400005;1;2;2;blue
2;10;3,516872;1;3;3;blue
2;11;3,666561;1;1;1;blue
2;12;3,833256;1;4;4;blue
2;13;3,933468;1;3;3;blue
2;14;4,083302;1;1;1;blue
2;15;4,233406;1;2;2;blue
2;16;4,300194;1;4;4;blue
3;17;3,316475;1;3;3;green
3;18;3,383125;1;4;4;green
3;19;3,599655;1;2;2;green
3;20;3,616604;1;1;1;green
3;21;3,933155;1;3;3;green
3;22;3,966499;1;2;2;green
3;23;4,199944;1;4;4;green
3;24;4,316635;1;1;1;green
4;25;3,366539;1;3;3;green
4;26;3,399918;1;4;4;green
4;27;3,616493;1;2;2;green
4;28;3,633308;1;1;1;green
4;29;3,89994;1;3;3;green
4;30;3,983257;1;2;2;green
4;31;4,166374;1;4;4;green
4;32;4,233181;1;1;1;green
5;33;4,166973;1;2;2;yellow
5;34;4,316593;1;1;1;yellow
5;35;4,533188;1;4;4;yellow
5;36;4,683559;1;1;1;yellow
5;37;4,916691;1;3;3;yellow
5;38;5,100018;1;2;2;yellow
5;39;5,350079;1;4;4;yellow
5;40;5,516632;1;3;3;yellow
6;41;3,350208;1;2;2;blue
6;42;3,483269;1;3;3;blue
6;43;3,599964;1;1;1;blue
6;44;3,783432;1;4;4;blue
6;45;4,283318;1;3;3;blue
6;46;4,449795;1;1;1;blue
6;47;4,566647;1;2;2;blue
6;48;4,73341;1;4;4;blue
7;49;3,366207;1;2;2;blue
7;50;3,399822;1;3;3;blue
7;51;3,666759;1;1;1;blue
7;52;3,983089;1;4;4;blue
7;53;4,166515;0;3;1;blue
7;54;4,283306;0;1;2;blue
7;55;4,483105;0;2;4;blue
7;56;4,716434;1;4;4;blue
8;57;3,416733;1;2;2;blue
8;58;3,600281;1;3;3;blue
8;59;3,750038;1;1;1;blue
8;60;3,900017;1;4;4;blue
8;61;4,033455;1;3;3;blue
8;62;4,150047;1;1;1;blue
8;63;4,250061;1;2;2;blue
8;64;4,383362;1;4;4;blue
9;65;3,366501;1;2;2;blue
9;66;3,483284;1;3;3;blue
9;67;3,616684;1;1;1;blue
9;68;3,76664;1;4;4;blue
9;69;3,983643;0;3;1;blue
9;70;4,066727;0;1;2;blue
9;71;4,283318;0;2;4;blue
9;72;4,633415;1;4;4;blue
10;73;4,066612;1;2;2;yellow
10;74;4,23336;1;3;3;yellow
10;75;4,366562;1;1;1;yellow
10;76;4,566505;1;4;4;yellow
10;77;4,749741;1;3;3;yellow
10;78;4,933258;1;1;1;yellow
10;79;5,099709;1;2;2;yellow
10;80;5,183464;1;4;4;yellow
11;81;3,366333;1;2;2;blue
11;82;3,533089;1;3;3;blue
11;83;3,683197;1;1;1;blue
11;84;3,833183;1;4;4;blue
11;85;3,966492;1;3;3;blue
11;86;4,150124;1;1;1;blue
11;87;4,216286;1;2;2;blue
11;88;4,366478;1;4;4;blue
12;89;3,383453;1;2;2;blue
12;90;3,533203;1;3;3;blue
12;91;3,683189;1;1;1;blue
12;92;3,833267;1;4;4;blue
12;93;3,966507;1;3;3;blue
12;94;4,116623;1;1;1;blue
