BlockNumber;EventNumber;Time Since Block start;isHit;target;pressed;sequence
1;1;6,533222;0;2;3;blue
1;2;6,849735;0;3;2;blue
1;3;7,299587;1;1;1;blue
1;4;8,549816;1;4;4;blue
1;5;10,26652;0;3;2;blue
1;6;11,08315;1;1;1;blue
1;7;12,39991;0;2;3;blue
1;8;12,79967;1;4;4;blue
2;9;5,816803;1;1;1;yellow
2;10;7,000061;0;3;2;yellow
2;11;8,516487;1;4;4;yellow
2;12;8,816765;0;2;3;yellow
2;13;10,13361;1;4;4;yellow
2;14;11,19995;1;1;1;yellow
2;15;11,91684;0;3;2;yellow
2;16;12,21667;0;2;3;yellow
3;17;6,616646;0;3;2;green
3;18;7,666603;1;4;4;green
3;19;8,983261;0;2;3;green
3;20;9,94989;1;1;1;green
3;21;10,84988;0;3;2;green
3;22;12,20007;0;2;3;green
3;23;12,63331;1;4;4;green
3;24;13,19991;1;1;1;green
4;25;8,29998;0;2;3;yellow
4;26;9,016548;1;4;4;yellow
4;27;9,583405;1;1;1;yellow
4;28;10,48332;0;3;2;yellow
4;29;11,96665;1;4;4;yellow
4;30;12,94978;0;2;3;yellow
4;31;13,26679;0;3;2;yellow
4;32;13,46655;1;1;1;yellow
5;33;4,933395;0;3;2;green
5;34;5,266609;1;4;4;green
5;35;6,299957;0;2;3;green
5;36;6,966675;1;1;1;green
5;37;7,583206;0;3;2;green
5;38;8,299919;0;2;3;green
5;39;8,716766;1;4;4;green
5;40;9,199944;1;1;1;green
6;41;5,750061;0;2;3;blue
6;42;6,216812;0;3;2;blue
6;43;6,766647;1;1;1;blue
6;44;7,550095;1;4;4;blue
6;45;8,233459;1;3;3;blue
6;46;9,133331;1;1;1;blue
6;47;10,06665;1;2;2;blue
6;48;10,5999;1;4;4;blue
7;49;5,399948;0;2;3;blue
7;50;5,633316;0;3;2;blue
7;51;6,216675;1;1;1;blue
7;52;6,933258;1;4;4;blue
7;53;8,016632;0;3;2;blue
7;54;9,36673;1;1;1;blue
7;55;10,11662;0;2;3;blue
7;56;12,36664;1;4;4;blue
8;57;5,916611;0;2;3;yellow
8;58;6,233353;1;4;4;yellow
8;59;6,600067;0;1;2;yellow
8;60;8,216599;0;3;2;yellow
8;61;9,583282;1;4;4;yellow
8;62;10,38319;0;2;3;yellow
8;63;11,16679;0;3;2;yellow
