BlockNumber;EventNumber;Time Since Block start;isHit;target;pressed;sequence
1;1;3,799751;1;2;2;yellow
1;2;3,933121;0;3;2;yellow
1;3;5,066475;1;1;1;yellow
1;4;5,466415;1;4;4;yellow
1;5;6,08316;1;3;3;yellow
1;6;6,616394;1;1;1;yellow
1;7;7,083092;1;2;2;yellow
1;8;7,449768;1;4;4;yellow
2;9;3,71637;1;2;2;blue
2;10;4,100075;1;3;3;blue
2;11;4,566803;1;1;1;blue
2;12;4,966621;1;4;4;blue
2;13;5,500122;1;3;3;blue
2;14;6,249878;1;1;1;blue
2;15;6,800026;1;2;2;blue
2;16;7,216614;1;4;4;blue
3;17;3,683311;1;2;2;blue
3;18;4,116753;1;3;3;blue
3;19;4,566795;1;1;1;blue
3;20;4,99987;1;4;4;blue
3;21;5,517128;1;3;3;blue
3;22;6,000084;1;1;1;blue
3;23;6,449852;1;2;2;blue
3;24;6,866554;1;4;4;blue
4;25;3,800201;1;1;1;yellow
4;26;4,566864;1;3;3;yellow
4;27;5,066635;1;4;4;yellow
4;28;5,566681;1;2;2;yellow
4;29;6,033478;1;4;4;yellow
4;30;6,516861;1;1;1;yellow
4;31;7,08342;1;3;3;yellow
4;32;7,633423;1;2;2;yellow
5;33;3,85022;1;3;3;green
5;34;4,233215;1;4;4;green
5;35;4,733383;1;2;2;green
5;36;5,199753;1;1;1;green
5;37;5,68309;0;3;4;green
5;38;7,04985;1;2;2;green
5;39;7,566544;1;4;4;green
5;40;7,999863;1;1;1;green
6;41;3,700043;1;2;2;yellow
6;42;4,116745;1;3;3;yellow
6;43;4,516678;1;1;1;yellow
6;44;4,916946;1;4;4;yellow
6;45;5,366623;1;3;3;yellow
6;46;5,883453;1;1;1;yellow
6;47;6,300034;1;2;2;yellow
6;48;6,683334;1;4;4;yellow
7;49;3,833527;1;1;1;yellow
7;50;4,216614;1;2;2;yellow
7;51;4,666748;1;4;4;yellow
7;52;5,099884;1;1;1;yellow
7;53;5,94989;1;3;3;yellow
7;54;6,483337;1;4;4;yellow
7;55;6,983337;1;2;2;yellow
7;56;7,516525;0;3;4;yellow
