BlockNumber;EventNumber;Time Since Block start;isHit;target;pressed;sequence
1;1;15,84975;1;2;2;yellow
1;2;16,43309;1;1;1;yellow
1;3;17,21661;1;4;4;yellow
1;4;17,90012;1;1;1;yellow
1;5;18,48301;0;3;2;yellow
1;6;20,69968;1;2;2;yellow
1;7;21,83323;1;4;4;yellow
1;8;22,79987;1;3;3;yellow
2;9;4,016609;1;2;2;blue
2;10;4,516434;1;3;3;blue
2;11;5,033348;1;1;1;blue
2;12;5,633324;1;4;4;blue
2;13;6,133102;1;3;3;blue
2;14;6,733192;1;1;1;blue
2;15;7,366592;1;2;2;blue
2;16;7,883087;0;4;3;blue
3;17;4,449944;1;2;2;blue
3;18;4,933311;1;3;3;blue
3;19;5,416801;1;1;1;blue
3;20;5,8834;1;4;4;blue
3;21;6,36692;1;3;3;blue
3;22;6,900017;1;1;1;blue
3;23;7,583305;1;2;2;blue
3;24;8,16674;1;4;4;blue
4;25;4,666519;1;2;2;blue
4;26;5,183289;1;3;3;blue
4;27;5,633133;1;1;1;blue
4;28;6,133377;1;4;4;blue
4;29;7,299957;1;3;3;blue
4;30;7,749939;1;1;1;blue
4;31;8,483398;1;2;2;blue
4;32;8,983459;1;4;4;blue
5;33;3,966446;1;2;2;blue
5;34;4,533112;1;3;3;blue
5;35;4,983032;1;1;1;blue
5;36;5,499557;1;4;4;blue
5;37;5,999649;1;3;3;blue
5;38;6,516602;1;1;1;blue
5;39;7,03299;1;2;2;blue
5;40;7,499756;1;4;4;blue
6;41;3,883377;1;2;2;blue
6;42;4,400299;1;3;3;blue
6;43;4,816818;1;1;1;blue
6;44;5,333176;1;4;4;blue
6;45;5,833298;1;3;3;blue
6;46;6,300049;1;1;1;blue
6;47;6,817245;1;2;2;blue
6;48;7,316696;1;4;4;blue
7;49;4,449997;1;1;1;yellow
7;50;5,050018;1;3;3;yellow
7;51;5,61673;1;4;4;yellow
7;52;6,183441;1;2;2;yellow
7;53;6,933136;1;4;4;yellow
7;54;7,533386;1;1;1;yellow
7;55;8,43335;1;3;3;yellow
7;56;8,966537;1;2;2;yellow
8;57;4,667023;1;2;2;yellow
8;58;5,216705;1;1;1;yellow
8;59;7,099838;1;3;3;yellow
8;60;7,633331;1;4;4;yellow
8;61;8,600082;1;2;2;yellow
8;62;9,216583;1;4;4;yellow
8;63;9,933334;1;1;1;yellow
8;64;10,51675;1;2;2;yellow
9;65;4,166367;1;3;3;green
9;66;4,749893;1;4;4;green
9;67;5,349991;1;2;2;green
9;68;5,899887;1;1;1;green
9;69;6,616623;1;3;3;green
9;70;7,183334;1;2;2;green
9;71;7,699783;1;4;4;green
9;72;8,200027;1;1;1;green
10;73;5,716461;1;3;3;green
10;74;6,266556;1;4;4;green
10;75;7,399704;1;2;2;green
10;76;7,966553;1;1;1;green
10;77;8,549667;1;3;3;green
10;78;9,083115;1;2;2;green
10;79;9,699875;1;4;4;green
10;80;10,18303;1;1;1;green
11;81;4,033463;1;2;2;blue
11;82;4,633316;1;3;3;blue
