BlockNumber;EventNumber;Time Since Block start;isHit;target;pressed;sequence
1;1;4,665699;1;2;2;blue
1;2;4,932228;1;3;3;blue
1;3;5,41568;1;1;1;blue
1;4;5,782177;1;4;4;blue
1;5;6,098927;1;3;3;blue
1;6;6,766033;1;1;1;blue
1;7;7,515511;1;2;2;blue
1;8;7,782337;1;4;4;blue
2;9;4,083202;1;1;1;yellow
2;10;4,483387;1;3;3;yellow
2;11;5,11684;1;4;4;yellow
2;12;5,816608;1;2;2;yellow
2;13;6,100143;0;4;3;yellow
2;14;6,39996;1;1;1;yellow
2;15;8,866596;1;3;3;yellow
2;16;9,083332;1;2;2;yellow
3;17;4,650494;1;3;3;green
3;18;4,983322;1;4;4;green
3;19;5,249756;1;2;2;green
3;20;6,499847;1;1;1;green
3;21;7,333225;1;3;3;green
3;22;7,649738;1;2;2;green
3;23;7,916592;1;4;4;green
3;24;8,199875;1;1;1;green
4;25;4,483776;1;2;2;yellow
4;26;4,900127;1;4;4;yellow
4;27;5,31699;1;1;1;yellow
4;28;5,683315;1;3;3;yellow
4;29;6,166584;1;4;4;yellow
4;30;6,499943;1;2;2;yellow
4;31;6,866898;1;3;3;yellow
4;32;7,116608;1;1;1;yellow
5;33;4,216671;1;3;3;green
5;34;4,483479;1;4;4;green
5;35;4,816761;1;2;2;green
5;36;5,150242;1;1;1;green
5;37;5,867565;1;3;3;green
5;38;6,21674;1;2;2;green
5;39;6,483356;1;4;4;green
5;40;6,766697;1;1;1;green
6;41;4,183189;1;2;2;blue
6;42;4,450089;1;3;3;blue
6;43;5,716736;1;1;1;blue
6;44;6,650108;1;4;4;blue
6;45;7,099907;1;3;3;blue
6;46;8,433304;1;1;1;blue
6;47;8,816605;1;2;2;blue
6;48;9,066589;1;4;4;blue
7;49;4,066856;1;2;2;blue
7;50;4,383316;1;3;3;blue
7;51;4,666756;1;1;1;blue
7;52;4,983337;1;4;4;blue
7;53;5,250175;1;3;3;blue
7;54;5,533417;1;1;1;blue
7;55;5,850204;1;2;2;blue
7;56;6,133377;1;4;4;blue
8;57;4,03315;1;2;2;yellow
8;58;4,333427;1;4;4;yellow
8;59;4,633377;1;1;1;yellow
8;60;5,399948;0;3;2;yellow
8;61;5,749863;0;4;3;yellow
8;62;6,783295;1;2;2;yellow
8;63;7,316643;1;3;3;yellow
8;64;7,683212;1;1;1;yellow
9;65;4,816696;1;1;1;yellow
9;66;5,283272;1;3;3;yellow
9;67;5,666824;1;4;4;yellow
9;68;6,13327;1;2;2;yellow
9;69;6,616669;0;4;3;yellow
9;70;6,966759;1;1;1;yellow
9;71;8,116753;1;3;3;yellow
9;72;8,449944;1;2;2;yellow
10;73;4,100426;1;3;3;green
10;74;4,350006;1;4;4;green
10;75;4,650139;1;2;2;green
10;76;4,916702;1;1;1;green
10;77;5,350471;0;3;2;green
10;78;5,71656;0;2;3;green
10;79;6,566582;1;4;4;green
10;80;7,083694;1;1;1;green
11;81;4,099457;1;2;2;yellow
11;82;4,36631;1;1;1;yellow
11;83;4,832863;1;4;4;yellow
11;84;5,133087;1;1;1;yellow
11;85;5,58297;1;3;3;yellow
11;86;5,882942;1;2;2;yellow
11;87;6,166374;1;4;4;yellow
11;88;6,549744;1;3;3;yellow
12;89;4,099991;1;2;2;blue
12;90;4,733223;1;3;3;blue
12;91;5,616669;1;1;1;blue
12;92;6,049873;1;4;4;blue
12;93;6,34993;1;3;3;blue
12;94;6,649857;1;1;1;blue
12;95;7,049934;1;2;2;blue
12;96;7,500183;1;4;4;blue
13;97;4,199669;1;2;2;blue
13;98;4,50013;1;3;3;blue
13;99;4,799873;1;1;1;blue
13;100;5,10022;1;4;4;blue
13;101;5,399673;1;3;3;blue
13;102;5,666489;1;1;1;blue
13;103;6,282906;1;2;2;blue
13;104;6,533333;1;4;4;blue
14;105;4,382919;1;2;2;blue
14;106;4,666321;1;3;3;blue
14;107;5,06636;1;1;1;blue
14;108;5,399582;1;4;4;blue
14;109;5,766266;1;3;3;blue
14;110;6,149719;1;1;1;blue
14;111;6,782959;1;2;2;blue
14;112;7,382782;0;4;3;blue
15;113;4,200043;1;3;3;green
15;114;4,533401;1;4;4;green
15;115;4,81691;1;2;2;green
15;116;5,11676;1;1;1;green
15;117;5,783432;0;3;2;green
15;118;6,883423;1;2;2;green
15;119;7,300369;1;4;4;green
15;120;7,600143;1;1;1;green
16;121;4,166687;1;3;3;green
16;122;4,449905;1;4;4;green
16;123;4,799957;1;2;2;green
16;124;5,100067;1;1;1;green
16;125;5,766663;1;3;3;green
16;126;6,116577;1;2;2;green
16;127;6,383408;1;4;4;green
16;128;6,68335;1;1;1;green
17;129;4,166489;1;2;2;blue
17;130;4,466736;1;3;3;blue
17;131;4,766632;1;1;1;blue
17;132;5,100052;1;4;4;blue
17;133;5,933289;0;3;2;blue
17;134;7,066544;1;1;1;blue
17;135;7,483307;0;2;3;blue
17;136;7,899963;1;4;4;blue
18;137;5,233276;1;4;4;yellow
18;138;5,599823;1;3;3;yellow
18;139;5,899811;1;1;1;yellow
18;140;6,233292;1;4;4;yellow
18;141;6,566635;1;3;3;yellow
18;142;6,866653;1;1;1;yellow
18;143;7,250244;1;4;4;yellow
18;144;7,616577;1;2;2;yellow
19;145;4,05011;1;2;2;blue
19;146;4,350266;1;3;3;blue
19;147;4,716675;1;1;1;blue
19;148;5,016586;1;4;4;blue
19;149;5,366776;1;3;3;blue
19;150;5,666641;1;1;1;blue
19;151;6,166519;1;2;2;blue
19;152;6,483261;1;4;4;blue
20;153;4,26651;1;2;2;blue
20;154;4,550049;1;3;3;blue
20;155;4,883438;1;1;1;blue
20;156;5,150024;1;4;4;blue
20;157;5,433411;1;3;3;blue
20;158;5,750641;1;1;1;blue
20;159;6,05043;1;2;2;blue
20;160;6,316605;1;4;4;blue
21;161;3,949951;1;2;2;blue
21;162;4,233353;1;3;3;blue
21;163;4,566788;1;1;1;blue
21;164;4,833435;1;4;4;blue
21;165;5,116913;1;3;3;blue
21;166;5,416763;1;1;1;blue
21;167;5,699982;1;2;2;blue
21;168;5,966736;1;4;4;blue
22;169;3,983139;1;1;1;yellow
22;170;4,333359;1;2;2;yellow
22;171;4,616837;1;4;4;yellow
22;172;4,96666;1;1;1;yellow
22;173;5,266541;1;3;3;yellow
22;174;5,816666;1;4;4;yellow
22;175;6,183167;1;2;2;yellow
22;176;6,499893;1;3;3;yellow
23;177;4,06662;1;2;2;blue
23;178;4,349976;1;3;3;blue
23;179;4,650162;1;1;1;blue
23;180;4,91655;1;4;4;blue
23;181;5,266678;1;3;3;blue
23;182;5,566574;1;1;1;blue
23;183;5,866699;1;2;2;blue
23;184;6,133667;1;4;4;blue
24;185;4,016403;1;3;3;green
24;186;4,316422;1;4;4;green
24;187;4,649673;1;2;2;green
24;188;4,933075;1;1;1;green
24;189;5,283554;0;3;2;green
24;190;6,366348;1;2;2;green
24;191;6,666229;1;4;4;green
24;192;6,966446;1;1;1;green
25;193;3,216415;0;2;3;blue
25;194;4,999863;1;3;3;blue
25;195;5,333099;1;1;1;blue
25;196;5,599762;1;4;4;blue
25;197;5,966553;1;3;3;blue
25;198;6,266617;1;1;1;blue
25;199;6,599792;1;2;2;blue
25;200;6,899872;1;4;4;blue
26;201;4,399826;1;2;2;yellow
26;202;4,683075;1;1;1;yellow
26;203;5,016678;0;3;2;yellow
26;204;6,016647;1;4;4;yellow
26;205;6,800217;1;2;2;yellow
26;206;7,183655;0;4;3;yellow
26;207;7,550095;1;1;1;yellow
26;208;8,733292;1;2;2;yellow
27;209;4,066635;1;2;2;blue
27;210;4,749863;0;3;1;blue
27;211;6,766617;1;1;1;blue
27;212;7,366486;1;4;4;blue
27;213;7,716919;1;3;3;blue
27;214;8,049911;1;1;1;blue
27;215;8,383255;1;2;2;blue
27;216;8,649887;1;4;4;blue
28;217;4,566559;1;2;2;yellow
28;218;4,866623;1;1;1;yellow
28;219;5,216721;1;3;3;yellow
28;220;5,583221;1;4;4;yellow
28;221;6,333557;1;2;2;yellow
28;222;6,699997;0;4;3;yellow
28;223;7,183334;1;1;1;yellow
28;224;8,266678;1;2;2;yellow
29;225;4,083206;1;2;2;blue
29;226;4,366562;1;3;3;blue
29;227;4,699844;1;1;1;blue
29;228;4,949814;1;4;4;blue
29;229;5,250031;1;3;3;blue
29;230;5,566757;1;1;1;blue
29;231;5,833374;1;2;2;blue
29;232;6,100372;1;4;4;blue
30;233;4,049698;0;3;2;green
30;234;5,499512;1;4;4;green
30;235;5,966415;1;2;2;green
30;236;6,332825;1;1;1;green
30;237;7,099487;1;3;3;green
30;238;7,449493;1;2;2;green
30;239;7,866302;1;4;4;green
30;240;8,132874;1;1;1;green
31;241;4,049973;1;3;3;green
31;242;4,366653;1;4;4;green
31;243;4,649887;1;2;2;green
31;244;4,966599;1;1;1;green
31;245;5,516647;1;3;3;green
31;246;5,883347;1;2;2;green
31;247;6,300034;1;4;4;green
31;248;6,583237;1;1;1;green
32;249;3,983398;1;3;3;green
32;250;4,283417;1;4;4;green
32;251;4,633301;1;2;2;green
32;252;4,93338;1;1;1;green
32;253;5,266693;1;3;3;green
32;254;5,600067;1;2;2;green
32;255;5,883453;1;4;4;green
32;256;6,200073;1;1;1;green
33;257;4,116608;1;2;2;blue
33;258;4,399902;1;3;3;blue
33;259;4,733276;1;1;1;blue
33;260;5,033112;1;4;4;blue
33;261;5,366547;1;3;3;blue
33;262;6,033234;1;1;1;blue
33;263;6,499908;1;2;2;blue
33;264;7,816986;1;4;4;blue
34;265;3,249481;0;2;3;blue
34;266;4,799988;1;3;3;blue
34;267;5,132996;1;1;1;blue
34;268;5,449493;1;4;4;blue
34;269;5,732819;1;3;3;blue
34;270;5,999725;1;1;1;blue
34;271;6,333099;1;2;2;blue
34;272;6,583008;1;4;4;blue
35;273;4,133759;1;3;3;green
35;274;4,417053;1;4;4;green
35;275;4,766663;1;2;2;green
35;276;5,066528;1;1;1;green
35;277;5,366516;1;3;3;green
35;278;5,683258;1;2;2;green
35;279;5,950012;1;4;4;green
35;280;6,250641;1;1;1;green
36;281;4,382599;1;2;2;blue
36;282;4,665833;1;3;3;blue
36;283;4,982635;1;1;1;blue
36;284;5,299225;0;4;3;blue
36;285;5,532684;0;3;2;blue
36;286;6,415741;0;1;4;blue
36;287;7,999542;1;2;2;blue
36;288;8,53244;1;4;4;blue
37;289;4,100067;1;3;3;green
37;290;4,383392;1;4;4;green
37;291;4,683411;1;2;2;green
37;292;4,950287;0;1;2;green
37;293;5,050201;0;3;1;green
37;294;6,100098;0;2;3;green
37;295;6,433258;1;4;4;green
37;296;6,716736;1;1;1;green
38;297;4,100128;1;4;4;yellow
38;298;4,433624;1;1;1;yellow
38;299;4,816498;0;3;2;yellow
38;300;5,099915;0;2;3;yellow
38;301;6,049805;1;4;4;yellow
38;302;6,466522;1;3;3;yellow
38;303;6,849884;1;1;1;yellow
38;304;7,216705;1;2;2;yellow
39;305;4,150269;0;4;3;yellow
39;306;4,449951;0;3;4;yellow
39;307;7,166779;1;1;1;yellow
39;308;7,916473;1;4;4;yellow
39;309;8,283447;1;3;3;yellow
39;310;8,58313;1;1;1;yellow
39;311;9,016541;1;4;4;yellow
39;312;9,466522;1;2;2;yellow
40;313;4,449921;1;2;2;blue
40;314;4,749817;1;3;3;blue
40;315;5,083221;1;1;1;blue
40;316;5,383301;1;4;4;blue
40;317;5,766602;1;3;3;blue
40;318;6,149872;1;1;1;blue
40;319;6,549957;1;2;2;blue
40;320;6,783264;1;4;4;blue
41;321;4,666718;1;2;2;blue
41;322;4,983276;1;3;3;blue
41;323;5,266815;1;1;1;blue
41;324;5,533478;1;4;4;blue
41;325;5,849945;1;3;3;blue
41;326;6,166687;1;1;1;blue
41;327;6,433319;1;2;2;blue
41;328;6,783447;1;4;4;blue
42;329;3,983124;1;2;2;blue
42;330;4,266815;1;3;3;blue
42;331;4,56662;1;1;1;blue
42;332;4,81662;1;4;4;blue
42;333;5,116486;1;3;3;blue
42;334;5,399872;1;1;1;blue
42;335;5,666534;1;2;2;blue
42;336;5,950073;1;4;4;blue
43;337;4,366455;1;2;2;blue
43;338;4,616333;1;3;3;blue
43;339;5,333221;1;1;1;blue
43;340;5,783203;1;4;4;blue
43;341;6,166656;1;3;3;blue
43;342;6,516235;1;1;1;blue
43;343;6,916534;1;2;2;blue
43;344;7,183258;1;4;4;blue
44;345;4,249817;1;3;3;green
44;346;4,516449;1;4;4;green
44;347;4,833069;1;2;2;green
44;348;5,249695;1;1;1;green
44;349;5,599823;1;3;3;green
44;350;5,933136;1;2;2;green
44;351;6,183228;1;4;4;green
44;352;6,449829;1;1;1;green
45;353;4,249969;1;2;2;blue
45;354;4,516724;1;3;3;blue
45;355;4,816742;1;1;1;blue
45;356;5,099976;1;4;4;blue
45;357;5,367493;1;3;3;blue
45;358;5,616669;1;1;1;blue
45;359;5,916473;1;2;2;blue
45;360;6,200012;1;4;4;blue
46;361;7,049866;1;2;2;yellow
46;362;7,450104;1;1;1;yellow
46;363;8,033112;1;4;4;yellow
46;364;8,483521;1;1;1;yellow
46;365;9,199951;1;3;3;yellow
46;366;10,33316;1;2;2;yellow
46;367;10,78311;1;4;4;yellow
46;368;11,08313;1;3;3;yellow
47;369;4,316711;1;2;2;blue
47;370;4,783508;1;3;3;blue
47;371;5,366699;1;1;1;blue
47;372;6,149963;1;4;4;blue
47;373;6,700043;1;3;3;blue
47;374;7,033264;1;1;1;blue
47;375;7,633362;1;2;2;blue
47;376;8,05011;1;4;4;blue
