BlockNumber;EventNumber;Time Since Block start;isHit;target;pressed;sequence
1;1;3,466553;0;2;1;blue
1;2;5,99939;0;3;1;blue
1;3;6,132568;0;1;4;blue
1;4;7,032837;1;4;4;blue
1;5;7,766174;0;3;4;blue
1;6;8,032471;0;1;3;blue
1;7;8,382568;0;2;4;blue
1;8;13,38312;0;4;1;blue
2;9;5,449463;1;1;1;yellow
2;10;6,766052;1;3;3;yellow
2;11;7,632874;1;4;4;yellow
2;12;8,565979;1;2;2;yellow
2;13;9,616028;0;4;1;yellow
2;14;11,08344;0;1;3;yellow
2;15;15,81592;1;3;3;yellow
2;16;17,01587;1;2;2;yellow
3;17;4,733215;1;3;3;green
3;18;5,583374;1;4;4;green
3;19;6,733276;1;2;2;green
3;20;7,649719;1;1;1;green
3;21;8,866638;1;3;3;green
3;22;9,650085;1;2;2;green
3;23;10,18341;1;4;4;green
3;24;10,784;1;1;1;green
4;25;7,749268;1;2;2;yellow
4;26;8,416138;1;4;4;yellow
4;27;9,615906;1;1;1;yellow
4;28;10,53265;1;3;3;yellow
4;29;11,39948;0;4;2;yellow
4;30;15,19934;1;2;2;yellow
4;31;16,06586;1;3;3;yellow
4;32;16,68256;1;1;1;yellow
5;33;4,483276;1;3;3;green
5;34;4,966431;1;4;4;green
5;35;5,800354;1;2;2;green
5;36;6,383057;1;1;1;green
5;37;7,299683;1;3;3;green
5;38;7,966492;1;2;2;green
5;39;8,16687;0;4;2;green
5;40;9,96637;1;1;1;green
6;41;4,650452;1;2;2;blue
6;42;5,149963;1;3;3;blue
6;43;5,650146;1;1;1;blue
6;44;6,566711;1;4;4;blue
6;45;7,316589;1;3;3;blue
6;46;8,066528;1;1;1;blue
6;47;8,849792;1;2;2;blue
6;48;9,799927;1;4;4;blue
7;49;4,583496;1;2;2;blue
7;50;5,166626;1;3;3;blue
7;51;5,816406;1;1;1;blue
7;52;6,733826;1;4;4;blue
7;53;7,666565;1;3;3;blue
7;54;8,799744;1;1;1;blue
7;55;9,600464;1;2;2;blue
7;56;10,58313;1;4;4;blue
8;57;5,117432;1;2;2;yellow
8;58;6,183533;0;4;3;yellow
8;59;8,116699;1;1;1;yellow
8;60;9,316528;1;3;3;yellow
8;61;9,916443;1;4;4;yellow
8;62;10,71722;1;2;2;yellow
8;63;12,117;1;3;3;yellow
8;64;12,83319;1;1;1;yellow
9;65;4,483032;1;1;1;yellow
9;66;5,183411;1;3;3;yellow
9;67;5,866699;1;4;4;yellow
9;68;6,566895;1;2;2;yellow
9;69;8,533386;1;4;4;yellow
9;70;9,533447;1;1;1;yellow
9;71;10,45007;1;3;3;yellow
9;72;11,20026;1;2;2;yellow
