BlockNumber;EventNumber;Time Since Block start;isHit;target;pressed;sequence
1;1;5,116608;0;2;3;blue
1;2;5,199905;0;3;2;blue
1;3;5,816788;0;1;4;blue
1;4;6,966507;1;4;4;blue
1;5;7,299843;0;3;4;blue
1;6;7,566589;0;1;2;blue
1;7;8,683083;1;2;2;blue
1;8;9,166389;1;4;4;blue
2;9;3,90033;1;2;2;yellow
2;10;4,383675;1;4;4;yellow
2;11;4,866524;1;1;1;yellow
2;12;5,683609;1;3;3;yellow
2;13;6,433708;1;4;4;yellow
2;14;7,116783;1;2;2;yellow
2;15;7,566711;1;3;3;yellow
2;16;8,100098;1;1;1;yellow
3;17;3,816925;1;1;1;yellow
3;18;4,283379;1;3;3;yellow
3;19;4,833191;1;4;4;yellow
3;20;5,383514;1;2;2;yellow
3;21;5,983658;1;4;4;yellow
3;22;6,56675;1;1;1;yellow
3;23;6,833237;0;3;2;yellow
3;24;8,066719;1;2;2;yellow
4;25;3,883316;1;4;4;yellow
4;26;4,299759;1;3;3;yellow
4;27;4,883408;1;1;1;yellow
4;28;5,449982;1;4;4;yellow
4;29;5,883179;1;3;3;yellow
4;30;6,383179;1;1;1;yellow
4;31;7,083244;1;4;4;yellow
4;32;7,566505;1;2;2;yellow
5;33;3,900246;1;2;2;blue
5;34;4,400055;1;3;3;blue
5;35;5,000008;1;1;1;blue
5;36;5,550194;1;4;4;blue
5;37;6,11673;1;3;3;blue
5;38;6,699867;1;1;1;blue
5;39;7,233093;1;2;2;blue
5;40;7,633247;1;4;4;blue
6;41;3,899902;1;2;2;yellow
6;42;4,450157;1;1;1;yellow
6;43;4,933792;1;4;4;yellow
6;44;5,499985;1;1;1;yellow
6;45;6,11673;1;3;3;yellow
6;46;6,650108;1;2;2;yellow
6;47;7,166824;1;4;4;yellow
6;48;7,599747;1;3;3;yellow
7;49;3,950409;1;2;2;blue
7;50;4,366959;1;3;3;blue
7;51;4,817177;1;1;1;blue
7;52;5,267006;1;4;4;blue
7;53;5,700119;1;3;3;blue
7;54;6,283859;1;1;1;blue
7;55;7,066971;1;2;2;blue
7;56;7,550339;1;4;4;blue
8;57;3,933449;1;2;2;blue
8;58;4,333336;1;3;3;blue
8;59;5,099892;1;1;1;blue
8;60;5,56691;1;4;4;blue
8;61;6,066658;1;3;3;blue
8;62;7,016624;1;1;1;blue
8;63;7,650009;1;2;2;blue
8;64;8,083115;1;4;4;blue
9;65;4,23317;1;3;3;green
9;66;4,633331;1;4;4;green
9;67;5,166672;1;2;2;green
9;68;5,700226;1;1;1;green
9;69;6,400101;1;3;3;green
9;70;7,049973;1;2;2;green
9;71;7,250061;0;4;3;green
9;72;7,55014;0;1;4;green
10;73;3,983231;1;2;2;blue
10;74;4,399872;1;3;3;blue
10;75;4,899902;1;1;1;blue
10;76;5,466736;1;4;4;blue
10;77;5,966721;1;3;3;blue
10;78;6,583099;1;1;1;blue
10;79;6,699905;0;2;3;blue
10;80;7,79982;1;4;4;blue
11;81;3,899979;1;2;2;blue
11;82;4,366562;1;3;3;blue
11;83;4,900253;1;1;1;blue
11;84;5,516602;1;4;4;blue
11;85;5,966614;1;3;3;blue
11;86;6,516571;1;1;1;blue
11;87;7,133453;1;2;2;blue
11;88;7,700134;1;4;4;blue
12;89;5,233307;1;3;3;green
12;90;5,699875;1;4;4;green
12;91;6,183044;1;2;2;green
12;92;6,7164;1;1;1;green
12;93;7,40004;1;3;3;green
12;94;7,9832;1;2;2;green
12;95;8,516708;1;4;4;green
12;96;9,11647;1;1;1;green
13;97;3,849945;1;2;2;blue
13;98;4,266785;1;3;3;blue
13;99;4,766739;1;1;1;blue
13;100;5,316895;1;4;4;blue
13;101;5,800018;1;3;3;blue
13;102;6,316727;1;1;1;blue
13;103;6,834;1;2;2;blue
13;104;7,266464;1;4;4;blue
14;105;4,183899;1;2;2;blue
14;106;4,616776;1;3;3;blue
14;107;5,117081;1;1;1;blue
14;108;5,666855;1;4;4;blue
14;109;6,116776;1;3;3;blue
14;110;6,683517;1;1;1;blue
14;111;7,300415;1;2;2;blue
14;112;7,850311;1;4;4;blue
15;113;4,316422;1;3;3;green
15;114;4,716614;1;4;4;green
15;115;5,216431;1;2;2;green
15;116;5,766693;1;1;1;green
15;117;6,366531;1;3;3;green
15;118;6,899719;1;2;2;green
15;119;7,767044;1;4;4;green
15;120;8,066711;0;1;3;green
16;121;3,84964;1;1;1;yellow
