BlockNumber;EventNumber;Time Since Block start;isHit;target;pressed;sequence
1;1;5,283209;1;2;2;yellow
1;2;5,634371;1;1;1;yellow
1;3;6,733332;1;4;4;yellow
1;4;8,265921;1;1;1;yellow
1;5;8,666964;1;3;3;yellow
1;6;9,199804;1;2;2;yellow
1;7;9,800722;1;4;4;yellow
1;8;10,55017;1;3;3;yellow
2;9;8,100868;1;2;2;blue
2;10;9,183205;1;3;3;blue
2;11;9,816677;1;1;1;blue
2;12;10,43204;1;4;4;blue
2;13;10,89968;1;3;3;blue
2;14;12,08305;1;1;1;blue
2;15;12,63305;1;2;2;blue
2;16;13,51652;1;4;4;blue
3;17;4,233677;1;2;2;blue
3;18;4,84996;1;3;3;blue
3;19;6,082516;1;1;1;blue
3;20;6,583916;1;4;4;blue
3;21;7,382851;1;3;3;blue
3;22;8,299179;1;1;1;blue
3;23;8,966728;1;2;2;blue
3;24;10,03214;1;4;4;blue
4;25;4,31707;1;2;2;blue
4;26;4,91748;1;3;3;blue
4;27;5,517799;1;1;1;blue
4;28;6,434425;1;4;4;blue
4;29;6,984489;1;3;3;blue
4;30;7,900734;1;1;1;blue
4;31;8,599403;1;2;2;blue
4;32;9,284218;1;4;4;blue
5;33;4,266899;1;2;2;blue
5;34;4,866219;1;3;3;blue
5;35;5,449913;1;1;1;blue
5;36;6,316383;1;4;4;blue
5;37;7,049889;1;3;3;blue
5;38;7,865036;1;1;1;blue
5;39;8,466469;1;2;2;blue
5;40;9,233315;1;4;4;blue
6;41;4,4496;1;2;2;blue
6;42;5,016571;1;3;3;blue
6;43;5,599434;1;1;1;blue
6;44;6,416893;1;4;4;blue
6;45;7,066528;1;3;3;blue
6;46;7,98291;1;1;1;blue
6;47;8,582764;1;2;2;blue
6;48;9,200432;1;4;4;blue
7;49;4,615753;1;1;1;yellow
7;50;5,483017;1;3;3;yellow
7;51;6,465858;1;4;4;yellow
7;52;7,299629;1;2;2;yellow
7;53;8,349335;1;4;4;yellow
7;54;9,366478;1;1;1;yellow
7;55;10,21648;1;3;3;yellow
7;56;10,69921;1;2;2;yellow
8;57;4,399811;1;2;2;yellow
8;58;5,517006;1;1;1;yellow
8;59;6,350357;1;3;3;yellow
8;60;6,949669;1;4;4;yellow
8;61;7,949776;1;2;2;yellow
8;62;8,816666;1;4;4;yellow
8;63;9,616554;1;1;1;yellow
8;64;10,38382;0;2;3;yellow
9;65;4,49971;1;3;3;green
9;66;5,199242;1;4;4;green
9;67;6,39959;1;2;2;green
9;68;7,549294;1;1;1;green
9;69;8,533043;1;3;3;green
9;70;9,483856;1;2;2;green
9;71;10,50007;1;4;4;green
9;72;11,29948;1;1;1;green
10;73;4,565903;1;3;3;green
10;74;5,250015;1;4;4;green
10;75;5,983337;1;2;2;green
10;76;6,716476;1;1;1;green
10;77;7,666397;1;3;3;green
10;78;8,383698;1;2;2;green
10;79;9,03212;1;4;4;green
10;80;9,749969;1;1;1;green
11;81;4,216965;1;2;2;blue
11;82;4,816696;1;3;3;blue
