BlockNumber;EventNumber;Time Since Block start;isHit;target;pressed;sequence
1;1;4,299782;1;2;2;yellow
1;2;4,766861;1;3;3;yellow
1;3;5,149734;1;1;1;yellow
1;4;5,432991;1;4;4;yellow
1;5;5,700386;1;3;3;yellow
1;6;6,683212;1;1;1;yellow
1;7;7,433067;1;2;2;yellow
1;8;7,84967;1;4;4;yellow
2;9;4,63401;1;2;2;blue
2;10;5,050247;1;3;3;blue
2;11;5,383385;1;1;1;blue
2;12;5,833344;1;4;4;blue
2;13;6,266563;1;3;3;blue
2;14;6,716728;1;1;1;blue
2;15;7,150269;1;2;2;blue
2;16;7,43335;1;4;4;blue
3;17;4,300117;1;2;2;blue
3;18;4,766655;1;3;3;blue
3;19;5,100311;1;1;1;blue
3;20;5,467438;1;4;4;blue
3;21;5,96656;1;3;3;blue
3;22;6,450378;1;1;1;blue
3;23;6,850685;1;2;2;blue
3;24;7,166847;1;4;4;blue
4;25;4,532883;1;1;1;yellow
4;26;4,999908;1;3;3;yellow
4;27;5,533638;1;4;4;yellow
4;28;6,13308;1;2;2;yellow
4;29;6,616295;1;4;4;yellow
4;30;7,10009;1;1;1;yellow
4;31;7,833313;1;3;3;yellow
4;32;8,250061;1;2;2;yellow
5;33;4,499878;0;3;2;green
5;34;4,949326;0;4;3;green
5;35;6,016586;1;2;2;green
5;36;6,532913;1;1;1;green
5;37;7,38353;1;3;3;green
5;38;8,349442;1;2;2;green
5;39;8,816376;1;4;4;green
5;40;9,199905;1;1;1;green
6;41;4,166336;1;2;2;yellow
6;42;4,600098;1;3;3;yellow
6;43;4,966965;1;1;1;yellow
6;44;5,399643;1;4;4;yellow
6;45;6,166214;1;3;3;yellow
6;46;6,616379;1;1;1;yellow
6;47;7,000076;1;2;2;yellow
6;48;7,316895;1;4;4;yellow
7;49;4,232742;1;1;1;yellow
7;50;4,665924;1;2;2;yellow
7;51;5,06604;1;4;4;yellow
7;52;5,48262;1;1;1;yellow
7;53;6,13266;1;3;3;yellow
7;54;6,73233;1;4;4;yellow
7;55;7,499191;1;2;2;yellow
7;56;7,849365;1;3;3;yellow
8;57;4,083313;1;2;2;blue
8;58;4,449799;1;3;3;blue
8;59;4,850189;1;1;1;blue
8;60;5,283035;1;4;4;blue
8;61;5,733322;1;3;3;blue
8;62;6,283249;1;1;1;blue
8;63;6,716476;1;2;2;blue
8;64;6,983871;1;4;4;blue
9;65;4,249634;1;4;4;yellow
9;66;4,782745;1;1;1;yellow
9;67;5,249908;1;3;3;yellow
9;68;5,699417;1;2;2;yellow
9;69;6,133148;1;4;4;yellow
9;70;6,482452;1;3;3;yellow
9;71;7,115891;1;1;1;yellow
9;72;7,499161;1;2;2;yellow
10;73;4,400375;1;2;2;blue
10;74;4,883392;1;3;3;blue
10;75;5,250198;1;1;1;blue
10;76;5,666794;1;4;4;blue
10;77;6,083679;1;3;3;blue
10;78;6,516769;1;1;1;blue
10;79;6,900101;1;2;2;blue
10;80;7,133453;1;4;4;blue
11;81;4,200546;1;2;2;blue
11;82;5,450241;1;3;3;blue
11;83;5,950058;1;1;1;blue
11;84;6,41658;1;4;4;blue
11;85;6,799896;1;3;3;blue
11;86;7,183228;1;1;1;blue
11;87;7,500076;1;2;2;blue
11;88;7,766922;1;4;4;blue
12;89;4,116318;1;2;2;blue
12;90;4,583435;1;3;3;blue
12;91;4,949387;1;1;1;blue
12;92;5,416336;1;4;4;blue
12;93;5,832932;1;3;3;blue
12;94;6,183014;1;1;1;blue
12;95;6,516037;1;2;2;blue
12;96;6,699722;1;4;4;blue
13;97;4,89975;1;3;3;green
13;98;5,38324;1;4;4;green
13;99;5,933228;1;2;2;green
13;100;6,366943;1;1;1;green
13;101;7,84964;1;3;3;green
13;102;8,483414;1;2;2;green
13;103;8,833008;1;4;4;green
13;104;9,150131;1;1;1;green
14;105;3,966217;1;2;2;blue
14;106;4,449341;1;3;3;blue
14;107;4,832932;1;1;1;blue
14;108;5,349472;1;4;4;blue
14;109;5,799683;1;3;3;blue
14;110;6,266251;1;1;1;blue
14;111;6,649261;1;2;2;blue
14;112;6,866196;1;4;4;blue
15;113;5,000488;1;3;3;green
15;114;5,533493;1;4;4;green
15;115;6,117249;1;2;2;green
15;116;6,633774;1;1;1;green
15;117;7,383331;1;3;3;green
15;118;7,85054;1;2;2;green
15;119;8,199921;1;4;4;green
15;120;8,583954;1;1;1;green
16;121;5,34967;1;3;3;green
16;122;5,765747;1;4;4;green
16;123;6,332642;1;2;2;green
16;124;6,799698;1;1;1;green
16;125;7,23291;0;3;4;green
16;126;8,449173;1;2;2;green
16;127;9,232803;1;4;4;green
16;128;9,632645;1;1;1;green
17;129;4,250275;1;2;2;blue
17;130;4,783173;1;3;3;blue
17;131;5,216675;1;1;1;blue
17;132;5,633865;1;4;4;blue
17;133;6,067108;1;3;3;blue
17;134;6,466537;1;1;1;blue
17;135;6,816452;1;2;2;blue
17;136;7,033508;1;4;4;blue
18;137;3,899765;1;2;2;blue
18;138;4,300217;1;3;3;blue
18;139;4,616608;1;1;1;blue
18;140;4,983582;1;4;4;blue
18;141;5,366196;1;3;3;blue
18;142;5,750076;1;1;1;blue
18;143;6,08287;1;2;2;blue
18;144;6,283234;1;4;4;blue
19;145;4,000336;1;2;2;blue
19;146;4,36702;1;3;3;blue
19;147;4,733047;1;1;1;blue
19;148;5,099808;1;4;4;blue
19;149;5,433304;1;3;3;blue
19;150;5,916321;1;1;1;blue
19;151;6,266602;1;2;2;blue
19;152;6,633133;1;4;4;blue
20;153;4,033173;1;2;2;blue
20;154;4,499969;1;3;3;blue
20;155;4,883072;1;1;1;blue
20;156;5,200409;1;4;4;blue
20;157;5,533463;1;3;3;blue
20;158;5,83371;1;1;1;blue
20;159;6,116516;1;2;2;blue
20;160;6,350266;1;4;4;blue
21;161;4,099228;1;2;2;blue
21;162;4,416214;1;3;3;blue
21;163;4,716354;1;1;1;blue
21;164;5,049408;1;4;4;blue
21;165;5,316055;1;3;3;blue
21;166;5,616043;1;1;1;blue
21;167;5,883255;1;2;2;blue
21;168;6,099533;1;4;4;blue
22;169;5,283661;1;2;2;yellow
22;170;5,700195;1;1;1;yellow
22;171;6,283112;1;3;3;yellow
22;172;6,666931;1;4;4;yellow
22;173;7,683502;1;2;2;yellow
22;174;8,200378;1;4;4;yellow
22;175;8,683624;1;1;1;yellow
22;176;9,033356;1;2;2;yellow
23;177;4,233337;1;2;2;blue
23;178;4,616455;1;3;3;blue
23;179;4,983582;1;1;1;blue
23;180;5,433228;1;4;4;blue
23;181;5,816833;1;3;3;blue
23;182;6,199768;1;1;1;blue
23;183;6,599945;1;2;2;blue
23;184;6,850037;1;4;4;blue
24;185;4,600159;1;2;2;yellow
24;186;5,049774;1;1;1;yellow
24;187;5,666718;1;3;3;yellow
24;188;6,049622;1;4;4;yellow
24;189;6,516998;1;2;2;yellow
24;190;6,999603;1;4;4;yellow
24;191;7,450317;1;1;1;yellow
24;192;7,91629;1;2;2;yellow
25;193;4,616608;1;2;2;blue
25;194;5,083282;1;3;3;blue
25;195;5,4841;1;1;1;blue
25;196;5,900482;1;4;4;blue
25;197;6,266541;1;3;3;blue
25;198;6,717041;1;1;1;blue
25;199;7,050049;1;2;2;blue
25;200;7,333252;1;4;4;blue
26;201;4,050049;1;2;2;blue
26;202;4,400757;1;3;3;blue
26;203;4,750305;1;1;1;blue
26;204;5,133789;1;4;4;blue
26;205;5,46698;1;3;3;blue
26;206;5,800079;1;1;1;blue
26;207;6,067139;1;2;2;blue
26;208;6,334045;1;4;4;blue
27;209;4,033051;1;2;2;blue
27;210;4,449402;1;3;3;blue
27;211;4,78299;1;1;1;blue
27;212;5,215942;1;4;4;blue
27;213;5,516754;1;3;3;blue
27;214;5,91626;1;1;1;blue
27;215;6,282715;1;2;2;blue
27;216;6,616547;1;4;4;blue
28;217;3,949463;1;2;2;blue
28;218;4,483582;1;3;3;blue
28;219;4,916382;1;1;1;blue
28;220;5,332916;1;4;4;blue
28;221;5,682648;1;3;3;blue
28;222;6,050079;1;1;1;blue
28;223;6,332886;1;2;2;blue
28;224;6,616119;1;4;4;blue
29;225;4,183411;1;4;4;yellow
29;226;4,733429;1;1;1;yellow
29;227;5,533112;1;3;3;yellow
29;228;6,049744;1;2;2;yellow
29;229;6,433197;1;4;4;yellow
29;230;6,849915;1;3;3;yellow
29;231;7,299774;1;1;1;yellow
29;232;7,617004;1;2;2;yellow
30;233;4,84964;1;3;3;green
30;234;5,266602;1;4;4;green
