BlockNumber;EventNumber;Time Since Block start;isHit;target;pressed;sequence
1;1;4,150558;1;2;2;blue
1;2;4,516342;1;3;3;blue
1;3;5,133579;1;1;1;blue
1;4;5,516724;1;4;4;blue
1;5;6,033184;1;3;3;blue
1;6;6,483486;1;1;1;blue
1;7;6,816895;1;2;2;blue
1;8;7,083607;1;4;4;blue
2;9;4,083252;1;2;2;blue
2;10;4,449848;1;3;3;blue
2;11;4,782749;1;1;1;blue
2;12;5,083298;1;4;4;blue
2;13;6,166325;1;3;3;blue
2;14;6,499939;1;1;1;blue
2;15;6,79966;1;2;2;blue
2;16;7,066154;1;4;4;blue
3;17;3,933228;1;3;3;green
3;18;4,283737;1;4;4;green
3;19;4,700478;1;2;2;green
3;20;5,066734;1;1;1;green
3;21;5,899948;1;3;3;green
3;22;6,666512;1;2;2;green
3;23;7,133522;1;4;4;green
3;24;7,416573;1;1;1;green
4;25;3,949745;1;3;3;green
4;26;4,266518;1;4;4;green
4;27;4,749954;1;2;2;green
4;28;5,083565;1;1;1;green
4;29;5,783707;1;3;3;green
4;30;6,316879;1;2;2;green
4;31;6,750336;1;4;4;green
4;32;7,083649;1;1;1;green
5;33;4,250008;1;2;2;yellow
5;34;4,700188;1;1;1;yellow
5;35;5,150429;1;4;4;yellow
5;36;5,583496;1;1;1;yellow
5;37;6,149582;1;3;3;yellow
5;38;6,666794;1;2;2;yellow
5;39;7,183533;1;4;4;yellow
5;40;7,933235;1;3;3;yellow
6;41;3,915993;1;2;2;blue
6;42;4,349854;1;3;3;blue
6;43;4,716095;1;1;1;blue
6;44;5,116188;1;4;4;blue
6;45;5,699692;1;3;3;blue
6;46;6,099815;1;1;1;blue
6;47;6,449425;1;2;2;blue
6;48;6,716232;1;4;4;blue
7;49;3,883492;1;2;2;blue
7;50;4,26683;1;3;3;blue
7;51;4,649948;1;1;1;blue
7;52;5,000214;1;4;4;blue
7;53;5,600128;1;3;3;blue
7;54;6,016663;1;1;1;blue
7;55;6,333344;1;2;2;blue
7;56;6,650505;1;4;4;blue
8;57;3,93322;1;2;2;blue
8;58;4,350021;1;3;3;blue
8;59;4,69957;1;1;1;blue
8;60;5,032951;1;4;4;blue
8;61;5,782845;1;3;3;blue
8;62;6,800011;1;1;1;blue
8;63;7,149651;1;2;2;blue
8;64;7,483231;1;4;4;blue
9;65;3,816193;1;2;2;blue
9;66;4,183075;1;3;3;blue
9;67;4,499329;1;1;1;blue
9;68;4,799461;1;4;4;blue
9;69;5,783356;1;3;3;blue
9;70;6,267334;1;1;1;blue
9;71;6,632507;1;2;2;blue
9;72;6,882851;1;4;4;blue
10;73;3,883492;1;2;2;yellow
10;74;4,250313;1;3;3;yellow
10;75;4,533401;1;1;1;yellow
10;76;4,833809;1;4;4;yellow
10;77;6,183762;1;3;3;yellow
10;78;6,650063;1;1;1;yellow
10;79;6,967026;1;2;2;yellow
10;80;7,216591;1;4;4;yellow
11;81;3,816727;1;2;2;blue
11;82;4,266716;1;3;3;blue
11;83;4,600418;1;1;1;blue
11;84;4,917076;1;4;4;blue
11;85;6,283424;1;3;3;blue
11;86;6,800011;1;1;1;blue
11;87;7,166878;1;2;2;blue
11;88;7,483315;1;4;4;blue
12;89;3,866997;1;2;2;blue
12;90;4,216652;1;3;3;blue
12;91;4,550087;1;1;1;blue
12;92;4,866661;1;4;4;blue
12;93;5,649818;1;3;3;blue
12;94;6,333305;1;1;1;blue
12;95;6,667152;1;2;2;blue
12;96;6,933754;1;4;4;blue
13;97;4,033539;1;3;3;green
13;98;4,349411;1;4;4;green
13;99;4,83284;1;2;2;green
13;100;5,16684;1;1;1;green
13;101;5,882645;1;3;3;green
13;102;6,215912;1;2;2;green
13;103;6,516891;1;4;4;green
13;104;6,78302;1;1;1;green
14;105;3,966904;1;3;3;green
14;106;4,300217;1;4;4;green
14;107;4,816742;1;2;2;green
14;108;5,166519;1;1;1;green
14;109;5,816528;1;3;3;green
14;110;6,183807;1;2;2;green
14;111;6,499557;1;4;4;green
14;112;6,766586;1;1;1;green
15;113;3,949799;1;2;2;blue
15;114;4,349777;1;3;3;blue
15;115;4,649857;1;1;1;blue
15;116;4,949829;1;4;4;blue
15;117;5,683548;1;3;3;blue
15;118;6,44986;1;1;1;blue
15;119;6,783325;1;2;2;blue
15;120;7,033096;1;4;4;blue
16;121;3,966736;1;3;3;green
16;122;4,300507;1;4;4;green
16;123;4,683334;1;2;2;green
16;124;5,033752;1;1;1;green
16;125;6,649979;1;3;3;green
16;126;7,016556;1;2;2;green
16;127;7,349701;1;4;4;green
16;128;7,599838;1;1;1;green
17;129;3,883209;1;2;2;blue
17;130;4,266663;1;3;3;blue
17;131;4,617111;1;1;1;blue
17;132;4,933472;1;4;4;blue
17;133;5,800217;1;3;3;blue
17;134;6,350128;1;1;1;blue
17;135;6,717041;1;2;2;blue
17;136;6,983368;1;4;4;blue
18;137;4,450287;1;2;2;yellow
18;138;4,766754;1;1;1;yellow
18;139;5,149933;1;4;4;yellow
18;140;5,550583;1;1;1;yellow
18;141;6,233337;1;3;3;yellow
18;142;6,983231;1;2;2;yellow
18;143;7,417221;1;4;4;yellow
18;144;7,683884;0;3;1;yellow
19;145;3,999359;1;1;1;yellow
19;146;4,799881;1;3;3;yellow
19;147;5,216339;1;4;4;yellow
19;148;5,849258;1;2;2;yellow
19;149;6,349762;1;4;4;yellow
19;150;6,866592;1;1;1;yellow
19;151;7,516434;1;3;3;yellow
19;152;7,965973;1;2;2;yellow
20;153;4,233383;1;3;3;green
20;154;4,650742;1;4;4;green
20;155;5,10051;1;2;2;green
20;156;5,467178;1;1;1;green
20;157;6,366806;1;3;3;green
20;158;6,750168;1;2;2;green
20;159;7,200119;1;4;4;green
20;160;7,583588;1;1;1;green
21;161;4,100174;1;4;4;yellow
21;162;4,533051;1;3;3;yellow
21;163;4,883575;1;1;1;yellow
21;164;5,516235;1;4;4;yellow
21;165;5,983109;1;3;3;yellow
21;166;6,63298;1;1;1;yellow
21;167;7,382782;1;4;4;yellow
21;168;7,833069;1;2;2;yellow
22;169;4,633453;1;3;3;green
22;170;4,983246;1;4;4;green
22;171;5,46666;1;2;2;green
22;172;5,800186;1;1;1;green
22;173;6,499954;1;3;3;green
22;174;6,950104;1;2;2;green
22;175;7,30011;1;4;4;green
22;176;7,616394;1;1;1;green
23;177;4,083771;1;2;2;blue
23;178;4,566681;1;3;3;blue
23;179;4,916718;1;1;1;blue
23;180;5,283417;1;4;4;blue
23;181;6,01683;1;3;3;blue
23;182;6,600571;1;1;1;blue
23;183;7,016708;1;2;2;blue
23;184;7,333496;1;4;4;blue
24;185;3,867126;1;2;2;blue
24;186;4,233765;1;3;3;blue
24;187;4,733246;1;1;1;blue
24;188;5,016541;1;4;4;blue
24;189;5,649734;1;3;3;blue
24;190;6,133148;1;1;1;blue
24;191;6,483704;1;2;2;blue
24;192;6,83313;1;4;4;blue
25;193;3,833496;1;2;2;blue
25;194;4,233368;1;3;3;blue
25;195;4,63327;1;1;1;blue
25;196;4,966599;1;4;4;blue
25;197;5,633484;1;3;3;blue
25;198;6,116898;1;1;1;blue
25;199;6,433319;1;2;2;blue
25;200;6,716736;1;4;4;blue
26;201;4,116547;1;3;3;green
26;202;4,516418;1;4;4;green
26;203;4,983521;1;2;2;green
26;204;5,366806;1;1;1;green
26;205;6,083633;1;3;3;green
26;206;6,466492;1;2;2;green
26;207;6,866745;1;4;4;green
26;208;7,216492;1;1;1;green
27;209;3,967056;1;1;1;yellow
27;210;4,616699;1;3;3;yellow
27;211;5,199936;1;4;4;yellow
27;212;5,75;1;2;2;yellow
27;213;6,383591;1;4;4;yellow
27;214;6,900269;1;1;1;yellow
27;215;7,566864;1;3;3;yellow
27;216;8,050201;1;2;2;yellow
28;217;3,933624;1;1;1;yellow
28;218;4,499893;1;2;2;yellow
28;219;5,049911;1;4;4;yellow
28;220;5,516449;1;1;1;yellow
28;221;6,09967;1;3;3;yellow
28;222;6,649734;1;4;4;yellow
28;223;7,199799;1;2;2;yellow
28;224;7,583038;0;3;1;yellow
29;225;4,599915;1;2;2;blue
29;226;5,016693;1;3;3;blue
29;227;6,233521;1;1;1;blue
29;228;6,750488;1;4;4;blue
29;229;7,483337;1;3;3;blue
29;230;8,316589;1;1;1;blue
29;231;8,884064;1;2;2;blue
29;232;9,300568;1;4;4;blue
30;233;3,966156;1;2;2;blue
30;234;4,399567;1;3;3;blue
30;235;4,782898;1;1;1;blue
30;236;5,199341;1;4;4;blue
30;237;5,966248;1;3;3;blue
30;238;6,449158;1;1;1;blue
30;239;6,849396;1;2;2;blue
30;240;7,249298;1;4;4;blue
31;241;4,016663;1;2;2;blue
31;242;4,700195;1;3;3;blue
31;243;5,066742;1;1;1;blue
31;244;5,5;1;4;4;blue
31;245;6,083252;1;3;3;blue
