BlockNumber;EventNumber;Time Since Block start;isHit;target;pressed;sequence
1;1;5,06662;1;2;2;blue
1;2;5,149887;1;3;3;blue
1;3;6,483238;1;1;1;blue
1;4;7,183304;1;4;4;blue
1;5;7,900024;1;3;3;blue
1;6;8,816582;1;1;1;blue
1;7;9,200035;0;2;1;blue
1;8;9,433281;0;4;2;blue
2;9;4,066628;1;2;2;yellow
2;10;4,683418;1;4;4;yellow
2;11;5,499771;1;1;1;yellow
2;12;6,183167;1;3;3;yellow
2;13;6,983292;1;4;4;yellow
2;14;8,183388;1;2;2;yellow
2;15;8,766693;1;3;3;yellow
2;16;9,583427;1;1;1;yellow
3;17;4,099785;1;1;1;yellow
3;18;4,649834;1;3;3;yellow
3;19;5,449715;1;4;4;yellow
3;20;6,366486;1;2;2;yellow
3;21;7,049583;1;4;4;yellow
3;22;8,032959;1;1;1;yellow
3;23;8,733017;1;3;3;yellow
3;24;9,449669;1;2;2;yellow
4;25;3,93354;1;4;4;yellow
4;26;4,433662;1;3;3;yellow
4;27;4,91674;1;1;1;yellow
4;28;5,616753;1;4;4;yellow
4;29;6,233406;1;3;3;yellow
4;30;6,783638;1;1;1;yellow
4;31;7,783424;1;4;4;yellow
4;32;8,399925;1;2;2;yellow
5;33;3,933472;1;2;2;blue
5;34;4,483383;1;3;3;blue
5;35;4,93335;1;1;1;blue
5;36;5,516922;1;4;4;blue
5;37;6,616684;1;3;3;blue
5;38;7,183716;1;1;1;blue
5;39;7,866623;1;2;2;blue
5;40;8,416672;1;4;4;blue
6;41;3,733337;1;2;2;yellow
6;42;4,316711;1;1;1;yellow
6;43;4,90007;1;4;4;yellow
6;44;6,033203;1;1;1;yellow
6;45;6,83342;1;3;3;yellow
6;46;7,399887;1;2;2;yellow
6;47;7,933395;1;4;4;yellow
6;48;9,54985;1;3;3;yellow
7;49;4,2668;1;2;2;blue
7;50;4,750137;1;3;3;blue
7;51;5,150528;1;1;1;blue
7;52;5,716965;1;4;4;blue
7;53;6,650345;1;3;3;blue
7;54;7,21669;1;1;1;blue
7;55;7,800095;1;2;2;blue
7;56;8,350037;1;4;4;blue
8;57;4,13356;1;2;2;blue
8;58;4,600143;1;3;3;blue
8;59;5,000076;1;1;1;blue
8;60;5,483398;1;4;4;blue
8;61;6,100128;1;3;3;blue
8;62;6,700073;1;1;1;blue
8;63;7,383301;1;2;2;blue
8;64;7,75;1;4;4;blue
9;65;4,199814;1;3;3;green
9;66;4,833252;1;4;4;green
9;67;5,849976;1;2;2;green
9;68;6,233337;1;1;1;green
9;69;6,950089;1;3;3;green
9;70;7,650177;1;2;2;green
9;71;8,350174;1;4;4;green
9;72;8,716522;1;1;1;green
10;73;4,466782;1;2;2;blue
10;74;4,900116;1;3;3;blue
10;75;5,350403;1;1;1;blue
10;76;5,899902;1;4;4;blue
10;77;6,616638;1;3;3;blue
10;78;7,483337;1;1;1;blue
10;79;8,000153;1;2;2;blue
10;80;8,383301;1;4;4;blue
11;81;4,06665;1;2;2;blue
11;82;4,516891;1;3;3;blue
11;83;4,966812;1;1;1;blue
11;84;5,450012;1;4;4;blue
11;85;5,983475;1;3;3;blue
11;86;6,566925;1;1;1;blue
11;87;6,999954;1;2;2;blue
11;88;7,333435;1;4;4;blue
12;89;4,016846;1;3;3;green
12;90;4,833511;1;4;4;green
12;91;5,399887;1;2;2;green
12;92;5,883316;1;1;1;green
12;93;6,533203;1;3;3;green
12;94;7,000092;1;2;2;green
12;95;8,166489;1;4;4;green
12;96;8,483276;1;1;1;green
13;97;3,999985;1;2;2;blue
