BlockNumber;EventNumber;Time Since Block start;isHit;target;pressed;sequence
1;1;4,149544;1;2;2;yellow
1;2;4,366508;1;3;3;yellow
1;3;4,783012;1;1;1;yellow
1;4;5,199577;1;4;4;yellow
1;5;6,099571;1;3;3;yellow
1;6;6,499588;1;1;1;yellow
1;7;6,799713;1;2;2;yellow
1;8;7,433044;1;4;4;yellow
2;9;4,016426;1;2;2;blue
2;10;4,166832;1;3;3;blue
2;11;4,883629;1;1;1;blue
2;12;5,317001;0;4;3;blue
2;13;6,383232;1;3;3;blue
2;14;6,916588;1;1;1;blue
2;15;7,233536;1;2;2;blue
2;16;7,583313;1;4;4;blue
3;17;3,983261;1;2;2;blue
3;18;4,150139;1;3;3;blue
3;19;4,500046;1;1;1;blue
3;20;4,849876;1;4;4;blue
3;21;5,166763;1;3;3;blue
3;22;5,533455;1;1;1;blue
3;23;5,816582;1;2;2;blue
3;24;6,149933;1;4;4;blue
4;25;3,750137;1;1;1;yellow
4;26;4,54998;1;3;3;yellow
4;27;4,833389;1;4;4;yellow
4;28;5,14994;1;2;2;yellow
4;29;5,63327;1;4;4;yellow
4;30;5,950142;1;1;1;yellow
4;31;6,583725;1;3;3;yellow
4;32;7,000008;1;2;2;yellow
5;33;4,233192;1;3;3;green
5;34;4,466614;1;4;4;green
5;35;4,89994;1;2;2;green
5;36;5,216576;1;1;1;green
5;37;5,700027;1;3;3;green
5;38;6,083382;1;2;2;green
5;39;6,466721;1;4;4;green
5;40;6,733376;1;1;1;green
6;41;3,833054;1;2;2;yellow
6;42;4,049782;1;3;3;yellow
6;43;4,349678;1;1;1;yellow
6;44;4,683189;1;4;4;yellow
6;45;4,983124;1;3;3;yellow
6;46;5,566414;1;1;1;yellow
6;47;5,899712;1;2;2;yellow
6;48;6,283272;1;4;4;yellow
7;49;3,849861;1;1;1;yellow
7;50;4,133179;1;2;2;yellow
7;51;4,516838;1;4;4;yellow
7;52;4,933205;1;1;1;yellow
7;53;5,500053;1;3;3;yellow
7;54;5,933334;1;4;4;yellow
7;55;6,399773;1;2;2;yellow
7;56;6,799927;1;3;3;yellow
8;57;3,749786;1;2;2;blue
8;58;3,883301;1;3;3;blue
8;59;4,25013;1;1;1;blue
8;60;4,599854;1;4;4;blue
8;61;4,916672;1;3;3;blue
