BlockNumber;EventNumber;Time Since Block start;isHit;target;pressed;sequence
1;1;4,533417;1;2;2;yellow
1;2;5,599731;1;1;1;yellow
1;3;6,483047;1;4;4;yellow
1;4;8,2836;1;1;1;yellow
1;5;9,416267;1;3;3;yellow
1;6;10,2662;1;2;2;yellow
1;7;11,21623;1;4;4;yellow
1;8;12,6664;1;3;3;yellow
2;9;4,399864;1;2;2;blue
2;10;5,216667;1;3;3;blue
2;11;6,799713;1;1;1;blue
2;12;7,433456;1;4;4;blue
2;13;8,783104;1;3;3;blue
2;14;9,63369;1;1;1;blue
2;15;10,99996;1;2;2;blue
2;16;12,03298;1;4;4;blue
3;17;4,35006;1;2;2;blue
3;18;5,133377;1;3;3;blue
3;19;6,250175;1;1;1;blue
3;20;7,150513;1;4;4;blue
3;21;8,566925;1;3;3;blue
3;22;9,550316;1;1;1;blue
3;23;10,98357;1;2;2;blue
3;24;11,96703;1;4;4;blue
4;25;4,700272;1;2;2;blue
4;26;5,466614;1;3;3;blue
4;27;6,433006;1;1;1;blue
4;28;7,132713;1;4;4;blue
4;29;8,782852;1;3;3;blue
4;30;9,549614;1;1;1;blue
4;31;10,64974;1;2;2;blue
4;32;11,5163;1;4;4;blue
5;33;4,383369;1;2;2;blue
5;34;5,166344;1;3;3;blue
5;35;6,316879;1;1;1;blue
5;36;7,000053;1;4;4;blue
5;37;8,349945;1;3;3;blue
5;38;9,117157;1;1;1;blue
5;39;10,14993;1;2;2;blue
5;40;11,63361;1;4;4;blue
6;41;4,499733;1;2;2;blue
6;42;5,366753;1;3;3;blue
6;43;6,450066;1;1;1;blue
6;44;7,082954;1;4;4;blue
6;45;9,399529;1;3;3;blue
6;46;10,18311;1;1;1;blue
6;47;11,49986;1;2;2;blue
6;48;12,31644;1;4;4;blue
7;49;4,967087;1;1;1;yellow
7;50;5,899704;1;3;3;yellow
7;51;7,249725;1;4;4;yellow
7;52;8,266464;1;2;2;yellow
7;53;9,683105;1;4;4;yellow
7;54;10,25005;1;1;1;yellow
7;55;11,36696;1;3;3;yellow
7;56;12,01651;1;2;2;yellow
8;57;4,566605;1;2;2;yellow
8;58;5,300476;1;1;1;yellow
8;59;7,049698;1;3;3;yellow
8;60;7,83316;1;4;4;yellow
8;61;9,416931;1;2;2;yellow
8;62;10,45016;1;4;4;yellow
8;63;11,44978;1;1;1;yellow
8;64;12,34975;1;2;2;yellow
9;65;4,683563;0;3;2;green
9;66;7,767395;1;4;4;green
9;67;8,716614;1;2;2;green
9;68;9,649887;1;1;1;green
9;69;11,2664;1;3;3;green
9;70;12,83388;1;2;2;green
9;71;13,78345;1;4;4;green
9;72;14,48376;1;1;1;green
10;73;5,733307;1;3;3;green
10;74;6,632904;1;4;4;green
10;75;8,083252;1;2;2;green
10;76;8,732681;1;1;1;green
10;77;10,53311;1;3;3;green
10;78;11,21602;1;2;2;green
10;79;12,54938;1;4;4;green
10;80;13,26654;1;1;1;green
11;81;4,550125;1;2;2;blue
11;82;6,132813;1;3;3;blue
11;83;7,516235;1;1;1;blue
11;84;8,18306;1;4;4;blue
11;85;9,64949;1;3;3;blue
11;86;10,9328;1;1;1;blue
11;87;12,41606;1;2;2;blue
11;88;13,34933;1;4;4;blue
12;89;5,233429;1;3;3;green
12;90;6,016495;1;4;4;green
12;91;7,250046;1;2;2;green
12;92;7,933136;1;1;1;green
12;93;9,800217;1;3;3;green
12;94;10,43321;1;2;2;green
12;95;11,98317;1;4;4;green
12;96;12,74988;1;1;1;green
13;97;4,583359;1;2;2;blue
13;98;5,383499;1;3;3;blue
13;99;6,850189;1;1;1;blue
13;100;7,633575;1;4;4;blue
13;101;9,633362;1;3;3;blue
13;102;10,39999;1;1;1;blue
13;103;10,73334;0;2;1;blue
13;104;12,60014;1;4;4;blue
14;105;4,783234;1;2;2;blue
14;106;5,599869;1;3;3;blue
14;107;7,04982;1;1;1;blue
14;108;7,816635;1;4;4;blue
14;109;9,850403;1;3;3;blue
14;110;10,5999;1;1;1;blue
14;111;12,13315;1;2;2;blue
14;112;12,86635;1;4;4;blue
15;113;6,183548;1;3;3;green
15;114;6,933823;1;4;4;green
15;115;8,750153;1;2;2;green
15;116;9,366577;1;1;1;green
15;117;10,96739;1;3;3;green
15;118;11,73332;1;2;2;green
15;119;13,48329;1;4;4;green
15;120;14,3167;1;1;1;green
16;121;4,500061;1;2;2;blue
16;122;5,366455;1;3;3;blue
16;123;6,816711;1;1;1;blue
16;124;7,549896;1;4;4;blue
16;125;10,63315;0;3;2;blue
16;126;13,30042;0;1;2;blue
16;127;16,25012;1;2;2;blue
16;128;17,41653;1;4;4;blue
17;129;4,516632;1;2;2;blue
17;130;5,33313;1;3;3;blue
17;131;6,783173;1;1;1;blue
17;132;7,466675;1;4;4;blue
17;133;9,166382;1;3;3;blue
17;134;10,53314;1;1;1;blue
17;135;11,63318;1;2;2;blue
17;136;12,3165;1;4;4;blue
18;137;4,933624;1;3;3;green
18;138;5,650269;1;4;4;green
18;139;7;1;2;2;green
18;140;7,733337;1;1;1;green
18;141;9,683258;1;3;3;green
18;142;10,4165;1;2;2;green
18;143;11,88367;1;4;4;green
18;144;12,65048;1;1;1;green
19;145;4,649353;1;2;2;blue
19;146;5,416107;1;3;3;blue
19;147;6,59967;1;1;1;blue
19;148;7,315887;1;4;4;blue
19;149;9,165985;1;3;3;blue
19;150;11,366;1;1;1;blue
19;151;12,76587;1;2;2;blue
19;152;13,39923;1;4;4;blue
20;153;4,483734;1;2;2;blue
20;154;5,233704;1;3;3;blue
20;155;6,633331;1;1;1;blue
20;156;7,400055;1;4;4;blue
20;157;8,950043;1;3;3;blue
20;158;9,966766;1;1;1;blue
20;159;11,46671;1;2;2;blue
20;160;12,13379;1;4;4;blue
21;161;4,716522;1;2;2;blue
21;162;5,466309;1;3;3;blue
21;163;6,766632;1;1;1;blue
21;164;7,532745;1;4;4;blue
21;165;9,249268;1;3;3;blue
21;166;9,99942;1;1;1;blue
21;167;11,53302;1;2;2;blue
21;168;12,2663;1;4;4;blue
22;169;4,499969;1;2;2;blue
22;170;5,283325;1;3;3;blue
22;171;6,433105;1;1;1;blue
22;172;7,233063;1;4;4;blue
22;173;8,733063;1;3;3;blue
22;174;9,433136;1;1;1;blue
22;175;11,08362;1;2;2;blue
22;176;11,74963;1;4;4;blue
23;177;5,31665;1;1;1;yellow
23;178;6,266846;1;3;3;yellow
23;179;7,783234;1;4;4;yellow
23;180;8,718262;1;2;2;yellow
23;181;10,68347;1;4;4;yellow
23;182;11,60001;1;1;1;yellow
23;183;13,36694;1;3;3;yellow
23;184;13,96664;1;2;2;yellow
24;185;4,667358;1;4;4;yellow
24;186;5,399963;1;3;3;yellow
24;187;6,733673;1;1;1;yellow
24;188;7,450592;1;4;4;yellow
24;189;9,216797;1;3;3;yellow
24;190;9,900574;1;1;1;yellow
24;191;11,64972;1;4;4;yellow
24;192;12,40039;1;2;2;yellow
25;193;4,949524;1;2;2;yellow
25;194;5,799469;1;4;4;yellow
25;195;7,08316;1;1;1;yellow
25;196;7,933044;1;3;3;yellow
25;197;10,94971;1;4;4;yellow
25;198;12,16663;1;2;2;yellow
25;199;13,98279;1;3;3;yellow
25;200;14,69937;1;1;1;yellow
26;201;4,549927;1;2;2;blue
26;202;5,316711;1;3;3;blue
26;203;6,867065;1;1;1;blue
26;204;7,583282;1;4;4;blue
26;205;9,134125;1;3;3;blue
26;206;9,850067;1;1;1;blue
26;207;11,33319;1;2;2;blue
26;208;12,10068;1;4;4;blue
27;209;6,415985;1;2;2;yellow
27;210;7,149323;1;3;3;yellow
27;211;8,166046;1;1;1;yellow
27;212;8,882416;1;4;4;yellow
27;213;10,39914;1;3;3;yellow
27;214;11,16644;1;1;1;yellow
27;215;12,74921;1;2;2;yellow
27;216;13,46658;1;4;4;yellow
28;217;4,865967;1;2;2;blue
28;218;5,632324;1;3;3;blue
28;219;6,83255;1;1;1;blue
28;220;7,482178;1;4;4;blue
28;221;8,99939;1;3;3;blue
28;222;9,699036;1;1;1;blue
28;223;11,19904;1;2;2;blue
28;224;11,86588;1;4;4;blue
29;225;4,83371;1;2;2;blue
29;226;5,616852;1;3;3;blue
29;227;6,466949;1;1;1;blue
29;228;7,083344;1;4;4;blue
29;229;8,716644;1;3;3;blue
29;230;9,483307;1;1;1;blue
29;231;10,56671;1;2;2;blue
29;232;11,3501;1;4;4;blue
30;233;4,533295;1;2;2;blue
30;234;5,216858;1;3;3;blue
30;235;7,499817;1;1;1;blue
30;236;8,716553;1;4;4;blue
30;237;10,33356;1;3;3;blue
30;238;11,08295;1;1;1;blue
30;239;12,6496;1;2;2;blue
30;240;13,31638;1;4;4;blue
31;241;4,666779;1;2;2;blue
31;242;5,433441;1;3;3;blue
31;243;6,38327;1;1;1;blue
31;244;7,116974;1;4;4;blue
31;245;9,16684;1;3;3;blue
31;246;10,53323;1;1;1;blue
31;247;11,68338;1;2;2;blue
