BlockNumber;EventNumber;Time Since Block start;isHit;target;pressed;sequence
1;1;3,582458;1;2;2;blue
1;2;3,716019;1;3;3;blue
1;3;3,882572;1;1;1;blue
1;4;4,016441;1;4;4;blue
1;5;4,116055;1;3;3;blue
1;6;4,249523;1;1;1;blue
1;7;4,332485;1;2;2;blue
1;8;4,416714;1;4;4;blue
2;9;3,832996;1;2;2;yellow
2;10;3,982464;1;4;4;yellow
2;11;4,58263;1;1;1;yellow
2;12;4,899609;1;3;3;yellow
2;13;5,132675;1;4;4;yellow
2;14;5,816029;1;2;2;yellow
2;15;6,032528;1;3;3;yellow
2;16;6,199093;1;1;1;yellow
3;17;4,583736;1;1;1;yellow
3;18;4,850155;1;3;3;yellow
3;19;5,066555;1;4;4;yellow
3;20;5,433598;1;2;2;yellow
3;21;5,567581;1;4;4;yellow
3;22;5,800484;1;1;1;yellow
3;23;5,967327;1;3;3;yellow
3;24;6,1171;1;2;2;yellow
4;25;3,832962;1;4;4;yellow
4;26;3,916767;1;3;3;yellow
4;27;4,083248;1;1;1;yellow
4;28;4,29995;1;4;4;yellow
4;29;4,366199;1;3;3;yellow
4;30;4,516579;1;1;1;yellow
4;31;4,69957;1;4;4;yellow
4;32;4,799797;1;2;2;yellow
5;33;3,850212;1;2;2;blue
5;34;3,966194;1;3;3;blue
5;35;4,150398;1;1;1;blue
5;36;4,266388;1;4;4;blue
5;37;4,332939;1;3;3;blue
5;38;4,500023;1;1;1;blue
5;39;4,582916;1;2;2;blue
5;40;4,666473;1;4;4;blue
6;41;3,816856;1;2;2;yellow
6;42;4,000069;1;1;1;yellow
6;43;4,19976;1;4;4;yellow
6;44;4,466682;1;1;1;yellow
6;45;4,716835;1;3;3;yellow
6;46;5,13401;1;2;2;yellow
6;47;5,799927;1;4;4;yellow
6;48;5,883217;1;3;3;yellow
7;49;3,716698;1;2;2;blue
7;50;3,833298;1;3;3;blue
7;51;4,016525;1;1;1;blue
7;52;4,099754;1;4;4;blue
7;53;4,166451;1;3;3;blue
7;54;4,31646;1;1;1;blue
7;55;4,399841;1;2;2;blue
7;56;4,48336;1;4;4;blue
8;57;3,666519;1;2;2;blue
8;58;3,767372;1;3;3;blue
8;59;3,933258;1;1;1;blue
8;60;4,033318;1;4;4;blue
8;61;4,149841;1;3;3;blue
8;62;4,249626;1;1;1;blue
8;63;4,350311;1;2;2;blue
8;64;4,450119;1;4;4;blue
9;65;3,583359;1;3;3;green
9;66;3,683525;1;4;4;green
9;67;3,849701;1;2;2;green
9;68;4,032875;1;1;1;green
9;69;4,300392;1;3;3;green
9;70;4,383301;1;2;2;green
9;71;4,533592;0;4;1;green
