BlockNumber;EventNumber;Time Since Block start;isHit;target;pressed;sequence
1;1;6,066479;1;2;2;blue
1;2;8,050259;1;3;3;blue
1;3;8,849964;1;1;1;blue
1;4;9,449917;1;4;4;blue
1;5;9,466553;0;3;1;blue
1;6;11,88327;1;1;1;blue
1;7;13,0164;1;2;2;blue
1;8;14,01651;1;4;4;blue
2;9;4,53334;1;2;2;blue
2;10;5,616642;1;3;3;blue
2;11;6,683262;1;1;1;blue
2;12;7,316826;1;4;4;blue
2;13;8,099876;1;3;3;blue
2;14;8,583237;1;1;1;blue
2;15;9,166695;1;2;2;blue
2;16;9,783234;1;4;4;blue
3;17;5,066605;1;3;3;green
3;18;5,783356;1;4;4;green
3;19;6,466621;1;2;2;green
3;20;7,15023;1;1;1;green
3;21;7,883224;1;3;3;green
3;22;8,483459;1;2;2;green
3;23;9,233429;1;4;4;green
3;24;10,01653;1;1;1;green
4;25;4,817017;1;3;3;green
4;26;5,866768;1;4;4;green
4;27;6,56691;1;2;2;green
4;28;7,500076;1;1;1;green
4;29;8,08342;1;3;3;green
4;30;8,866699;1;2;2;green
4;31;9,483803;1;4;4;green
4;32;10,61671;1;1;1;green
5;33;4,366913;1;2;2;yellow
5;34;5,416656;1;1;1;yellow
5;35;6,099907;1;4;4;yellow
5;36;7,133369;1;1;1;yellow
5;37;7,966812;1;3;3;yellow
5;38;8,649933;1;2;2;yellow
5;39;9,36676;1;4;4;yellow
5;40;9,849869;0;3;1;yellow
6;41;5,233315;1;2;2;blue
6;42;6,000198;1;3;3;blue
6;43;6,716667;1;1;1;blue
6;44;7,366768;1;4;4;blue
6;45;8,083374;1;3;3;blue
6;46;8,817223;1;1;1;blue
6;47;9,51683;1;2;2;blue
6;48;10,63342;1;4;4;blue
7;49;4,533051;1;2;2;blue
7;50;5,783958;1;3;3;blue
7;51;6,916306;1;1;1;blue
7;52;7,416313;1;4;4;blue
7;53;8,06649;1;3;3;blue
7;54;8,599846;1;1;1;blue
7;55;9,133224;1;2;2;blue
7;56;9,766464;1;4;4;blue
8;57;4,88356;1;2;2;blue
8;58;5,533333;1;3;3;blue
8;59;6,199974;1;1;1;blue
8;60;6,900352;1;4;4;blue
8;61;7,750092;1;3;3;blue
8;62;8,416893;1;1;1;blue
8;63;9,016754;1;2;2;blue
