BlockNumber;EventNumber;Time Since Block start;isHit;target;pressed;sequence
1;1;3,749546;1;2;2;yellow
1;2;3,816814;0;3;1;yellow
1;3;3,849567;0;1;3;yellow
1;4;4,133221;0;4;1;yellow
1;5;5,899494;1;3;3;yellow
1;6;6,449619;1;1;1;yellow
1;7;6,866123;1;2;2;yellow
1;8;7,0667;1;4;4;yellow
2;9;3,816147;1;2;2;blue
2;10;3,899353;1;3;3;blue
2;11;4,0662;1;1;1;blue
2;12;4,249779;1;4;4;blue
2;13;4,366081;1;3;3;blue
2;14;4,583336;1;1;1;blue
2;15;4,799995;1;2;2;blue
2;16;4,93309;1;4;4;blue
3;17;3,333054;1;2;2;blue
3;18;3,399559;1;3;3;blue
3;19;3,550285;1;1;1;blue
3;20;3,766975;1;4;4;blue
3;21;3,900017;1;3;3;blue
3;22;4,083145;1;1;1;blue
3;23;4,283371;1;2;2;blue
3;24;4,416527;1;4;4;blue
4;25;3,716972;1;1;1;yellow
4;26;4,016701;1;3;3;yellow
4;27;4,433777;1;4;4;yellow
4;28;4,783577;1;2;2;yellow
4;29;5,183037;1;4;4;yellow
4;30;5,533531;1;1;1;yellow
4;31;6,299805;1;3;3;yellow
4;32;6,58345;1;2;2;yellow
5;33;3,366585;1;3;3;green
5;34;3,483109;1;4;4;green
5;35;3,633476;1;2;2;green
5;36;3,866318;1;1;1;green
5;37;4,316185;1;3;3;green
5;38;4,48275;1;2;2;green
5;39;4,649834;1;4;4;green
5;40;4,71656;1;1;1;green
6;41;3,599609;0;2;3;yellow
6;42;4,200157;1;3;3;yellow
6;43;4,449638;1;1;1;yellow
6;44;4,783371;1;4;4;yellow
6;45;5,266815;1;3;3;yellow
6;46;5,516525;1;1;1;yellow
6;47;5,716568;1;2;2;yellow
6;48;5,883026;1;4;4;yellow
7;49;3,733299;1;1;1;yellow
7;50;3,999901;1;2;2;yellow
7;51;4,31678;1;4;4;yellow
7;52;4,550079;1;1;1;yellow
7;53;5,033577;1;3;3;yellow
7;54;5,600006;1;4;4;yellow
7;55;5,883484;1;2;2;yellow
7;56;6,349808;1;3;3;yellow
8;57;3,30011;1;2;2;blue
8;58;3,383919;1;3;3;blue
8;59;3,483353;1;1;1;blue
8;60;3,699867;1;4;4;blue
8;61;3,833702;1;3;3;blue
8;62;4,050179;1;1;1;blue
8;63;4,267586;1;2;2;blue
8;64;4,383659;1;4;4;blue
9;65;3,76635;1;4;4;yellow
9;66;4,016632;1;1;1;yellow
9;67;4,466232;1;3;3;yellow
9;68;4,650261;1;2;2;yellow
9;69;4,849709;1;4;4;yellow
9;70;5,083504;0;3;1;yellow
9;71;5,782845;1;1;1;yellow
9;72;5,983406;1;2;2;yellow
10;73;3,399406;1;2;2;blue
10;74;3,549835;1;3;3;blue
10;75;3,583099;1;1;1;blue
10;76;4,266602;1;4;4;blue
10;77;4,41658;0;3;1;blue
10;78;4,632927;0;1;2;blue
10;79;5,232697;1;2;2;blue
10;80;5,499847;1;4;4;blue
11;81;3,433533;1;2;2;blue
11;82;3,566345;1;3;3;blue
11;83;3,733459;1;1;1;blue
11;84;3,883377;1;4;4;blue
11;85;4,016396;1;3;3;blue
11;86;4,183022;1;1;1;blue
11;87;4,350105;1;2;2;blue
11;88;4,466293;1;4;4;blue
12;89;3,366837;1;2;2;blue
12;90;3,450378;1;3;3;blue
12;91;3,550217;1;1;1;blue
12;92;3,749939;1;4;4;blue
12;93;3,850815;1;3;3;blue
12;94;4,05027;1;1;1;blue
12;95;4,233337;1;2;2;blue
12;96;4,366859;1;4;4;blue
13;97;3,35006;1;3;3;green
13;98;3,433235;1;4;4;green
13;99;3,616997;1;2;2;green
13;100;3,816994;1;1;1;green
13;101;4,033165;0;3;2;green
13;102;4,549797;1;2;2;green
13;103;4,899696;1;4;4;green
13;104;5,149803;1;1;1;green
14;105;3,333878;1;2;2;blue
14;106;3,416656;1;3;3;blue
14;107;3,534012;1;1;1;blue
14;108;3,750412;1;4;4;blue
14;109;3,900009;1;3;3;blue
14;110;4,050751;1;1;1;blue
14;111;4,250153;1;2;2;blue
14;112;4,333252;1;4;4;blue
15;113;3,300003;1;3;3;green
15;114;3,384064;1;4;4;green
15;115;3,566574;1;2;2;green
15;116;4,233734;1;1;1;green
15;117;4,583908;1;3;3;green
15;118;4,733597;1;2;2;green
15;119;4,883408;1;4;4;green
15;120;5,016663;1;1;1;green
16;121;3,533646;1;3;3;green
16;122;3,583694;1;4;4;green
16;123;3,649918;0;2;3;green
16;124;3,833328;1;1;1;green
16;125;4,483276;1;3;3;green
16;126;4,633743;1;2;2;green
16;127;4,783707;1;4;4;green
16;128;4,899948;1;1;1;green
17;129;3,300491;1;2;2;blue
17;130;3,350403;1;3;3;blue
17;131;3,433411;0;1;3;blue
17;132;3,567062;0;4;1;blue
17;133;4,383636;1;3;3;blue
17;134;4,517166;0;1;4;blue
17;135;4,666687;1;2;2;blue
17;136;5,549759;1;4;4;blue
18;137;3,317062;1;2;2;blue
18;138;3,36702;1;3;3;blue
18;139;3,450165;1;1;1;blue
18;140;3,967407;1;4;4;blue
18;141;4,16748;0;3;1;blue
18;142;4,366989;0;1;2;blue
18;143;5,233551;1;2;2;blue
18;144;5,383713;1;4;4;blue
19;145;3,300018;1;2;2;blue
19;146;3,383041;1;3;3;blue
19;147;3,50032;1;1;1;blue
19;148;3,699631;1;4;4;blue
19;149;3,800217;1;3;3;blue
19;150;4,050446;1;1;1;blue
19;151;4,216934;1;2;2;blue
19;152;4,366333;1;4;4;blue
20;153;3,26712;1;2;2;blue
20;154;3,400116;1;3;3;blue
20;155;3,433945;1;1;1;blue
20;156;3,85054;1;4;4;blue
20;157;4,36673;0;3;1;blue
20;158;4,550049;0;1;2;blue
20;159;5,133408;1;2;2;blue
20;160;5,300293;1;4;4;blue
21;161;3,283356;1;2;2;blue
21;162;3,383102;1;3;3;blue
21;163;3,499893;1;1;1;blue
21;164;3,700409;1;4;4;blue
21;165;3,817032;1;3;3;blue
21;166;4,000244;1;1;1;blue
21;167;4,166534;1;2;2;blue
21;168;4,316483;1;4;4;blue
22;169;3,700119;1;2;2;yellow
22;170;3,917145;1;1;1;yellow
22;171;4,21666;1;3;3;yellow
22;172;4,61644;1;4;4;yellow
22;173;4,950256;1;2;2;yellow
22;174;5,416794;0;4;3;yellow
22;175;5,999771;1;1;1;yellow
22;176;6,516663;1;2;2;yellow
23;177;3,283463;1;2;2;blue
23;178;3,416519;1;3;3;blue
23;179;3,533264;1;1;1;blue
23;180;3,733017;0;4;3;blue
23;181;3,816498;0;3;4;blue
23;182;4,483475;1;1;1;blue
23;183;4,766678;1;2;2;blue
23;184;4,933594;1;4;4;blue
24;185;4,03302;1;2;2;yellow
24;186;4,432892;1;1;1;yellow
24;187;4,816559;1;3;3;yellow
24;188;5,249466;1;4;4;yellow
24;189;5,549927;1;2;2;yellow
24;190;6,200134;1;4;4;yellow
24;191;6,466263;1;1;1;yellow
24;192;6,69986;1;2;2;yellow
25;193;3,317215;1;2;2;blue
25;194;3,416306;1;3;3;blue
25;195;3,549713;1;1;1;blue
25;196;3,733093;1;4;4;blue
25;197;3,85025;1;3;3;blue
25;198;4,016205;1;1;1;blue
25;199;4,199677;1;2;2;blue
25;200;4,299622;1;4;4;blue
26;201;3,266602;1;2;2;blue
26;202;3,366837;1;3;3;blue
26;203;3,467163;1;1;1;blue
26;204;3,633469;1;4;4;blue
26;205;3,750031;1;3;3;blue
26;206;4,016907;1;1;1;blue
26;207;4,316666;1;2;2;blue
26;208;4,466766;1;4;4;blue
27;209;3,299896;1;2;2;blue
27;210;3,40036;1;3;3;blue
27;211;3,533707;1;1;1;blue
27;212;3,717072;1;4;4;blue
27;213;3,90007;1;3;3;blue
27;214;4,050369;1;1;1;blue
27;215;4,250473;1;2;2;blue
27;216;4,350037;1;4;4;blue
28;217;3,299866;1;2;2;blue
28;218;3,450607;1;3;3;blue
28;219;3,550293;1;1;1;blue
28;220;3,750259;1;4;4;blue
