BlockNumber;EventNumber;Time Since Block start;isHit;target;pressed;sequence
1;1;4,583282;1;2;2;blue
1;2;6,08313;1;3;3;blue
1;3;8,016609;1;1;1;blue
1;4;9,016533;1;4;4;blue
1;5;10,21647;1;3;3;blue
1;6;11,4665;1;1;1;blue
1;7;12,73318;1;2;2;blue
1;8;13,46637;1;4;4;blue
2;9;4,50016;1;1;1;yellow
2;10;5,366829;1;3;3;yellow
2;11;5,949974;1;4;4;yellow
2;12;6,666702;1;2;2;yellow
2;13;7,266586;1;4;4;yellow
2;14;7,849991;1;1;1;yellow
2;15;9,050774;1;3;3;yellow
2;16;11,63344;1;2;2;yellow
3;17;5,699776;1;3;3;green
3;18;6,566666;1;4;4;green
3;19;7,517021;1;2;2;green
3;20;8,216576;1;1;1;green
3;21;8,966499;1;3;3;green
3;22;10,56689;1;2;2;green
3;23;11,5333;1;4;4;green
3;24;12,0165;1;1;1;green
4;25;4,183502;1;2;2;yellow
4;26;4,683273;1;4;4;yellow
4;27;5,449936;1;1;1;yellow
4;28;6,383194;1;3;3;yellow
4;29;7,549889;1;4;4;yellow
4;30;8,349884;1;2;2;yellow
4;31;8,816574;1;3;3;yellow
4;32;9,616562;1;1;1;yellow
5;33;4,000153;1;3;3;green
5;34;4,633453;1;4;4;green
5;35;5,249916;1;2;2;green
5;36;5,734009;1;1;1;green
5;37;6,449905;1;3;3;green
5;38;8,050278;1;2;2;green
5;39;8,750427;1;4;4;green
5;40;9,299835;1;1;1;green
6;41;4,116806;1;2;2;blue
6;42;4,550812;1;3;3;blue
6;43;5,016846;1;1;1;blue
6;44;5,900391;1;4;4;blue
6;45;6,450729;1;3;3;blue
6;46;7,116638;1;1;1;blue
6;47;8,066513;1;2;2;blue
6;48;8,667236;1;4;4;blue
7;49;4,299881;1;2;2;blue
7;50;5,099396;1;3;3;blue
7;51;5,732971;1;1;1;blue
7;52;6,449768;1;4;4;blue
7;53;6,949631;1;3;3;blue
7;54;7,733597;1;1;1;blue
7;55;8,532898;1;2;2;blue
7;56;9,182892;1;4;4;blue
8;57;4,150024;1;2;2;yellow
8;58;4,766434;1;4;4;yellow
8;59;5,233536;1;1;1;yellow
8;60;5,733292;1;3;3;yellow
8;61;6,683472;1;4;4;yellow
8;62;7,416718;1;2;2;yellow
8;63;7,999893;1;3;3;yellow
8;64;8,499985;1;1;1;yellow
9;65;4,099976;1;1;1;yellow
9;66;4,666977;1;3;3;yellow
9;67;5,116409;1;4;4;yellow
9;68;5,783615;1;2;2;yellow
9;69;6,433395;1;4;4;yellow
9;70;7,08316;1;1;1;yellow
9;71;7,700699;1;3;3;yellow
9;72;8,450119;1;2;2;yellow
10;73;4,483322;1;3;3;green
10;74;5,149963;1;4;4;green
10;75;5,999725;1;2;2;green
10;76;6,466125;1;1;1;green
10;77;7,349884;1;3;3;green
10;78;8,266525;1;2;2;green
10;79;9,666397;1;4;4;green
10;80;10,25003;1;1;1;green
11;81;4,233109;1;2;2;yellow
11;82;4,683105;1;1;1;yellow
11;83;5,483139;1;4;4;yellow
11;84;5,933151;1;1;1;yellow
11;85;6,866592;1;3;3;yellow
11;86;7,483032;1;2;2;yellow
11;87;8,449905;1;4;4;yellow
11;88;9,199814;1;3;3;yellow
12;89;4,183441;1;2;2;blue
12;90;4,633591;1;3;3;blue
12;91;5,283371;1;1;1;blue
12;92;5,966934;1;4;4;blue
12;93;6,549927;1;3;3;blue
12;94;7,216522;1;1;1;blue
12;95;7,900055;1;2;2;blue
12;96;8,483292;1;4;4;blue
13;97;4,000275;1;2;2;blue
13;98;4,499878;1;3;3;blue
13;99;5,216583;1;1;1;blue
13;100;6,033279;1;4;4;blue
13;101;6,733124;1;3;3;blue
13;102;7,466919;1;1;1;blue
13;103;7,983414;1;2;2;blue
13;104;8,550125;1;4;4;blue
14;105;4,182938;1;2;2;blue
14;106;4,966705;1;3;3;blue
14;107;5,733215;1;1;1;blue
14;108;6,733047;1;4;4;blue
14;109;7,182877;1;3;3;blue
14;110;7,983154;1;1;1;blue
14;111;8,466248;1;2;2;blue
14;112;9,016342;1;4;4;blue
15;113;4,467117;1;3;3;green
15;114;4,9832;1;4;4;green
15;115;6,499832;1;2;2;green
15;116;7,033508;1;1;1;green
15;117;7,700027;1;3;3;green
15;118;8,350037;1;2;2;green
15;119;9,216507;1;4;4;green
15;120;9,866913;1;1;1;green
16;121;4,133392;1;3;3;green
16;122;4,566391;1;4;4;green
16;123;5,166107;1;2;2;green
16;124;5,699677;1;1;1;green
16;125;6,400146;1;3;3;green
16;126;8,366669;1;2;2;green
16;127;8,916748;1;4;4;green
16;128;9,349426;1;1;1;green
17;129;4,266922;1;2;2;blue
17;130;4,667145;1;3;3;blue
17;131;5,133835;1;1;1;blue
17;132;5,917145;1;4;4;blue
17;133;6,366974;1;3;3;blue
17;134;7,067291;1;1;1;blue
17;135;7,483337;1;2;2;blue
17;136;8,149994;1;4;4;blue
18;137;4,599869;1;4;4;yellow
18;138;5,483429;1;3;3;yellow
18;139;6,000381;1;1;1;yellow
18;140;6,683472;1;4;4;yellow
18;141;7,116837;1;3;3;yellow
18;142;7,733734;1;1;1;yellow
18;143;8,866913;1;4;4;yellow
18;144;9,933517;1;2;2;yellow
19;145;4,233139;1;2;2;blue
19;146;4,600037;1;3;3;blue
19;147;5,216965;1;1;1;blue
19;148;5,916809;1;4;4;blue
19;149;6,366516;1;3;3;blue
19;150;7,116714;1;1;1;blue
19;151;7,699814;1;2;2;blue
19;152;8,316757;1;4;4;blue
20;153;4,099854;1;2;2;blue
20;154;4,566589;1;3;3;blue
20;155;5,033173;1;1;1;blue
20;156;5,883484;1;4;4;blue
20;157;6,566406;1;3;3;blue
20;158;7,199921;1;1;1;blue
20;159;7,633179;1;2;2;blue
20;160;8,216492;1;4;4;blue
21;161;4,050446;1;2;2;blue
21;162;4,450012;1;3;3;blue
21;163;4,849884;1;1;1;blue
21;164;5,633026;1;4;4;blue
21;165;6,066864;1;3;3;blue
21;166;6,633575;1;1;1;blue
21;167;7,033203;1;2;2;blue
21;168;7,616638;1;4;4;blue
22;169;3,949829;1;1;1;yellow
22;170;4,583557;1;2;2;yellow
22;171;5,416718;1;4;4;yellow
22;172;5,850342;1;1;1;yellow
22;173;6,716553;1;3;3;yellow
22;174;7,233185;1;4;4;yellow
22;175;8,900116;1;2;2;yellow
22;176;9,483429;1;3;3;yellow
23;177;4,417053;1;2;2;blue
23;178;5,250214;1;3;3;blue
23;179;6,000366;1;1;1;blue
23;180;6,666779;1;4;4;blue
23;181;7,116669;1;3;3;blue
23;182;7,699768;1;1;1;blue
23;183;8,21637;1;2;2;blue
23;184;8,716522;1;4;4;blue
24;185;4,133148;1;3;3;green
24;186;4,683472;1;4;4;green
24;187;5,350098;1;2;2;green
24;188;5,833466;1;1;1;green
24;189;6,567017;1;3;3;green
24;190;7,149841;1;2;2;green
24;191;7,666748;1;4;4;green
24;192;8,249939;1;1;1;green
25;193;4,250122;1;2;2;blue
25;194;4,666626;1;3;3;blue
25;195;5,233246;1;1;1;blue
25;196;5,983337;1;4;4;blue
25;197;6,400238;1;3;3;blue
25;198;6,949951;1;1;1;blue
25;199;7,366638;1;2;2;blue
25;200;8,050049;1;4;4;blue
26;201;4,549622;1;2;2;yellow
26;202;5,016754;1;1;1;yellow
26;203;5,633179;1;3;3;yellow
26;204;6,216553;1;4;4;yellow
26;205;6,883484;1;2;2;yellow
26;206;7,46637;1;4;4;yellow
26;207;8,066437;1;1;1;yellow
26;208;8,599792;1;2;2;yellow
27;209;4,134033;1;2;2;blue
27;210;4,517334;1;3;3;blue
27;211;4,95047;1;1;1;blue
27;212;5,799988;1;4;4;blue
27;213;6,2005;1;3;3;blue
27;214;6,816895;1;1;1;blue
27;215;7,316528;1;2;2;blue
27;216;7,983368;1;4;4;blue
28;217;4,11734;1;2;2;yellow
28;218;4,916565;1;1;1;yellow
28;219;5,43335;1;3;3;yellow
28;220;5,949982;1;4;4;yellow
28;221;6,533722;1;2;2;yellow
28;222;7,183258;1;4;4;yellow
28;223;8,150299;1;1;1;yellow
28;224;8,933411;1;2;2;yellow
29;225;3,916473;1;2;2;blue
29;226;4,300262;1;3;3;blue
29;227;4,700256;1;1;1;blue
29;228;5,349945;1;4;4;blue
29;229;5,783264;1;3;3;blue
29;230;6,31662;1;1;1;blue
29;231;6,749847;1;2;2;blue
29;232;7,300018;1;4;4;blue
30;233;4,233246;1;3;3;green
30;234;4,683228;1;4;4;green
30;235;5,366577;1;2;2;green
30;236;5,799988;1;1;1;green
30;237;6,416534;1;3;3;green
30;238;8,01651;1;2;2;green
30;239;8,649963;1;4;4;green
30;240;9,116425;1;1;1;green
31;241;3,933197;1;3;3;green
31;242;4,35022;1;4;4;green
31;243;5,049957;1;2;2;green
31;244;5,483521;1;1;1;green
31;245;6,166809;1;3;3;green
31;246;7,616608;1;2;2;green
31;247;8,167023;1;4;4;green
31;248;8,566711;1;1;1;green
32;249;3,950043;1;3;3;green
32;250;4,383087;1;4;4;green
32;251;4,999939;1;2;2;green
32;252;5,433502;1;1;1;green
32;253;5,900482;1;3;3;green
32;254;7,116516;1;2;2;green
32;255;7,899841;1;4;4;green
32;256;8,433838;1;1;1;green
33;257;4,199371;1;2;2;blue
33;258;4,599976;1;3;3;blue
33;259;5,199615;1;1;1;blue
33;260;5,966064;1;4;4;blue
33;261;6,382874;1;3;3;blue
33;262;6,949432;1;1;1;blue
33;263;7,36618;1;2;2;blue
33;264;7,816193;1;4;4;blue
34;265;4,033112;1;2;2;blue
34;266;4,366608;1;3;3;blue
34;267;4,833191;1;1;1;blue
34;268;5,699646;1;4;4;blue
34;269;6,100555;1;3;3;blue
34;270;6,633057;1;1;1;blue
34;271;6,999939;1;2;2;blue
34;272;7,582916;1;4;4;blue
35;273;4,000458;1;3;3;green
35;274;4,583313;1;4;4;green
35;275;5,299927;1;2;2;green
35;276;6,166779;1;1;1;green
35;277;6,750092;1;3;3;green
35;278;7,683533;1;2;2;green
35;279;8,300171;1;4;4;green
35;280;8,833588;1;1;1;green
36;281;4,2164;1;2;2;blue
36;282;4,750092;1;3;3;blue
36;283;5,233734;1;1;1;blue
36;284;5,917145;1;4;4;blue
36;285;6,317078;1;3;3;blue
36;286;6,883209;1;1;1;blue
36;287;7,349823;1;2;2;blue
36;288;7,866486;1;4;4;blue
37;289;3,966705;1;3;3;green
37;290;4,383514;1;4;4;green
37;291;5,267365;1;2;2;green
37;292;5,849762;1;1;1;green
37;293;6,716583;1;3;3;green
37;294;7,30014;1;2;2;green
37;295;7,816772;1;4;4;green
37;296;8,283203;1;1;1;green
38;297;4,233948;1;4;4;yellow
38;298;4,650177;1;1;1;yellow
38;299;5,150024;1;3;3;yellow
38;300;5,533325;1;2;2;yellow
38;301;6,134064;1;4;4;yellow
38;302;6,616516;1;3;3;yellow
38;303;7,183624;1;1;1;yellow
38;304;7,666779;1;2;2;yellow
39;305;3,88324;1;4;4;yellow
39;306;4,283905;1;3;3;yellow
39;307;4,733185;1;1;1;yellow
39;308;5,733215;1;4;4;yellow
39;309;6,133026;1;3;3;yellow
39;310;7,050262;1;1;1;yellow
39;311;8,01651;1;4;4;yellow
39;312;8,749695;1;2;2;yellow
40;313;4,233368;1;2;2;blue
40;314;4,633453;1;3;3;blue
40;315;5,100189;1;1;1;blue
40;316;5,733612;1;4;4;blue
40;317;6,117096;1;3;3;blue
40;318;6,66687;1;1;1;blue
40;319;7,116394;1;2;2;blue
40;320;8,066925;1;4;4;blue
41;321;3,983276;1;2;2;blue
41;322;4,349884;1;3;3;blue
41;323;4,766663;1;1;1;blue
41;324;5,483521;1;4;4;blue
41;325;5,900116;1;3;3;blue
41;326;6,66684;1;1;1;blue
41;327;7,066589;1;2;2;blue
41;328;7,667114;1;4;4;blue
42;329;4,232666;1;2;2;blue
42;330;4,71637;1;3;3;blue
42;331;5,349915;1;1;1;blue
42;332;5,982849;1;4;4;blue
42;333;6,382599;1;3;3;blue
42;334;6,915924;1;1;1;blue
42;335;7,382751;1;2;2;blue
42;336;7,949371;1;4;4;blue
43;337;4,200562;1;2;2;blue
43;338;4,599854;1;3;3;blue
43;339;5,033173;1;1;1;blue
43;340;5,634125;1;4;4;blue
43;341;6,100098;1;3;3;blue
43;342;6,699921;1;1;1;blue
43;343;7,116791;1;2;2;blue
43;344;7,649933;1;4;4;blue
44;345;4,049835;1;3;3;green
44;346;4,666656;1;4;4;green
44;347;5,333984;1;2;2;green
44;348;5,716827;1;1;1;green
44;349;6,434021;1;3;3;green
44;350;6,999878;1;2;2;green
44;351;7,549957;1;4;4;green
44;352;8,06665;1;1;1;green
45;353;4,249969;1;2;2;blue
45;354;4,667267;1;3;3;blue
45;355;5,183594;1;1;1;blue
45;356;5,850006;1;4;4;blue
45;357;6,266754;1;3;3;blue
45;358;6,766418;1;1;1;blue
45;359;7,166565;1;2;2;blue
45;360;7,633209;1;4;4;blue
46;361;4,084015;1;2;2;yellow
46;362;4,466766;1;1;1;yellow
46;363;5,016815;1;4;4;yellow
46;364;5,483246;1;1;1;yellow
46;365;6,050049;1;3;3;yellow
46;366;6,700287;1;2;2;yellow
46;367;8,333282;1;4;4;yellow
46;368;8,900085;0;3;1;yellow
47;369;5,382965;1;2;2;blue
47;370;6,066711;1;3;3;blue
47;371;6,666748;1;1;1;blue
47;372;7,233246;1;4;4;blue
47;373;7,91687;1;3;3;blue
47;374;8,56662;1;1;1;blue
47;375;9,716492;1;2;2;blue
47;376;10,39993;1;4;4;blue
48;377;3,933868;1;3;3;green
48;378;4,416534;1;4;4;green
48;379;4,966888;1;2;2;green
48;380;5,433655;1;1;1;green
48;381;6,016632;1;3;3;green
48;382;6,650452;1;2;2;green
48;383;7,216553;1;4;4;green
48;384;7,866638;1;1;1;green
49;385;3,899872;1;3;3;green
49;386;4,466766;1;4;4;green
49;387;5,066772;1;2;2;green
49;388;5,516663;1;1;1;green
49;389;6,100037;1;3;3;green
49;390;6,700317;1;2;2;green
49;391;7,216827;1;4;4;green
49;392;7,717255;1;1;1;green
50;393;4,11676;1;2;2;blue
50;394;4,499817;1;3;3;blue
50;395;4,86618;1;1;1;blue
50;396;5,549438;1;4;4;blue
50;397;6,082916;1;3;3;blue
50;398;6,616058;1;1;1;blue
50;399;7,032623;1;2;2;blue
50;400;7,599274;1;4;4;blue
51;401;4,11731;1;2;2;blue
51;402;4,516602;1;3;3;blue
51;403;5,200073;1;1;1;blue
51;404;5,817017;1;4;4;blue
51;405;6,250122;1;3;3;blue
51;406;6,799988;1;1;1;blue
51;407;7,216614;1;2;2;blue
51;408;7,717163;1;4;4;blue
52;409;3,999817;1;2;2;blue
52;410;4,66626;1;3;3;blue
52;411;5,36676;1;1;1;blue
52;412;6,116272;1;4;4;blue
52;413;6,832764;1;3;3;blue
52;414;7,49939;1;1;1;blue
52;415;7,999451;1;2;2;blue
52;416;8,5495;1;4;4;blue
53;417;4,05011;1;2;2;blue
53;418;4,466858;1;3;3;blue
53;419;4,866821;1;1;1;blue
53;420;5,583679;1;4;4;blue
53;421;5,966614;1;3;3;blue
53;422;6,533203;1;1;1;blue
53;423;6,983887;1;2;2;blue
53;424;7,699951;1;4;4;blue
54;425;4,5;1;3;3;green
54;426;5,266541;1;4;4;green
54;427;5,88385;1;2;2;green
54;428;6,650024;1;1;1;green
54;429;7,433472;1;3;3;green
54;430;8,050171;1;2;2;green
54;431;8,549988;1;4;4;green
54;432;9,083069;1;1;1;green
55;433;3,917053;1;3;3;green
55;434;4,384033;1;4;4;green
55;435;5,150146;1;2;2;green
55;436;5,550415;1;1;1;green
55;437;6,183594;1;3;3;green
55;438;6,850281;1;2;2;green
55;439;7,416748;1;4;4;green
55;440;7,916626;1;1;1;green
56;441;3,983582;1;2;2;blue
56;442;4,383545;1;3;3;blue
56;443;4,833679;1;1;1;blue
56;444;5,500977;1;4;4;blue
56;445;5,916809;1;3;3;blue
56;446;6,433533;1;1;1;blue
56;447;6,900146;1;2;2;blue
56;448;7,433838;1;4;4;blue
57;449;4,032959;1;3;3;green
57;450;4,583069;1;4;4;green
57;451;5,249573;1;2;2;green
57;452;5,900391;1;1;1;green
57;453;6,449951;1;3;3;green
57;454;7,066162;1;2;2;green
57;455;7,532837;1;4;4;green
57;456;8,049988;1;1;1;green
58;457;3,999573;1;3;3;green
58;458;4,482971;1;4;4;green
58;459;5,182922;1;2;2;green
58;460;5,666504;1;1;1;green
58;461;6,249573;1;3;3;green
58;462;6,949585;1;2;2;green
58;463;7,499939;1;4;4;green
58;464;8,049988;1;1;1;green
59;465;4,516357;1;2;2;yellow
59;466;4,949463;1;3;3;yellow
59;467;5,399597;1;1;1;yellow
59;468;5,999939;1;4;4;yellow
59;469;6,39978;1;3;3;yellow
59;470;6,865967;1;1;1;yellow
59;471;7,299744;1;2;2;yellow
59;472;7,799561;1;4;4;yellow
60;473;4,049744;1;2;2;blue
60;474;4,416565;1;3;3;blue
60;475;4,816589;1;1;1;blue
60;476;5,500244;1;4;4;blue
60;477;5,88324;1;3;3;blue
60;478;6,350159;1;1;1;blue
60;479;6,8172;1;2;2;blue
60;480;7,434021;1;4;4;blue
61;481;4,016357;1;2;2;blue
61;482;4,383179;1;3;3;blue
61;483;4,76593;1;1;1;blue
61;484;5,632813;1;4;4;blue
61;485;6,082458;1;3;3;blue
61;486;6,699463;1;1;1;blue
61;487;7,132568;1;2;2;blue
61;488;7,616272;1;4;4;blue
62;489;3,999512;1;2;2;blue
62;490;4,349548;1;3;3;blue
62;491;4,666504;1;1;1;blue
62;492;5,316223;1;4;4;blue
62;493;5,683044;1;3;3;blue
62;494;6,216248;1;1;1;blue
62;495;6,583191;1;2;2;blue
62;496;7,049683;1;4;4;blue
63;497;4,299927;1;4;4;yellow
63;498;4,733398;1;1;1;yellow
63;499;5,316895;1;3;3;yellow
63;500;5,916626;1;2;2;yellow
63;501;6,616699;1;4;4;yellow
63;502;7,049622;1;3;3;yellow
63;503;7,566895;1;1;1;yellow
63;504;7,999817;1;2;2;yellow
64;505;4,149902;1;2;2;yellow
