BlockNumber;EventNumber;Time Since Block start;isHit;target;pressed;sequence
1;1;4,349907;1;2;2;blue
1;2;5,233177;1;3;3;blue
1;3;5,86631;1;1;1;blue
1;4;6,700142;1;4;4;blue
1;5;7,433113;1;3;3;blue
1;6;8,116524;1;1;1;blue
1;7;9,049767;1;2;2;blue
1;8;9,76709;1;4;4;blue
2;9;4,99926;1;1;1;yellow
2;10;5,799782;1;3;3;yellow
2;11;6,582718;1;4;4;yellow
2;12;7,23307;1;2;2;yellow
2;13;7,799416;1;4;4;yellow
2;14;8,466034;1;1;1;yellow
2;15;9,233345;1;3;3;yellow
2;16;10,49932;1;2;2;yellow
3;17;4,33313;1;3;3;green
3;18;4,983299;1;4;4;green
3;19;5,683235;1;2;2;green
3;20;6,200165;1;1;1;green
3;21;6,833534;1;3;3;green
3;22;7,533478;1;2;2;green
3;23;8,0168;1;4;4;green
3;24;8,6166;1;1;1;green
4;25;4,033661;1;2;2;yellow
4;26;4,666733;1;4;4;yellow
4;27;5,417458;1;1;1;yellow
4;28;6,067009;1;3;3;yellow
4;29;6,850273;1;4;4;yellow
4;30;7,500488;1;2;2;yellow
4;31;8,016701;1;3;3;yellow
4;32;8,816734;1;1;1;yellow
5;33;3,983238;1;3;3;green
5;34;4,516922;1;4;4;green
5;35;5,200058;1;2;2;green
5;36;5,90062;1;1;1;green
5;37;6,500069;1;3;3;green
5;38;7,683609;1;2;2;green
5;39;8,266853;1;4;4;green
5;40;8,766647;1;1;1;green
6;41;4,066757;1;2;2;blue
6;42;4,600006;1;3;3;blue
6;43;5,217056;1;1;1;blue
6;44;5,816696;1;4;4;blue
6;45;6,499908;1;3;3;blue
6;46;7,150009;1;1;1;blue
6;47;7,883194;1;2;2;blue
6;48;8,583588;1;4;4;blue
7;49;3,949646;1;2;2;blue
7;50;4,533707;1;3;3;blue
7;51;5,199631;1;1;1;blue
7;52;5,883667;1;4;4;blue
7;53;6,366287;1;3;3;blue
7;54;7,016861;1;1;1;blue
7;55;7,81633;1;2;2;blue
7;56;8,399857;1;4;4;blue
8;57;4,033188;1;2;2;yellow
8;58;4,616776;1;4;4;yellow
8;59;5,149887;1;1;1;yellow
8;60;5,783264;1;3;3;yellow
8;61;6,566818;1;4;4;yellow
8;62;8,049805;1;2;2;yellow
8;63;8,68306;1;3;3;yellow
8;64;9,249863;1;1;1;yellow
