BlockNumber;EventNumber;Time Since Block start;isHit;target;pressed;sequence
1;1;4,049637;0;2;4;blue
1;2;7,133484;0;3;2;blue
1;3;12,64943;0;1;4;blue
1;4;14,44977;0;4;3;blue
1;5;16,23296;0;3;1;blue
1;6;17,80014;0;1;2;blue
1;7;19,16617;0;2;4;blue
1;8;31,31633;1;4;4;blue
2;9;7,032761;1;1;1;yellow
2;10;9,099701;1;3;3;yellow
2;11;10,56668;1;4;4;yellow
2;12;12,41675;1;2;2;yellow
2;13;13,44936;1;4;4;yellow
2;14;14,34932;1;1;1;yellow
2;15;17,26627;1;3;3;yellow
2;16;19,38281;1;2;2;yellow
3;17;8,516663;1;3;3;green
3;18;8,733307;0;4;3;green
3;19;11,46686;1;2;2;green
3;20;12,86627;1;1;1;green
3;21;14,41663;1;3;3;green
3;22;15,7334;1;2;2;green
3;23;17,63315;1;4;4;green
3;24;18,74994;1;1;1;green
4;25;4,66629;1;2;2;yellow
4;26;5,68335;1;4;4;yellow
4;27;6,566315;1;1;1;yellow
4;28;7,783173;1;3;3;yellow
4;29;8,86676;1;4;4;yellow
4;30;10,20023;1;2;2;yellow
4;31;12,53308;1;3;3;yellow
4;32;13,69965;1;1;1;yellow
5;33;4,60025;1;3;3;green
5;34;5,333496;1;4;4;green
5;35;7,05011;1;2;2;green
5;36;8,000397;1;1;1;green
5;37;9,68335;1;3;3;green
5;38;10,76697;1;2;2;green
5;39;11,74982;1;4;4;green
5;40;12,51648;1;1;1;green
6;41;4,899841;1;2;2;blue
6;42;5,999786;1;3;3;blue
6;43;6,783203;1;1;1;blue
6;44;7,766571;1;4;4;blue
6;45;8,883575;1;3;3;blue
6;46;9,68338;1;1;1;blue
6;47;10,63385;1;2;2;blue
6;48;11,55005;1;4;4;blue
7;49;5,366577;1;2;2;blue
7;50;6,799835;1;3;3;blue
7;51;8,249695;1;1;1;blue
7;52;9,449768;1;4;4;blue
7;53;10,34979;1;3;3;blue
7;54;11,23322;1;1;1;blue
7;55;12,50015;1;2;2;blue
7;56;13,54984;1;4;4;blue
8;57;4,09967;1;2;2;yellow
8;58;5,216522;1;4;4;yellow
8;59;5,933533;1;1;1;yellow
8;60;8,416504;1;3;3;yellow
8;61;9,433197;1;4;4;yellow
8;62;10,7164;1;2;2;yellow
8;63;12,4498;1;3;3;yellow
8;64;13,48318;1;1;1;yellow
9;65;3,967407;1;1;1;yellow
9;66;5,183807;1;3;3;yellow
9;67;6,016693;1;4;4;yellow
9;68;6,967163;1;2;2;yellow
9;69;8,916504;1;4;4;yellow
9;70;9,766937;1;1;1;yellow
9;71;10,73343;1;3;3;yellow
9;72;11,59964;1;2;2;yellow
10;73;5,550385;1;3;3;green
10;74;6,416534;1;4;4;green
10;75;7,466766;1;2;2;green
10;76;8,117004;1;1;1;green
10;77;9,550201;1;3;3;green
10;78;10,31686;1;2;2;green
10;79;11,20023;1;4;4;green
10;80;12,29999;1;1;1;green
11;81;4,600555;1;2;2;yellow
11;82;5,566956;1;1;1;yellow
11;83;6,950043;1;4;4;yellow
11;84;7,616699;1;1;1;yellow
11;85;8,966614;1;3;3;yellow
11;86;9,933258;1;2;2;yellow
11;87;10,8999;1;4;4;yellow
11;88;12,81668;1;3;3;yellow
12;89;4,549774;1;2;2;blue
12;90;5,316711;1;3;3;blue
12;91;6,066437;1;1;1;blue
12;92;6,799957;1;4;4;blue
12;93;8,783234;1;3;3;blue
12;94;10,25006;1;1;1;blue
12;95;11,03299;1;2;2;blue
