BlockNumber;EventNumber;Time Since Block start;isHit;target;pressed;sequence
1;1;4,816261;0;2;4;blue
1;2;4,91629;1;3;3;blue
1;3;5,232948;0;1;4;blue
1;4;5,733185;0;4;3;blue
1;5;10,81647;0;3;2;blue
1;6;10,94952;0;1;4;blue
1;7;16,84968;0;2;3;blue
1;8;18,66645;1;4;4;blue
2;9;4,566757;1;1;1;yellow
2;10;4,632965;0;3;4;yellow
2;11;17,66637;1;4;4;yellow
2;12;18,01637;0;2;4;yellow
2;13;20,48328;1;4;4;yellow
2;14;21,21646;1;1;1;yellow
2;15;21,66637;0;3;1;yellow
2;16;21,8998;0;2;1;yellow
3;17;5,333206;1;3;3;green
3;18;5,866531;1;4;4;green
3;19;6,399948;1;2;2;green
3;20;6,900131;1;1;1;green
3;21;7,699829;1;3;3;green
3;22;8,166412;1;2;2;green
3;23;8,733429;1;4;4;green
3;24;9,16655;1;1;1;green
4;25;5,949966;1;2;2;yellow
4;26;6,466644;1;4;4;yellow
4;27;6,899933;1;1;1;yellow
4;28;7,5;1;3;3;yellow
4;29;8,133316;1;4;4;yellow
4;30;8,999771;1;2;2;yellow
4;31;9,550079;1;3;3;yellow
4;32;10,0833;1;1;1;yellow
5;33;4,850067;1;3;3;green
5;34;5,51651;1;4;4;green
5;35;5,749969;0;2;4;green
5;36;6,71666;0;1;2;green
5;37;8,716629;1;3;3;green
5;38;9,133392;1;2;2;green
5;39;9,566757;1;4;4;green
5;40;10,04994;1;1;1;green
6;41;4,699982;1;2;2;blue
6;42;5,533371;1;3;3;blue
6;43;5,866837;0;1;3;blue
6;44;5,966766;0;4;1;blue
6;45;8,150177;1;3;3;blue
6;46;8,683426;1;1;1;blue
6;47;9,300018;1;2;2;blue
6;48;9,833252;1;4;4;blue
7;49;5,73349;1;2;2;blue
7;50;6,583405;1;3;3;blue
7;51;7,133423;1;1;1;blue
7;52;7,699982;1;4;4;blue
7;53;7,983414;0;3;4;blue
7;54;9,266815;1;1;1;blue
7;55;10,18317;1;2;2;blue
7;56;10,76657;1;4;4;blue
8;57;5,10022;1;2;2;yellow
8;58;5,59996;1;4;4;yellow
8;59;6,050003;1;1;1;yellow
8;60;6,650299;1;3;3;yellow
8;61;7,250137;1;4;4;yellow
8;62;7,850281;1;2;2;yellow
8;63;8,633499;1;3;3;yellow
8;64;9,15004;1;1;1;yellow
9;65;4,049942;1;1;1;yellow
9;66;4,600037;1;3;3;yellow
9;67;5,166733;1;4;4;yellow
9;68;5,766922;1;2;2;yellow
9;69;6,350113;1;4;4;yellow
9;70;6,850723;1;1;1;yellow
9;71;7,40007;1;3;3;yellow
9;72;8,033234;1;2;2;yellow
10;73;4,166672;1;3;3;green
10;74;4,616882;1;4;4;green
10;75;5,316711;1;2;2;green
10;76;5,783401;1;1;1;green
10;77;6,35025;1;3;3;green
10;78;6,583633;0;2;3;green
10;79;7,15065;0;4;2;green
10;80;8,250031;1;1;1;green
11;81;5,066772;1;2;2;yellow
11;82;5,666733;1;1;1;yellow
11;83;6,317169;1;4;4;yellow
11;84;6,866653;1;1;1;yellow
11;85;7,483383;1;3;3;yellow
11;86;8,583405;1;2;2;yellow
11;87;9,116867;1;4;4;yellow
11;88;9,650024;1;3;3;yellow
12;89;6,83345;1;2;2;blue
12;90;7,383286;1;3;3;blue
12;91;7,799896;1;1;1;blue
12;92;8,316788;1;4;4;blue
12;93;8,816589;1;3;3;blue
12;94;9,283249;1;1;1;blue
12;95;9,916885;1;2;2;blue
12;96;10,38327;1;4;4;blue
13;97;4,233368;1;2;2;blue
13;98;4,816879;1;3;3;blue
13;99;5,333511;1;1;1;blue
13;100;5,883316;1;4;4;blue
13;101;6,450241;1;3;3;blue
13;102;6,950089;1;1;1;blue
13;103;7,5168;1;2;2;blue
13;104;8,066666;1;4;4;blue
14;105;4,083344;1;2;2;blue
14;106;4,550079;1;3;3;blue
14;107;5,083252;1;1;1;blue
14;108;5,600342;1;4;4;blue
14;109;6,100037;1;3;3;blue
14;110;6,599854;1;1;1;blue
14;111;7,183441;1;2;2;blue
14;112;7,716644;1;4;4;blue
15;113;4,150208;1;3;3;green
15;114;4,683319;1;4;4;green
15;115;5,333313;1;2;2;green
15;116;5,866486;1;1;1;green
15;117;6,416504;1;3;3;green
15;118;6,983246;1;2;2;green
15;119;7,666595;1;4;4;green
15;120;8,249847;1;1;1;green
16;121;4,133453;1;3;3;green
16;122;4,66684;1;4;4;green
16;123;5,250061;1;2;2;green
16;124;5,733398;1;1;1;green
16;125;6,233521;1;3;3;green
16;126;6,766663;1;2;2;green
16;127;7,366638;1;4;4;green
16;128;7,816864;1;1;1;green
17;129;4,53302;1;2;2;blue
17;130;5,049835;1;3;3;blue
17;131;5,499756;1;1;1;blue
17;132;6,016632;1;4;4;blue
17;133;6,583008;1;3;3;blue
17;134;7,066681;1;1;1;blue
17;135;7,649841;1;2;2;blue
17;136;8,21637;1;4;4;blue
