BlockNumber;EventNumber;Time Since Block start;isHit;target;pressed;sequence
1;1;3,933369;1;2;2;blue
1;2;4,216644;1;3;3;blue
1;3;4,533459;1;1;1;blue
1;4;4,816879;1;4;4;blue
1;5;5,083309;1;3;3;blue
1;6;5,349865;1;1;1;blue
1;7;5,550037;1;2;2;blue
1;8;5,750011;1;4;4;blue
2;9;4,849865;1;2;2;yellow
2;10;5,183334;1;4;4;yellow
2;11;5,633198;1;1;1;yellow
2;12;6,016529;1;3;3;yellow
2;13;6,366634;1;4;4;yellow
2;14;6,683201;1;2;2;yellow
2;15;6,966747;1;3;3;yellow
2;16;7,233273;1;1;1;yellow
3;17;3,933174;1;1;1;yellow
3;18;4,349907;1;3;3;yellow
3;19;4,683395;1;4;4;yellow
3;20;5,083641;1;2;2;yellow
3;21;5,450027;1;4;4;yellow
3;22;5,783417;1;1;1;yellow
3;23;6,150131;1;3;3;yellow
3;24;6,516708;1;2;2;yellow
4;25;5,316589;1;4;4;yellow
4;26;5,699997;1;3;3;yellow
4;27;6,083138;1;1;1;yellow
4;28;6,516663;1;4;4;yellow
4;29;6,88308;1;3;3;yellow
4;30;7,21653;1;1;1;yellow
4;31;7,566574;1;4;4;yellow
4;32;7,883522;0;2;3;yellow
5;33;3,633148;1;2;2;blue
5;34;3,932976;1;3;3;blue
5;35;4,199974;1;1;1;blue
5;36;4,466248;1;4;4;blue
5;37;4,683113;1;3;3;blue
5;38;4,932999;1;1;1;blue
5;39;5,199425;1;2;2;blue
5;40;5,416183;1;4;4;blue
6;41;4,350288;1;2;2;yellow
6;42;4,750137;1;1;1;yellow
6;43;5,133476;1;4;4;yellow
6;44;5,550102;1;1;1;yellow
6;45;6,016724;1;3;3;yellow
6;46;6,383461;1;2;2;yellow
6;47;6,833473;1;4;4;yellow
6;48;7,233421;1;3;3;yellow
7;49;3,500031;1;2;2;blue
7;50;3,783318;1;3;3;blue
7;51;4,066551;1;1;1;blue
7;52;4,299843;1;4;4;blue
7;53;4,883224;1;3;3;blue
7;54;5,217072;1;1;1;blue
7;55;5,433296;1;2;2;blue
7;56;5,699982;1;4;4;blue
8;57;3,433136;1;2;2;blue
8;58;3,650047;1;3;3;blue
8;59;3,933342;1;1;1;blue
8;60;4,183365;1;4;4;blue
8;61;4,416595;1;3;3;blue
8;62;5,366638;1;1;1;blue
8;63;5,649986;1;2;2;blue
8;64;5,866562;1;4;4;blue
9;65;3,783455;1;3;3;green
9;66;4,150032;1;4;4;green
9;67;4,516777;1;2;2;green
9;68;4,883202;1;1;1;green
9;69;5,250038;1;3;3;green
9;70;5,500076;1;2;2;green
9;71;5,716919;1;4;4;green
9;72;5,950287;1;1;1;green
10;73;3,466362;1;2;2;blue
10;74;3,733147;1;3;3;blue
10;75;3,999603;1;1;1;blue
10;76;4,266449;1;4;4;blue
10;77;4,699753;1;3;3;blue
10;78;4,950096;1;1;1;blue
10;79;5,149757;1;2;2;blue
10;80;5,383194;1;4;4;blue
11;81;3,833099;1;2;2;blue
11;82;4,08316;1;3;3;blue
11;83;4,35009;1;1;1;blue
11;84;4,56649;1;4;4;blue
11;85;4,800072;1;3;3;blue
11;86;5,066353;1;1;1;blue
11;87;5,333214;1;2;2;blue
11;88;5,533096;1;4;4;blue
12;89;3,916786;1;3;3;green
12;90;4,166702;1;4;4;green
12;91;4,400192;1;2;2;green
12;92;4,66658;1;1;1;green
12;93;5,216835;1;3;3;green
12;94;5,449959;1;2;2;green
12;95;5,65004;1;4;4;green
12;96;5,933533;1;1;1;green
13;97;4,033096;0;2;3;blue
13;98;5,233109;1;3;3;blue
13;99;6,283066;1;1;1;blue
13;100;6,633041;1;4;4;blue
13;101;6,866531;1;3;3;blue
13;102;7,099716;1;1;1;blue
13;103;7,366425;1;2;2;blue
13;104;7,599991;1;4;4;blue
14;105;3,466553;1;2;2;blue
14;106;3,733093;1;3;3;blue
14;107;3,983154;1;1;1;blue
14;108;4,233505;1;4;4;blue
14;109;4,449753;1;3;3;blue
14;110;5,28302;1;1;1;blue
14;111;5,566559;1;2;2;blue
14;112;5,783157;1;4;4;blue
15;113;3,833374;1;3;3;green
15;114;4,349915;1;4;4;green
15;115;4,683167;1;2;2;green
15;116;4,933258;1;1;1;green
15;117;5,183258;1;3;3;green
15;118;5,366516;1;2;2;green
15;119;5,550156;1;4;4;green
15;120;5,800003;1;1;1;green
16;121;4,083298;1;1;1;yellow
16;122;4,44986;1;3;3;yellow
16;123;4,916473;1;4;4;yellow
16;124;5,383209;1;2;2;yellow
16;125;5,716446;1;4;4;yellow
16;126;6,266479;1;1;1;yellow
16;127;6,783188;1;3;3;yellow
16;128;7,049957;1;2;2;yellow
17;129;3,433365;1;2;2;blue
17;130;3,649902;1;3;3;blue
17;131;3,900299;1;1;1;blue
17;132;4,13327;1;4;4;blue
17;133;4,399918;1;3;3;blue
17;134;4,933243;1;1;1;blue
17;135;5,183289;1;2;2;blue
17;136;5,383179;1;4;4;blue
18;137;3,383347;1;2;2;blue
18;138;3,600082;1;3;3;blue
18;139;3,849884;1;1;1;blue
18;140;4,100204;1;4;4;blue
18;141;4,316589;1;3;3;blue
18;142;4,566803;1;1;1;blue
18;143;4,816605;1;2;2;blue
18;144;5,033234;1;4;4;blue
19;145;3,417038;1;2;2;blue
19;146;3,650024;1;3;3;blue
19;147;3,933578;1;1;1;blue
19;148;4,149841;1;4;4;blue
19;149;4,383423;1;3;3;blue
19;150;4,616791;1;1;1;blue
19;151;4,849976;1;2;2;blue
19;152;5,033432;1;4;4;blue
20;153;4,949844;1;1;1;yellow
20;154;5,28334;1;2;2;yellow
20;155;5,499832;1;4;4;yellow
20;156;5,866608;1;1;1;yellow
20;157;6,433273;1;3;3;yellow
20;158;6,783356;1;4;4;yellow
20;159;7,59996;1;2;2;yellow
20;160;7,900238;1;3;3;yellow
21;161;3,449738;1;2;2;blue
21;162;3,699905;1;3;3;blue
21;163;3,966476;1;1;1;blue
21;164;4,16655;1;4;4;blue
21;165;4,383026;1;3;3;blue
21;166;4,666351;1;1;1;blue
21;167;4,899719;1;2;2;blue
21;168;5,116364;1;4;4;blue
22;169;3,300003;1;2;2;blue
22;170;3,516724;1;3;3;blue
22;171;3,766632;1;1;1;blue
22;172;3,983246;1;4;4;blue
