BlockNumber;EventNumber;Time Since Block start;isHit;target;pressed;sequence
1;1;3,73362;1;2;2;blue
1;2;3,833275;1;3;3;blue
1;3;3,983482;1;1;1;blue
1;4;4,16629;1;4;4;blue
1;5;4,28299;1;3;3;blue
1;6;5,04966;1;1;1;blue
1;7;5,299576;1;2;2;blue
1;8;5,400299;1;4;4;blue
2;9;3,949295;1;2;2;yellow
2;10;4,099365;1;4;4;yellow
2;11;4,282677;1;1;1;yellow
2;12;4,566032;1;3;3;yellow
2;13;4,799416;1;4;4;yellow
2;14;4,983009;1;2;2;yellow
2;15;5,366135;1;3;3;yellow
2;16;5,599655;1;1;1;yellow
3;17;3,783478;1;1;1;yellow
3;18;4,033157;1;3;3;yellow
3;19;4,216339;1;4;4;yellow
3;20;4,399483;1;2;2;yellow
3;21;4,699707;1;4;4;yellow
3;22;4,96669;1;1;1;yellow
3;23;5,349724;1;3;3;yellow
3;24;5,549782;1;2;2;yellow
4;25;3,933121;1;4;4;yellow
4;26;4,167068;1;3;3;yellow
4;27;4,333275;1;1;1;yellow
4;28;4,533531;1;4;4;yellow
4;29;4,66703;1;3;3;yellow
4;30;4,816704;1;1;1;yellow
4;31;4,966393;1;4;4;yellow
4;32;5,11657;1;2;2;yellow
5;33;3,733337;1;2;2;blue
5;34;3,816956;1;3;3;blue
5;35;3,966476;1;1;1;blue
5;36;4,083359;1;4;4;blue
5;37;4,166656;1;3;3;blue
5;38;4,283615;1;1;1;blue
5;39;4,416611;1;2;2;blue
5;40;4,4841;1;4;4;blue
6;41;3,88266;1;2;2;yellow
6;42;4,049316;1;1;1;yellow
6;43;4,2491;1;4;4;yellow
6;44;4,649506;1;1;1;yellow
6;45;4,983002;1;3;3;yellow
6;46;5,566299;1;2;2;yellow
6;47;5,865845;1;4;4;yellow
6;48;6,216049;1;3;3;yellow
7;49;3,799805;1;2;2;blue
7;50;3,866623;1;3;3;blue
7;51;4,016586;1;1;1;blue
7;52;4,149826;1;4;4;blue
7;53;4,232956;1;3;3;blue
7;54;4,350082;1;1;1;blue
7;55;4,450226;1;2;2;blue
7;56;4,566284;1;4;4;blue
8;57;3,717087;1;2;2;blue
8;58;3,800003;1;3;3;blue
8;59;3,950226;1;1;1;blue
8;60;4,083572;1;4;4;blue
8;61;4,166824;1;3;3;blue
8;62;4,283508;1;1;1;blue
8;63;4,400711;1;2;2;blue
8;64;4,466873;1;4;4;blue
9;65;3,79982;1;3;3;green
9;66;3,933563;1;4;4;green
9;67;4,133896;1;2;2;green
9;68;4,299881;1;1;1;green
9;69;4,616928;1;3;3;green
9;70;4,833786;1;2;2;green
9;71;4,950119;1;4;4;green
9;72;5,133591;1;1;1;green
10;73;3,649612;1;2;2;blue
10;74;3,7164;1;3;3;blue
10;75;3,899841;1;1;1;blue
10;76;4,016357;1;4;4;blue
10;77;4,13295;1;3;3;blue
10;78;4,249786;1;1;1;blue
10;79;4,332993;1;2;2;blue
10;80;4,449814;1;4;4;blue
11;81;3,699585;1;2;2;blue
11;82;3,783752;1;3;3;blue
11;83;3,932877;1;1;1;blue
11;84;4,033493;1;4;4;blue
11;85;4,149704;1;3;3;blue
11;86;4,250137;1;1;1;blue
11;87;4,350143;1;2;2;blue
11;88;4,449753;1;4;4;blue
12;89;3,933487;1;3;3;green
12;90;4,149979;1;4;4;green
12;91;4,367615;1;2;2;green
12;92;4,566895;1;1;1;green
12;93;5,133606;1;3;3;green
12;94;5,483429;1;2;2;green
12;95;5,816757;1;4;4;green
12;96;6,100037;1;1;1;green
13;97;3,766632;1;2;2;blue
13;98;3,866745;1;3;3;blue
