BlockNumber;EventNumber;Time Since Block start;isHit;target;pressed;sequence
1;1;4,499741;1;2;2;yellow
1;2;5,249512;1;3;3;yellow
1;3;5,883057;1;1;1;yellow
1;4;6,699654;1;4;4;yellow
1;5;7,516113;1;3;3;yellow
1;6;8,2351;1;1;1;yellow
1;7;8,966438;1;2;2;yellow
1;8;9,660759;1;4;4;yellow
2;9;4,31707;1;2;2;blue
2;10;5,366768;1;3;3;blue
2;11;6,166771;1;1;1;blue
2;12;7,649712;1;4;4;blue
2;13;8,833;1;3;3;blue
2;14;9,866463;1;1;1;blue
2;15;10,9496;1;2;2;blue
2;16;11,86639;1;4;4;blue
3;17;4,133163;1;2;2;blue
3;18;5,166542;1;3;3;blue
3;19;5,967003;1;1;1;blue
3;20;6,799889;1;4;4;blue
3;21;6,833763;0;3;1;blue
3;22;9,217026;1;1;1;blue
3;23;10,067;1;2;2;blue
3;24;10,80026;1;4;4;blue
4;25;4,100052;1;1;1;yellow
4;26;5,700317;1;3;3;yellow
4;27;6,749489;1;4;4;yellow
4;28;7,516434;1;2;2;yellow
4;29;8,41642;1;4;4;yellow
4;30;9,349548;1;1;1;yellow
4;31;10,71612;1;3;3;yellow
4;32;11,53289;1;2;2;yellow
5;33;4,833572;1;3;3;green
5;34;5,483284;1;4;4;green
5;35;6,449844;1;2;2;green
5;36;7,233337;1;1;1;green
5;37;8,31691;1;3;3;green
5;38;9,216904;1;2;2;green
5;39;9,849762;1;4;4;green
5;40;10,4666;1;1;1;green
6;41;4,300644;1;2;2;yellow
6;42;5,067062;1;3;3;yellow
6;43;5,817307;1;1;1;yellow
6;44;6,533432;1;4;4;yellow
6;45;7,983292;1;3;3;yellow
6;46;8,999725;1;1;1;yellow
6;47;9,833557;1;2;2;yellow
6;48;10,51677;1;4;4;yellow
7;49;4,233383;1;1;1;yellow
7;50;4,983353;1;2;2;yellow
7;51;5,699768;1;4;4;yellow
7;52;6,633545;1;1;1;yellow
7;53;7,600143;1;3;3;yellow
7;54;8,349747;1;4;4;yellow
7;55;9,549911;1;2;2;yellow
7;56;10,50029;1;3;3;yellow
8;57;4,083191;1;2;2;blue
8;58;4,733429;1;3;3;blue
8;59;5,382889;1;1;1;blue
8;60;6,133179;1;4;4;blue
8;61;7,700104;1;3;3;blue
8;62;8,766251;1;1;1;blue
8;63;9,600418;1;2;2;blue
8;64;10,74937;1;4;4;blue
9;65;3,966583;1;4;4;yellow
9;66;4,850433;1;1;1;yellow
9;67;5,783722;1;3;3;yellow
9;68;6,550171;1;2;2;yellow
9;69;8,133499;1;4;4;yellow
9;70;9,349777;1;3;3;yellow
9;71;10,30046;1;1;1;yellow
9;72;11,30028;1;2;2;yellow
10;73;4,333328;1;2;2;blue
10;74;5,049911;1;3;3;blue
10;75;5,69957;1;1;1;blue
10;76;6,432922;1;4;4;blue
10;77;7,466248;1;3;3;blue
10;78;8,416336;1;1;1;blue
10;79;9,299789;1;2;2;blue
10;80;10,18295;0;4;3;blue
11;81;4,133514;1;2;2;blue
11;82;4,933701;1;3;3;blue
11;83;5,616547;1;1;1;blue
11;84;6,416672;1;4;4;blue
11;85;7,850266;1;3;3;blue
11;86;8,816437;1;1;1;blue
11;87;10,08315;1;2;2;blue
11;88;10,86664;1;4;4;blue
12;89;4,116867;1;2;2;blue
12;90;4,716873;1;3;3;blue
12;91;5,383148;1;1;1;blue
12;92;6,13353;1;4;4;blue
12;93;7,033234;1;3;3;blue
12;94;7,700012;1;1;1;blue
12;95;8,783112;1;2;2;blue
12;96;10,03311;1;4;4;blue
13;97;5,200241;1;3;3;green
13;98;5,800018;1;4;4;green
13;99;6,467422;1;2;2;green
13;100;7,066864;1;1;1;green
13;101;8,916611;1;3;3;green
13;102;9,583237;1;2;2;green
13;103;10,91667;1;4;4;green
13;104;11,7336;1;1;1;green
14;105;4,383148;1;2;2;blue
14;106;5,083359;1;3;3;blue
14;107;5,683182;1;1;1;blue
14;108;6,483002;1;4;4;blue
14;109;7,816422;1;3;3;blue
14;110;8,667007;1;1;1;blue
14;111;9,81694;1;2;2;blue
