BlockNumber;EventNumber;Time Since Block start;isHit;target;pressed;sequence
1;1;3,632973;1;2;2;yellow
1;2;3,799995;1;1;1;yellow
1;3;4,016632;1;4;4;yellow
1;4;4,166435;1;1;1;yellow
1;5;4,349655;1;3;3;yellow
1;6;4,533295;1;2;2;yellow
1;7;4,68309;1;4;4;yellow
1;8;4,849724;1;3;3;yellow
2;9;3,416542;1;2;2;blue
2;10;3,566689;1;3;3;blue
2;11;3,683189;1;1;1;blue
2;12;3,800026;1;4;4;blue
2;13;3,916618;1;3;3;blue
2;14;4,050041;1;1;1;blue
2;15;4,116783;1;2;2;blue
2;16;4,216652;1;4;4;blue
3;17;3,383453;1;2;2;blue
3;18;3,516663;1;3;3;blue
3;19;3,649918;1;1;1;blue
3;20;3,733521;1;4;4;blue
3;21;3,850067;1;3;3;blue
3;22;3,950104;1;1;1;blue
3;23;4,033188;1;2;2;blue
3;24;4,133484;1;4;4;blue
4;25;3,433136;1;2;2;blue
4;26;3,549896;1;3;3;blue
4;27;3,683304;1;1;1;blue
4;28;3,766281;1;4;4;blue
4;29;3,866531;1;3;3;blue
4;30;3,96669;1;1;1;blue
4;31;4,049866;1;2;2;blue
4;32;4,133057;1;4;4;blue
5;33;3,416962;1;2;2;blue
5;34;3,550278;1;3;3;blue
5;35;3,683609;1;1;1;blue
5;36;3,783707;1;4;4;blue
5;37;3,900299;1;3;3;blue
5;38;4,016953;1;1;1;blue
5;39;4,099899;1;2;2;blue
5;40;4,200058;1;4;4;blue
6;41;3,43338;1;2;2;blue
6;42;3,583328;1;3;3;blue
6;43;3,716812;1;1;1;blue
6;44;3,783371;1;4;4;blue
6;45;3,88327;1;3;3;blue
6;46;4,000046;1;1;1;blue
6;47;4,083252;1;2;2;blue
6;48;4,166626;1;4;4;blue
7;49;3,700027;0;1;4;yellow
7;50;4,000488;1;3;3;yellow
7;51;4,78331;1;4;4;yellow
7;52;5,216675;1;2;2;yellow
7;53;5,51709;1;4;4;yellow
7;54;5,750015;1;1;1;yellow
7;55;6,016922;1;3;3;yellow
7;56;6,166672;1;2;2;yellow
8;57;3,816696;1;2;2;yellow
8;58;4,000031;1;1;1;yellow
8;59;4,349915;1;3;3;yellow
8;60;4,516907;1;4;4;yellow
8;61;4,783325;1;2;2;yellow
8;62;5,050018;1;4;4;yellow
8;63;5,31665;1;1;1;yellow
8;64;5,449905;1;2;2;yellow
9;65;3,433517;1;3;3;green
9;66;3,566711;1;4;4;green
9;67;3,750092;1;2;2;green
9;68;3,88356;1;1;1;green
9;69;4,033676;1;3;3;green
9;70;4,166702;1;2;2;green
9;71;4,300217;1;4;4;green
9;72;4,399796;1;1;1;green
10;73;3,433456;1;3;3;green
10;74;3,516998;1;4;4;green
10;75;3,700256;1;2;2;green
10;76;3,800308;1;1;1;green
10;77;4,000366;1;3;3;green
10;78;4,100327;1;2;2;green
10;79;4,233521;1;4;4;green
10;80;4,316635;1;1;1;green
11;81;3,900345;1;2;2;blue
11;82;4,033417;1;3;3;blue
11;83;4,184021;1;1;1;blue
11;84;4,316864;1;4;4;blue
11;85;4,400177;1;3;3;blue
11;86;4,533646;1;1;1;blue
11;87;4,617035;1;2;2;blue
11;88;4,716843;1;4;4;blue
12;89;3,466995;1;3;3;green
12;90;3,583359;1;4;4;green
12;91;3,716797;1;2;2;green
12;92;3,850067;1;1;1;green
12;93;4,033295;1;3;3;green
12;94;4,166718;1;2;2;green
12;95;4,300095;1;4;4;green
12;96;4,383347;1;1;1;green
13;97;3,383591;1;2;2;blue
13;98;3,533249;1;3;3;blue
13;99;3,666595;1;1;1;blue
13;100;3,783417;1;4;4;blue
13;101;3,883545;1;3;3;blue
13;102;4,000046;1;1;1;blue
13;103;4,083389;1;2;2;blue
13;104;4,183258;1;4;4;blue
14;105;3,38327;1;2;2;blue
14;106;3,533463;1;3;3;blue
14;107;3,633453;1;1;1;blue
14;108;3,750229;1;4;4;blue
14;109;3,816818;1;3;3;blue
14;110;3,966904;1;1;1;blue
14;111;4,03334;1;2;2;blue
14;112;4,117538;1;4;4;blue
15;113;3,382599;1;3;3;green
15;114;3,465881;1;4;4;green
15;115;3,632645;1;2;2;green
15;116;3,765823;1;1;1;green
15;117;3,932648;0;3;2;green
15;118;4,782425;1;2;2;green
15;119;4,949234;1;4;4;green
15;120;5,049316;1;1;1;green
16;121;3,449966;1;2;2;blue
16;122;3,54982;1;3;3;blue
16;123;3,699722;1;1;1;blue
16;124;3,816666;1;4;4;blue
16;125;3,916412;1;3;3;blue
16;126;4,033249;1;1;1;blue
16;127;4,099869;1;2;2;blue
16;128;4,183136;1;4;4;blue
17;129;3,383453;1;2;2;blue
17;130;3,483292;1;3;3;blue
17;131;3,616882;1;1;1;blue
17;132;3,733307;1;4;4;blue
17;133;3,833374;1;3;3;blue
17;134;3,933426;1;1;1;blue
17;135;4,016739;1;2;2;blue
17;136;4,117004;1;4;4;blue
18;137;3,383087;1;3;3;green
18;138;3,483215;1;4;4;green
18;139;3,666489;1;2;2;green
18;140;3,783234;1;1;1;green
18;141;3,966446;1;3;3;green
18;142;4,09964;1;2;2;green
18;143;4,216583;1;4;4;green
18;144;4,316422;1;1;1;green
19;145;3,44986;1;2;2;blue
19;146;3,566391;1;3;3;blue
19;147;3,699783;1;1;1;blue
19;148;3,81662;1;4;4;blue
