BlockNumber;EventNumber;Time Since Block start;isHit;target;pressed;sequence
1;1;5,350067;1;2;2;blue
1;2;6,166817;1;3;3;blue
1;3;7,249691;1;1;1;blue
1;4;8,549717;0;4;3;blue
1;5;9,766937;0;3;4;blue
1;6;11,36644;1;1;1;blue
1;7;12,4163;1;2;2;blue
1;8;13,28387;1;4;4;blue
2;9;4,66637;1;1;1;yellow
2;10;6,415939;1;3;3;yellow
2;11;7,232483;1;4;4;yellow
2;12;9,866505;1;2;2;yellow
2;13;10,74979;1;4;4;yellow
2;14;12,09982;1;1;1;yellow
2;15;14,01612;1;3;3;yellow
2;16;15,96607;0;2;3;yellow
3;17;5,033646;0;3;4;green
3;18;5,166649;1;4;4;green
3;19;5,300041;0;2;3;green
3;20;7,382889;1;1;1;green
3;21;9,616844;1;3;3;green
3;22;9,733505;0;2;4;green
3;23;12,66656;1;4;4;green
3;24;13,3501;1;1;1;green
4;25;6,583504;0;2;4;yellow
4;26;6,716347;0;4;3;yellow
4;27;8,866127;1;1;1;yellow
4;28;10,21667;1;3;3;yellow
4;29;11,69968;1;4;4;yellow
4;30;13,31696;1;2;2;yellow
4;31;14,98306;0;3;2;yellow
4;32;15,69954;0;1;4;yellow
5;33;6,500084;1;3;3;green
5;34;7,233765;1;4;4;green
5;35;8,450134;1;2;2;green
5;36;9,750359;1;1;1;green
5;37;10,63326;1;3;3;green
5;38;13,49992;1;2;2;green
5;39;14,46674;1;4;4;green
5;40;15,48372;1;1;1;green
6;41;4,66684;1;2;2;blue
6;42;5,45005;1;3;3;blue
6;43;6,500237;1;1;1;blue
6;44;8,38343;1;4;4;blue
6;45;9,883102;1;3;3;blue
6;46;9,950096;0;1;4;blue
6;47;12,96651;0;2;1;blue
6;48;13,63273;0;4;2;blue
7;49;6,950066;1;2;2;blue
7;50;7,516731;1;3;3;blue
7;51;8,333656;1;1;1;blue
7;52;9,45002;1;4;4;blue
7;53;10,45061;0;3;2;blue
7;54;12,43374;1;1;1;blue
7;55;13,75053;0;2;3;blue
7;56;14,88389;1;4;4;blue
8;57;3,500183;1;2;2;yellow
8;58;6,316086;1;4;4;yellow
8;59;7,449341;1;1;1;yellow
8;60;10,91629;1;3;3;yellow
8;61;11,96648;1;4;4;yellow
8;62;13,63303;0;2;3;yellow
8;63;15,06619;1;3;3;yellow
8;64;16,64983;1;1;1;yellow
9;65;4,999786;1;1;1;yellow
9;66;6,682877;0;3;1;yellow
9;67;6,750107;0;4;3;yellow
9;68;9,216293;1;2;2;yellow
9;69;9,766556;0;4;2;yellow
9;70;12,09966;0;1;2;yellow
9;71;14,23328;0;3;2;yellow
9;72;15,7;1;2;2;yellow
10;73;3,233093;0;3;2;green
10;74;6,982849;1;4;4;green
10;75;9,716309;1;2;2;green
10;76;10,51607;1;1;1;green
10;77;11,53349;1;3;3;green
10;78;13,06651;1;2;2;green
10;79;14,03279;1;4;4;green
10;80;14,73314;1;1;1;green
11;81;4,600388;1;2;2;yellow
11;82;5,049652;0;1;2;yellow
11;83;6,066162;1;4;4;yellow
11;84;6,866364;1;1;1;yellow
11;85;8,383331;1;3;3;yellow
11;86;9,416321;1;2;2;yellow
11;87;10,19989;1;4;4;yellow
11;88;11,16656;1;3;3;yellow
12;89;5,833817;1;2;2;blue
12;90;6,816498;1;3;3;blue
12;91;8,099655;1;1;1;blue
12;92;8,850189;1;4;4;blue
12;93;10,56667;1;3;3;blue
12;94;11,38281;1;1;1;blue
12;95;11,98347;1;2;2;blue
12;96;12,71678;1;4;4;blue
13;97;5,666565;1;2;2;blue
13;98;6,349594;1;3;3;blue
13;99;8,082901;1;1;1;blue
13;100;8,682709;1;4;4;blue
13;101;10,39996;1;3;3;blue
13;102;10,4994;0;1;4;blue
13;103;11,49986;0;2;4;blue
13;104;12,56648;1;4;4;blue
14;105;5,083649;1;2;2;blue
14;106;5,716949;1;3;3;blue
14;107;6,566772;1;1;1;blue
14;108;7,399811;1;4;4;blue
14;109;9,616241;1;3;3;blue
14;110;9,766861;0;1;4;blue
14;111;11,88269;1;2;2;blue
14;112;12,73373;1;4;4;blue
15;113;4,582367;1;3;3;green
15;114;5,332153;1;4;4;green
15;115;6,899231;1;2;2;green
15;116;8,015808;1;1;1;green
15;117;8,698868;0;3;4;green
15;118;8,732452;0;2;3;green
15;119;10,08287;1;4;4;green
15;120;10,69958;1;1;1;green
16;121;4,533127;1;3;3;green
16;122;5,350357;1;4;4;green
16;123;7,116516;1;2;2;green
16;124;7,916229;1;1;1;green
16;125;8,683105;1;3;3;green
16;126;10,4826;1;2;2;green
16;127;11,3494;1;4;4;green
16;128;12,30011;1;1;1;green
17;129;5,38269;1;2;2;blue
17;130;6,566101;1;3;3;blue
17;131;7,483337;1;1;1;blue
17;132;8,349579;1;4;4;blue
17;133;9,249634;1;3;3;blue
17;134;10,18268;1;1;1;blue
17;135;10,93317;1;2;2;blue
17;136;11,61682;1;4;4;blue
18;137;4,415924;1;4;4;yellow
18;138;4,949371;1;3;3;yellow
18;139;5,665955;1;1;1;yellow
18;140;6,115936;1;4;4;yellow
18;141;6,999756;1;3;3;yellow
18;142;7,916168;1;1;1;yellow
18;143;11,78226;1;4;4;yellow
18;144;12,9996;0;2;3;yellow
19;145;5,61618;1;2;2;blue
19;146;6,216309;1;3;3;blue
19;147;7,366852;1;1;1;blue
19;148;7,966522;1;4;4;blue
19;149;9,566071;1;3;3;blue
19;150;11,39993;1;1;1;blue
19;151;11,93311;1;2;2;blue
19;152;12,4166;1;4;4;blue
20;153;5,282898;1;2;2;blue
20;154;6,067017;1;3;3;blue
20;155;6,833344;1;1;1;blue
20;156;7,299988;1;4;4;blue
20;157;9,266205;1;3;3;blue
20;158;10,09961;1;1;1;blue
20;159;10,78333;1;2;2;blue
20;160;11,31604;1;4;4;blue
21;161;5,550232;1;2;2;blue
21;162;6,31723;1;3;3;blue
21;163;6,433441;0;1;4;blue
21;164;7,900482;1;4;4;blue
21;165;9,133514;1;3;3;blue
21;166;10,06726;1;1;1;blue
21;167;10,41736;0;2;4;blue
21;168;10,58411;1;4;4;blue
22;169;4,132874;0;1;4;yellow
22;170;5,499878;1;2;2;yellow
22;171;6,066772;1;4;4;yellow
22;172;6,799286;1;1;1;yellow
22;173;7,383148;1;3;3;yellow
22;174;8,249603;0;4;1;yellow
22;175;9,899292;1;2;2;yellow
22;176;10,83328;1;3;3;yellow
23;177;5,582642;1;2;2;blue
23;178;6,199463;1;3;3;blue
23;179;7,399597;1;1;1;blue
23;180;7,966095;1;4;4;blue
23;181;8,766022;1;3;3;blue
