BlockNumber;EventNumber;Time Since Block start;isHit;target;pressed;sequence
1;1;3,999863;1;2;2;yellow
1;2;4,183182;1;1;1;yellow
1;3;4,399979;1;4;4;yellow
1;4;4,600128;1;1;1;yellow
1;5;4,916359;1;3;3;yellow
1;6;5,133087;1;2;2;yellow
1;7;5,333138;1;4;4;yellow
1;8;5,616394;1;3;3;yellow
2;9;3,916725;1;2;2;blue
2;10;4,083298;1;3;3;blue
2;11;4,216606;1;1;1;blue
2;12;4,366737;1;4;4;blue
2;13;4,633423;1;3;3;blue
2;14;4,783737;1;1;1;blue
2;15;4,95005;1;2;2;blue
2;16;5,083389;1;4;4;blue
3;17;3,533241;1;2;2;blue
3;18;3,683289;1;3;3;blue
3;19;3,816658;1;1;1;blue
3;20;3,949913;1;4;4;blue
3;21;4,166946;1;3;3;blue
3;22;4,300011;1;1;1;blue
3;23;4,449821;1;2;2;blue
3;24;4,583138;1;4;4;blue
4;25;3,483673;1;2;2;blue
4;26;3,61676;1;3;3;blue
4;27;3,733398;1;1;1;blue
4;28;3,866783;1;4;4;blue
4;29;4,033524;1;3;3;blue
4;30;4,183517;1;1;1;blue
4;31;4,350204;1;2;2;blue
4;32;4,467796;1;4;4;blue
5;33;3,46566;1;2;2;blue
5;34;3,599068;1;3;3;blue
5;35;3,715645;1;1;1;blue
5;36;3,848816;1;4;4;blue
5;37;4,049065;1;3;3;blue
5;38;4,165794;1;1;1;blue
5;39;4,315804;1;2;2;blue
5;40;4,41584;1;4;4;blue
6;41;3,416321;1;2;2;blue
6;42;3,549606;1;3;3;blue
6;43;3,683212;1;1;1;blue
6;44;3,833122;1;4;4;blue
6;45;3,999863;1;3;3;blue
6;46;4,099792;1;1;1;blue
6;47;4,266472;1;2;2;blue
6;48;4,399902;1;4;4;blue
7;49;3,799629;1;1;1;yellow
7;50;3,983124;1;3;3;yellow
7;51;4,21656;1;4;4;yellow
7;52;4,616676;1;2;2;yellow
7;53;4,849602;1;4;4;yellow
7;54;5,116455;1;1;1;yellow
7;55;5,400032;1;3;3;yellow
7;56;5,549614;1;2;2;yellow
8;57;3,733643;1;2;2;yellow
8;58;3,900314;1;1;1;yellow
8;59;4,183517;1;3;3;yellow
8;60;4,383507;1;4;4;yellow
8;61;4,633629;0;2;3;yellow
8;62;5,499985;1;4;4;yellow
8;63;5,717377;1;1;1;yellow
8;64;5,883736;1;2;2;yellow
9;65;3,499794;1;3;3;green
9;66;3,616455;1;4;4;green
9;67;3,716278;1;2;2;green
9;68;3,783058;1;1;1;green
9;69;4,016449;1;3;3;green
9;70;4,149765;1;2;2;green
9;71;4,316284;1;4;4;green
9;72;4,36647;1;1;1;green
10;73;3,433289;1;3;3;green
10;74;3,516685;1;4;4;green
10;75;3,633041;1;2;2;green
10;76;3,7332;1;1;1;green
10;77;3,916428;1;3;3;green
10;78;4,050125;1;2;2;green
10;79;4,200165;1;4;4;green
10;80;4,283211;1;1;1;green
11;81;3,449928;1;2;2;blue
11;82;3,61657;1;3;3;blue
11;83;3,699974;1;1;1;blue
11;84;3,833366;1;4;4;blue
11;85;4,033302;1;3;3;blue
11;86;4,150627;1;1;1;blue
11;87;4,29995;1;2;2;blue
11;88;4,433174;1;4;4;blue
12;89;3,333588;1;3;3;green
12;90;3,400101;1;4;4;green
12;91;3,566818;1;2;2;green
12;92;3,633606;1;1;1;green
12;93;3,833618;1;3;3;green
12;94;4,000168;1;2;2;green
12;95;4,133606;1;4;4;green
12;96;4,216553;1;1;1;green
13;97;3,416733;1;2;2;blue
13;98;3,583466;1;3;3;blue
13;99;3,683502;1;1;1;blue
13;100;3,800003;1;4;4;blue
13;101;4,050064;1;3;3;blue
13;102;4,166809;1;1;1;blue
13;103;4,283371;1;2;2;blue
13;104;4,41687;1;4;4;blue
14;105;3,416519;1;2;2;blue
14;106;3,583969;1;3;3;blue
14;107;3,666748;1;1;1;blue
14;108;3,783096;1;4;4;blue
14;109;3,96666;1;3;3;blue
14;110;4,083298;1;1;1;blue
14;111;4,216537;1;2;2;blue
14;112;4,349945;1;4;4;blue
15;113;3,433411;1;3;3;green
15;114;3,56665;1;4;4;green
15;115;3,650055;1;2;2;green
15;116;3,716644;1;1;1;green
15;117;3,966599;1;3;3;green
15;118;4,083191;1;2;2;green
15;119;4,249985;1;4;4;green
15;120;4,316574;1;1;1;green
16;121;3,449799;1;2;2;blue
16;122;3,600113;1;3;3;blue
16;123;3,716721;1;1;1;blue
16;124;3,833298;1;4;4;blue
16;125;4,016693;1;3;3;blue
16;126;4,099991;1;1;1;blue
16;127;4,233124;1;2;2;blue
16;128;4,366516;1;4;4;blue
17;129;3,383957;1;2;2;blue
17;130;3,550201;1;3;3;blue
17;131;3,68335;1;1;1;blue
17;132;3,800064;1;4;4;blue
17;133;3,950134;1;3;3;blue
17;134;4,033447;1;1;1;blue
17;135;4,166916;1;2;2;blue
17;136;4,317078;1;4;4;blue
18;137;3,499695;1;3;3;green
18;138;3,616547;1;4;4;green
18;139;3,732941;1;2;2;green
18;140;3,816406;1;1;1;green
18;141;3,983017;1;3;3;green
18;142;4,116318;1;2;2;green
18;143;4,266281;1;4;4;green
18;144;4,349854;1;1;1;green
19;145;3,499771;1;2;2;blue
19;146;3,666336;1;3;3;blue
19;147;3,766403;1;1;1;blue
19;148;3,916489;1;4;4;blue
19;149;4,399918;1;3;3;blue
19;150;4,499908;1;1;1;blue
19;151;4,633148;1;2;2;blue
19;152;4,766327;1;4;4;blue
20;153;3,383636;1;2;2;blue
20;154;3,550247;1;3;3;blue
20;155;3,66687;1;1;1;blue
20;156;3,783417;1;4;4;blue
20;157;4,000076;1;3;3;blue
20;158;4,166748;1;1;1;blue
20;159;4,300125;1;2;2;blue
20;160;4,450272;1;4;4;blue
21;161;3,449982;1;2;2;blue
21;162;3,583145;1;3;3;blue
21;163;3,716751;1;1;1;blue
21;164;3,849747;1;4;4;blue
21;165;4,066376;0;3;2;blue
21;166;4,266403;0;1;3;blue
21;167;4,783157;0;2;3;blue
21;168;4,93309;0;4;1;blue
22;169;3,466705;1;2;2;blue
22;170;3,633255;1;3;3;blue
22;171;3,766693;1;1;1;blue
22;172;3,900116;1;4;4;blue
22;173;4,749954;1;3;3;blue
22;174;4,900726;1;1;1;blue
22;175;5,000458;1;2;2;blue
22;176;5,150253;1;4;4;blue
23;177;3,782974;1;1;1;yellow
23;178;3,999893;1;3;3;yellow
23;179;4,182999;1;4;4;yellow
23;180;4,616516;1;2;2;yellow
23;181;4,816559;1;4;4;yellow
23;182;5,049789;1;1;1;yellow
23;183;5,383026;1;3;3;yellow
23;184;5,549957;1;2;2;yellow
24;185;3,700195;1;4;4;yellow
24;186;3,883194;1;3;3;yellow
24;187;4,016479;1;1;1;yellow
24;188;4,182999;1;4;4;yellow
24;189;4,599854;1;3;3;yellow
24;190;4,99968;1;1;1;yellow
24;191;5,199692;1;4;4;yellow
24;192;5,499817;1;2;2;yellow
25;193;3,766556;1;2;2;yellow
25;194;3,983109;1;4;4;yellow
25;195;4,11647;1;1;1;yellow
25;196;4,43335;1;3;3;yellow
25;197;4,833252;1;4;4;yellow
25;198;5,16655;1;2;2;yellow
25;199;5,366486;1;3;3;yellow
25;200;5,550095;1;1;1;yellow
26;201;3,466431;1;2;2;blue
26;202;3,65004;1;3;3;blue
26;203;3,766434;1;1;1;blue
26;204;3,916611;1;4;4;blue
26;205;4,133926;1;3;3;blue
26;206;4,266342;1;1;1;blue
26;207;4,349747;1;2;2;blue
26;208;4,499725;1;4;4;blue
27;209;3,816422;1;2;2;yellow
27;210;4,000046;1;3;3;yellow
27;211;4,11673;1;1;1;yellow
27;212;4,2332;1;4;4;yellow
27;213;4,566635;1;3;3;yellow
27;214;4,866913;1;1;1;yellow
27;215;5,100006;1;2;2;yellow
27;216;5,250259;1;4;4;yellow
28;217;3,499695;1;2;2;blue
28;218;3,649902;1;3;3;blue
28;219;3,766388;1;1;1;blue
28;220;3,883057;1;4;4;blue
28;221;4,066483;1;3;3;blue
28;222;4,183029;1;1;1;blue
28;223;4,283066;1;2;2;blue
28;224;4,416351;1;4;4;blue
29;225;3,449982;1;2;2;blue
29;226;3,616928;1;3;3;blue
29;227;3,733398;1;1;1;blue
29;228;3,866745;1;4;4;blue
29;229;4,083511;1;3;3;blue
29;230;4,249985;1;1;1;blue
29;231;4,350296;1;2;2;blue
29;232;4,483261;1;4;4;blue
30;233;3,450043;1;2;2;blue
30;234;3,566605;1;3;3;blue
30;235;3,716705;1;1;1;blue
30;236;3,850189;1;4;4;blue
30;237;4,083389;0;3;1;blue
30;238;5,249969;1;1;1;blue
30;239;5,416855;1;2;2;blue
30;240;5,550018;1;4;4;blue
31;241;3,466873;1;2;2;blue
31;242;3,650208;1;3;3;blue
31;243;3,783264;1;1;1;blue
31;244;3,900238;1;4;4;blue
31;245;4,099945;1;3;3;blue
31;246;4,216614;1;1;1;blue
31;247;4,366974;1;2;2;blue
31;248;4,499847;1;4;4;blue
32;249;3,766754;1;1;1;yellow
32;250;3,883362;1;2;2;yellow
32;251;4,050217;1;4;4;yellow
32;252;4,316711;1;1;1;yellow
32;253;4,733459;1;3;3;yellow
32;254;5,233383;1;4;4;yellow
32;255;5,600082;1;2;2;yellow
32;256;5,900101;1;3;3;yellow
33;257;3,466858;1;3;3;green
33;258;3,616684;1;4;4;green
33;259;3,716599;1;2;2;green
33;260;3,800049;1;1;1;green
33;261;4,016418;1;3;3;green
33;262;4,150055;1;2;2;green
33;263;4,283249;1;4;4;green
33;264;4,366486;1;1;1;green
34;265;3,750122;1;4;4;yellow
34;266;3,933395;1;1;1;yellow
34;267;4,11676;1;3;3;yellow
34;268;4,516708;1;2;2;yellow
34;269;4,816772;1;4;4;yellow
34;270;5,100037;1;3;3;yellow
34;271;5,416718;1;1;1;yellow
34;272;5,583588;1;2;2;yellow
35;273;3,433121;1;3;3;green
35;274;3,533112;1;4;4;green
35;275;3,649811;1;2;2;green
35;276;3,766495;1;1;1;green
35;277;3,89978;1;3;3;green
35;278;4,016617;1;2;2;green
35;279;4,233078;0;4;1;green
35;280;4,933121;1;1;1;green
36;281;3,56665;1;3;3;green
36;282;3,66684;1;4;4;green
36;283;3,816635;1;2;2;green
36;284;3,966751;1;1;1;green
36;285;4,550034;1;3;3;green
36;286;4,666656;1;2;2;green
36;287;4,816605;1;4;4;green
36;288;4,90004;1;1;1;green
37;289;3,4832;1;3;3;green
37;290;3,633591;1;4;4;green
37;291;3,749924;1;2;2;green
37;292;3,866608;1;1;1;green
37;293;4,066666;1;3;3;green
37;294;4,183365;1;2;2;green
