BlockNumber;EventNumber;Time Since Block start;isHit;target;pressed;sequence
1;1;4,166367;1;2;2;yellow
1;2;4,332474;0;1;4;yellow
1;3;6,2332;1;4;4;yellow
1;4;6,900089;1;1;1;yellow
1;5;7,299423;0;3;4;yellow
1;6;7,41629;0;2;4;yellow
1;7;7,916843;0;4;1;yellow
1;8;8,466114;0;3;4;yellow
2;9;3,033272;0;2;4;blue
2;10;5,000847;1;3;3;blue
2;11;5,633553;1;1;1;blue
2;12;6,299965;1;4;4;blue
2;13;6,883606;0;3;2;blue
2;14;7,516342;1;1;1;blue
2;15;8,250114;0;2;4;blue
2;16;8,333572;1;4;4;blue
3;17;4,116913;1;2;2;blue
3;18;4,866776;1;3;3;blue
3;19;4,932953;0;1;4;blue
3;20;6,117249;1;4;4;blue
3;21;6,833023;1;3;3;blue
3;22;7,46685;1;1;1;blue
3;23;8,065483;1;2;2;blue
3;24;8,616554;1;4;4;blue
4;25;5,166069;1;2;2;blue
4;26;6,050041;1;3;3;blue
4;27;6,699921;1;1;1;blue
4;28;7,383186;1;4;4;blue
4;29;8,115845;1;3;3;blue
4;30;8,716728;1;1;1;blue
4;31;9,333229;1;2;2;blue
4;32;9,849701;1;4;4;blue
5;33;4,200699;1;2;2;blue
5;34;4,800095;1;3;3;blue
5;35;5,367302;1;1;1;blue
5;36;6,000259;1;4;4;blue
5;37;6,700417;1;3;3;blue
5;38;8,033394;0;1;4;blue
5;39;10,06681;1;2;2;blue
5;40;10,56675;1;4;4;blue
6;41;4,899498;1;2;2;blue
6;42;5,783798;1;3;3;blue
6;43;6,433685;1;1;1;blue
6;44;6,79982;0;4;1;blue
6;45;7,100525;0;3;4;blue
6;46;8,667297;1;1;1;blue
6;47;9,833496;1;2;2;blue
6;48;10,34985;1;4;4;blue
7;49;4,0672;1;1;1;yellow
7;50;5,167198;1;3;3;yellow
7;51;5,933586;1;4;4;yellow
7;52;6,616371;1;2;2;yellow
7;53;7,249626;1;4;4;yellow
7;54;8,016792;1;1;1;yellow
7;55;8,900093;1;3;3;yellow
7;56;9,517105;1;2;2;yellow
8;57;4,066383;1;2;2;yellow
8;58;4,732712;1;1;1;yellow
8;59;5,766624;1;3;3;yellow
8;60;6,583275;1;4;4;yellow
8;61;7,383606;1;2;2;yellow
8;62;10,94986;1;4;4;yellow
8;63;11,83305;1;1;1;yellow
8;64;12,48256;1;2;2;yellow
9;65;4,284393;1;3;3;green
