BlockNumber;EventNumber;Time Since Block start;isHit;target;pressed;sequence
1;1;5,050232;0;2;3;blue
1;2;6,133369;0;3;2;blue
1;3;12,65033;0;1;4;blue
1;4;14,78326;0;4;1;blue
1;5;16,46655;0;3;2;blue
1;6;24,3165;1;1;1;blue
1;7;25,31645;0;2;4;blue
1;8;25,81657;0;4;2;blue
2;9;5,216705;1;1;1;yellow
2;10;6,066574;1;3;3;yellow
2;11;6,467003;0;4;3;yellow
2;12;8,266815;1;2;2;yellow
2;13;9,266869;1;4;4;yellow
2;14;14,80058;1;1;1;yellow
2;15;16,0666;1;3;3;yellow
2;16;17,06633;1;2;2;yellow
3;17;4,717262;0;3;2;green
3;18;8,200562;0;4;1;green
3;19;9,400246;1;2;2;green
3;20;11,31689;0;1;4;green
3;21;14,01701;0;3;2;green
3;22;15,10019;0;2;3;green
3;23;16,93353;0;4;1;green
3;24;18,20038;0;1;4;green
4;25;5,649841;0;2;3;yellow
4;26;10,34967;0;4;1;yellow
4;27;12,51643;0;1;4;yellow
4;28;14,50003;0;3;2;yellow
4;29;19,86681;0;4;1;yellow
4;30;21,633;0;2;3;yellow
4;31;22,88358;0;3;2;yellow
4;32;24,46637;0;1;4;yellow
5;33;122,9492;1;3;3;green
5;34;126,9331;0;4;1;green
5;35;131,7658;0;2;3;green
5;36;133,6326;0;1;4;green
5;37;169,9324;1;3;3;green
5;38;182,3997;1;2;2;green
5;39;183,8989;0;4;1;green
5;40;189,0994;0;1;4;green
6;41;181,5322;1;2;2;blue
6;42;182,4818;1;3;3;blue
6;43;183,3325;1;1;1;blue
6;44;184,2156;1;4;4;blue
6;45;184,7651;1;3;3;blue
6;46;184,9987;0;1;3;blue
6;47;186,4664;1;2;2;blue
6;48;187,3322;1;4;4;blue
7;49;36,66663;1;2;2;blue
7;50;37,33325;1;3;3;blue
7;51;38,86652;1;1;1;blue
7;52;40,01648;1;4;4;blue
7;53;41,1499;0;3;2;blue
7;54;48,44989;1;1;1;blue
7;55;49,6994;1;2;2;blue
7;56;51,18274;0;4;3;blue
8;57;10,78375;0;2;3;yellow
8;58;19,4165;0;4;1;yellow
8;59;27,05029;0;1;2;yellow
8;60;35,16638;1;3;3;yellow
8;61;38,33295;0;4;2;yellow
8;62;47,11646;1;2;2;yellow
8;63;48,24994;1;3;3;yellow
8;64;49,60028;0;1;4;yellow
9;65;5,116455;1;1;1;yellow
9;66;6,116577;1;3;3;yellow
9;67;8,849548;0;4;3;yellow
9;68;11,34949;1;2;2;yellow
9;69;16,4162;1;4;4;yellow
9;70;22,14948;1;1;1;yellow
9;71;23,41675;0;3;2;yellow
9;72;25,09949;0;2;3;yellow
10;73;10,94977;1;3;3;green
10;74;12,66644;1;4;4;green
10;75;14,15021;1;2;2;green
10;76;15,54956;1;1;1;green
10;77;18,36646;1;3;3;green
10;78;19,71619;1;2;2;green
10;79;22,5672;0;4;1;green
10;80;25,28345;1;1;1;green
11;81;4,699951;1;2;2;yellow
11;82;6,983704;1;1;1;yellow
11;83;8,466125;1;4;4;yellow
11;84;10,48291;1;1;1;yellow
11;85;13,71619;1;3;3;yellow
11;86;14,74933;1;2;2;yellow
11;87;15,98322;0;4;1;yellow
11;88;18,06659;1;3;3;yellow
12;89;6,683411;1;2;2;blue
12;90;7,916809;1;3;3;blue
12;91;9,766541;0;1;4;blue
12;92;12,46613;1;4;4;blue
12;93;14,14935;0;3;2;blue
12;94;17,29938;1;1;1;blue
12;95;18,94934;0;2;3;blue
12;96;21,01611;0;4;1;blue
13;97;10,69989;1;2;2;blue
13;98;12,78339;1;3;3;blue
13;99;14,91644;1;1;1;blue
13;100;16,20013;1;4;4;blue
13;101;17,76654;0;3;2;blue
13;102;19,78333;1;1;1;blue
13;103;21,61652;1;2;2;blue
13;104;23,56635;0;4;1;blue
14;105;6,85022;1;2;2;blue
14;106;8,066711;1;3;3;blue
14;107;10,13336;1;1;1;blue
14;108;12,05017;1;4;4;blue
14;109;17,91724;0;3;2;blue
14;110;20,50049;0;1;4;blue
14;111;22,83331;1;2;2;blue
14;112;24,23358;0;4;1;blue
15;113;8,799927;1;3;3;green
15;114;11,03339;1;4;4;green
15;115;12,48328;1;2;2;green
15;116;14,68329;1;1;1;green
15;117;16,1496;1;3;3;green
15;118;17,08301;1;2;2;green
15;119;18,43317;0;4;1;green
15;120;20,56702;0;1;4;green
16;121;5,265808;1;3;3;green
16;122;6,849182;0;4;1;green
16;123;8,715881;1;2;2;green
16;124;10,89923;0;1;4;green
16;125;10,91608;1;3;3;green
16;126;13,73267;1;2;2;green
16;127;18,43317;0;4;1;green
16;128;24,38257;1;1;1;green
17;129;8,667175;1;2;2;blue
17;130;9,500061;1;3;3;blue
17;131;10,51654;1;1;1;blue
17;132;12,11731;1;4;4;blue
17;133;13,46661;0;3;2;blue
17;134;16,66656;1;1;1;blue
17;135;18,08368;1;2;2;blue
17;136;20,06671;1;4;4;blue
18;137;4,666748;1;4;4;yellow
18;138;5,98407;1;3;3;yellow
18;139;7,183533;1;1;1;yellow
18;140;8,666992;1;4;4;yellow
18;141;10,51611;1;3;3;yellow
18;142;11,69971;1;1;1;yellow
18;143;20,01617;0;4;3;yellow
18;144;21,83337;0;2;3;yellow
19;145;5,666382;1;2;2;blue
19;146;8,733032;1;3;3;blue
19;147;12,26678;1;1;1;blue
19;148;13,64954;1;4;4;blue
19;149;13,6662;1;3;3;blue
19;150;18,13275;1;1;1;blue
19;151;19,30023;1;2;2;blue
19;152;20,56622;1;4;4;blue
20;153;5,750366;1;2;2;blue
20;154;6,700073;1;3;3;blue
20;155;7,766418;1;1;1;blue
20;156;8,950195;1;4;4;blue
20;157;10,60046;1;3;3;blue
20;158;12,48346;1;1;1;blue
20;159;13,66711;1;2;2;blue
20;160;14,78333;1;4;4;blue
21;161;12,11682;1;2;2;blue
21;162;13,11652;1;3;3;blue
21;163;14,50018;0;1;3;blue
21;164;15,2002;0;4;1;blue
21;165;19,76642;0;3;2;blue
21;166;22,88348;1;1;1;blue
21;167;24,09998;1;2;2;blue
21;168;25,28339;1;4;4;blue
22;169;5,94989;1;1;1;yellow
22;170;6,766296;1;2;2;yellow
22;171;7,783569;1;4;4;yellow
22;172;8,566467;0;1;4;yellow
22;173;8,949768;0;3;1;yellow
22;174;11,63354;1;4;4;yellow
22;175;13,20044;1;2;2;yellow
22;176;14,33307;1;3;3;yellow
23;177;7,483215;0;2;3;blue
23;178;9,899963;1;3;3;blue
23;179;11,80005;1;1;1;blue
23;180;13,08405;1;4;4;blue
23;181;14,65039;0;3;1;blue
23;182;18,70001;0;1;4;blue
