BlockNumber;EventNumber;Time Since Block start;isHit;target;pressed;sequence
1;1;3,716408;1;2;2;yellow
1;2;3,966324;1;3;3;yellow
1;3;4,183128;1;1;1;yellow
1;4;4,399979;1;4;4;yellow
1;5;4,633232;1;3;3;yellow
1;6;4,833076;1;1;1;yellow
1;7;5,049911;1;2;2;yellow
1;8;5,26693;1;4;4;yellow
2;9;3,63279;1;2;2;blue
2;10;3,849556;1;3;3;blue
2;11;4,04921;1;1;1;blue
2;12;4,266235;1;4;4;blue
2;13;4,466049;1;3;3;blue
2;14;4,649918;1;1;1;blue
2;15;4,866241;1;2;2;blue
2;16;5,083092;1;4;4;blue
3;17;3,583549;1;2;2;blue
3;18;3,833466;1;3;3;blue
3;19;4,033112;1;1;1;blue
3;20;4,23333;1;4;4;blue
3;21;4,433487;1;3;3;blue
3;22;4,632996;1;1;1;blue
3;23;4,84964;1;2;2;blue
3;24;5,066338;1;4;4;blue
4;25;4,033272;1;1;1;yellow
4;26;4,283287;1;3;3;yellow
4;27;4,500305;1;4;4;yellow
4;28;4,73317;1;2;2;yellow
4;29;4,950325;1;4;4;yellow
4;30;5,149826;1;1;1;yellow
4;31;5,383377;1;3;3;yellow
4;32;5,566544;1;2;2;yellow
5;33;3,883301;1;3;3;green
5;34;4,083504;1;4;4;green
5;35;4,316887;1;2;2;green
5;36;4,517128;1;1;1;green
5;37;4,76667;1;3;3;green
5;38;4,950142;1;2;2;green
5;39;5,183891;1;4;4;green
5;40;5,383568;1;1;1;green
6;41;3,633369;1;2;2;yellow
6;42;3,850563;1;3;3;yellow
6;43;4,033798;1;1;1;yellow
6;44;4,233932;1;4;4;yellow
6;45;4,450661;1;3;3;yellow
6;46;4,650017;1;1;1;yellow
6;47;4,883072;1;2;2;yellow
6;48;5,100266;1;4;4;yellow
7;49;3,800049;1;1;1;yellow
7;50;4,016342;1;2;2;yellow
7;51;4,282776;1;4;4;yellow
7;52;4,482872;1;1;1;yellow
7;53;5,082771;1;3;3;yellow
7;54;5,282913;1;4;4;yellow
7;55;5,516098;1;2;2;yellow
7;56;5,699364;1;3;3;yellow
8;57;3,716774;1;2;2;blue
8;58;3,900177;1;3;3;blue
8;59;4,066818;1;1;1;blue
8;60;4,283295;1;4;4;blue
8;61;4,500298;1;3;3;blue
8;62;4,683922;1;1;1;blue
8;63;4,900131;1;2;2;blue
8;64;5,117249;1;4;4;blue
9;65;3,816261;1;4;4;yellow
9;66;3,999458;1;1;1;yellow
9;67;4,266289;1;3;3;yellow
9;68;4,45047;1;2;2;yellow
9;69;4,716866;1;4;4;yellow
9;70;4,916367;1;3;3;yellow
9;71;5,132874;1;1;1;yellow
9;72;5,333336;1;2;2;yellow
10;73;3,74968;1;2;2;blue
10;74;3,932999;1;3;3;blue
10;75;4,116409;1;1;1;blue
10;76;4,299484;1;4;4;blue
10;77;4,516586;1;3;3;blue
10;78;4,699677;1;1;1;blue
10;79;4,899796;1;2;2;blue
10;80;5,099731;1;4;4;blue
11;81;3,633209;1;2;2;blue
11;82;3,81662;1;3;3;blue
11;83;4,000305;1;1;1;blue
11;84;4,216415;1;4;4;blue
11;85;4,400543;1;3;3;blue
11;86;4,582993;1;1;1;blue
11;87;4,800385;1;2;2;blue
11;88;5,000046;1;4;4;blue
12;89;3,683044;1;2;2;blue
12;90;3,883224;1;3;3;blue
12;91;4,049942;1;1;1;blue
12;92;4,266937;1;4;4;blue
12;93;4,466293;1;3;3;blue
12;94;4,633011;1;1;1;blue
12;95;4,833389;1;2;2;blue
12;96;5,050079;1;4;4;blue
13;97;3,800003;1;3;3;green
13;98;3,983215;1;4;4;green
13;99;4,182861;1;2;2;green
13;100;4,382889;1;1;1;green
13;101;4,616287;1;3;3;green
13;102;4,799698;1;2;2;green
13;103;4,999664;1;4;4;green
13;104;5,15007;1;1;1;green
14;105;3,666092;1;2;2;blue
14;106;3,866318;1;3;3;blue
14;107;4,066101;1;1;1;blue
14;108;4,26619;1;4;4;blue
14;109;4,483032;1;3;3;blue
14;110;4,666351;1;1;1;blue
14;111;4,882706;1;2;2;blue
14;112;5,116302;1;4;4;blue
15;113;3,983932;1;3;3;green
15;114;4,166962;1;4;4;green
15;115;4,400116;1;2;2;green
15;116;4,583145;1;1;1;green
15;117;4,833282;1;3;3;green
15;118;5,016281;1;2;2;green
15;119;5,2164;1;4;4;green
15;120;5,399979;1;1;1;green
16;121;3,650055;1;3;3;green
16;122;3,81636;1;4;4;green
16;123;4,049774;1;2;2;green
16;124;4,350555;1;1;1;green
16;125;4,599915;1;3;3;green
16;126;4,766418;1;2;2;green
16;127;4,983398;1;4;4;green
16;128;5,18335;1;1;1;green
17;129;3,61673;1;2;2;blue
17;130;3,816513;1;3;3;blue
17;131;3,983795;1;1;1;blue
17;132;4,18338;1;4;4;blue
17;133;4,399811;1;3;3;blue
17;134;4,567093;1;1;1;blue
17;135;4,7836;1;2;2;blue
17;136;4,967209;1;4;4;blue
18;137;3,699081;1;2;2;blue
18;138;3,883011;1;3;3;blue
18;139;4,065811;1;1;1;blue
18;140;4,282501;1;4;4;blue
18;141;4,466019;1;3;3;blue
18;142;4,64917;1;1;1;blue
18;143;4,849365;1;2;2;blue
18;144;5,082397;1;4;4;blue
19;145;3,616882;1;2;2;blue
19;146;3,800415;1;3;3;blue
19;147;3,967163;1;1;1;blue
19;148;4,200256;1;4;4;blue
19;149;4,366898;1;3;3;blue
19;150;4,550125;1;1;1;blue
19;151;4,750381;1;2;2;blue
19;152;4,967468;1;4;4;blue
20;153;3,649445;1;2;2;blue
20;154;3,849747;1;3;3;blue
20;155;4,015778;1;1;1;blue
20;156;4,21611;1;4;4;blue
20;157;4,41626;1;3;3;blue
20;158;4,599747;1;1;1;blue
20;159;4,81604;1;2;2;blue
20;160;5,032883;1;4;4;blue
21;161;3,600372;1;2;2;blue
21;162;3,799896;1;3;3;blue
21;163;3,982956;1;1;1;blue
21;164;4,18309;1;4;4;blue
21;165;4,383133;1;3;3;blue
21;166;4,566544;1;1;1;blue
