BlockNumber;EventNumber;Time Since Block start;isHit;target;pressed;sequence
1;1;3,316265;1;2;2;blue
1;2;3,46627;1;3;3;blue
1;3;3,699696;0;1;4;blue
1;4;3,732883;0;4;1;blue
1;5;4,199566;1;3;3;blue
1;6;4,399548;1;1;1;blue
1;7;4,949539;1;2;2;blue
1;8;5,116257;1;4;4;blue
2;9;3,316906;1;2;2;blue
2;10;3,416508;1;3;3;blue
2;11;3,650105;0;1;4;blue
2;12;3,717144;0;4;1;blue
2;13;4,249828;1;3;3;blue
2;14;4,5667;1;1;1;blue
2;15;4,849812;1;2;2;blue
2;16;5,116619;1;4;4;blue
3;17;3,466515;1;3;3;green
3;18;3,600014;1;4;4;green
3;19;3,949974;1;2;2;green
3;20;4,133347;1;1;1;green
3;21;4,416664;0;3;4;green
3;22;4,483261;0;2;3;green
3;23;4,566605;0;4;2;green
3;24;5,166733;1;1;1;green
4;25;3,433189;0;3;4;green
4;26;4,39991;1;4;4;green
4;27;4,866402;1;2;2;green
4;28;5,04982;1;1;1;green
4;29;5,516571;1;3;3;green
4;30;5,616486;1;2;2;green
4;31;6,016533;1;4;4;green
4;32;6,066444;1;1;1;green
5;33;3,149887;0;2;4;yellow
5;34;4,100128;1;1;1;yellow
5;35;4,533371;1;4;4;yellow
5;36;4,850113;1;1;1;yellow
5;37;5,249947;1;3;3;yellow
5;38;5,683281;1;2;2;yellow
5;39;5,950012;1;4;4;yellow
5;40;6,433411;1;3;3;yellow
6;41;3,383301;1;2;2;blue
6;42;3,566803;1;3;3;blue
6;43;3,916611;1;1;1;blue
6;44;3,983223;1;4;4;blue
6;45;4,399818;1;3;3;blue
6;46;4,583321;1;1;1;blue
6;47;4,916588;1;2;2;blue
6;48;5,083336;1;4;4;blue
7;49;3,533112;1;2;2;blue
7;50;3,583473;1;3;3;blue
7;51;3,999908;1;1;1;blue
7;52;4,033287;1;4;4;blue
7;53;4,566742;1;3;3;blue
7;54;4,749786;1;1;1;blue
7;55;4,91642;1;2;2;blue
7;56;4,933289;1;4;4;blue
8;57;3,65004;1;2;2;blue
8;58;3,733261;1;3;3;blue
8;59;4,03334;0;1;4;blue
8;60;4,049911;0;4;1;blue
8;61;4,816422;1;3;3;blue
8;62;5,116646;1;1;1;blue
8;63;5,316612;1;2;2;blue
8;64;5,41674;1;4;4;blue
9;65;3,300186;1;2;2;blue
9;66;3,399979;1;3;3;blue
9;67;3,633118;0;1;4;blue
9;68;3,699799;0;4;1;blue
9;69;4,46637;1;3;3;blue
9;70;4,733139;1;1;1;blue
9;71;5,083084;1;2;2;blue
9;72;5,249893;1;4;4;blue
10;73;3,900032;1;2;2;yellow
10;74;4,033119;1;3;3;yellow
