BlockNumber;EventNumber;Time Since Block start;isHit;target;pressed;sequence
1;1;4,266296;1;2;2;blue
1;2;4,650269;1;3;3;blue
1;3;5,066414;1;1;1;blue
1;4;5,41703;1;4;4;blue
1;5;6,083542;1;3;3;blue
1;6;6,466637;1;1;1;blue
1;7;6,766342;1;2;2;blue
1;8;7,149765;1;4;4;blue
2;9;3,81678;1;2;2;yellow
2;10;4,183159;1;4;4;yellow
2;11;4,733299;1;1;1;yellow
2;12;5,466721;1;3;3;yellow
2;13;6,06752;1;4;4;yellow
2;14;6,533211;1;2;2;yellow
2;15;7,133209;1;3;3;yellow
2;16;7,466431;1;1;1;yellow
3;17;3,834175;1;1;1;yellow
3;18;4,383369;1;3;3;yellow
3;19;4,900749;1;4;4;yellow
3;20;5,367195;1;2;2;yellow
3;21;5,850197;1;4;4;yellow
3;22;6,366722;1;1;1;yellow
3;23;7,183838;0;3;4;yellow
3;24;8,383591;1;2;2;yellow
4;25;3,983063;1;4;4;yellow
4;26;4,417007;1;3;3;yellow
4;27;4,783028;1;1;1;yellow
4;28;5,25029;1;4;4;yellow
4;29;5,733582;1;3;3;yellow
4;30;6,199715;1;1;1;yellow
4;31;6,749931;1;4;4;yellow
4;32;7,299736;1;2;2;yellow
5;33;4,016846;1;2;2;blue
5;34;4,350105;1;3;3;blue
5;35;4,733315;1;1;1;blue
5;36;5,033875;1;4;4;blue
5;37;5,616867;1;3;3;blue
5;38;6,016785;1;1;1;blue
5;39;6,316612;1;2;2;blue
5;40;6,649925;1;4;4;blue
6;41;3,683884;1;2;2;yellow
6;42;4,26683;1;1;1;yellow
6;43;4,600204;1;4;4;yellow
6;44;5,017181;1;1;1;yellow
6;45;6,16716;1;3;3;yellow
6;46;6,534332;1;2;2;yellow
6;47;6,866638;1;4;4;yellow
6;48;7,266891;0;3;1;yellow
7;49;3,900482;1;2;2;blue
7;50;4,399567;1;3;3;blue
7;51;4,833328;1;1;1;blue
7;52;5,183197;1;4;4;blue
7;53;5,616364;1;3;3;blue
7;54;6,166748;1;1;1;blue
7;55;6,549942;1;2;2;blue
7;56;6,966522;1;4;4;blue
8;57;3,733643;1;2;2;blue
8;58;4,133804;1;3;3;blue
8;59;4,533508;1;1;1;blue
8;60;4,900269;1;4;4;blue
8;61;5,333847;1;3;3;blue
8;62;5,749832;1;1;1;blue
8;63;6,050262;1;2;2;blue
8;64;6,433319;1;4;4;blue
9;65;3,983292;1;3;3;green
9;66;4,483719;1;4;4;green
9;67;5,283615;1;2;2;green
9;68;5,666779;1;1;1;green
9;69;6,216461;1;3;3;green
9;70;6,583099;1;2;2;green
9;71;6,90036;1;4;4;green
9;72;7,449844;1;1;1;green
10;73;3,750015;1;2;2;blue
10;74;4,21759;1;3;3;blue
10;75;4,599869;1;1;1;blue
10;76;4,949936;1;4;4;blue
10;77;5,216721;0;3;4;blue
10;78;7,100082;1;1;1;blue
10;79;7,733704;1;2;2;blue
10;80;7,966675;0;4;2;blue
11;81;4,016922;1;2;2;blue
11;82;4,466736;1;3;3;blue
11;83;4,916855;1;1;1;blue
11;84;5,350632;1;4;4;blue
11;85;5,86673;1;3;3;blue
11;86;6,300064;1;1;1;blue
11;87;6,683838;1;2;2;blue
11;88;7,050003;1;4;4;blue
