BlockNumber;EventNumber;Time Since Block start;isHit;target;pressed;sequence
1;1;3,750038;1;2;2;yellow
1;2;3,916779;1;1;1;yellow
1;3;4,166702;1;4;4;yellow
1;4;4,366913;1;1;1;yellow
1;5;4,683289;1;3;3;yellow
1;6;4,833122;1;2;2;yellow
1;7;5,033463;1;4;4;yellow
1;8;5,133255;1;3;3;yellow
2;9;3,483398;1;2;2;blue
2;10;3,633331;1;3;3;blue
2;11;3,766579;1;1;1;blue
2;12;3,933502;1;4;4;blue
2;13;4,100082;1;3;3;blue
2;14;4,266602;1;1;1;blue
2;15;4,316673;1;2;2;blue
2;16;4,433434;1;4;4;blue
3;17;3,383186;1;2;2;blue
3;18;3,533257;1;3;3;blue
3;19;3,63369;1;1;1;blue
3;20;3,799995;1;4;4;blue
3;21;3,983185;1;3;3;blue
3;22;4,133209;1;1;1;blue
3;23;4,249992;1;2;2;blue
3;24;4,333191;1;4;4;blue
4;25;3,833344;1;2;2;blue
4;26;4;1;3;3;blue
4;27;4,133354;1;1;1;blue
4;28;4,29998;1;4;4;blue
4;29;4,450005;1;3;3;blue
4;30;4,600082;1;1;1;blue
4;31;4,650055;1;2;2;blue
4;32;4,783638;1;4;4;blue
5;33;3,399651;1;2;2;blue
5;34;3,566551;1;3;3;blue
5;35;3,699715;1;1;1;blue
5;36;3,866402;1;4;4;blue
5;37;4,032951;1;3;3;blue
5;38;4,433014;1;1;1;blue
5;39;4,582954;1;2;2;blue
5;40;4,716492;1;4;4;blue
6;41;3,416473;1;2;2;blue
6;42;3,566711;1;3;3;blue
6;43;3,68351;1;1;1;blue
6;44;3,866531;1;4;4;blue
6;45;4,033195;1;3;3;blue
6;46;4,199783;1;1;1;blue
6;47;4,616623;1;2;2;blue
6;48;4,74987;1;4;4;blue
7;49;3,600227;1;1;1;yellow
7;50;3,883423;1;3;3;yellow
7;51;4,500015;1;4;4;yellow
7;52;4,666763;1;2;2;yellow
7;53;5,000084;0;4;3;yellow
7;54;5,616783;1;1;1;yellow
7;55;6,150078;0;3;2;yellow
7;56;6,749962;1;2;2;yellow
8;57;3,800064;1;2;2;yellow
8;58;3,950142;1;1;1;yellow
8;59;4,283287;1;3;3;yellow
8;60;4,449875;1;4;4;yellow
8;61;4,966568;1;2;2;yellow
8;62;5,133202;1;4;4;yellow
8;63;5,533318;1;1;1;yellow
8;64;5,666611;1;2;2;yellow
9;65;3,766708;1;3;3;green
9;66;3,91729;1;4;4;green
9;67;4,100082;1;2;2;green
9;68;4,283394;1;1;1;green
9;69;4,56678;1;3;3;green
9;70;4,783272;1;2;2;green
9;71;4,933525;1;4;4;green
9;72;5,050064;1;1;1;green
10;73;3,466568;1;3;3;green
10;74;3,583397;1;4;4;green
10;75;3,816689;1;2;2;green
10;76;3,999954;1;1;1;green
10;77;4,366562;1;3;3;green
10;78;4,516502;1;2;2;green
10;79;4,650101;1;4;4;green
10;80;4,699982;1;1;1;green
11;81;3,416519;1;2;2;blue
11;82;3,583351;1;3;3;blue
11;83;3,733345;1;1;1;blue
11;84;3,916634;1;4;4;blue
11;85;4,083603;1;3;3;blue
11;86;4,266693;1;1;1;blue
11;87;4,333183;1;2;2;blue
11;88;4,49987;1;4;4;blue
12;89;3,366608;1;3;3;green
12;90;3,40023;1;4;4;green
12;91;3,833534;1;2;2;green
12;92;4,016693;1;1;1;green
12;93;4,233421;1;3;3;green
12;94;4,43351;1;2;2;green
12;95;4,600014;1;4;4;green
12;96;4,650314;1;1;1;green
13;97;3,432991;1;2;2;blue
13;98;3,583031;1;3;3;blue
13;99;3,716331;1;1;1;blue
13;100;3,883202;1;4;4;blue
13;101;4,04969;1;3;3;blue
13;102;4,349678;1;1;1;blue
13;103;4,666908;1;2;2;blue
13;104;4,783104;1;4;4;blue
14;105;3,466614;1;2;2;blue
14;106;3,649963;1;3;3;blue
14;107;3,783188;1;1;1;blue
14;108;3,983124;1;4;4;blue
14;109;4,149841;1;3;3;blue
14;110;4,38327;1;1;1;blue
14;111;4,416519;1;2;2;blue
14;112;4,566528;1;4;4;blue
15;113;3,399948;1;3;3;green
15;114;3,516617;1;4;4;green
15;115;3,749985;1;2;2;green
15;116;3,933228;1;1;1;green
15;117;4,133286;1;3;3;green
15;118;4,499939;1;2;2;green
15;119;4,683517;1;4;4;green
15;120;4,833405;1;1;1;green
16;121;3,58313;1;2;2;blue
16;122;3,749832;1;3;3;blue
16;123;3,949814;1;1;1;blue
16;124;4,883209;1;4;4;blue
16;125;5,116547;1;3;3;blue
16;126;5,283203;1;1;1;blue
16;127;5,366409;1;2;2;blue
16;128;5,483276;1;4;4;blue
17;129;3,333267;1;2;2;blue
17;130;3,516525;1;3;3;blue
17;131;3,633301;1;1;1;blue
17;132;3,816544;1;4;4;blue
17;133;3,983353;1;3;3;blue
17;134;4,349838;1;1;1;blue
17;135;4,483398;1;2;2;blue
17;136;4,600037;1;4;4;blue
18;137;3,399811;1;3;3;green
18;138;3,533234;1;4;4;green
18;139;3,899734;1;2;2;green
18;140;4,049881;1;1;1;green
18;141;4,41655;1;3;3;green
18;142;4,483307;1;2;2;green
18;143;4,649826;1;4;4;green
18;144;4,699783;1;1;1;green
19;145;3,383591;1;2;2;blue
19;146;3,549988;1;3;3;blue
19;147;3,683502;1;1;1;blue
19;148;3,866653;1;4;4;blue
19;149;4,033401;1;3;3;blue
19;150;4,233459;0;1;2;blue
19;151;4,799942;1;2;2;blue
19;152;4,866547;1;4;4;blue
20;153;3,400177;1;2;2;blue
20;154;3,600128;1;3;3;blue
20;155;3,750061;1;1;1;blue
20;156;3,93367;1;4;4;blue
20;157;4,117035;1;3;3;blue
20;158;4,317032;1;1;1;blue
20;159;4,483505;0;2;4;blue
20;160;5,266968;1;4;4;blue
21;161;3,399887;1;2;2;blue
21;162;3,566483;1;3;3;blue
21;163;3,683121;1;1;1;blue
21;164;3,833206;1;4;4;blue
21;165;4,016495;1;3;3;blue
21;166;4,299789;0;1;2;blue
21;167;4,416428;0;2;4;blue
21;168;4,949814;1;4;4;blue
22;169;3,483292;1;2;2;blue
22;170;3,633392;1;3;3;blue
22;171;3,766602;1;1;1;blue
22;172;3,966614;1;4;4;blue
22;173;4,100174;1;3;3;blue
22;174;4,299896;1;1;1;blue
22;175;4,349869;1;2;2;blue
22;176;4,466614;1;4;4;blue
23;177;3,666748;1;1;1;yellow
23;178;3,933258;1;3;3;yellow
23;179;4,18338;1;4;4;yellow
23;180;4,433228;1;2;2;yellow
23;181;4,766663;1;4;4;yellow
23;182;5,116592;1;1;1;yellow
23;183;5,56662;1;3;3;yellow
23;184;5,63327;1;2;2;yellow
24;185;3,633591;1;4;4;yellow
24;186;3,800171;1;3;3;yellow
24;187;3,949982;1;1;1;yellow
24;188;4,149994;1;4;4;yellow
24;189;4,633392;1;3;3;yellow
24;190;5,016754;1;1;1;yellow
24;191;5,216873;1;4;4;yellow
24;192;5,533356;1;2;2;yellow
25;193;3,666656;1;2;2;yellow
25;194;3,833298;1;4;4;yellow
25;195;3,999969;1;1;1;yellow
25;196;4,249985;1;3;3;yellow
25;197;4,566971;1;4;4;yellow
25;198;4,833282;1;2;2;yellow
25;199;5,116745;1;3;3;yellow
25;200;5,249954;1;1;1;yellow
26;201;3,399826;1;2;2;blue
26;202;3,549927;1;3;3;blue
26;203;3,68335;1;1;1;blue
26;204;3,849884;1;4;4;blue
26;205;4,016602;1;3;3;blue
26;206;4,183258;1;1;1;blue
26;207;4,233292;1;2;2;blue
26;208;4,350098;1;4;4;blue
27;209;3,716446;1;2;2;yellow
27;210;3,916534;1;3;3;yellow
27;211;4,083267;1;1;1;yellow
27;212;4,249878;1;4;4;yellow
27;213;4,483261;1;3;3;yellow
27;214;4,966568;1;1;1;yellow
27;215;5,383194;1;2;2;yellow
27;216;5,533157;1;4;4;yellow
28;217;3,416977;1;2;2;blue
28;218;3,583237;1;3;3;blue
28;219;3,699982;1;1;1;blue
28;220;3,866806;1;4;4;blue
28;221;4,033218;1;3;3;blue
28;222;4,199982;1;1;1;blue
28;223;4,249832;1;2;2;blue
28;224;4,349991;1;4;4;blue
29;225;3,383347;1;2;2;blue
29;226;3,533264;1;3;3;blue
29;227;3,649994;1;1;1;blue
29;228;3,816605;1;4;4;blue
29;229;4,016769;1;3;3;blue
29;230;4,199921;1;1;1;blue
29;231;4,233246;1;2;2;blue
29;232;4,349823;1;4;4;blue
30;233;3,450089;1;2;2;blue
30;234;3,650269;1;3;3;blue
30;235;3,783478;1;1;1;blue
30;236;3,95015;1;4;4;blue
30;237;4,083496;1;3;3;blue
30;238;4,283569;1;1;1;blue
30;239;4,333481;1;2;2;blue
30;240;4,450348;1;4;4;blue
31;241;3,399933;1;2;2;blue
31;242;3,566452;1;3;3;blue
31;243;3,666489;1;1;1;blue
31;244;3,849747;1;4;4;blue
31;245;4,016403;1;3;3;blue
31;246;4,199844;1;1;1;blue
31;247;4,249893;1;2;2;blue
31;248;4,366379;1;4;4;blue
32;249;3,600113;1;1;1;yellow
32;250;4,166687;1;2;2;yellow
32;251;4,349945;1;4;4;yellow
32;252;4,533401;1;1;1;yellow
32;253;4,816803;1;3;3;yellow
32;254;5,166672;1;4;4;yellow
32;255;5,633316;1;2;2;yellow
32;256;5,866608;0;3;4;yellow
33;257;3,816772;1;3;3;green
33;258;3,950043;1;4;4;green
33;259;4,150131;1;2;2;green
33;260;4,350082;1;1;1;green
33;261;4,633331;1;3;3;green
33;262;4,783417;1;2;2;green
33;263;4,966644;1;4;4;green
33;264;5,05011;1;1;1;green
34;265;3,666626;1;4;4;yellow
34;266;3,816849;1;1;1;yellow
