BlockNumber;EventNumber;Time Since Block start;isHit;target;pressed;sequence
1;1;5,348572;1;2;2;blue
1;2;5,965363;1;3;3;blue
1;3;6,898125;1;1;1;blue
1;4;7,48177;1;4;4;blue
1;5;8,831512;1;3;3;blue
1;6;10,1314;1;1;1;blue
1;7;10,84841;1;2;2;blue
1;8;11,34837;1;4;4;blue
2;9;7,566608;1;2;2;yellow
2;10;8,033138;0;4;3;yellow
2;11;8,683468;1;1;1;yellow
2;12;10,13354;1;3;3;yellow
2;13;11,29958;0;4;3;yellow
2;14;15,43288;1;2;2;yellow
2;15;16,24973;0;3;4;yellow
2;16;17,09977;1;1;1;yellow
3;17;5,100266;1;1;1;yellow
3;18;5,567146;1;3;3;yellow
3;19;6,233093;1;4;4;yellow
3;20;7,183228;1;2;2;yellow
3;21;8,399834;1;4;4;yellow
3;22;9,683258;1;1;1;yellow
3;23;9,933144;0;3;1;yellow
3;24;16,83368;0;2;3;yellow
4;25;4,815834;1;4;4;yellow
4;26;5,366142;1;3;3;yellow
4;27;5,915733;1;1;1;yellow
4;28;6,565956;1;4;4;yellow
4;29;7,499786;1;3;3;yellow
4;30;8,199966;1;1;1;yellow
4;31;9,099419;1;4;4;yellow
4;32;9,866043;1;2;2;yellow
5;33;4,966469;1;2;2;blue
5;34;5,816414;1;3;3;blue
5;35;6,38324;1;1;1;blue
5;36;7,050095;1;4;4;blue
5;37;8,03318;1;3;3;blue
5;38;9,100067;1;1;1;blue
5;39;10,30037;1;2;2;blue
5;40;10,93309;1;4;4;blue
6;41;5,400055;1;2;2;yellow
6;42;6,050537;1;1;1;yellow
6;43;7,150131;1;4;4;yellow
6;44;7,833725;1;1;1;yellow
6;45;9,2164;1;3;3;yellow
6;46;10,09969;1;2;2;yellow
6;47;10,93324;1;4;4;yellow
6;48;12,05009;1;3;3;yellow
7;49;4,499939;1;2;2;blue
7;50;5,149765;1;3;3;blue
7;51;5,583023;1;1;1;blue
7;52;6,016373;1;4;4;blue
7;53;7,283112;1;3;3;blue
7;54;8,116364;1;1;1;blue
7;55;8,816315;1;2;2;blue
7;56;9,216705;1;4;4;blue
8;57;4,999557;1;2;2;blue
8;58;5,783798;1;3;3;blue
8;59;6,299561;1;1;1;blue
8;60;7,149918;1;4;4;blue
8;61;8,316772;0;3;4;blue
8;62;9,983459;1;1;1;blue
8;63;11,1165;1;2;2;blue
8;64;11,86632;1;4;4;blue
9;65;4,716644;1;3;3;green
9;66;5,183762;1;4;4;green
9;67;5,999695;1;2;2;green
9;68;6,550156;1;1;1;green
9;69;8,116852;1;3;3;green
9;70;9,116455;1;2;2;green
9;71;9,733307;1;4;4;green
9;72;10,08319;1;1;1;green
10;73;4,383499;1;2;2;blue
10;74;5,183792;1;3;3;blue
10;75;5,966507;1;1;1;blue
10;76;6,566376;1;4;4;blue
10;77;7,966675;0;3;4;blue
10;78;9,899933;1;1;1;blue
10;79;10,54977;1;2;2;blue
10;80;11,35039;1;4;4;blue
11;81;4,61586;1;2;2;blue
11;82;5,599564;1;3;3;blue
11;83;6,099411;1;1;1;blue
11;84;6,732956;1;4;4;blue
11;85;8,049408;1;3;3;blue
11;86;8,966202;1;1;1;blue
11;87;10,25005;1;2;2;blue
11;88;10,81596;1;4;4;blue
12;89;4,683365;1;3;3;green
12;90;6,399765;1;4;4;green
12;91;6,866592;1;2;2;green
12;92;7,400864;1;1;1;green
12;93;8,516373;1;3;3;green
12;94;9,566483;1;2;2;green
12;95;10,69987;1;4;4;green
12;96;11,03326;1;1;1;green
13;97;4,733505;1;2;2;blue
13;98;6,816696;1;3;3;blue
13;99;7,299988;1;1;1;blue
13;100;7,8004;1;4;4;blue
13;101;8,966522;1;3;3;blue
13;102;10,08325;1;1;1;blue
13;103;11,16647;1;2;2;blue
13;104;11,54985;1;4;4;blue
14;105;4,566483;1;2;2;blue
14;106;5,366577;1;3;3;blue
14;107;5,783524;1;1;1;blue
14;108;6,266586;1;4;4;blue
14;109;7,416885;1;3;3;blue
14;110;8,133652;1;1;1;blue
14;111;8,816666;1;2;2;blue
14;112;9,133728;1;4;4;blue
15;113;4,882858;1;3;3;green
15;114;5,232666;1;4;4;green
15;115;5,815979;1;2;2;green
15;116;6,216156;1;1;1;green
15;117;7,599548;1;3;3;green
15;118;8,632599;1;2;2;green
15;119;9,499649;1;4;4;green
15;120;9,899612;1;1;1;green
16;121;4,299942;1;1;1;yellow
16;122;4,93338;1;3;3;yellow
16;123;5,899872;1;4;4;yellow
16;124;6,416931;1;2;2;yellow
16;125;7,667007;1;4;4;yellow
16;126;8,132858;1;1;1;yellow
16;127;9,049591;1;3;3;yellow
16;128;9,533325;1;2;2;yellow
17;129;4,649948;1;2;2;blue
17;130;5,149475;1;3;3;blue
17;131;5,783218;1;1;1;blue
17;132;6,266235;1;4;4;blue
17;133;7,249588;1;3;3;blue
17;134;8,516113;1;1;1;blue
17;135;9,283127;1;2;2;blue
17;136;9,599609;1;4;4;blue
18;137;4,633011;1;2;2;blue
18;138;5,133209;1;3;3;blue
18;139;5,633011;1;1;1;blue
18;140;6,149994;1;4;4;blue
18;141;7,083298;1;3;3;blue
18;142;7,733185;1;1;1;blue
18;143;9,266571;1;2;2;blue
18;144;9,617126;1;4;4;blue
19;145;4,915955;1;2;2;blue
19;146;5,43277;1;3;3;blue
19;147;5,88324;1;1;1;blue
19;148;6,765961;1;4;4;blue
19;149;7,899811;1;3;3;blue
19;150;8,782379;1;1;1;blue
19;151;9,399292;1;2;2;blue
19;152;10,13257;1;4;4;blue
20;153;4,116913;1;1;1;yellow
20;154;5,200134;1;2;2;yellow
20;155;5,850494;1;4;4;yellow
20;156;6,350159;1;1;1;yellow
20;157;7,599915;1;3;3;yellow
20;158;8,499847;1;4;4;yellow
20;159;9,466614;1;2;2;yellow
20;160;11,13327;1;3;3;yellow
21;161;4,599854;1;2;2;blue
21;162;5,966553;1;3;3;blue
21;163;6,533051;1;1;1;blue
21;164;7,016846;1;4;4;blue
21;165;8,03299;1;3;3;blue
21;166;8,83316;1;1;1;blue
21;167;10,11642;1;2;2;blue
21;168;10,73358;1;4;4;blue
22;169;4,749451;0;2;1;blue
22;170;6,84964;1;3;3;blue
22;171;7,349426;1;1;1;blue
22;172;8,36673;1;4;4;blue
22;173;9,449463;1;3;3;blue
22;174;9,94931;1;1;1;blue
22;175;10,69977;1;2;2;blue
22;176;11,24942;1;4;4;blue
23;177;6,383057;1;2;2;blue
23;178;6,900055;1;3;3;blue
23;179;7,966583;1;1;1;blue
23;180;8,333374;1;4;4;blue
23;181;9,383545;1;3;3;blue
23;182;10,2663;1;1;1;blue
23;183;10,80017;1;2;2;blue
23;184;11,11667;1;4;4;blue
24;185;5,616333;1;2;2;blue
24;186;6,999725;1;3;3;blue
24;187;8,316345;1;1;1;blue
24;188;9,683136;1;4;4;blue
24;189;12,08292;1;3;3;blue
24;190;13,20029;1;1;1;blue
24;191;13,43335;1;2;2;blue
24;192;13,70023;1;4;4;blue
25;193;4,882874;1;3;3;green
25;194;5,282654;1;4;4;green
25;195;6,132843;1;2;2;green
25;196;6,616089;1;1;1;green
25;197;8,21637;1;3;3;green
25;198;9,133209;1;2;2;green
25;199;10,49997;1;4;4;green
25;200;10,96652;1;1;1;green
26;201;4,333221;1;2;2;blue
26;202;4,716095;1;3;3;blue
26;203;5,533752;1;1;1;blue
26;204;6,466095;1;4;4;blue
26;205;7,966339;1;3;3;blue
26;206;8,733185;1;1;1;blue
26;207;9,449432;1;2;2;blue
26;208;9,965942;1;4;4;blue
