BlockNumber;EventNumber;Time Since Block start;isHit;target;pressed;sequence
1;1;4,183887;1;2;2;yellow
1;2;5,199974;1;1;1;yellow
1;3;5,833138;1;4;4;yellow
1;4;6,366611;1;1;1;yellow
1;5;7,016724;1;3;3;yellow
1;6;7,516457;1;2;2;yellow
1;7;8,067093;1;4;4;yellow
1;8;9,06638;1;3;3;yellow
2;9;5,066956;1;2;2;blue
2;10;5,683571;1;3;3;blue
2;11;6,249893;1;1;1;blue
2;12;6,916565;1;4;4;blue
2;13;7,516502;1;3;3;blue
2;14;8,083572;1;1;1;blue
2;15;8,700508;1;2;2;blue
2;16;9,300072;1;4;4;blue
3;17;4,04969;1;2;2;blue
3;18;4,716614;1;3;3;blue
3;19;5,517265;1;1;1;blue
3;20;6,100021;1;4;4;blue
3;21;6,71653;1;3;3;blue
3;22;7,316803;1;1;1;blue
3;23;7,983063;1;2;2;blue
3;24;8,533211;1;4;4;blue
4;25;3,883438;1;2;2;blue
4;26;4,600098;1;3;3;blue
4;27;5,216637;1;1;1;blue
4;28;5,833687;1;4;4;blue
4;29;6,417084;1;3;3;blue
4;30;6,999847;1;1;1;blue
4;31;7,583229;1;2;2;blue
4;32;8,216713;1;4;4;blue
5;33;4,183098;1;2;2;blue
5;34;4,849533;1;3;3;blue
5;35;5,483414;1;1;1;blue
5;36;6,0672;1;4;4;blue
5;37;6,666527;1;3;3;blue
5;38;7,216499;1;1;1;blue
5;39;7,767357;1;2;2;blue
5;40;8,250114;1;4;4;blue
6;41;4,166565;0;2;3;blue
6;42;5,399834;0;3;2;blue
6;43;6,349983;1;1;1;blue
6;44;7,149666;1;4;4;blue
6;45;7,767128;1;3;3;blue
6;46;8,46637;1;1;1;blue
6;47;9,183029;1;2;2;blue
6;48;9,666321;1;4;4;blue
7;49;4,40004;1;1;1;yellow
7;50;5,150047;1;3;3;yellow
7;51;5,783287;1;4;4;yellow
7;52;6,516716;1;2;2;yellow
7;53;7,366608;1;4;4;yellow
7;54;8,033272;1;1;1;yellow
7;55;8,699768;1;3;3;yellow
7;56;9,933235;1;2;2;yellow
8;57;4,616684;1;2;2;yellow
8;58;5,283493;1;1;1;yellow
8;59;5,98381;1;3;3;yellow
8;60;6,683144;1;4;4;yellow
8;61;7,432999;1;2;2;yellow
8;62;8,083252;1;4;4;yellow
8;63;8,866737;1;1;1;yellow
8;64;9,667336;1;2;2;yellow
9;65;4,832596;1;3;3;green
9;66;5,66674;1;4;4;green
9;67;6,682495;1;2;2;green
9;68;7,266083;1;1;1;green
9;69;8,016037;1;3;3;green
9;70;9,266144;1;2;2;green
9;71;9,882507;1;4;4;green
9;72;10,51584;1;1;1;green
10;73;4,333435;1;3;3;green
10;74;5,216492;1;4;4;green
10;75;5,949799;1;2;2;green
10;76;6,583252;1;1;1;green
10;77;7,600708;1;3;3;green
10;78;8,350006;1;2;2;green
10;79;8,949783;1;4;4;green
10;80;9,583557;1;1;1;green
11;81;4,383087;1;2;2;blue
11;82;5,18306;1;3;3;blue
11;83;5,816147;1;1;1;blue
11;84;6,500046;1;4;4;blue
11;85;7,150055;1;3;3;blue
11;86;7,716309;1;1;1;blue
11;87;8,282959;1;2;2;blue
11;88;8,866623;1;4;4;blue
12;89;4,333847;1;3;3;green
12;90;5,366379;1;4;4;green
12;91;6,433472;1;2;2;green
12;92;7,016449;1;1;1;green
12;93;7,716278;1;3;3;green
12;94;8,366562;1;2;2;green
12;95;8,983353;1;4;4;green
12;96;9,516418;1;1;1;green
13;97;4,316238;1;2;2;blue
13;98;5,016373;1;3;3;blue
13;99;5,599609;1;1;1;blue
13;100;6,233139;1;4;4;blue
13;101;6,883484;1;3;3;blue
13;102;7,483887;1;1;1;blue
13;103;8,066956;1;2;2;blue
13;104;8,516403;1;4;4;blue
14;105;4,416641;1;2;2;blue
14;106;5,100616;1;3;3;blue
14;107;5,733337;1;1;1;blue
14;108;6,333282;1;4;4;blue
14;109;6,983368;1;3;3;blue
14;110;7,916595;1;1;1;blue
14;111;8,5;1;2;2;blue
14;112;8,933319;1;4;4;blue
15;113;4,216522;1;3;3;green
15;114;5,233322;1;4;4;green
15;115;6,050537;1;2;2;green
15;116;6,699921;1;1;1;green
15;117;7,583191;1;3;3;green
15;118;8,616592;1;2;2;green
15;119;9,183655;1;4;4;green
15;120;9,716324;1;1;1;green
16;121;4,317108;1;2;2;blue
16;122;4,950684;1;3;3;blue
16;123;5,483643;1;1;1;blue
16;124;6,100601;1;4;4;blue
16;125;6,7836;1;3;3;blue
16;126;7,500977;1;1;1;blue
16;127;8,067245;1;2;2;blue
16;128;8,533493;1;4;4;blue
17;129;3,933746;1;2;2;blue
17;130;4,516815;1;3;3;blue
17;131;5,116867;1;1;1;blue
17;132;5,666931;1;4;4;blue
17;133;6,266602;1;3;3;blue
17;134;6,766586;1;1;1;blue
17;135;7,316971;1;2;2;blue
17;136;7,667297;1;4;4;blue
18;137;4,166534;1;3;3;green
18;138;5,332779;1;4;4;green
18;139;6,165939;1;2;2;green
18;140;6,699539;1;1;1;green
18;141;7,482605;1;3;3;green
18;142;8,115982;1;2;2;green
18;143;8,71582;1;4;4;green
18;144;9,116043;1;1;1;green
19;145;4,166489;1;2;2;blue
19;146;4,983154;1;3;3;blue
19;147;5,566376;1;1;1;blue
19;148;6,183395;1;4;4;blue
19;149;6,833069;1;3;3;blue
19;150;7,366669;1;1;1;blue
19;151;7,833664;1;2;2;blue
19;152;8,216553;1;4;4;blue
20;153;4,166504;1;2;2;blue
20;154;4,849777;1;3;3;blue
20;155;5,433456;1;1;1;blue
20;156;6,017242;1;4;4;blue
20;157;6,63324;1;3;3;blue
20;158;7,149765;1;1;1;blue
20;159;7,700211;1;2;2;blue
20;160;8,033325;1;4;4;blue
21;161;4,20018;1;2;2;blue
21;162;4,916504;1;3;3;blue
21;163;5,532898;1;1;1;blue
21;164;6,216446;1;4;4;blue
21;165;6,866638;1;3;3;blue
21;166;7,416809;1;1;1;blue
21;167;7,866425;1;2;2;blue
21;168;8,233459;1;4;4;blue
22;169;4,116287;1;2;2;blue
22;170;4,982971;1;3;3;blue
22;171;5,582886;1;1;1;blue
22;172;6,149719;1;4;4;blue
22;173;6,749588;1;3;3;blue
22;174;7,299591;1;1;1;blue
22;175;7,732986;1;2;2;blue
22;176;8,133133;1;4;4;blue
23;177;4,100113;1;1;1;yellow
23;178;4,883102;1;3;3;yellow
23;179;5,549759;1;4;4;yellow
23;180;6,233734;1;2;2;yellow
23;181;6,866501;1;4;4;yellow
23;182;7,532944;1;1;1;yellow
23;183;8,532913;1;3;3;yellow
23;184;9,033707;1;2;2;yellow
24;185;4,382599;1;4;4;yellow
24;186;6,033386;1;3;3;yellow
24;187;6,833313;1;1;1;yellow
24;188;7,565857;1;4;4;yellow
24;189;8,282684;1;3;3;yellow
24;190;9,049469;1;1;1;yellow
24;191;9,866089;1;4;4;yellow
24;192;10,46576;1;2;2;yellow
25;193;3,984253;1;2;2;yellow
25;194;4,817139;1;4;4;yellow
25;195;5,450073;1;1;1;yellow
25;196;6,21701;1;3;3;yellow
25;197;6,833313;1;4;4;yellow
25;198;7,650116;1;2;2;yellow
25;199;8,851013;1;3;3;yellow
25;200;9,133545;1;1;1;yellow
26;201;4,399719;1;2;2;blue
26;202;5,11676;1;3;3;blue
26;203;5,733521;1;1;1;blue
26;204;6,299805;1;4;4;blue
26;205;6,93338;1;3;3;blue
26;206;7,483856;1;1;1;blue
26;207;7,999878;1;2;2;blue
26;208;8,316956;1;4;4;blue
27;209;4,166199;1;2;2;yellow
27;210;4,916077;1;3;3;yellow
27;211;5,516785;1;1;1;yellow
27;212;6,183167;1;4;4;yellow
27;213;6,799683;1;3;3;yellow
27;214;7,415863;1;1;1;yellow
27;215;8,03299;1;2;2;yellow
27;216;8,399567;1;4;4;yellow
28;217;4,016998;1;2;2;blue
28;218;4,649719;1;3;3;blue
28;219;5,249969;1;1;1;blue
28;220;6,06665;1;4;4;blue
28;221;6,716858;1;3;3;blue
28;222;7,299774;1;1;1;blue
28;223;7,733521;1;2;2;blue
28;224;8,099976;1;4;4;blue
29;225;4,066528;1;2;2;blue
29;226;4,717499;1;3;3;blue
29;227;5,249939;1;1;1;blue
29;228;5,849701;1;4;4;blue
29;229;6,450073;1;3;3;blue
29;230;7,016479;1;1;1;blue
29;231;7,466919;1;2;2;blue
29;232;7,833801;1;4;4;blue
30;233;4,08255;1;2;2;blue
30;234;4,699554;1;3;3;blue
30;235;5,282745;1;1;1;blue
30;236;5,882507;1;4;4;blue
