BlockNumber;EventNumber;Time Since Block start;isHit;target;pressed;sequence
1;1;4,249779;1;2;2;blue
1;2;4,716454;1;3;3;blue
1;3;5,599815;1;1;1;blue
1;4;6,316639;1;4;4;blue
1;5;8,332977;1;3;3;blue
1;6;8,91637;1;1;1;blue
1;7;9,682816;1;2;2;blue
1;8;10,53313;1;4;4;blue
2;9;5,133209;0;1;2;yellow
2;10;8,599796;1;3;3;yellow
2;11;9,066559;1;4;4;yellow
2;12;9,666515;1;2;2;yellow
2;13;10,51672;1;4;4;yellow
2;14;11,24994;1;1;1;yellow
2;15;12,58331;1;3;3;yellow
2;16;13,00004;1;2;2;yellow
3;17;4,416523;1;3;3;green
3;18;4,999714;1;4;4;green
3;19;5,699856;1;2;2;green
3;20;6,266445;1;1;1;green
3;21;7,349842;1;3;3;green
3;22;7,98315;1;2;2;green
3;23;8,849819;1;4;4;green
3;24;9,38332;1;1;1;green
4;25;4,266563;1;2;2;yellow
4;26;5,383072;1;4;4;yellow
4;27;6,049683;1;1;1;yellow
4;28;6,816727;1;3;3;yellow
4;29;7,683273;1;4;4;yellow
4;30;8,833313;1;2;2;yellow
4;31;9,933098;1;3;3;yellow
4;32;10,61642;1;1;1;yellow
5;33;4,466713;1;3;3;green
5;34;5,233307;1;4;4;green
5;35;5,816833;1;2;2;green
5;36;6,483376;1;1;1;green
5;37;7,433418;1;3;3;green
5;38;8,083313;1;2;2;green
5;39;8,89991;1;4;4;green
5;40;9,450134;1;1;1;green
6;41;4,666359;1;2;2;blue
6;42;5,349831;1;3;3;blue
6;43;6,133209;1;1;1;blue
6;44;6,633011;1;4;4;blue
6;45;7,449791;1;3;3;blue
6;46;8,183388;1;1;1;blue
6;47;8,966576;1;2;2;blue
6;48;9,616493;1;4;4;blue
7;49;4,083282;1;2;2;blue
7;50;4,433739;1;3;3;blue
7;51;4,616432;0;1;3;blue
7;52;5,866615;1;4;4;blue
7;53;6,783394;1;3;3;blue
7;54;7,649742;1;1;1;blue
7;55;8,167839;1;2;2;blue
7;56;8,966614;1;4;4;blue
8;57;4,016541;1;2;2;yellow
8;58;4,733498;1;4;4;yellow
8;59;5,366646;1;1;1;yellow
8;60;5,966667;1;3;3;yellow
8;61;6,966652;1;4;4;yellow
8;62;7,766708;1;2;2;yellow
8;63;9,033417;1;3;3;yellow
8;64;9,599968;1;1;1;yellow
9;65;4,449951;1;1;1;yellow
9;66;5,100029;1;3;3;yellow
9;67;5,583275;1;4;4;yellow
9;68;6,283356;1;2;2;yellow
9;69;7,20002;1;4;4;yellow
9;70;7,833199;1;1;1;yellow
9;71;8,54985;1;3;3;yellow
9;72;9,033257;1;2;2;yellow
10;73;4,250114;1;3;3;green
10;74;4,849892;1;4;4;green
10;75;5,349861;1;2;2;green
10;76;5,916862;1;1;1;green
10;77;6,6166;1;3;3;green
10;78;7,250191;1;2;2;green
10;79;7,933205;1;4;4;green
10;80;8,516731;1;1;1;green
11;81;3,96666;1;2;2;yellow
11;82;4,749817;1;1;1;yellow
11;83;5,633133;1;4;4;yellow
11;84;6,249725;1;1;1;yellow
11;85;6,949951;1;3;3;yellow
11;86;7,499969;1;2;2;yellow
11;87;8,283218;1;4;4;yellow
11;88;9,666595;1;3;3;yellow
12;89;3,999924;1;2;2;blue
12;90;4,466675;1;3;3;blue
12;91;5,133209;1;1;1;blue
12;92;5,649719;1;4;4;blue
12;93;6,399933;1;3;3;blue
12;94;7,199814;1;1;1;blue
12;95;7,716766;1;2;2;blue
12;96;8,533203;1;4;4;blue
13;97;4,299942;1;2;2;blue
13;98;4,666489;1;3;3;blue
13;99;5,366623;1;1;1;blue
13;100;5,883408;1;4;4;blue
13;101;6,600037;1;3;3;blue
13;102;7,466537;1;1;1;blue
13;103;8,200012;1;2;2;blue
13;104;8,783386;1;4;4;blue
14;105;4,299927;1;2;2;blue
14;106;4,783096;1;3;3;blue
14;107;5,28334;1;1;1;blue
14;108;5,833328;1;4;4;blue
14;109;6,599899;1;3;3;blue
14;110;7,233109;1;1;1;blue
14;111;8,083023;1;2;2;blue
14;112;8,816849;1;4;4;blue
15;113;4,249619;1;3;3;green
15;114;4,716278;1;4;4;green
15;115;5,266418;1;2;2;green
15;116;5,849533;1;1;1;green
15;117;6,766449;1;3;3;green
15;118;7,482986;1;2;2;green
15;119;7,666183;0;4;2;green
15;120;9,082886;1;1;1;green
16;121;4,233643;1;3;3;green
16;122;4,666824;1;4;4;green
16;123;5,18338;1;2;2;green
16;124;5,68338;1;1;1;green
16;125;6,433411;1;3;3;green
16;126;7,066788;1;2;2;green
16;127;7,733246;1;4;4;green
16;128;8,266861;1;1;1;green
17;129;4,183075;1;2;2;blue
17;130;4,583237;1;3;3;blue
17;131;5,18309;1;1;1;blue
17;132;5,716446;1;4;4;blue
17;133;6,333115;1;3;3;blue
17;134;7,082947;1;1;1;blue
17;135;7,633087;1;2;2;blue
17;136;8,482941;1;4;4;blue
18;137;4,200043;1;4;4;yellow
18;138;4,733475;1;3;3;yellow
18;139;5,233459;1;1;1;yellow
18;140;5,950089;1;4;4;yellow
18;141;6,700104;1;3;3;yellow
18;142;7,250275;1;1;1;yellow
18;143;8,000015;1;4;4;yellow
18;144;8,883606;1;2;2;yellow
19;145;4,016434;1;2;2;blue
19;146;4,433289;1;3;3;blue
