BlockNumber;EventNumber;Time Since Block start;isHit;target;pressed;sequence
1;1;3,965519;1;1;1;yellow
1;2;4,532467;1;2;2;yellow
1;3;5,165371;1;4;4;yellow
1;4;5,782845;1;1;1;yellow
1;5;6,416134;1;3;3;yellow
1;6;7,165821;1;4;4;yellow
1;7;7,998764;1;2;2;yellow
1;8;9,331905;1;3;3;yellow
2;9;5,016716;1;2;2;yellow
2;10;5,616604;1;1;1;yellow
2;11;6,26667;1;3;3;yellow
2;12;7,033916;1;4;4;yellow
2;13;8,250824;1;2;2;yellow
2;14;9;0;4;1;yellow
2;15;11,3174;1;1;1;yellow
2;16;12,15017;1;2;2;yellow
3;17;4,667023;1;2;2;blue
3;18;5,317242;1;3;3;blue
3;19;6,399731;1;1;1;blue
3;20;7,316521;1;4;4;blue
3;21;8,249649;1;3;3;blue
3;22;9,28299;1;1;1;blue
3;23;9,783318;1;2;2;blue
3;24;10,34993;1;4;4;blue
4;25;3,98336;1;4;4;yellow
4;26;4,783379;1;3;3;yellow
4;27;5,584053;1;1;1;yellow
4;28;6,333008;1;4;4;yellow
4;29;6,833206;1;3;3;yellow
4;30;7,483597;1;1;1;yellow
4;31;8,133087;1;4;4;yellow
4;32;9,466576;1;2;2;yellow
5;33;4,249863;1;2;2;blue
5;34;4,799812;1;3;3;blue
5;35;5,383316;1;1;1;blue
5;36;6,016815;1;4;4;blue
5;37;6,700699;1;3;3;blue
5;38;7,416626;1;1;1;blue
5;39;8,150711;1;2;2;blue
5;40;8,700615;1;4;4;blue
6;41;4,083054;1;2;2;blue
6;42;4,582558;1;3;3;blue
6;43;5,132339;1;1;1;blue
6;44;5,749466;1;4;4;blue
6;45;6,299301;1;3;3;blue
6;46;6,932701;1;1;1;blue
6;47;7,549088;1;2;2;blue
6;48;8,282692;1;4;4;blue
7;49;4,249809;1;3;3;green
7;50;4,883842;1;4;4;green
7;51;5,699814;1;2;2;green
7;52;6,333107;1;1;1;green
7;53;7,050476;1;3;3;green
7;54;8,03334;1;2;2;green
7;55;8,783005;1;4;4;green
7;56;9,383591;1;1;1;green
8;57;3,899597;1;2;2;blue
8;58;4,450073;1;3;3;blue
8;59;5,033089;1;1;1;blue
8;60;5,649445;1;4;4;blue
8;61;6,249603;1;3;3;blue
8;62;6,949623;1;1;1;blue
8;63;7,516357;1;2;2;blue
8;64;8,199516;1;4;4;blue
9;65;4,050125;1;2;2;blue
9;66;4,60054;1;3;3;blue
9;67;5,150505;1;1;1;blue
9;68;5,749832;1;4;4;blue
9;69;6,300621;1;3;3;blue
9;70;6,966583;1;1;1;blue
9;71;7,533783;1;2;2;blue
9;72;8,216652;1;4;4;blue
10;73;4,733429;1;2;2;blue
10;74;5,250008;1;3;3;blue
10;75;5,816399;1;1;1;blue
10;76;6,266571;1;4;4;blue
10;77;6,833733;1;3;3;blue
10;78;7,483063;1;1;1;blue
10;79;7,949997;1;2;2;blue
10;80;8,483177;1;4;4;blue
11;81;4,783127;1;2;2;blue
11;82;5,250092;1;3;3;blue
11;83;5,783142;1;1;1;blue
11;84;6,233139;1;4;4;blue
11;85;6,733002;1;3;3;blue
11;86;7,317383;1;1;1;blue
11;87;7,833588;1;2;2;blue
11;88;8,449905;1;4;4;blue
12;89;4,98407;1;2;2;blue
12;90;5,450409;1;3;3;blue
12;91;5,983627;1;1;1;blue
12;92;6,466751;1;4;4;blue
12;93;6,984039;1;3;3;blue
12;94;7,550415;1;1;1;blue
