BlockNumber;EventNumber;Time Since Block start;isHit;target;pressed;sequence
1;1;4,332947;1;3;3;green
1;2;5,034157;1;4;4;green
1;3;5,766945;1;2;2;green
1;4;6,183502;1;1;1;green
1;5;7,51757;1;3;3;green
1;6;8,199654;1;2;2;green
1;7;8,683563;1;4;4;green
1;8;9,150131;1;1;1;green
2;9;4,584389;1;3;3;green
2;10;5,150612;1;4;4;green
2;11;5,866104;1;2;2;green
2;12;6,399681;1;1;1;green
2;13;7,316139;1;3;3;green
2;14;7,999413;1;2;2;green
2;15;8,43277;1;4;4;green
2;16;8,783241;1;1;1;green
3;17;4,417564;1;2;2;blue
3;18;5,032883;1;3;3;blue
3;19;5,567039;1;1;1;blue
3;20;6,232788;1;4;4;blue
3;21;7,033417;1;3;3;blue
3;22;7,649391;1;1;1;blue
3;23;8,183067;1;2;2;blue
3;24;8,567146;1;4;4;blue
4;25;4,265572;1;4;4;yellow
4;26;4,665817;1;1;1;yellow
4;27;5,465607;1;3;3;yellow
4;28;5,94976;1;2;2;yellow
4;29;6,965591;1;4;4;yellow
4;30;7,365913;1;3;3;yellow
4;31;8,382782;0;1;2;yellow
4;32;9,599052;1;2;2;yellow
5;33;4,666595;1;3;3;green
5;34;5,617386;1;4;4;green
5;35;6,73378;1;2;2;green
5;36;7,283363;1;1;1;green
5;37;8,433762;1;3;3;green
5;38;9,850151;1;2;2;green
5;39;10,78309;1;4;4;green
5;40;11,16692;1;1;1;green
6;41;4,383003;1;2;2;blue
6;42;5,083839;1;3;3;blue
6;43;5,550537;1;1;1;blue
6;44;6,966942;1;4;4;blue
6;45;7,31675;1;3;3;blue
6;46;8,04995;1;1;1;blue
6;47;8,50013;1;2;2;blue
6;48;8,766235;1;4;4;blue
7;49;4,100677;1;2;2;blue
7;50;4,783447;1;3;3;blue
7;51;5,800262;1;1;1;blue
7;52;6,349991;1;4;4;blue
7;53;6,766602;1;3;3;blue
7;54;7,216843;1;1;1;blue
7;55;7,750702;1;2;2;blue
7;56;8,083649;1;4;4;blue
8;57;4,600311;1;2;2;yellow
8;58;5,116455;1;1;1;yellow
8;59;6,067307;1;4;4;yellow
8;60;6,450195;1;1;1;yellow
8;61;7,300491;1;3;3;yellow
8;62;8,082947;1;2;2;yellow
8;63;8,932892;1;4;4;yellow
8;64;9,783875;1;3;3;yellow
9;65;4,765961;1;3;3;green
9;66;5,232559;1;4;4;green
9;67;6,299194;1;2;2;green
9;68;6,800003;1;1;1;green
9;69;7,849075;1;3;3;green
9;70;8,649185;1;2;2;green
9;71;9,216156;1;4;4;green
9;72;9,565857;1;1;1;green
10;73;4,401154;1;2;2;blue
10;74;5,066681;1;3;3;blue
10;75;5,483887;1;1;1;blue
10;76;6,30043;1;4;4;blue
10;77;6,733429;1;3;3;blue
10;78;7,166824;1;1;1;blue
10;79;7,650223;1;2;2;blue
10;80;7,900345;1;4;4;blue
11;81;3,816589;1;2;2;blue
11;82;4,250336;1;3;3;blue
11;83;4,766525;1;1;1;blue
11;84;5,234009;1;4;4;blue
11;85;5,649963;1;3;3;blue
11;86;6,299927;1;1;1;blue
11;87;6,750702;1;2;2;blue
11;88;7,133636;1;4;4;blue
12;89;3,932632;1;2;2;yellow
12;90;4,366302;1;3;3;yellow
12;91;5,049301;1;1;1;yellow
12;92;5,516373;1;4;4;yellow
12;93;6,549408;1;3;3;yellow
12;94;6,999283;1;1;1;yellow
12;95;7,532913;1;2;2;yellow
12;96;7,899139;1;4;4;yellow
13;97;4,067596;1;2;2;blue
13;98;4,483841;1;3;3;blue
13;99;4,851166;1;1;1;blue
13;100;5,350372;1;4;4;blue
13;101;5,76709;1;3;3;blue
13;102;6,383804;1;1;1;blue
13;103;6,867081;1;2;2;blue
13;104;7,217209;1;4;4;blue
14;105;4,032898;1;2;2;blue
14;106;4,43367;1;3;3;blue
14;107;4,766708;1;1;1;blue
14;108;5,250443;1;4;4;blue
14;109;5,649536;1;3;3;blue
14;110;6,082932;1;1;1;blue
14;111;6,549728;1;2;2;blue
14;112;6,866257;1;4;4;blue
15;113;4,316559;1;3;3;green
15;114;4,783325;1;4;4;green
15;115;6,100067;0;2;3;green
15;116;7,650635;1;1;1;green
15;117;9,433746;1;3;3;green
15;118;10,18303;1;2;2;green
15;119;11,21643;1;4;4;green
15;120;11,54984;1;1;1;green
16;121;4,550552;1;3;3;green
16;122;5,25029;1;4;4;green
16;123;5,983475;1;2;2;green
16;124;6,450272;1;1;1;green
16;125;7,699783;1;3;3;green
16;126;8,283401;1;2;2;green
16;127;8,933243;1;4;4;green
16;128;9,234085;1;1;1;green
17;129;4,832489;1;2;2;blue
17;130;6,000137;1;3;3;blue
17;131;6,399155;1;1;1;blue
17;132;7,016876;1;4;4;blue
17;133;7,482498;1;3;3;blue
17;134;7,899475;1;1;1;blue
17;135;8,416367;1;2;2;blue
17;136;8,765976;1;4;4;blue
18;137;4,717102;1;4;4;yellow
18;138;5,200073;1;3;3;yellow
18;139;5,583618;1;1;1;yellow
18;140;6,117584;1;4;4;yellow
18;141;6,566666;1;3;3;yellow
18;142;6,984329;1;1;1;yellow
18;143;7,549896;1;4;4;yellow
18;144;8,11676;1;2;2;yellow
19;145;5,24971;1;3;3;green
19;146;5,699966;1;4;4;green
19;147;6,483353;1;2;2;green
19;148;7,01622;1;1;1;green
19;149;8,316986;1;3;3;green
19;150;8,749802;1;2;2;green
19;151;9,533279;1;4;4;green
19;152;9,83374;1;1;1;green
20;153;4,116104;1;2;2;blue
20;154;4,550537;1;3;3;blue
20;155;5,150177;1;1;1;blue
20;156;5,699448;1;4;4;blue
20;157;6,099289;1;3;3;blue
20;158;6,482681;1;1;1;blue
20;159;6,916016;1;2;2;blue
20;160;7,316864;1;4;4;blue
21;161;4,532303;1;2;2;blue
21;162;5,483017;1;3;3;blue
21;163;5,882553;1;1;1;blue
21;164;6,466034;1;4;4;blue
21;165;7,23259;1;3;3;blue
21;166;7,616348;1;1;1;blue
21;167;8,282272;1;2;2;blue
21;168;8,715851;1;4;4;blue
22;169;4,667938;1;2;2;yellow
22;170;5,150696;1;4;4;yellow
22;171;5,883606;1;1;1;yellow
22;172;6,666443;1;3;3;yellow
22;173;7,482971;1;4;4;yellow
22;174;8,399902;1;2;2;yellow
22;175;9,299805;1;3;3;yellow
22;176;9,683167;1;1;1;yellow
23;177;4,016785;1;2;2;blue
23;178;4,784363;1;3;3;blue
23;179;5,484131;1;1;1;blue
23;180;6,19986;1;4;4;blue
23;181;7,516693;1;3;3;blue
23;182;7,883301;0;1;2;blue
23;183;9,517822;1;2;2;blue
23;184;11,03345;1;4;4;blue
24;185;3,683746;1;2;2;blue
24;186;4,033844;1;3;3;blue
