BlockNumber;EventNumber;Time Since Block start;isHit;target;pressed;sequence
1;1;4,016479;1;3;3;green
1;2;4,616474;1;4;4;green
1;3;5,566849;1;2;2;green
1;4;6,066662;1;1;1;green
1;5;6,733337;1;3;3;green
1;6;6,949944;0;2;3;green
1;7;7,799866;1;4;4;green
1;8;8,300133;1;1;1;green
2;9;3,733063;0;3;2;green
2;10;4,533203;1;4;4;green
2;11;5,44976;1;2;2;green
2;12;5,782913;0;1;2;green
2;13;5,883003;0;3;1;green
2;14;6,84993;1;2;2;green
2;15;7,299744;1;4;4;green
2;16;7,732971;1;1;1;green
3;17;3,966599;1;2;2;blue
3;18;4,366707;1;3;3;blue
3;19;4,966629;1;1;1;blue
3;20;5,433365;1;4;4;blue
3;21;6,184067;1;3;3;blue
3;22;6,716667;1;1;1;blue
3;23;7,266884;1;2;2;blue
3;24;7,800095;1;4;4;blue
4;25;3,966652;1;4;4;yellow
4;26;4,383392;1;1;1;yellow
4;27;4,933365;1;3;3;yellow
4;28;5,449997;1;2;2;yellow
4;29;6,149826;1;4;4;yellow
4;30;6,683434;1;3;3;yellow
4;31;7,21666;1;1;1;yellow
4;32;7,816444;1;2;2;yellow
5;33;4,016792;1;3;3;green
5;34;4,533424;1;4;4;green
5;35;5,133621;1;2;2;green
5;36;5,833336;1;1;1;green
5;37;6,566986;1;3;3;green
5;38;7,200119;1;2;2;green
5;39;7,749947;1;4;4;green
5;40;8,483459;1;1;1;green
6;41;3,833527;1;2;2;blue
6;42;4,266502;1;3;3;blue
6;43;4,950012;1;1;1;blue
6;44;5,683258;1;4;4;blue
6;45;6,183228;1;3;3;blue
6;46;7,284294;1;1;1;blue
6;47;7,833298;1;2;2;blue
6;48;8,30024;1;4;4;blue
7;49;4,099846;1;2;2;blue
7;50;4,516556;1;3;3;blue
7;51;4,999878;1;1;1;blue
7;52;5,466293;1;4;4;blue
7;53;6,049606;1;3;3;blue
7;54;6,516464;1;1;1;blue
7;55;7,56636;1;2;2;blue
7;56;7,9496;1;4;4;blue
8;57;3,800201;1;2;2;yellow
8;58;4,266708;1;1;1;yellow
8;59;4,783356;1;4;4;yellow
8;60;5,300171;1;1;1;yellow
8;61;5,866936;1;3;3;yellow
8;62;6,333321;1;2;2;yellow
8;63;7,216888;1;4;4;yellow
8;64;7,700027;1;3;3;yellow
9;65;3,850067;1;3;3;green
9;66;4,334671;1;4;4;green
9;67;4,816833;1;2;2;green
9;68;5,5168;1;1;1;green
9;69;6,100136;1;3;3;green
9;70;6,566788;1;2;2;green
9;71;7,100037;1;4;4;green
9;72;7,433777;0;1;4;green
10;73;3,832947;1;2;2;blue
10;74;4,216187;1;3;3;blue
10;75;5,399628;1;1;1;blue
10;76;5,866364;1;4;4;blue
10;77;6,416306;1;3;3;blue
10;78;7,000015;1;1;1;blue
10;79;7,799561;1;2;2;blue
10;80;8,316391;1;4;4;blue
11;81;4,816635;1;2;2;blue
11;82;5,316971;1;3;3;blue
11;83;5,78299;1;1;1;blue
11;84;6,299866;1;4;4;blue
11;85;6,716599;0;3;4;blue
11;86;6,799805;0;1;3;blue
11;87;7,584396;1;2;2;blue
11;88;7,94989;1;4;4;blue
