BlockNumber;EventNumber;Time Since Block start;isHit;target;pressed;sequence
1;1;4,183304;0;2;3;blue
1;2;6,216621;0;3;2;blue
1;3;8,499664;0;1;4;blue
1;4;16,13363;1;4;4;blue
1;5;16,86631;1;3;3;blue
1;6;17,86635;1;1;1;blue
1;7;19,08366;1;2;2;blue
1;8;20,08316;1;4;4;blue
2;9;4,133228;1;1;1;yellow
2;10;4,766422;1;3;3;yellow
2;11;5,23354;1;4;4;yellow
2;12;6,150204;1;2;2;yellow
2;13;6,749737;1;4;4;yellow
2;14;8,416874;1;1;1;yellow
2;15;9,750034;1;3;3;yellow
2;16;10,21677;1;2;2;yellow
3;17;4,032967;1;3;3;green
3;18;4,483543;1;4;4;green
3;19;5,300224;1;2;2;green
3;20;5,7164;1;1;1;green
3;21;6,66642;1;3;3;green
3;22;7,499756;1;2;2;green
3;23;8,099838;1;4;4;green
3;24;8,866837;1;1;1;green
4;25;4,599571;1;2;2;yellow
4;26;5,016052;1;4;4;yellow
4;27;5,74958;1;1;1;yellow
4;28;6,749931;1;3;3;yellow
4;29;7,332779;1;4;4;yellow
4;30;8,766212;1;2;2;yellow
4;31;9,582809;1;3;3;yellow
4;32;10,21622;1;1;1;yellow
5;33;3,900345;1;3;3;green
5;34;4,300026;1;4;4;green
5;35;5,28331;1;2;2;green
5;36;6,166725;1;1;1;green
5;37;7,049927;1;3;3;green
5;38;8,166626;1;2;2;green
5;39;8,699928;1;4;4;green
5;40;9,233231;1;1;1;green
6;41;5,050323;1;2;2;blue
6;42;6,184006;1;3;3;blue
6;43;7,450569;1;1;1;blue
6;44;7,93322;1;4;4;blue
6;45;9,900154;1;3;3;blue
6;46;10,51643;1;1;1;blue
6;47;11,53336;1;2;2;blue
6;48;11,96675;1;4;4;blue
7;49;4,516685;1;2;2;blue
7;50;4,93351;1;3;3;blue
7;51;5,616425;1;1;1;blue
7;52;6,050247;1;4;4;blue
7;53;6,816422;1;3;3;blue
7;54;7,683121;1;1;1;blue
7;55;8,166428;1;2;2;blue
7;56;8,633057;1;4;4;blue
8;57;4,533264;1;2;2;yellow
8;58;5,300247;1;4;4;yellow
8;59;6,366814;1;1;1;yellow
8;60;7,183586;1;3;3;yellow
8;61;7,733147;1;4;4;yellow
8;62;9,149857;1;2;2;yellow
8;63;10,16641;1;3;3;yellow
8;64;10,5838;0;1;2;yellow
9;65;4,166504;1;1;1;yellow
9;66;4,78273;1;3;3;yellow
9;67;5,31604;1;4;4;yellow
9;68;6,450058;1;2;2;yellow
9;69;7,04921;1;4;4;yellow
9;70;8,082779;1;1;1;yellow
9;71;8,882706;1;3;3;yellow
9;72;9,566803;1;2;2;yellow
10;73;4,200165;1;3;3;green
10;74;4,56575;1;4;4;green
10;75;5,56633;1;2;2;green
10;76;6,132736;1;1;1;green
10;77;6,932419;1;3;3;green
10;78;7,949677;1;2;2;green
10;79;8,532471;1;4;4;green
10;80;9,116226;1;1;1;green
11;81;4,466644;1;2;2;yellow
11;82;5,099564;1;1;1;yellow
11;83;5,833313;1;4;4;yellow
11;84;6,516479;1;1;1;yellow
11;85;7,43306;1;3;3;yellow
11;86;8,449661;1;2;2;yellow
11;87;9,199554;1;4;4;yellow
11;88;10,56664;1;3;3;yellow
12;89;4,333038;1;2;2;blue
12;90;4,682999;1;3;3;blue
12;91;5,366226;1;1;1;blue
12;92;5,783142;1;4;4;blue
12;93;6,333328;1;3;3;blue
12;94;7,16629;1;1;1;blue
12;95;7,699539;1;2;2;blue
12;96;8,200195;1;4;4;blue
13;97;4,299255;1;2;2;blue
13;98;4,799652;1;3;3;blue
13;99;6,033188;1;1;1;blue
13;100;6,566208;1;4;4;blue
13;101;7,249283;1;3;3;blue
13;102;8,16629;1;1;1;blue
13;103;8,565887;1;2;2;blue
13;104;9,049759;1;4;4;blue
14;105;4,016251;1;2;2;blue
14;106;4,432861;1;3;3;blue
14;107;5,182907;1;1;1;blue
14;108;5,58316;1;4;4;blue
14;109;6,216293;1;3;3;blue
14;110;6,933121;1;1;1;blue
14;111;7,466263;1;2;2;blue
14;112;7,882797;1;4;4;blue
15;113;4,200653;1;3;3;green
15;114;4,633682;1;4;4;green
15;115;5,983246;1;2;2;green
15;116;6,450058;1;1;1;green
15;117;7,36673;1;3;3;green
15;118;8,083588;1;2;2;green
15;119;8,767273;1;4;4;green
15;120;9,233688;1;1;1;green
16;121;3,849838;1;3;3;green
16;122;4,316406;1;4;4;green
16;123;5,316605;1;2;2;green
16;124;6,666336;1;1;1;green
16;125;7,483078;1;3;3;green
16;126;8,199661;1;2;2;green
16;127;8,733032;1;4;4;green
16;128;9,216492;1;1;1;green
