BlockNumber;EventNumber;Time Since Block start;isHit;target;pressed;sequence
1;1;5,332932;1;2;2;blue
1;2;5,783417;1;3;3;blue
1;3;6,349747;1;1;1;blue
1;4;6,400169;0;4;2;blue
1;5;6,716385;0;3;1;blue
1;6;8,016068;1;1;1;blue
1;7;9,466156;1;2;2;blue
1;8;9,949524;1;4;4;blue
2;9;4,083527;1;3;3;green
2;10;4,584053;1;4;4;green
2;11;5,349808;1;2;2;green
2;12;5,866753;1;1;1;green
2;13;6,866753;1;3;3;green
2;14;7,617233;1;2;2;green
2;15;8,14994;1;4;4;green
2;16;8,66658;1;1;1;green
3;17;4,233711;1;2;2;blue
3;18;4,749992;1;3;3;blue
3;19;5,316711;1;1;1;blue
3;20;5,8834;1;4;4;blue
3;21;6,416481;1;3;3;blue
3;22;6,916878;1;1;1;blue
3;23;7,433296;1;2;2;blue
3;24;7,950081;1;4;4;blue
4;25;3,96669;1;2;2;blue
4;26;4,417213;1;3;3;blue
4;27;4,933174;1;1;1;blue
4;28;5,416672;1;4;4;blue
4;29;6,133194;1;3;3;blue
4;30;6,68335;1;1;1;blue
4;31;7,199944;1;2;2;blue
4;32;7,682961;1;4;4;blue
5;33;4,100983;1;2;2;blue
5;34;4,549995;1;3;3;blue
5;35;5,000671;0;1;3;blue
5;36;5,083519;0;4;1;blue
5;37;5,150208;1;3;3;blue
5;38;5,516701;1;1;1;blue
5;39;7,066971;1;2;2;blue
5;40;7,733635;1;4;4;blue
6;41;4,016533;1;3;3;green
6;42;4,616386;1;4;4;green
6;43;5,149422;1;2;2;green
6;44;5,766922;1;1;1;green
6;45;6,467346;1;3;3;green
6;46;7,132927;1;2;2;green
6;47;7,68309;1;4;4;green
6;48;8,216309;1;1;1;green
7;49;4,150475;1;3;3;green
7;50;4,683548;1;4;4;green
7;51;5,283524;1;2;2;green
7;52;5,966721;1;1;1;green
7;53;6,549896;1;3;3;green
7;54;7,216904;1;2;2;green
7;55;7,750122;1;4;4;green
7;56;8,41658;1;1;1;green
8;57;4,000076;1;2;2;blue
8;58;4,033478;1;3;3;blue
8;59;5,933395;1;1;1;blue
8;60;6,600586;1;4;4;blue
8;61;9,200104;1;3;3;blue
8;62;9,750168;1;1;1;blue
8;63;9,933426;0;2;3;blue
8;64;10,9505;1;4;4;blue
9;65;3,98259;1;2;2;blue
9;66;4,566299;1;3;3;blue
9;67;5,132858;1;1;1;blue
9;68;5,63269;1;4;4;blue
9;69;6,232437;1;3;3;blue
9;70;6,799286;1;1;1;blue
9;71;7,416153;1;2;2;blue
9;72;7,966156;1;4;4;blue
10;73;4,266861;1;3;3;green
10;74;5,36673;1;4;4;green
10;75;5,899765;1;2;2;green
10;76;6,467026;1;1;1;green
10;77;7,100174;1;3;3;green
10;78;7,683228;1;2;2;green
10;79;7,766953;0;4;3;green
10;80;7,833221;0;1;3;green
11;81;3,917419;1;4;4;yellow
11;82;4,383606;1;1;1;yellow
11;83;4,883011;1;3;3;yellow
11;84;5,483139;1;2;2;yellow
11;85;6,116257;1;4;4;yellow
11;86;6,88324;1;3;3;yellow
11;87;7,483475;1;1;1;yellow
11;88;8,049957;1;2;2;yellow
12;89;4,00032;1;3;3;green
12;90;4,61644;1;4;4;green
12;91;5,199814;1;2;2;green
12;92;5,816513;1;1;1;green
12;93;6,483368;1;3;3;green
12;94;7,699829;1;2;2;green
12;95;8,366714;1;4;4;green
12;96;8,899689;1;1;1;green
13;97;4,566528;1;3;3;green
13;98;5,166382;1;4;4;green
13;99;5,766388;1;2;2;green
13;100;6,350143;1;1;1;green
13;101;7,100067;1;3;3;green
13;102;7,900497;1;2;2;green
13;103;8,450089;1;4;4;green
13;104;9,00032;1;1;1;green
14;105;3,983047;1;2;2;yellow
14;106;4,566589;1;3;3;yellow
14;107;5,116028;1;1;1;yellow
14;108;5,849594;1;4;4;yellow
14;109;6,64946;1;3;3;yellow
