BlockNumber;EventNumber;Time Since Block start;isHit;target;pressed;sequence
1;1;4,132988;1;1;1;yellow
1;2;4,433033;1;2;2;yellow
1;3;4,716297;1;4;4;yellow
1;4;5,283001;1;1;1;yellow
1;5;5,682922;1;3;3;yellow
1;6;6,132881;1;4;4;yellow
1;7;6,699478;1;2;2;yellow
1;8;6,999619;0;3;1;yellow
2;9;4,200134;1;2;2;yellow
2;10;4,450058;1;1;1;yellow
2;11;4,966454;1;3;3;yellow
2;12;5,216591;1;4;4;yellow
2;13;6,066582;1;2;2;yellow
2;14;6,466522;1;4;4;yellow
2;15;7,033424;1;1;1;yellow
2;16;7,333298;1;2;2;yellow
3;17;4,400009;1;2;2;blue
3;18;4,649651;1;3;3;blue
3;19;4,916588;1;1;1;blue
3;20;5,533035;1;4;4;blue
3;21;5,88311;1;3;3;blue
3;22;6,266869;1;1;1;blue
3;23;6,699936;1;2;2;blue
3;24;6,949944;1;4;4;blue
4;25;3,983093;1;4;4;yellow
4;26;4,249809;1;3;3;yellow
4;27;4,533066;1;1;1;yellow
4;28;5,016556;1;4;4;yellow
4;29;5,266525;1;3;3;yellow
4;30;5,59996;1;1;1;yellow
4;31;6,566414;1;4;4;yellow
4;32;7,433044;1;2;2;yellow
5;33;4,100243;0;2;3;blue
5;34;5,150131;1;3;3;blue
5;35;5,766876;1;1;1;blue
5;36;6,166771;1;4;4;blue
5;37;6,416656;1;3;3;blue
5;38;6,733566;1;1;1;blue
5;39;7,350105;1;2;2;blue
5;40;7,566689;1;4;4;blue
6;41;4,200127;1;2;2;blue
6;42;4,450317;1;3;3;blue
6;43;4,816803;1;1;1;blue
6;44;5,216789;1;4;4;blue
6;45;5,483223;1;3;3;blue
6;46;5,816612;1;1;1;blue
6;47;6,199982;1;2;2;blue
6;48;6,433228;1;4;4;blue
7;49;4,216667;1;3;3;green
7;50;4,583443;1;4;4;green
7;51;5,417046;1;2;2;green
7;52;5,716621;1;1;1;green
7;53;6,199989;1;3;3;green
7;54;6,833252;1;2;2;green
7;55;7,049988;1;4;4;green
7;56;7,299973;1;1;1;green
8;57;4,650002;1;2;2;blue
8;58;4,883469;1;3;3;blue
8;59;5,133286;1;1;1;blue
8;60;5,399948;1;4;4;blue
8;61;5,633423;1;3;3;blue
8;62;5,933311;1;1;1;blue
8;63;6,366463;1;2;2;blue
8;64;6,583359;1;4;4;blue
9;65;4,149963;1;2;2;blue
9;66;4,399857;1;3;3;blue
9;67;4,649956;1;1;1;blue
9;68;4,916443;1;4;4;blue
9;69;5,149879;1;3;3;blue
9;70;5,43338;1;1;1;blue
9;71;5,799713;1;2;2;blue
9;72;6,033188;1;4;4;blue
10;73;3,983261;1;2;2;blue
10;74;4,216713;1;3;3;blue
10;75;4,48336;1;1;1;blue
10;76;5,083344;1;4;4;blue
10;77;5,316544;1;3;3;blue
10;78;5,6166;1;1;1;blue
10;79;5,933388;1;2;2;blue
10;80;6,16684;1;4;4;blue
11;81;4,049759;1;2;2;blue
11;82;4,282997;1;3;3;blue
11;83;4,499611;1;1;1;blue
11;84;5,016556;1;4;4;blue
11;85;5,516289;1;3;3;blue
11;86;5,716423;1;1;1;blue
11;87;6,083305;1;2;2;blue
11;88;6,333015;1;4;4;blue
12;89;4,116699;1;2;2;blue
12;90;4,333328;1;3;3;blue
12;91;4,550034;1;1;1;blue
12;92;4,833282;1;4;4;blue
12;93;5,050049;1;3;3;blue
12;94;5,316666;1;1;1;blue
12;95;5,616669;1;2;2;blue
12;96;5,866714;0;4;3;blue
13;97;4,03331;1;2;2;blue
13;98;4,249954;1;3;3;blue
13;99;4,499832;1;1;1;blue
13;100;4,79985;1;4;4;blue
13;101;5,06662;1;3;3;blue
13;102;5,416641;1;1;1;blue
13;103;5,766693;1;2;2;blue
13;104;5,9832;1;4;4;blue
14;105;4,750122;1;2;2;blue
14;106;4,949829;1;3;3;blue
14;107;5,199966;1;1;1;blue
14;108;5,449936;1;4;4;blue
14;109;5,666672;1;3;3;blue
14;110;5,950104;1;1;1;blue
14;111;6,250061;1;2;2;blue
14;112;6,483368;1;4;4;blue
15;113;4,433167;1;3;3;green
15;114;4,649811;1;4;4;green
15;115;4,916428;0;2;1;green
15;116;5,199982;0;1;2;green
15;117;6,499771;1;3;3;green
15;118;6,749786;1;2;2;green
15;119;7,066513;1;4;4;green
15;120;7,566635;1;1;1;green
16;121;4,416458;1;2;2;yellow
16;122;4,633087;1;1;1;yellow
16;123;4,916687;1;4;4;yellow
16;124;5,19989;0;1;3;yellow
16;125;5,499771;0;3;1;yellow
16;126;6,916351;1;2;2;yellow
16;127;7,133179;1;4;4;yellow
16;128;7,416382;1;3;3;yellow
17;129;4,000061;1;2;2;blue
17;130;4,250046;1;3;3;blue
17;131;4,500061;1;1;1;blue
17;132;4,783432;1;4;4;blue
17;133;4,999954;1;3;3;blue
17;134;5,333496;1;1;1;blue
17;135;5,683395;1;2;2;blue
17;136;5,91655;1;4;4;blue
18;137;3,950043;1;2;2;yellow
18;138;4,16684;1;3;3;yellow
18;139;4,416794;1;1;1;yellow
18;140;4,749969;1;4;4;yellow
