BlockNumber;EventNumber;Time Since Block start;isHit;target;pressed;sequence
1;1;4,48317;1;4;4;yellow
1;2;4,549873;0;3;1;yellow
1;3;6,050247;0;1;3;yellow
1;4;6,899834;0;4;1;yellow
1;5;9,299789;1;3;3;yellow
1;6;10,4165;1;1;1;yellow
1;7;11,13326;1;4;4;yellow
1;8;11,76656;0;2;3;yellow
2;9;4,433228;1;4;4;yellow
2;10;5,049973;1;3;3;yellow
2;11;5,749947;1;1;1;yellow
2;12;6,650436;1;4;4;yellow
2;13;7,549919;1;3;3;yellow
2;14;8,283195;1;1;1;yellow
2;15;9,249893;1;4;4;yellow
2;16;10,14996;1;2;2;yellow
3;17;5,016624;1;2;2;blue
3;18;5,666534;1;3;3;blue
3;19;6,616623;1;1;1;blue
3;20;7,31646;1;4;4;blue
3;21;8,616501;1;3;3;blue
3;22;10,16644;1;1;1;blue
3;23;11,41646;1;2;2;blue
3;24;12,46671;1;4;4;blue
4;25;4,549751;1;3;3;green
4;26;5,299843;1;4;4;green
4;27;6,216499;1;2;2;green
4;28;6,783257;1;1;1;green
4;29;8,199722;1;3;3;green
4;30;8,866402;1;2;2;green
4;31;9,916481;1;4;4;green
4;32;10,53306;1;1;1;green
5;33;4,883392;1;2;2;blue
5;34;5,59996;1;3;3;blue
5;35;6,350151;1;1;1;blue
5;36;7,166611;1;4;4;blue
5;37;8,216736;1;3;3;blue
5;38;9,516624;1;1;1;blue
5;39;10,34991;1;2;2;blue
5;40;10,89996;1;4;4;blue
6;41;4,60009;1;3;3;green
6;42;5,183296;1;4;4;green
6;43;5,933342;1;2;2;green
6;44;6,566658;1;1;1;green
6;45;7,749947;1;3;3;green
6;46;8,650078;1;2;2;green
6;47;9,350029;1;4;4;green
6;48;10,13323;1;1;1;green
7;49;4,466705;1;2;2;blue
7;50;5,066711;1;3;3;blue
7;51;5,916794;1;1;1;blue
7;52;6,983368;1;4;4;blue
7;53;7,650085;1;3;3;blue
7;54;8,567612;1;1;1;blue
7;55;10,25005;1;2;2;blue
7;56;11,11673;1;4;4;blue
8;57;4,56662;1;2;2;blue
8;58;5,466599;1;3;3;blue
8;59;6,349884;1;1;1;blue
8;60;7,249924;1;4;4;blue
8;61;8,266998;1;3;3;blue
8;62;9,233231;1;1;1;blue
8;63;9,816559;1;2;2;blue
8;64;10,56665;1;4;4;blue
9;65;4,41658;1;2;2;blue
9;66;4,94989;1;3;3;blue
9;67;6,266541;1;1;1;blue
9;68;6,966568;1;4;4;blue
9;69;8,033264;1;3;3;blue
9;70;8,733231;1;1;1;blue
9;71;9,950134;1;2;2;blue
9;72;10,76651;1;4;4;blue
10;73;4,649887;1;2;2;blue
10;74;5,283417;1;3;3;blue
10;75;6,416672;1;1;1;blue
10;76;7,18335;1;4;4;blue
10;77;8,416656;1;3;3;blue
10;78;9,93335;1;1;1;blue
10;79;10,51674;1;2;2;blue
10;80;11,16663;1;4;4;blue
11;81;4,283218;1;2;2;blue
11;82;4,866653;1;3;3;blue
11;83;6,799957;1;1;1;blue
11;84;7,716599;1;4;4;blue
11;85;8,833496;1;3;3;blue
11;86;10,24995;1;1;1;blue
11;87;10,86671;1;2;2;blue
11;88;11,51662;1;4;4;blue
12;89;4,266678;1;2;2;blue
12;90;4,749954;1;3;3;blue
12;91;6,416855;1;1;1;blue
12;92;7,400192;1;4;4;blue
12;93;8,300262;1;3;3;blue
12;94;9,56694;1;1;1;blue
12;95;10,21693;1;2;2;blue
12;96;10,86688;1;4;4;blue
13;97;4,366333;1;2;2;blue
13;98;4,966324;1;3;3;blue
13;99;5,799713;1;1;1;blue
13;100;6,516342;1;4;4;blue
13;101;7,949722;1;3;3;blue
13;102;8,849655;1;1;1;blue
13;103;9,833145;1;2;2;blue
13;104;10,31636;1;4;4;blue
14;105;4,733551;1;3;3;green
14;106;5,649933;0;4;2;green
14;107;7,666672;1;2;2;green
14;108;8,583206;1;1;1;green
14;109;9,533447;0;3;4;green
14;110;11,54994;1;2;2;green
14;111;12,68326;1;4;4;green
14;112;13,49989;1;1;1;green
15;113;4,966614;1;2;2;yellow
15;114;5,566635;1;1;1;yellow
15;115;6,416702;1;4;4;yellow
15;116;7,216736;1;1;1;yellow
15;117;8,416611;1;3;3;yellow
15;118;9,06665;1;2;2;yellow
15;119;9,816635;1;4;4;yellow
15;120;10,71658;1;3;3;yellow
16;121;4,633392;1;2;2;blue
16;122;5,250153;1;3;3;blue
16;123;6,133698;1;1;1;blue
16;124;6,700027;1;4;4;blue
16;125;7,866653;1;3;3;blue
16;126;9,36676;1;1;1;blue
16;127;10,35014;1;2;2;blue
16;128;11,33333;1;4;4;blue
17;129;4,266632;1;2;2;yellow
17;130;4,81665;1;3;3;yellow
17;131;5,583328;1;1;1;yellow
17;132;6,150024;1;4;4;yellow
17;133;7,416794;1;3;3;yellow
17;134;8,833267;1;1;1;yellow
17;135;9,46669;1;2;2;yellow
17;136;10,18327;1;4;4;yellow
18;137;4,483368;0;3;2;green
18;138;7,93335;1;4;4;green
18;139;9,266785;1;2;2;green
18;140;10,6499;1;1;1;green
