BlockNumber;EventNumber;Time Since Block start;isHit;target;pressed;sequence
1;1;5,099869;1;2;2;blue
1;2;6,183136;1;3;3;blue
1;3;6,883362;1;1;1;blue
1;4;7,66658;1;4;4;blue
1;5;8,84993;1;3;3;blue
1;6;9,683289;1;1;1;blue
1;7;10,63341;1;2;2;blue
1;8;12,43317;1;4;4;blue
2;9;4,95047;1;1;1;yellow
2;10;6,833405;1;3;3;yellow
2;11;7,400177;1;4;4;yellow
2;12;8,883575;1;2;2;yellow
2;13;9,51709;0;4;1;yellow
2;14;10,50038;0;1;4;yellow
2;15;11,70016;0;3;2;yellow
2;16;15,88362;1;2;2;yellow
3;17;5,200073;1;3;3;green
3;18;6,466171;1;4;4;green
3;19;7,24968;1;2;2;green
3;20;8,216553;1;1;1;green
3;21;9,316437;1;3;3;green
3;22;11,43303;0;2;3;green
3;23;13,34982;1;4;4;green
3;24;14,4162;1;1;1;green
4;25;4,849823;1;2;2;yellow
4;26;5,86702;1;4;4;yellow
4;27;7,000778;1;1;1;yellow
4;28;8,033386;1;3;3;yellow
4;29;9,400436;1;4;4;yellow
4;30;10,86676;1;2;2;yellow
4;31;11,96651;1;3;3;yellow
4;32;13,03333;1;1;1;yellow
5;33;4,81691;1;3;3;green
5;34;5,616592;1;4;4;green
5;35;6,649948;1;2;2;green
5;36;7,550079;1;1;1;green
5;37;8,467148;1;3;3;green
5;38;9,200424;1;2;2;green
5;39;10,36684;1;4;4;green
5;40;10,96651;1;1;1;green
6;41;4,60022;1;2;2;blue
6;42;5,3172;1;3;3;blue
6;43;6,450195;0;1;4;blue
6;44;9,050781;1;4;4;blue
6;45;10,39993;1;3;3;blue
6;46;11,48338;1;1;1;blue
6;47;12,40009;1;2;2;blue
6;48;13,40045;1;4;4;blue
7;49;4,399872;1;2;2;blue
7;50;5,53299;1;3;3;blue
7;51;6,549713;1;1;1;blue
7;52;7,766403;1;4;4;blue
7;53;8,666153;1;3;3;blue
7;54;9,449677;1;1;1;blue
7;55;10,33302;1;2;2;blue
7;56;11,16623;1;4;4;blue
8;57;5,000031;1;2;2;yellow
8;58;5,750061;1;4;4;yellow
8;59;7,033554;1;1;1;yellow
8;60;7,849991;1;3;3;yellow
8;61;9,43338;1;4;4;yellow
8;62;10,71669;1;2;2;yellow
8;63;11,45015;1;3;3;yellow
8;64;12,75043;1;1;1;yellow
9;65;4,883362;1;1;1;yellow
9;66;6,366241;1;3;3;yellow
9;67;7,416275;1;4;4;yellow
9;68;8,366394;1;2;2;yellow
9;69;9,216843;1;4;4;yellow
9;70;10,09991;1;1;1;yellow
9;71;10,90021;1;3;3;yellow
9;72;11,89972;1;2;2;yellow
10;73;5,366974;1;3;3;green
10;74;6,033661;1;4;4;green
10;75;6,782928;1;2;2;green
10;76;7,582977;1;1;1;green
10;77;8,549713;1;3;3;green
10;78;9,48349;1;2;2;green
10;79;10,31622;1;4;4;green
10;80;10,94974;1;1;1;green
11;81;4,433228;1;2;2;yellow
11;82;5,116669;1;1;1;yellow
11;83;5,766449;1;4;4;yellow
11;84;6,517273;1;1;1;yellow
11;85;7,417267;1;3;3;yellow
11;86;8,18338;1;2;2;yellow
11;87;9,500305;1;4;4;yellow
11;88;10,63345;1;3;3;yellow
12;89;4,533051;1;2;2;blue
12;90;5,583649;1;3;3;blue
12;91;6,733002;1;1;1;blue
12;92;7,733124;1;4;4;blue
12;93;9,183411;1;3;3;blue
12;94;10,05048;1;1;1;blue
12;95;10,93359;1;2;2;blue
12;96;11,7168;1;4;4;blue
13;97;4,449463;1;2;2;blue
13;98;5,166779;1;3;3;blue
13;99;5,799622;0;1;4;blue
13;100;8,082947;1;4;4;blue
13;101;9,433167;1;3;3;blue
13;102;10,33313;1;1;1;blue
13;103;11,14972;1;2;2;blue
13;104;11,99945;1;4;4;blue
14;105;4,716644;1;2;2;blue
14;106;5,867065;1;3;3;blue
14;107;6,516937;0;1;4;blue
14;108;9,283325;1;4;4;blue
14;109;10,18344;1;3;3;blue
14;110;11,06711;1;1;1;blue
14;111;11,8175;1;2;2;blue
14;112;12,91663;1;4;4;blue
15;113;4,367035;1;3;3;green
15;114;5,567108;1;4;4;green
15;115;6,816833;1;2;2;green
15;116;7,86676;1;1;1;green
15;117;9,483276;1;3;3;green
