BlockNumber;EventNumber;Time Since Block start;isHit;target;pressed;sequence
1;1;4,616375;1;3;3;green
1;2;4,999714;1;4;4;green
1;3;5,483189;1;2;2;green
1;4;5,883095;1;1;1;green
1;5;6,982979;1;3;3;green
1;6;8,433105;1;2;2;green
1;7;8,966255;1;4;4;green
1;8;9,416286;1;1;1;green
2;9;4,333122;1;3;3;green
2;10;4,783325;1;4;4;green
2;11;5,333366;1;2;2;green
2;12;5,783318;1;1;1;green
2;13;7,05014;1;3;3;green
2;14;7,533539;1;2;2;green
2;15;7,983261;1;4;4;green
2;16;8,400017;1;1;1;green
3;17;4,383392;1;2;2;blue
3;18;4,899933;1;3;3;blue
3;19;5,533195;1;1;1;blue
3;20;6,033188;1;4;4;blue
3;21;6,599968;1;3;3;blue
3;22;7,183243;1;1;1;blue
3;23;7,700035;1;2;2;blue
3;24;8,216583;1;4;4;blue
4;25;4,483231;1;4;4;yellow
4;26;5,066605;1;1;1;yellow
4;27;5,849808;1;3;3;yellow
4;28;6,366745;1;2;2;yellow
4;29;7,100037;1;4;4;yellow
4;30;7,833801;1;3;3;yellow
4;31;8,300148;1;1;1;yellow
4;32;8,766479;1;2;2;yellow
5;33;4,133514;1;3;3;green
5;34;4,666916;1;4;4;green
5;35;5,16684;1;2;2;green
5;36;5,683502;1;1;1;green
5;37;6,433617;1;3;3;green
5;38;6,950134;1;2;2;green
5;39;7,533264;1;4;4;green
5;40;8,066933;1;1;1;green
6;41;4,083214;1;2;2;blue
6;42;4,649727;1;3;3;blue
6;43;5,299927;1;1;1;blue
6;44;5,88295;1;4;4;blue
6;45;6,416786;1;3;3;blue
6;46;6,949799;1;1;1;blue
6;47;7,366516;1;2;2;blue
6;48;7,949898;1;4;4;blue
7;49;4,333199;1;2;2;blue
7;50;4,883492;1;3;3;blue
7;51;5,366508;1;1;1;blue
7;52;5,849922;1;4;4;blue
7;53;6,383057;1;3;3;blue
7;54;6,883141;1;1;1;blue
7;55;7,366501;1;2;2;blue
7;56;7,799858;1;4;4;blue
8;57;4,133308;1;2;2;yellow
8;58;4,783264;1;1;1;yellow
8;59;5,299889;1;4;4;yellow
8;60;6,099838;0;1;3;yellow
8;61;9,16658;1;3;3;yellow
8;62;9,666542;1;2;2;yellow
8;63;10,21655;1;4;4;yellow
8;64;10,68317;1;3;3;yellow
9;65;4,200035;1;3;3;green
9;66;4,683418;1;4;4;green
9;67;5,216621;1;2;2;green
9;68;5,700035;1;1;1;green
9;69;6,400124;1;3;3;green
9;70;7,333366;1;2;2;green
9;71;7,866432;1;4;4;green
9;72;8,317055;1;1;1;green
10;73;4,232758;1;2;2;blue
10;74;4,916321;1;3;3;blue
10;75;5,383057;1;1;1;blue
10;76;5,849655;1;4;4;blue
10;77;6,349808;1;3;3;blue
10;78;6,86618;1;1;1;blue
10;79;7,366425;1;2;2;blue
10;80;7,84967;1;4;4;blue
11;81;4,066513;1;2;2;blue
11;82;5,066666;1;3;3;blue
11;83;5,550003;1;1;1;blue
11;84;6,066528;1;4;4;blue
11;85;6,683258;1;3;3;blue
11;86;7,233307;1;1;1;blue
11;87;7,733353;1;2;2;blue
11;88;8,249863;1;4;4;blue
12;89;4,350021;1;2;2;yellow
12;90;4,883423;1;3;3;yellow
12;91;5,449844;1;1;1;yellow
12;92;5,949966;1;4;4;yellow
12;93;6,499954;1;3;3;yellow
12;94;7,016602;1;1;1;yellow
12;95;7,516647;1;2;2;yellow
12;96;8,049866;1;4;4;yellow
13;97;4,116623;1;2;2;blue
13;98;4,716629;1;3;3;blue
13;99;5,200012;1;1;1;blue
13;100;5,649933;1;4;4;blue
13;101;6,250351;1;3;3;blue
13;102;7,400421;1;1;1;blue
13;103;7,850052;1;2;2;blue
13;104;8,266754;1;4;4;blue
14;105;4,499939;1;2;2;blue
14;106;5,650024;1;3;3;blue
14;107;6,383118;1;1;1;blue
14;108;6,89978;1;4;4;blue
14;109;7,499863;1;3;3;blue
14;110;7,949829;1;1;1;blue
14;111;8,483154;1;2;2;blue
14;112;8,966782;1;4;4;blue
15;113;4,11644;1;3;3;green
15;114;4,632996;1;4;4;green
15;115;5,266296;1;2;2;green
15;116;5,783112;1;1;1;green
15;117;7,93309;1;3;3;green
15;118;9,433014;1;2;2;green
15;119;9,916885;1;4;4;green
15;120;10,36646;1;1;1;green
16;121;4,583221;1;3;3;green
16;122;5,149948;1;4;4;green
16;123;5,61644;1;2;2;green
16;124;6,166489;1;1;1;green
16;125;6,816589;1;3;3;green
16;126;7,40004;1;2;2;green
16;127;7,949814;1;4;4;green
16;128;8,416534;1;1;1;green
17;129;4,349976;1;2;2;blue
17;130;4,999939;1;3;3;blue
17;131;5,499863;1;1;1;blue
17;132;5,999985;1;4;4;blue
17;133;6,550079;1;3;3;blue
