BlockNumber;EventNumber;Time Since Block start;isHit;target;pressed;sequence
1;1;4,199718;1;1;1;yellow
1;2;5,316509;1;2;2;yellow
1;3;6,483219;1;4;4;yellow
1;4;8,066891;1;1;1;yellow
1;5;9,149593;1;3;3;yellow
1;6;10,26657;1;4;4;yellow
1;7;11,53357;1;2;2;yellow
1;8;12,66642;1;3;3;yellow
2;9;4,499901;1;2;2;yellow
2;10;5,533241;1;1;1;yellow
2;11;6,450165;1;3;3;yellow
2;12;7,283836;1;4;4;yellow
2;13;8,550659;1;2;2;yellow
2;14;9,566788;1;4;4;yellow
2;15;10,70006;1;1;1;yellow
2;16;12,69996;1;2;2;yellow
3;17;4,450096;1;2;2;blue
3;18;5,649925;1;3;3;blue
3;19;6,833122;1;1;1;blue
3;20;7,400352;1;4;4;blue
3;21;8,516838;0;3;4;blue
3;22;8,533386;0;1;3;blue
3;23;9,48362;0;2;3;blue
3;24;11,33331;1;4;4;blue
4;25;4,45002;1;4;4;yellow
4;26;5,33358;1;3;3;yellow
4;27;6,583298;1;1;1;yellow
4;28;7,767059;1;4;4;yellow
4;29;8,716797;1;3;3;yellow
4;30;10,30054;1;1;1;yellow
4;31;11,29981;1;4;4;yellow
4;32;12,40005;1;2;2;yellow
5;33;6,183128;0;2;1;blue
5;34;7,249771;1;3;3;blue
5;35;8,499779;1;1;1;blue
5;36;9,333565;1;4;4;blue
5;37;10,43331;1;3;3;blue
5;38;11,38351;1;1;1;blue
5;39;13,23324;1;2;2;blue
5;40;14,16662;1;4;4;blue
6;41;5,299896;1;2;2;blue
6;42;6,383072;1;3;3;blue
6;43;7,733597;1;1;1;blue
6;44;8,11705;0;4;1;blue
6;45;9,999664;1;3;3;blue
6;46;11,41658;1;1;1;blue
6;47;13,23332;1;2;2;blue
6;48;14,11658;1;4;4;blue
7;49;4,900253;1;3;3;green
7;50;5,766556;1;4;4;green
7;51;6,733078;1;2;2;green
7;52;7,616562;1;1;1;green
7;53;8,633209;1;3;3;green
7;54;9,650177;1;2;2;green
7;55;10,43347;1;4;4;green
7;56;11,1499;1;1;1;green
8;57;5,216766;1;2;2;blue
8;58;6,216675;1;3;3;blue
8;59;7,33313;1;1;1;blue
8;60;8,033218;1;4;4;blue
8;61;8,333344;0;3;4;blue
8;62;10,28339;1;1;1;blue
8;63;11,2832;1;2;2;blue
8;64;11,93306;1;4;4;blue
9;65;4,350281;1;2;2;blue
9;66;5,600159;1;3;3;blue
9;67;7,233826;1;1;1;blue
9;68;8,400208;1;4;4;blue
9;69;9,767136;1;3;3;blue
9;70;11,30029;1;1;1;blue
9;71;12,83391;1;2;2;blue
9;72;13,45074;1;4;4;blue
10;73;4,799377;1;2;2;blue
10;74;6,432663;1;3;3;blue
10;75;8,682663;1;1;1;blue
10;76;10,79921;1;4;4;blue
10;77;12,34932;1;3;3;blue
10;78;13,98276;1;1;1;blue
10;79;15,13271;1;2;2;blue
10;80;16,31662;1;4;4;blue
11;81;4,68306;1;2;2;blue
11;82;5,782547;1;3;3;blue
11;83;6,932785;1;1;1;blue
11;84;7,665924;1;4;4;blue
11;85;8,766327;1;3;3;blue
11;86;9,916275;1;1;1;blue
11;87;11,23288;1;2;2;blue
11;88;13,21605;1;4;4;blue
12;89;4,783478;1;2;2;blue
12;90;5,666534;1;3;3;blue
12;91;6,550232;1;1;1;blue
12;92;7,199966;1;4;4;blue
12;93;8,383545;1;3;3;blue
12;94;9,450104;1;1;1;blue
12;95;10,16653;1;2;2;blue
12;96;11,24976;1;4;4;blue
13;97;4,167114;1;2;2;blue
13;98;5,117508;1;3;3;blue
13;99;5,883484;1;1;1;blue
13;100;6,850082;1;4;4;blue
13;101;7,75;1;3;3;blue
13;102;8,816879;1;1;1;blue
13;103;9,433884;1;2;2;blue
13;104;10,1004;1;4;4;blue
14;105;5,16629;1;2;2;blue
14;106;6,700226;1;3;3;blue
14;107;7,833023;1;1;1;blue
14;108;8,833557;1;4;4;blue
14;109;9,999893;1;3;3;blue
14;110;11,2164;1;1;1;blue
14;111;11,73309;1;2;2;blue
14;112;11,96695;0;4;2;blue
15;113;4,549438;0;3;2;green
15;114;7,349548;1;4;4;green
15;115;9,316162;1;2;2;green
15;116;10,44946;1;1;1;green
15;117;11,88283;1;3;3;green
15;118;13,41612;1;2;2;green
15;119;15,81631;1;4;4;green
15;120;17,06627;1;1;1;green
16;121;4,782959;1;2;2;yellow
16;122;5,849548;1;1;1;yellow
16;123;7,233002;1;4;4;yellow
16;124;8,466248;1;1;1;yellow
16;125;9,333466;1;3;3;yellow
16;126;10,18332;1;2;2;yellow
16;127;11,10028;1;4;4;yellow
16;128;12,10022;1;3;3;yellow
17;129;6,166229;1;2;2;blue
17;130;7,282806;1;3;3;blue
17;131;8,849396;1;1;1;blue
17;132;10,33313;1;4;4;blue
17;133;11,9827;1;3;3;blue
17;134;14,86618;1;1;1;blue
17;135;16,71637;1;2;2;blue
17;136;18,2995;1;4;4;blue
18;137;5,749603;1;2;2;yellow
18;138;6,766571;1;3;3;yellow
18;139;10,46652;1;1;1;yellow
18;140;12,34967;1;4;4;yellow
18;141;13,88351;1;3;3;yellow
18;142;15,23285;1;1;1;yellow
18;143;16,06705;1;2;2;yellow
18;144;16,48318;0;4;2;yellow
19;145;4,716949;1;3;3;green
19;146;6,016541;1;4;4;green
19;147;8,683105;1;2;2;green
19;148;9,633118;1;1;1;green
19;149;10,58319;1;3;3;green
19;150;11,36652;1;2;2;green
19;151;12,50015;0;4;3;green
19;152;13,29959;0;1;4;green
20;153;5,466766;1;3;3;green
20;154;6,767609;1;4;4;green
20;155;7,950317;1;2;2;green
20;156;9,217285;1;1;1;green
20;157;10,31702;1;3;3;green
20;158;11,50031;1;2;2;green
20;159;12,43353;1;4;4;green
20;160;14,10004;1;1;1;green
21;161;4,983398;1;2;2;blue
21;162;6,16687;1;3;3;blue
21;163;7,350555;1;1;1;blue
21;164;9,11673;1;4;4;blue
21;165;10,48343;1;3;3;blue
21;166;10,53336;0;1;4;blue
21;167;14,23407;1;2;2;blue
21;168;15,56747;1;4;4;blue
22;169;4,499115;1;2;2;blue
22;170;5,499634;1;3;3;blue
22;171;6,799194;1;1;1;blue
22;172;7,882751;1;4;4;blue
22;173;10,23297;1;3;3;blue
22;174;10,6163;0;1;3;blue
22;175;11,49963;0;2;1;blue
22;176;13,13263;1;4;4;blue
23;177;5,38327;1;2;2;blue
23;178;7,016571;1;3;3;blue
23;179;8,93338;1;1;1;blue
23;180;9,66684;1;4;4;blue
23;181;11,13324;1;3;3;blue
23;182;12,28326;1;1;1;blue
23;183;13,11728;1;2;2;blue
23;184;13,86682;1;4;4;blue
24;185;5,300049;1;3;3;green
24;186;6,433624;1;4;4;green
24;187;7,949951;1;2;2;green
24;188;8,616547;1;1;1;green
24;189;10,09976;1;3;3;green
24;190;11,04984;1;2;2;green
24;191;12,0835;1;4;4;green
24;192;12,71701;1;1;1;green
25;193;4,949219;1;3;3;green
25;194;6,182678;1;4;4;green
25;195;7,166382;1;2;2;green
25;196;8,233215;1;1;1;green
25;197;8,649567;1;3;3;green
25;198;11,19916;1;2;2;green
25;199;12,31598;1;4;4;green
25;200;13,13309;1;1;1;green
26;201;4,783173;1;1;1;yellow
26;202;5,73349;1;2;2;yellow
26;203;6,650024;1;4;4;yellow
26;204;8,033325;1;1;1;yellow
26;205;9,049438;1;3;3;yellow
26;206;10,28302;1;4;4;yellow
26;207;11,64966;1;2;2;yellow
26;208;12,93338;1;3;3;yellow
27;209;5,432495;0;3;2;green
27;210;7,916504;1;4;4;green
27;211;8,299438;0;2;4;green
27;212;10,06616;1;1;1;green
27;213;10,49942;1;3;3;green
27;214;14,04984;1;2;2;green
27;215;15,24942;1;4;4;green
27;216;15,79956;1;1;1;green
28;217;4,816528;1;3;3;green
28;218;6,349823;1;4;4;green
28;219;7,632874;1;2;2;green
28;220;8,883514;1;1;1;green
28;221;10,25037;1;3;3;green
28;222;11,65024;1;2;2;green
28;223;12,70026;1;4;4;green
28;224;13,34976;1;1;1;green
29;225;5,016479;1;1;1;yellow
29;226;5,933228;1;3;3;yellow
29;227;6,933502;1;4;4;yellow
29;228;7,883484;1;2;2;yellow
29;229;9,416565;1;4;4;yellow
29;230;10,54993;1;1;1;yellow
29;231;11,35062;1;3;3;yellow
29;232;12,4173;1;2;2;yellow
30;233;6,066467;1;2;2;blue
30;234;7,132751;1;3;3;blue
30;235;8,249786;1;1;1;blue
30;236;8,999146;1;4;4;blue
30;237;10,06586;1;3;3;blue
30;238;11,08307;1;1;1;blue
30;239;11,89929;1;2;2;blue
30;240;12,54956;1;4;4;blue
31;241;4,866547;1;2;2;blue
31;242;6,11618;1;3;3;blue
31;243;6,932953;1;1;1;blue
31;244;7,732849;1;4;4;blue
31;245;8,766388;1;3;3;blue
31;246;9,683014;1;1;1;blue
31;247;10,73361;1;2;2;blue
31;248;11,66666;1;4;4;blue
32;249;5,416382;1;2;2;blue
32;250;6,466705;1;3;3;blue
32;251;7,666229;1;1;1;blue
32;252;9,699707;0;4;3;blue
32;253;12,79974;0;3;1;blue
32;254;15,96625;1;1;1;blue
32;255;17,3497;1;2;2;blue
32;256;18,33304;1;4;4;blue
33;257;4,799896;1;2;2;blue
33;258;5,799988;1;3;3;blue
33;259;6,249603;0;1;3;blue
33;260;10,43341;1;4;4;blue
33;261;12,75003;1;3;3;blue
33;262;14,0834;1;1;1;blue
33;263;14,58307;0;2;1;blue
33;264;16,59988;1;4;4;blue
34;265;6,883057;1;2;2;blue
34;266;8,600464;0;3;2;blue
34;267;10,08344;1;1;1;blue
