BlockNumber;EventNumber;Time Since Block start;isHit;target;pressed;sequence
1;1;6,833122;1;3;3;green
1;2;7,116867;1;4;4;green
1;3;7,31649;1;2;2;green
1;4;7,583183;1;1;1;green
1;5;7,866623;1;3;3;green
1;6;8,133087;1;2;2;green
1;7;8,399811;1;4;4;green
1;8;8,649872;1;1;1;green
2;9;4,48317;1;3;3;green
2;10;4,783249;1;4;4;green
2;11;4,999924;1;2;2;green
2;12;5,249969;1;1;1;green
2;13;5,499832;1;3;3;green
2;14;5,766464;1;2;2;green
2;15;6,016541;1;4;4;green
2;16;6,233124;1;1;1;green
3;17;4,683334;1;2;2;blue
3;18;4,967026;1;3;3;blue
3;19;5,250061;1;1;1;blue
3;20;5,516678;1;4;4;blue
3;21;5,76683;1;3;3;blue
3;22;6,050079;1;1;1;blue
3;23;6,316772;1;2;2;blue
3;24;6,56662;1;4;4;blue
4;25;5,033371;1;4;4;yellow
4;26;5,316635;1;1;1;yellow
4;27;5,583435;1;3;3;yellow
4;28;5,849945;1;2;2;yellow
4;29;6,216827;1;4;4;yellow
4;30;7,233383;1;3;3;yellow
4;31;7,466705;1;1;1;yellow
4;32;7,716736;1;2;2;yellow
5;33;4,533218;1;3;3;green
5;34;4,799835;1;4;4;green
5;35;5,083221;1;2;2;green
5;36;5,333267;1;1;1;green
5;37;5,599869;1;3;3;green
5;38;5,883179;1;2;2;green
5;39;6,149887;1;4;4;green
5;40;6,399857;1;1;1;green
6;41;4,566788;1;2;2;blue
6;42;4,850143;1;3;3;blue
6;43;5,067047;1;1;1;blue
6;44;5,333435;1;4;4;blue
6;45;5,583664;1;3;3;blue
6;46;5,816986;1;1;1;blue
6;47;6,267975;1;2;2;blue
6;48;6,616562;1;4;4;blue
7;49;4,367294;1;2;2;blue
7;50;4,666809;1;3;3;blue
7;51;4,900085;1;1;1;blue
7;52;5,168823;1;4;4;blue
7;53;5,434525;1;3;3;blue
7;54;5,667786;1;1;1;blue
7;55;5,917801;1;2;2;blue
7;56;6,216736;1;4;4;blue
8;57;4,466629;1;2;2;yellow
8;58;4,733353;1;1;1;yellow
8;59;5,333282;1;4;4;yellow
8;60;5,616669;1;1;1;yellow
8;61;5,933319;1;3;3;yellow
8;62;6,216583;1;2;2;yellow
8;63;6,550034;1;4;4;yellow
8;64;7,316589;1;3;3;yellow
9;65;4,750046;1;3;3;green
9;66;5,016632;1;4;4;green
9;67;5,266846;1;2;2;green
9;68;5,516586;1;1;1;green
9;69;5,816666;1;3;3;green
9;70;6,083633;1;2;2;green
9;71;6,350082;1;4;4;green
9;72;6,599945;1;1;1;green
10;73;4,416855;1;2;2;blue
10;74;4,700043;1;3;3;blue
10;75;4,93335;1;1;1;blue
10;76;5,199982;1;4;4;blue
10;77;6,116653;0;3;1;blue
10;78;6,383331;0;1;2;blue
10;79;6,683243;0;2;4;blue
10;80;8,299942;1;4;4;blue
11;81;4,483353;1;2;2;blue
11;82;4,783356;1;3;3;blue
11;83;5,033325;1;1;1;blue
11;84;5,316833;1;4;4;blue
11;85;5,600052;1;3;3;blue
11;86;5,833313;1;1;1;blue
11;87;6,099976;1;2;2;blue
11;88;6,38327;1;4;4;blue
12;89;4,233353;1;2;2;yellow
12;90;4,499985;1;3;3;yellow
12;91;4,733368;1;1;1;yellow
12;92;5,000031;1;4;4;yellow
12;93;5,249954;1;3;3;yellow
12;94;5,483414;1;1;1;yellow
12;95;5,733368;1;2;2;yellow
12;96;6,000046;1;4;4;yellow
13;97;4,249939;1;2;2;blue
13;98;4,533264;1;3;3;blue
13;99;4,749969;1;1;1;blue
13;100;5,000198;1;4;4;blue
13;101;5,483292;0;3;1;blue
13;102;5,733215;0;1;2;blue
13;103;5,983429;0;2;4;blue
13;104;6,649887;1;4;4;blue
14;105;4,283279;1;2;2;blue
14;106;4,566574;1;3;3;blue
14;107;4,799957;1;1;1;blue
14;108;5,066711;1;4;4;blue
14;109;5,350098;1;3;3;blue
14;110;5,550003;1;1;1;blue
14;111;5,816833;1;2;2;blue
14;112;6,133316;1;4;4;blue
15;113;4,366592;1;3;3;green
15;114;4,649979;1;4;4;green
15;115;4,900024;1;2;2;green
15;116;5,166656;1;1;1;green
15;117;5,466629;1;3;3;green
15;118;5,733505;1;2;2;green
15;119;6,033951;1;4;4;green
15;120;6,316666;1;1;1;green
16;121;3,999985;1;3;3;green
16;122;4,283264;1;4;4;green
16;123;4,533447;1;2;2;green
16;124;4,766678;1;1;1;green
16;125;5,049973;1;3;3;green
16;126;5,38327;1;2;2;green
16;127;5,683258;1;4;4;green
16;128;5,933334;1;1;1;green
17;129;4,366714;1;2;2;blue
17;130;4,683334;1;3;3;blue
17;131;4,966583;1;1;1;blue
17;132;5,233383;1;4;4;blue
17;133;5,499969;1;3;3;blue
17;134;5,766754;1;1;1;blue
17;135;6,033279;1;2;2;blue
17;136;6,283112;1;4;4;blue
18;137;4,500366;1;4;4;yellow
18;138;4,766998;1;3;3;yellow
18;139;5,016861;1;1;1;yellow
18;140;5,333466;1;4;4;yellow
18;141;5,56694;1;3;3;yellow
18;142;5,833481;1;1;1;yellow
18;143;6,166809;1;4;4;yellow
18;144;7,116959;1;2;2;yellow
19;145;4,283203;1;3;3;green
19;146;4,566696;1;4;4;green
19;147;4,816452;1;2;2;green
19;148;5,066422;1;1;1;green
19;149;5,36647;1;3;3;green
19;150;5,599777;1;2;2;green
19;151;6,066467;1;4;4;green
19;152;6,349854;1;1;1;green
20;153;5,066483;1;2;2;blue
20;154;5,366531;1;3;3;blue
20;155;5,599792;1;1;1;blue
20;156;5,883148;1;4;4;blue
20;157;6,166458;1;3;3;blue
20;158;6,416428;1;1;1;blue
20;159;6,666443;1;2;2;blue
20;160;6,933136;1;4;4;blue
21;161;4,216614;1;2;2;blue
21;162;4,516632;1;3;3;blue
21;163;4,749939;1;1;1;blue
21;164;5,06662;1;4;4;blue
21;165;5,56662;1;3;3;blue
21;166;5,866577;1;1;1;blue
21;167;6,149933;1;2;2;blue
21;168;6,433289;1;4;4;blue
22;169;4,56662;1;2;2;yellow
22;170;4,883301;1;4;4;yellow
22;171;5,133301;1;1;1;yellow
22;172;5,433228;1;3;3;yellow
22;173;6,249969;1;4;4;yellow
22;174;6,933441;1;2;2;yellow
22;175;7,25;1;3;3;yellow
22;176;8,199951;1;1;1;yellow
23;177;4,549896;1;2;2;blue
23;178;4,883331;1;3;3;blue
23;179;6,099976;1;1;1;blue
23;180;6,433411;1;4;4;blue
23;181;6,75;1;3;3;blue
23;182;7,066528;1;1;1;blue
23;183;7,349945;1;2;2;blue
23;184;7,616669;1;4;4;blue
24;185;4,399902;1;2;2;blue
24;186;4,683258;1;3;3;blue
24;187;4,900177;1;1;1;blue
24;188;5,183228;1;4;4;blue
24;189;5,449951;1;3;3;blue
24;190;5,699921;1;1;1;blue
24;191;5,966644;1;2;2;blue
24;192;6,233307;1;4;4;blue
25;193;5,299835;1;2;2;blue
25;194;5,599915;1;3;3;blue
25;195;5,849915;1;1;1;blue
25;196;6,116547;1;4;4;blue
25;197;6,399811;1;3;3;blue
25;198;6,633179;1;1;1;blue
25;199;6,899872;1;2;2;blue
25;200;7,149902;1;4;4;blue
26;201;4,266541;1;1;1;yellow
26;202;4,550018;1;2;2;yellow
26;203;4,833313;1;4;4;yellow
26;204;5,100006;1;1;1;yellow
26;205;5,749786;1;3;3;yellow
26;206;6,13327;1;4;4;yellow
26;207;6,733154;1;2;2;yellow
26;208;7,049988;1;3;3;yellow
27;209;5,533203;1;2;2;blue
