BlockNumber;EventNumber;Time Since Block start;isHit;target;pressed;sequence
1;1;4,899784;1;1;1;yellow
1;2;5,533257;1;2;2;yellow
1;3;5,999832;0;4;2;yellow
1;4;6,149761;0;1;4;yellow
1;5;8,066463;0;3;2;yellow
1;6;10,8665;1;4;4;yellow
1;7;12,43315;1;2;2;yellow
1;8;12,93303;1;3;3;yellow
2;9;4,449894;1;2;2;yellow
2;10;5,050026;1;1;1;yellow
2;11;6,766735;1;3;3;yellow
2;12;7,300514;1;4;4;yellow
2;13;9,633667;1;2;2;yellow
2;14;11,15001;1;4;4;yellow
2;15;12,30013;1;1;1;yellow
2;16;13,08307;1;2;2;yellow
3;17;4,617012;1;2;2;blue
3;18;5,316765;1;3;3;blue
3;19;6,150284;1;1;1;blue
3;20;7,200737;1;4;4;blue
3;21;8,016808;1;3;3;blue
3;22;9,016846;1;1;1;blue
3;23;9,583458;1;2;2;blue
3;24;10,08348;1;4;4;blue
4;25;4,316628;1;4;4;yellow
4;26;5,383347;1;3;3;yellow
4;27;6,04998;1;1;1;yellow
4;28;6,816765;1;4;4;yellow
4;29;7,450081;1;3;3;yellow
4;30;8,033302;1;1;1;yellow
4;31;8,633308;1;4;4;yellow
4;32;9,216812;1;2;2;yellow
5;33;4,549927;1;2;2;blue
5;34;5,149956;1;3;3;blue
5;35;6,050011;1;1;1;blue
5;36;6,616631;1;4;4;blue
5;37;7,833405;1;3;3;blue
5;38;8,716408;1;1;1;blue
5;39;9,399925;1;2;2;blue
5;40;9,849854;1;4;4;blue
6;41;6,250076;1;2;2;blue
6;42;7,133446;1;3;3;blue
6;43;7,649895;0;1;4;blue
6;44;10,46646;0;4;1;blue
6;45;12,10011;0;3;1;blue
6;46;15,56651;1;1;1;blue
6;47;16,23317;1;2;2;blue
6;48;16,73341;1;4;4;blue
7;49;5,6334;1;3;3;green
7;50;6,116432;1;4;4;green
7;51;6,850052;1;2;2;green
7;52;7,366623;1;1;1;green
7;53;8,666565;1;3;3;green
7;54;9,183075;1;2;2;green
7;55;9,633041;1;4;4;green
7;56;10,2164;1;1;1;green
8;57;4,399963;1;2;2;blue
8;58;4,900055;1;3;3;blue
8;59;6,316727;1;1;1;blue
8;60;6,733383;1;4;4;blue
8;61;7,583374;1;3;3;blue
8;62;8,20018;1;1;1;blue
8;63;8,683167;1;2;2;blue
8;64;9,150192;1;4;4;blue
9;65;4,249908;1;2;2;blue
9;66;4,733139;1;3;3;blue
9;67;5,449799;1;1;1;blue
9;68;5,999924;1;4;4;blue
9;69;6,683151;1;3;3;blue
9;70;7,666214;1;1;1;blue
9;71;8,266541;1;2;2;blue
9;72;8,699722;1;4;4;blue
10;73;5,266937;1;2;2;blue
10;74;5,799988;1;3;3;blue
10;75;6,383377;1;1;1;blue
10;76;6,949997;1;4;4;blue
10;77;7,666595;1;3;3;blue
10;78;8,266495;1;1;1;blue
10;79;8,466614;0;2;4;blue
10;80;9,399994;1;4;4;blue
11;81;5,749893;1;2;2;blue
11;82;6,30011;1;3;3;blue
11;83;6,866562;1;1;1;blue
11;84;7,750015;1;4;4;blue
11;85;8,33313;1;3;3;blue
11;86;8,966568;1;1;1;blue
11;87;9,566589;1;2;2;blue
11;88;10,08308;1;4;4;blue
12;89;4,850067;1;2;2;blue
12;90;5,483658;1;3;3;blue
12;91;6,20015;1;1;1;blue
12;92;6,833572;1;4;4;blue
12;93;7,533722;1;3;3;blue
12;94;8,683472;1;1;1;blue
12;95;9,666855;1;2;2;blue
12;96;10,1503;1;4;4;blue
13;97;5,316498;1;2;2;blue
13;98;5,833405;1;3;3;blue
13;99;6,4664;1;1;1;blue
13;100;6,899734;0;4;3;blue
13;101;7,049805;0;3;4;blue
13;102;8,316559;1;1;1;blue
13;103;9,099838;1;2;2;blue
13;104;9,816376;1;4;4;blue
14;105;4,533447;1;2;2;blue
14;106;5,149963;1;3;3;blue
14;107;5,78331;1;1;1;blue
14;108;6,40004;1;4;4;blue
14;109;6,883316;1;3;3;blue
14;110;8,066879;1;1;1;blue
14;111;8,866714;0;2;3;blue
14;112;8,999969;0;4;2;blue
15;113;3,200272;1;3;3;green
15;114;3,333832;0;4;3;green
15;115;5,46666;1;2;2;green
15;116;6,183319;1;1;1;green
15;117;6,850067;1;3;3;green
15;118;8,349945;1;2;2;green
15;119;8,88324;1;4;4;green
15;120;9,583282;1;1;1;green
16;121;4,850037;1;2;2;yellow
16;122;5,483276;1;1;1;yellow
16;123;6,166702;1;4;4;yellow
16;124;6,916763;1;1;1;yellow
16;125;8,016724;1;3;3;yellow
16;126;8,883331;1;2;2;yellow
16;127;9,500031;1;4;4;yellow
16;128;10,48334;1;3;3;yellow
17;129;4,550003;1;2;2;blue
17;130;5,083282;1;3;3;blue
17;131;5,766525;1;1;1;blue
17;132;6,300018;1;4;4;blue
17;133;6,916519;1;3;3;blue
17;134;7,549683;1;1;1;blue
17;135;9,983398;1;2;2;blue
17;136;10,46667;1;4;4;blue
18;137;5,349854;1;2;2;yellow
18;138;6,316696;1;3;3;yellow
18;139;7,26651;1;1;1;yellow
18;140;8,049957;1;4;4;yellow
18;141;8,666519;1;3;3;yellow
18;142;9,84996;1;1;1;yellow
18;143;10,86642;1;2;2;yellow
18;144;11,29993;1;4;4;yellow
19;145;5,199799;1;3;3;green
19;146;5,716568;1;4;4;green
19;147;6,383286;1;2;2;green
19;148;6,966629;1;1;1;green
19;149;7,716599;1;3;3;green
19;150;8,333221;1;2;2;green
19;151;8,91655;1;4;4;green
19;152;9,483276;1;1;1;green
20;153;4,866562;1;3;3;green
20;154;5,316544;1;4;4;green
20;155;5,916397;1;2;2;green
20;156;6,533249;1;1;1;green
20;157;7,716782;1;3;3;green
20;158;8,316635;1;2;2;green
20;159;8,833191;1;4;4;green
20;160;9,383286;1;1;1;green
21;161;4,933395;1;2;2;blue
21;162;5,449966;1;3;3;blue
21;163;6,283157;1;1;1;blue
21;164;8,766495;1;4;4;blue
21;165;9,349777;1;3;3;blue
21;166;9,399796;0;1;4;blue
21;167;10,84996;1;2;2;blue
21;168;11,24992;1;4;4;blue
22;169;4,583374;1;2;2;blue
22;170;5,149902;1;3;3;blue
22;171;5,733276;1;1;1;blue
22;172;6,383209;1;4;4;blue
22;173;6,999756;1;3;3;blue
22;174;7,683258;1;1;1;blue
22;175;8,316498;1;2;2;blue
22;176;8,749817;1;4;4;blue
23;177;4,399933;1;2;2;blue
23;178;4,899963;1;3;3;blue
23;179;5,466644;1;1;1;blue
23;180;6,083405;1;4;4;blue
23;181;6,733368;1;3;3;blue
23;182;7,349945;1;1;1;blue
23;183;7,983521;1;2;2;blue
23;184;8,383392;1;4;4;blue
24;185;4,866577;1;3;3;green
24;186;5,350159;1;4;4;green
24;187;6,066803;1;2;2;green
24;188;6,666779;1;1;1;green
24;189;7,733185;1;3;3;green
24;190;8,899963;1;2;2;green
24;191;9,483276;1;4;4;green
24;192;10,23334;1;1;1;green
25;193;4,133209;0;3;2;green
25;194;6,316772;1;4;4;green
25;195;6,916626;1;2;2;green
25;196;7,699982;1;1;1;green
25;197;8,349884;1;3;3;green
25;198;8,899872;1;2;2;green
25;199;9,399811;1;4;4;green
25;200;10,08319;1;1;1;green
26;201;4,466675;1;1;1;yellow
26;202;4,899902;1;2;2;yellow
26;203;5,599731;1;4;4;yellow
26;204;6,966644;1;1;1;yellow
26;205;9,349915;1;3;3;yellow
26;206;9,900085;1;4;4;yellow
26;207;10,49988;1;2;2;yellow
26;208;11,00009;1;3;3;yellow
27;209;4,999725;1;3;3;green
27;210;5,549866;1;4;4;green
27;211;6,199677;1;2;2;green
27;212;6,833191;1;1;1;green
27;213;6,999695;0;3;4;green
27;214;7,316254;0;2;4;green
27;215;8,533081;1;4;4;green
27;216;9,26651;1;1;1;green
28;217;4,533173;1;3;3;green
28;218;5,033142;1;4;4;green
28;219;5,666626;1;2;2;green
28;220;6,449829;1;1;1;green
28;221;7,649933;1;3;3;green
28;222;8,666626;1;2;2;green
28;223;9,133118;1;4;4;green
28;224;9,833069;1;1;1;green
29;225;4,283417;1;1;1;yellow
29;226;5,233429;1;3;3;yellow
29;227;6;1;4;4;yellow
29;228;7,167023;0;2;1;yellow
29;229;11,21686;1;4;4;yellow
29;230;13,13336;1;1;1;yellow
29;231;14,85001;1;3;3;yellow
29;232;15,40002;1;2;2;yellow
30;233;4,900299;1;2;2;blue
30;234;5,583282;1;3;3;blue
30;235;6,283417;1;1;1;blue
30;236;6,966797;1;4;4;blue
30;237;7,666687;1;3;3;blue
30;238;7,71698;0;1;4;blue
30;239;9,466583;1;2;2;blue
30;240;9,516693;1;4;4;blue
31;241;5,599976;1;2;2;blue
31;242;6,166565;1;3;3;blue
31;243;6,783173;1;1;1;blue
31;244;7,399902;1;4;4;blue
31;245;8,13324;1;3;3;blue
