BlockNumber;EventNumber;Time Since Block start;isHit;target;pressed;sequence
1;1;4,183105;1;4;4;yellow
1;2;4,883179;1;3;3;yellow
1;3;5,249756;1;1;1;yellow
1;4;5,783203;1;4;4;yellow
1;5;6,549805;1;3;3;yellow
1;6;7,983032;0;1;4;yellow
1;7;16,81763;1;4;4;yellow
1;8;19,71094;1;2;2;yellow
2;9;4,250122;0;4;3;yellow
2;10;6,333496;0;3;1;yellow
2;11;7,966919;0;1;4;yellow
2;12;10,53345;0;4;3;yellow
2;13;11,95007;0;3;1;yellow
2;14;13,06677;0;1;4;yellow
2;15;13,8833;0;4;2;yellow
2;16;17,44995;1;2;2;yellow
3;17;4,800171;1;2;2;blue
3;18;5,5;1;3;3;blue
3;19;6,016724;1;1;1;blue
3;20;6,833374;1;4;4;blue
3;21;8,299927;1;3;3;blue
3;22;8,816772;1;1;1;blue
3;23;10,94995;1;2;2;blue
3;24;11,3501;1;4;4;blue
4;25;4,916626;1;3;3;green
4;26;5,649902;1;4;4;green
4;27;6,999878;1;2;2;green
4;28;7,483276;1;1;1;green
4;29;8,533203;1;3;3;green
4;30;9,633179;1;2;2;green
4;31;10,16687;1;4;4;green
4;32;10,71655;1;1;1;green
5;33;4,216797;1;2;2;blue
5;34;4,933472;1;3;3;blue
5;35;5,633179;1;1;1;blue
5;36;6,300049;1;4;4;blue
5;37;7,016602;1;3;3;blue
5;38;7,649902;1;1;1;blue
5;39;8,43335;1;2;2;blue
5;40;9,099854;1;4;4;blue
6;41;4,283691;1;3;3;green
6;42;4,950195;1;4;4;green
6;43;5,883667;1;2;2;green
6;44;6,550293;1;1;1;green
6;45;7,633423;1;3;3;green
6;46;8,733276;1;2;2;green
6;47;9,366821;1;4;4;green
6;48;9,866699;1;1;1;green
7;49;4,633301;1;2;2;blue
7;50;5,266724;1;3;3;blue
7;51;5,883301;1;1;1;blue
7;52;6,550171;1;4;4;blue
7;53;7,450073;1;3;3;blue
7;54;8,100098;1;1;1;blue
7;55;8,766602;1;2;2;blue
7;56;9,466675;1;4;4;blue
8;57;4,199951;1;2;2;blue
8;58;4,850098;1;3;3;blue
8;59;5,43335;1;1;1;blue
8;60;6,083496;1;4;4;blue
8;61;6,849976;1;3;3;blue
8;62;7,449951;1;1;1;blue
8;63;8,333252;1;2;2;blue
8;64;8,933472;1;4;4;blue
9;65;4,333008;1;2;2;blue
9;66;4,983643;1;3;3;blue
9;67;5,516479;1;1;1;blue
9;68;6,149902;1;4;4;blue
9;69;6,999756;1;3;3;blue
9;70;7,583374;1;1;1;blue
9;71;8,316528;1;2;2;blue
9;72;8,883179;1;4;4;blue
10;73;4,366699;1;2;2;blue
10;74;4,949951;1;3;3;blue
10;75;5,533203;1;1;1;blue
10;76;6,18335;1;4;4;blue
10;77;6,950073;1;3;3;blue
10;78;7,533325;1;1;1;blue
10;79;8,233154;1;2;2;blue
10;80;8,899902;1;4;4;blue
11;81;4,266846;1;2;2;blue
11;82;4,883301;1;3;3;blue
11;83;5,41687;1;1;1;blue
11;84;6,016968;1;4;4;blue
11;85;6,716675;1;3;3;blue
11;86;7,249878;1;1;1;blue
11;87;8,016724;1;2;2;blue
11;88;8,633423;1;4;4;blue
12;89;4,233398;1;2;2;blue
12;90;4,81665;1;3;3;blue
12;91;5,400024;1;1;1;blue
12;92;5,983154;1;4;4;blue
12;93;6,766479;1;3;3;blue
12;94;7,416626;1;1;1;blue
12;95;8,099854;1;2;2;blue
