BlockNumber;EventNumber;Time Since Block start;isHit;target;pressed;sequence
1;1;4,716705;1;1;1;yellow
1;2;5,349609;1;2;2;yellow
1;3;5,816544;1;4;4;yellow
1;4;6,299744;1;1;1;yellow
1;5;7,099747;1;3;3;yellow
1;6;7,899673;1;4;4;yellow
1;7;9,133118;1;2;2;yellow
1;8;10,03294;1;3;3;yellow
2;9;4,38356;1;2;2;yellow
2;10;4,883484;1;1;1;yellow
2;11;5,850433;1;3;3;yellow
2;12;6,283386;1;4;4;yellow
2;13;6,850128;0;2;1;yellow
2;14;8,733566;1;4;4;yellow
2;15;9,38324;1;1;1;yellow
2;16;9,733505;1;2;2;yellow
3;17;4,183365;1;2;2;blue
3;18;4,633209;1;3;3;blue
3;19;5,08316;1;1;1;blue
3;20;5,599915;1;4;4;blue
3;21;6,183365;1;3;3;blue
3;22;6,699921;1;1;1;blue
3;23;7,149918;1;2;2;blue
3;24;7,516571;1;4;4;blue
4;25;4,63324;1;4;4;yellow
4;26;5,216492;1;3;3;yellow
4;27;5,283234;0;1;2;yellow
4;28;6,733246;1;4;4;yellow
4;29;7,63327;1;3;3;yellow
4;30;8,333252;1;1;1;yellow
4;31;9,099945;1;4;4;yellow
4;32;9,683228;1;2;2;yellow
5;33;4,666626;1;2;2;blue
5;34;5,099945;1;3;3;blue
5;35;5,166901;1;1;1;blue
5;36;5,500153;0;4;1;blue
5;37;6,666718;1;3;3;blue
5;38;7,199982;1;1;1;blue
5;39;8,633179;1;2;2;blue
5;40;8,983124;1;4;4;blue
6;41;3,900085;1;2;2;blue
6;42;4,333527;1;3;3;blue
6;43;4,350037;1;1;1;blue
6;44;5,150085;0;4;1;blue
6;45;5,583374;0;3;1;blue
6;46;6,283417;1;1;1;blue
6;47;7,216919;0;2;4;blue
6;48;9,133545;1;4;4;blue
7;49;3,083282;0;3;1;green
7;50;3,916351;0;4;1;green
7;51;4,083099;0;2;1;green
7;52;4,283112;1;1;1;green
7;53;4,616577;0;3;1;green
7;54;5,283203;0;2;1;green
7;55;5,549957;1;4;4;green
7;56;7,283081;1;1;1;green
8;57;3,883362;1;2;2;blue
8;58;4,26767;1;3;3;blue
8;59;4,699921;1;1;1;blue
8;60;5,133484;1;4;4;blue
8;61;5,783325;1;3;3;blue
8;62;6,366791;1;1;1;blue
8;63;6,800049;1;2;2;blue
8;64;7,200134;1;4;4;blue
9;65;4,249817;1;2;2;blue
9;66;4,733246;1;3;3;blue
9;67;5,266571;1;1;1;blue
9;68;5,716583;1;4;4;blue
9;69;6,166565;1;3;3;blue
9;70;6,616638;1;1;1;blue
9;71;7,116547;1;2;2;blue
9;72;7,550049;1;4;4;blue
10;73;3,599731;0;2;1;blue
10;74;4,883179;0;3;1;blue
10;75;6,749939;1;1;1;blue
10;76;7,483154;1;4;4;blue
10;77;7,883057;1;3;3;blue
10;78;8,299744;1;1;1;blue
10;79;8,650177;1;2;2;blue
10;80;8,883179;1;4;4;blue
11;81;4,299896;1;2;2;blue
11;82;4,683319;1;3;3;blue
11;83;5,016663;1;1;1;blue
11;84;5,533386;1;4;4;blue
11;85;5,966522;1;3;3;blue
11;86;6,349915;1;1;1;blue
11;87;6,800018;1;2;2;blue
11;88;7,149933;1;4;4;blue
12;89;3,933411;1;2;2;blue
12;90;4,266632;1;3;3;blue
12;91;4,666626;1;1;1;blue
12;92;5,049927;1;4;4;blue
12;93;5,549835;1;3;3;blue
12;94;5,950134;1;1;1;blue
12;95;6,350067;1;2;2;blue
12;96;6,800049;1;4;4;blue
13;97;4,26651;1;2;2;blue
13;98;4,616547;1;3;3;blue
13;99;5,016541;1;1;1;blue
13;100;5,466614;1;4;4;blue
13;101;5,916595;1;3;3;blue
13;102;6,283325;1;1;1;blue
13;103;6,699951;1;2;2;blue
13;104;7,166504;1;4;4;blue
14;105;4,733521;0;2;3;blue
14;106;5,833344;1;3;3;blue
14;107;6,399963;1;1;1;blue
14;108;6,899963;1;4;4;blue
14;109;7,649933;0;3;2;blue
14;110;8,650085;1;1;1;blue
14;111;9,183258;1;2;2;blue
14;112;9,533173;1;4;4;blue
15;113;4,36673;1;3;3;green
15;114;4,750183;1;4;4;green
15;115;5,249969;1;2;2;green
15;116;5,683502;1;1;1;green
15;117;6,266815;1;3;3;green
15;118;6,716736;1;2;2;green
15;119;7,133514;1;4;4;green
15;120;7,616852;1;1;1;green
16;121;4,816498;1;2;2;yellow
16;122;5,233246;1;1;1;yellow
16;123;5,666565;1;4;4;yellow
16;124;6,099854;1;1;1;yellow
16;125;6,849915;1;3;3;yellow
16;126;7,44986;1;2;2;yellow
16;127;8,06662;1;4;4;yellow
16;128;8,400055;1;3;3;yellow
17;129;4,199799;1;2;2;blue
17;130;4,599731;1;3;3;blue
17;131;4,983063;1;1;1;blue
17;132;5,44986;1;4;4;blue
17;133;5,899841;1;3;3;blue
17;134;6,366608;1;1;1;blue
17;135;6,783142;1;2;2;blue
17;136;7,166351;0;4;2;blue
18;137;5,116638;1;2;2;yellow
18;138;5,800049;1;3;3;yellow
18;139;6,483521;1;1;1;yellow
18;140;6,900085;1;4;4;yellow
18;141;7,533508;0;3;2;yellow
18;142;8,516815;1;1;1;yellow
18;143;9,033417;0;2;3;yellow
18;144;9,68338;1;4;4;yellow
19;145;3,966522;1;3;3;green
19;146;4,366608;1;4;4;green
19;147;4,900055;1;2;2;green
19;148;5,300079;1;1;1;green
19;149;5,999878;0;3;2;green
19;150;7,11673;0;2;3;green
19;151;7,950043;1;4;4;green
19;152;8,349945;1;1;1;green
20;153;4,000214;1;3;3;green
20;154;4,450104;1;4;4;green
20;155;5,05011;1;2;2;green
20;156;5,500061;1;1;1;green
20;157;6,500214;1;3;3;green
20;158;6,950104;1;2;2;green
20;159;7,299866;1;4;4;green
20;160;7,650085;1;1;1;green
21;161;4,033142;1;2;2;blue
21;162;4,416656;1;3;3;blue
21;163;4,83316;1;1;1;blue
21;164;5,383118;1;4;4;blue
21;165;5,849823;1;3;3;blue
21;166;6,249786;1;1;1;blue
21;167;6,633026;1;2;2;blue
21;168;6,81665;1;4;4;blue
22;169;4,13324;1;2;2;blue
22;170;4,94989;1;3;3;blue
22;171;5,499847;1;1;1;blue
22;172;5,916565;1;4;4;blue
22;173;6,366455;1;3;3;blue
22;174;6,716644;1;1;1;blue
22;175;7,166656;1;2;2;blue
22;176;7,51651;1;4;4;blue
23;177;4,049988;1;2;2;blue
23;178;4,416656;1;3;3;blue
23;179;5,066528;1;1;1;blue
23;180;5,499969;1;4;4;blue
23;181;5,899902;1;3;3;blue
23;182;6,283264;1;1;1;blue
23;183;6,583435;1;2;2;blue
23;184;6,816467;1;4;4;blue
24;185;4,116791;1;3;3;green
24;186;4,500122;1;4;4;green
24;187;5,000061;1;2;2;green
24;188;5,349976;1;1;1;green
24;189;6,350037;1;3;3;green
24;190;6,750153;1;2;2;green
24;191;7,333466;1;4;4;green
24;192;7,75;1;1;1;green
25;193;4,083496;1;3;3;green
25;194;4,549957;1;4;4;green
25;195;5,150208;1;2;2;green
25;196;5,583344;1;1;1;green
25;197;6,366608;1;3;3;green
25;198;6,783569;1;2;2;green
25;199;7,100037;1;4;4;green
25;200;7,316742;1;1;1;green
26;201;4,066711;1;1;1;yellow
26;202;4,450134;1;2;2;yellow
26;203;4,749908;1;4;4;yellow
26;204;5,283203;1;1;1;yellow
26;205;5,749847;1;3;3;yellow
26;206;6,166504;1;4;4;yellow
26;207;6,883209;1;2;2;yellow
26;208;7,233215;1;3;3;yellow
27;209;3,833374;1;3;3;green
27;210;4,233337;1;4;4;green
27;211;4,649994;1;2;2;green
27;212;5,050201;1;1;1;green
27;213;5,916687;1;3;3;green
27;214;6,283752;1;2;2;green
27;215;6,68335;1;4;4;green
27;216;6,900116;1;1;1;green
28;217;4,133331;1;3;3;green
28;218;4,58316;1;4;4;green
28;219;5,166687;1;2;2;green
28;220;5,583191;1;1;1;green
28;221;6,316437;1;3;3;green
28;222;6,733307;1;2;2;green
28;223;7,05014;1;4;4;green
28;224;7,283203;1;1;1;green
29;225;4,250061;1;1;1;yellow
29;226;4,700073;1;3;3;yellow
29;227;5,333466;1;4;4;yellow
29;228;5,749908;1;2;2;yellow
29;229;6,416779;1;4;4;yellow
29;230;6,899933;1;1;1;yellow
29;231;7,599976;1;3;3;yellow
29;232;7,833313;1;2;2;yellow
30;233;4,100037;1;2;2;blue
30;234;4,466583;1;3;3;blue
30;235;5,166534;1;1;1;blue
30;236;5,566681;1;4;4;blue
30;237;5,94989;1;3;3;blue
30;238;6,58313;1;1;1;blue
30;239;6,94989;1;2;2;blue
30;240;7,083344;1;4;4;blue
31;241;5,183167;1;2;2;blue
31;242;5,649963;1;3;3;blue
31;243;6,049988;1;1;1;blue
31;244;6,483337;1;4;4;blue
31;245;6,983185;1;3;3;blue
31;246;7,433197;1;1;1;blue
31;247;7,749878;1;2;2;blue
31;248;7,933167;1;4;4;blue
32;249;4,966766;1;2;2;blue
32;250;5,483459;1;3;3;blue
32;251;5,93335;1;1;1;blue
32;252;6,349884;1;4;4;blue
32;253;6,799896;1;3;3;blue
32;254;7,450226;1;1;1;blue
32;255;7,966919;1;2;2;blue
32;256;8,216644;1;4;4;blue
33;257;5,049866;1;2;2;blue
33;258;5,733368;1;3;3;blue
33;259;6,316803;1;1;1;blue
33;260;6,766663;1;4;4;blue
33;261;7,150055;1;3;3;blue
33;262;7,833252;1;1;1;blue
33;263;8,166718;1;2;2;blue
33;264;8,399933;1;4;4;blue
34;265;3,983459;1;2;2;blue
34;266;4,466644;1;3;3;blue
34;267;5,36673;1;1;1;blue
34;268;5,816681;1;4;4;blue
34;269;6,30011;1;3;3;blue
34;270;6,866669;1;1;1;blue
34;271;7,433319;1;2;2;blue
34;272;7,716644;1;4;4;blue
35;273;3,916718;1;3;3;green
35;274;4,350098;1;4;4;green
