BlockNumber;EventNumber;Time Since Block start;isHit;target;pressed;sequence
1;1;12,73314;1;4;4;yellow
1;2;13,31653;1;3;3;yellow
1;3;14,09972;1;1;1;yellow
1;4;14,74989;1;4;4;yellow
1;5;15,38347;1;3;3;yellow
1;6;15,98322;1;1;1;yellow
1;7;16,76622;1;4;4;yellow
1;8;17,48323;1;2;2;yellow
2;9;4,349701;1;4;4;yellow
2;10;4,933235;1;3;3;yellow
2;11;5,833092;1;1;1;yellow
2;12;6,549728;1;4;4;yellow
2;13;7,283188;1;3;3;yellow
2;14;7,950371;1;1;1;yellow
2;15;8,766663;1;4;4;yellow
2;16;9,349762;1;2;2;yellow
3;17;4,433281;1;2;2;blue
3;18;4,983269;1;3;3;blue
3;19;5,566963;1;1;1;blue
3;20;6,249863;1;4;4;blue
3;21;7,033295;1;3;3;blue
3;22;7,683891;1;1;1;blue
3;23;8,333534;1;2;2;blue
3;24;8,933212;1;4;4;blue
4;25;4,566605;1;3;3;green
4;26;5,366776;1;4;4;green
4;27;5,966751;1;2;2;green
4;28;6,533524;1;1;1;green
4;29;7,649887;1;3;3;green
4;30;8,350174;1;2;2;green
4;31;8,900421;1;4;4;green
4;32;9,399994;1;1;1;green
5;33;4,199951;1;2;2;blue
5;34;4,799911;1;3;3;blue
5;35;5,266479;1;1;1;blue
5;36;6,383255;1;4;4;blue
5;37;6,999893;1;3;3;blue
5;38;7,633301;1;1;1;blue
5;39;8,233231;1;2;2;blue
5;40;8,683319;1;4;4;blue
6;41;6,533356;1;3;3;green
6;42;7,233414;1;4;4;green
6;43;7,866623;1;2;2;green
6;44;8,316574;1;1;1;green
6;45;9,533203;1;3;3;green
6;46;10,05003;1;2;2;green
6;47;10,59981;1;4;4;green
6;48;11,01649;1;1;1;green
7;49;4,850067;1;2;2;blue
7;50;5,283279;1;3;3;blue
7;51;5,733902;1;1;1;blue
7;52;6,433472;1;4;4;blue
7;53;6,850204;1;3;3;blue
7;54;7,816818;1;1;1;blue
7;55;8,483582;1;2;2;blue
7;56;8,916672;1;4;4;blue
8;57;4,166565;1;2;2;blue
8;58;4,583618;1;3;3;blue
8;59;4,93338;1;1;1;blue
8;60;5,58342;1;4;4;blue
8;61;6,233063;1;3;3;blue
8;62;6,833435;1;1;1;blue
8;63;7,650116;1;2;2;blue
8;64;8,183334;1;4;4;blue
9;65;4,033386;1;2;2;blue
9;66;4,450027;1;3;3;blue
9;67;4,849899;1;1;1;blue
9;68;5,683517;1;4;4;blue
9;69;6,500015;1;3;3;blue
9;70;6,949982;1;1;1;blue
9;71;7,500183;1;2;2;blue
9;72;8,016678;1;4;4;blue
10;73;4,233398;1;2;2;blue
10;74;4,783157;1;3;3;blue
10;75;5,349854;1;1;1;blue
10;76;5,966492;1;4;4;blue
10;77;6,517014;1;3;3;blue
10;78;7,099976;1;1;1;blue
10;79;7,549774;1;2;2;blue
10;80;8,116516;1;4;4;blue
11;81;3,94986;1;2;2;blue
11;82;4,5;1;3;3;blue
11;83;5,033554;1;1;1;blue
11;84;5,599869;1;4;4;blue
11;85;6,400009;1;3;3;blue
11;86;7,066467;1;1;1;blue
11;87;7,800034;1;2;2;blue
11;88;8,366806;1;4;4;blue
12;89;4,016464;1;2;2;blue
12;90;4,533173;1;3;3;blue
12;91;4,983139;1;1;1;blue
12;92;5,533295;1;4;4;blue
12;93;6,183502;1;3;3;blue
12;94;6,800034;1;1;1;blue
12;95;7,366592;1;2;2;blue
12;96;7,783203;1;4;4;blue
13;97;3,833115;1;2;2;blue
13;98;4,216629;1;3;3;blue
13;99;4,583206;1;1;1;blue
13;100;5,199966;1;4;4;blue
13;101;6,316696;1;3;3;blue
13;102;7,183212;1;1;1;blue
13;103;7,63327;1;2;2;blue
13;104;7,966476;1;4;4;blue
14;105;4,616852;1;3;3;green
14;106;5,416855;1;4;4;green
14;107;6,116699;1;2;2;green
14;108;6,899872;1;1;1;green
14;109;7,700027;1;3;3;green
14;110;8,400192;1;2;2;green
14;111;8,983292;1;4;4;green
14;112;9,733215;1;1;1;green
15;113;4,033585;1;2;2;yellow
15;114;4,683395;1;1;1;yellow
15;115;5,350143;1;4;4;yellow
15;116;6,049942;1;1;1;yellow
15;117;6,733902;1;3;3;yellow
15;118;7,500061;1;2;2;yellow
15;119;8,383499;1;4;4;yellow
15;120;9,017075;1;3;3;yellow
16;121;4,149643;1;2;2;blue
16;122;4,699783;1;3;3;blue
16;123;5,216187;1;1;1;blue
16;124;5,84993;1;4;4;blue
16;125;6,383072;1;3;3;blue
16;126;7,016357;1;1;1;blue
16;127;7,532791;1;2;2;blue
16;128;7,999619;1;4;4;blue
17;129;3,966553;1;2;2;yellow
17;130;4,749924;1;3;3;yellow
17;131;5,233185;1;1;1;yellow
17;132;6,483582;1;4;4;yellow
17;133;7,033325;1;3;3;yellow
17;134;7,600357;1;1;1;yellow
17;135;8,083313;1;2;2;yellow
17;136;8,466431;1;4;4;yellow
18;137;4,166687;1;3;3;green
18;138;4,916916;1;4;4;green
18;139;5,483337;1;2;2;green
18;140;5,966812;1;1;1;green
18;141;6,783386;1;3;3;green
18;142;7,316803;1;2;2;green
18;143;8,466919;1;4;4;green
18;144;9,100388;1;1;1;green
19;145;4,28299;1;3;3;green
19;146;4,849701;1;4;4;green
19;147;5,899597;1;2;2;green
19;148;6,549744;1;1;1;green
19;149;7,44986;1;3;3;green
19;150;7,866333;1;2;2;green
19;151;8,466339;1;4;4;green
19;152;8,832977;1;1;1;green
20;153;4,083282;1;2;2;blue
20;154;4,483185;1;3;3;blue
20;155;4,866577;1;1;1;blue
20;156;5,549988;1;4;4;blue
20;157;5,983337;1;3;3;blue
20;158;6,94989;1;1;1;blue
20;159;7,450104;1;2;2;blue
20;160;7,850128;1;4;4;blue
21;161;3,916473;1;2;2;blue
21;162;4,283295;1;3;3;blue
21;163;4,666534;1;1;1;blue
21;164;5,816376;1;4;4;blue
21;165;6,616699;1;3;3;blue
21;166;7,349701;1;1;1;blue
21;167;7,866486;1;2;2;blue
21;168;8,233032;1;4;4;blue
22;169;4,06662;1;2;2;blue
22;170;5,199982;1;3;3;blue
22;171;5,850006;1;1;1;blue
22;172;6,716736;1;4;4;blue
22;173;7,183411;1;3;3;blue
22;174;7,766846;1;1;1;blue
22;175;8,233368;1;2;2;blue
22;176;8,666626;1;4;4;blue
23;177;3,983612;1;3;3;green
23;178;5,150024;1;4;4;green
23;179;5,750031;1;2;2;green
23;180;6,250092;1;1;1;green
23;181;6,950317;1;3;3;green
23;182;7,500031;1;2;2;green
23;183;8,283264;1;4;4;green
23;184;8,716644;1;1;1;green
24;185;4,400177;1;3;3;green
24;186;5,133392;1;4;4;green
24;187;5,716675;1;2;2;green
24;188;6,183228;1;1;1;green
24;189;6,800049;1;3;3;green
24;190;7,233337;1;2;2;green
24;191;7,750092;1;4;4;green
24;192;8,11673;1;1;1;green
25;193;4,200104;1;1;1;yellow
25;194;4,75;1;2;2;yellow
25;195;5,683258;1;4;4;yellow
25;196;6,25;1;1;1;yellow
25;197;7,050262;1;3;3;yellow
25;198;7,816376;1;4;4;yellow
25;199;8,399811;1;2;2;yellow
25;200;9,149902;1;3;3;yellow
26;201;4,149841;1;3;3;green
26;202;4,816742;1;4;4;green
26;203;5,366669;1;2;2;green
26;204;5,899994;1;1;1;green
26;205;6,683411;1;3;3;green
26;206;7,099976;1;2;2;green
26;207;7,950165;1;4;4;green
26;208;8,516449;0;1;2;green
27;209;5,267212;1;3;3;green
27;210;5,900116;1;4;4;green
27;211;6,466949;1;2;2;green
27;212;6,98349;1;1;1;green
27;213;7,983276;1;3;3;green
27;214;8,850311;1;2;2;green
