BlockNumber;EventNumber;Time Since Block start;isHit;target;pressed;sequence
1;1;5,282005;0;2;1;blue
1;2;5,51545;0;3;4;blue
1;3;6,098259;0;1;3;blue
1;4;8,948631;1;4;4;blue
1;5;8,999001;1;3;3;blue
1;6;9,298454;0;1;3;blue
1;7;9,515022;0;2;3;blue
1;8;12,03217;1;4;4;blue
2;9;4,899643;1;1;1;yellow
2;10;6,716148;1;3;3;yellow
2;11;7,900101;1;4;4;yellow
2;12;7,982994;0;2;3;yellow
2;13;11,34978;1;4;4;yellow
2;14;12,48289;1;1;1;yellow
2;15;12,53265;0;3;2;yellow
2;16;16,21656;1;2;2;yellow
3;17;5,767181;1;3;3;green
3;18;5,866524;0;4;1;green
3;19;11,56687;1;2;2;green
3;20;12,88403;1;1;1;green
3;21;14,61724;1;3;3;green
3;22;15,84961;1;2;2;green
3;23;15,94995;0;4;1;green
3;24;18,98301;1;1;1;green
4;25;9,516586;0;2;1;yellow
4;26;12,2334;1;4;4;yellow
4;27;12,95002;0;1;4;yellow
4;28;16,3;1;3;3;yellow
4;29;17,9999;1;4;4;yellow
4;30;19,14964;1;2;2;yellow
4;31;20,06673;1;3;3;yellow
4;32;21,38322;1;1;1;yellow
5;33;5,416748;1;3;3;green
5;34;6,549927;1;4;4;green
5;35;7,634232;1;2;2;green
5;36;8,69986;1;1;1;green
5;37;9,999817;1;3;3;green
5;38;11,11682;1;2;2;green
5;39;12,2509;1;4;4;green
5;40;13,7003;1;1;1;green
6;41;4,584534;1;2;2;blue
6;42;5,599747;1;3;3;blue
6;43;6,649734;1;1;1;blue
6;44;8,533676;1;4;4;blue
6;45;9,616135;1;3;3;blue
6;46;10,61623;1;1;1;blue
6;47;12,29962;1;2;2;blue
6;48;13,31749;1;4;4;blue
7;49;4,483093;1;2;2;blue
7;50;5,54866;1;3;3;blue
7;51;6,498703;1;1;1;blue
7;52;7,432205;1;4;4;blue
7;53;8,998718;1;3;3;blue
7;54;10,08302;0;1;2;blue
