BlockNumber;EventNumber;Time Since Block start;isHit;target;pressed;sequence
1;1;4,367706;1;2;2;blue
1;2;5,166359;1;3;3;blue
1;3;5,883034;1;1;1;blue
1;4;6,516243;1;4;4;blue
1;5;7,199837;1;3;3;blue
1;6;7,83297;1;1;1;blue
1;7;8,483063;1;2;2;blue
1;8;9,183075;1;4;4;blue
2;9;4,316818;1;3;3;green
2;10;5,183304;1;4;4;green
2;11;5,900337;1;2;2;green
2;12;6,583153;1;1;1;green
2;13;7,616768;1;3;3;green
2;14;8,416702;1;2;2;green
2;15;9,166878;1;4;4;green
2;16;9,800186;1;1;1;green
3;17;4,600624;1;2;2;blue
3;18;5,266708;1;3;3;blue
3;19;5,899803;1;1;1;blue
3;20;6,466858;1;4;4;blue
3;21;7,333382;1;3;3;blue
3;22;8,432991;1;1;1;blue
3;23;9,23304;1;2;2;blue
3;24;9,999733;1;4;4;blue
4;25;4,20005;1;2;2;blue
4;26;4,817291;1;3;3;blue
4;27;5,449898;1;1;1;blue
4;28;6,333435;1;4;4;blue
4;29;7,033508;1;3;3;blue
4;30;8,00013;1;1;1;blue
4;31;8,783142;1;2;2;blue
4;32;9,684029;1;4;4;blue
5;33;4,132668;1;2;2;blue
5;34;4,649246;1;3;3;blue
5;35;5,283302;1;1;1;blue
5;36;5,965927;1;4;4;blue
5;37;6,749138;1;3;3;blue
5;38;7,68261;1;1;1;blue
5;39;8,199448;1;2;2;blue
5;40;8,765877;1;4;4;blue
6;41;4,017082;1;3;3;green
6;42;4,999901;1;4;4;green
6;43;5,633629;1;2;2;green
6;44;6,866905;1;1;1;green
6;45;7,650169;0;3;4;green
6;46;9,049934;1;2;2;green
6;47;9,883324;1;4;4;green
6;48;10,63319;1;1;1;green
7;49;3,083145;0;3;1;green
7;50;3,267059;0;4;1;green
7;51;3,383392;0;2;1;green
7;52;5,116547;1;1;1;green
7;53;6,466797;1;3;3;green
7;54;7,216492;1;2;2;green
7;55;8,083405;1;4;4;green
7;56;8,716675;1;1;1;green
8;57;4,483612;1;2;2;blue
8;58;5,233322;1;3;3;blue
8;59;6,116623;1;1;1;blue
8;60;6,683441;1;4;4;blue
8;61;7,983185;1;3;3;blue
8;62;9,399933;1;1;1;blue
8;63;9,900146;1;2;2;blue
8;64;10,44991;1;4;4;blue
9;65;4,233276;1;2;2;blue
9;66;4,750153;1;3;3;blue
9;67;5,300064;1;1;1;blue
9;68;5,766495;1;4;4;blue
9;69;6,53418;1;3;3;blue
9;70;7,349945;1;1;1;blue
9;71;7,783249;1;2;2;blue
9;72;8,450027;1;4;4;blue
10;73;4,000198;1;3;3;green
10;74;4,866547;1;4;4;green
10;75;5,449997;1;2;2;green
10;76;6,266815;1;1;1;green
10;77;7,133118;1;3;3;green
10;78;8,150757;1;2;2;green
10;79;8,916931;1;4;4;green
10;80;9,483215;1;1;1;green
11;81;3,916718;1;4;4;yellow
11;82;4,550461;1;1;1;yellow
11;83;5,733322;1;3;3;yellow
11;84;5,999969;0;2;3;yellow
11;85;7,516846;1;4;4;yellow
11;86;8,450623;1;3;3;yellow
11;87;9,266815;1;1;1;yellow
11;88;9,883362;1;2;2;yellow
12;89;3,950211;1;3;3;green
12;90;4,750061;1;4;4;green
12;91;5,416626;1;2;2;green
12;92;6,233582;1;1;1;green
12;93;7,166611;1;3;3;green
12;94;8,233368;1;2;2;green
12;95;8,834137;1;4;4;green
12;96;9,333252;1;1;1;green
13;97;4,284241;1;3;3;green
13;98;5,13353;1;4;4;green
13;99;6,266754;1;2;2;green
13;100;7,033325;1;1;1;green
13;101;8,233688;1;3;3;green
13;102;8,91658;1;2;2;green
13;103;9,583542;1;4;4;green
13;104;10,11665;1;1;1;green
14;105;4,217133;1;2;2;yellow
14;106;4,866638;1;3;3;yellow
14;107;5,4664;1;1;1;yellow
14;108;6,016632;1;4;4;yellow
14;109;7,049789;1;3;3;yellow
14;110;7,833664;1;1;1;yellow
14;111;8,350128;1;2;2;yellow
14;112;8,916946;1;4;4;yellow
15;113;4,31636;1;2;2;blue
15;114;4,883148;1;3;3;blue
15;115;5,467148;1;1;1;blue
15;116;6,033203;1;4;4;blue
15;117;7,04953;1;3;3;blue
15;118;7,733383;1;1;1;blue
15;119;8,232849;1;2;2;blue
15;120;8,782898;1;4;4;blue
16;121;4,36673;1;2;2;blue
16;122;4,900131;1;3;3;blue
16;123;5,449921;1;1;1;blue
16;124;5,983276;1;4;4;blue
16;125;6,949997;1;3;3;blue
16;126;7,799835;1;1;1;blue
16;127;8,283447;1;2;2;blue
16;128;8,916504;1;4;4;blue
17;129;4,116745;1;2;2;yellow
17;130;4,983429;1;1;1;yellow
17;131;5,850067;1;3;3;yellow
17;132;6,966843;1;4;4;yellow
17;133;8,033417;1;2;2;yellow
17;134;8,916595;1;4;4;yellow
17;135;9,499817;1;1;1;yellow
17;136;9,916702;1;2;2;yellow
18;137;4,616837;1;2;2;blue
18;138;5,199982;1;3;3;blue
18;139;5,86673;1;1;1;blue
18;140;6,450119;1;4;4;blue
18;141;7,499985;1;3;3;blue
18;142;8,483444;1;1;1;blue
18;143;8,983444;1;2;2;blue
18;144;9,566605;1;4;4;blue
19;145;4,016724;1;2;2;blue
19;146;4,499939;1;3;3;blue
19;147;4,983429;1;1;1;blue
19;148;5,449966;1;4;4;blue
19;149;6,783325;1;3;3;blue
19;150;7,700287;1;1;1;blue
19;151;8,134094;1;2;2;blue
19;152;8,600067;0;4;3;blue
20;153;4,033661;1;4;4;yellow
20;154;4,567657;1;1;1;yellow
20;155;6,133301;1;3;3;yellow
20;156;6,799866;1;2;2;yellow
20;157;7,783478;1;4;4;yellow
20;158;8,933441;1;3;3;yellow
20;159;9,783386;1;1;1;yellow
20;160;10,31665;1;2;2;yellow
21;161;4,583313;1;3;3;green
21;162;5,366547;1;4;4;green
21;163;6,133423;1;2;2;green
21;164;6,833252;1;1;1;green
21;165;7,883118;1;3;3;green
21;166;8,816925;1;2;2;green
21;167;9,833282;1;4;4;green
21;168;10,38324;1;1;1;green
22;169;4,199982;1;2;2;blue
22;170;4,699951;1;3;3;blue
22;171;5,55014;1;1;1;blue
22;172;6,149872;1;4;4;blue
22;173;6,983337;1;3;3;blue
22;174;7,734039;1;1;1;blue
22;175;8,216553;1;2;2;blue
22;176;8,700623;1;4;4;blue
23;177;5,532623;1;3;3;green
23;178;6,365875;1;4;4;green
23;179;6,949402;1;2;2;green
23;180;7,115906;0;1;2;green
23;181;9,032654;1;3;3;green
23;182;9,983734;1;2;2;green
23;183;10,66602;1;4;4;green
23;184;11,18311;1;1;1;green
24;185;4,482758;1;2;2;blue
24;186;5,032684;1;3;3;blue
24;187;5,616119;1;1;1;blue
24;188;6,149567;1;4;4;blue
24;189;6,699371;1;3;3;blue
24;190;7,84964;1;1;1;blue
24;191;8,516113;1;2;2;blue
24;192;9,000214;1;4;4;blue
25;193;3,799347;1;4;4;yellow
25;194;4,315826;1;1;1;yellow
25;195;5,116699;1;3;3;yellow
25;196;5,732391;1;2;2;yellow
25;197;6,916199;1;4;4;yellow
25;198;7,615845;1;3;3;yellow
25;199;8,315948;1;1;1;yellow
25;200;8,765686;1;2;2;yellow
26;201;4,416779;1;2;2;blue
26;202;4,983673;1;3;3;blue
26;203;5,716858;1;1;1;blue
26;204;6,334564;1;4;4;blue
26;205;7,250275;1;3;3;blue
26;206;8,217194;1;1;1;blue
26;207;8,650024;1;2;2;blue
26;208;9,166901;1;4;4;blue
27;209;5,533661;1;3;3;green
27;210;6,249573;1;4;4;green
27;211;7,133942;1;2;2;green
27;212;7,849792;1;1;1;green
27;213;8,83313;1;3;3;green
27;214;9,966553;1;2;2;green
27;215;10,63333;1;4;4;green
27;216;11,21677;1;1;1;green
28;217;4,333252;1;3;3;green
28;218;4,983032;1;4;4;green
28;219;5,58313;1;2;2;green
28;220;6,266418;1;1;1;green
28;221;8,349701;1;3;3;green
28;222;9,316559;1;2;2;green
28;223;9,999603;1;4;4;green
28;224;10,51651;1;1;1;green
29;225;4,116699;1;3;3;green
29;226;4,849823;1;4;4;green
29;227;5,666412;1;2;2;green
29;228;6,466766;1;1;1;green
29;229;7,866302;1;3;3;green
29;230;8,849854;1;2;2;green
29;231;9,599823;1;4;4;green
29;232;10,08322;1;1;1;green
30;233;4,483154;1;3;3;green
30;234;5,200836;1;4;4;green
30;235;5,867188;1;2;2;green
30;236;6,583252;1;1;1;green
30;237;7,416534;1;3;3;green
30;238;8,249786;1;2;2;green
30;239;9,033234;1;4;4;green
30;240;9,566406;1;1;1;green
31;241;4,333344;1;2;2;blue
31;242;4,750153;1;3;3;blue
31;243;5,333588;1;1;1;blue
31;244;5,800812;1;4;4;blue
31;245;7,233398;1;3;3;blue
31;246;8,150024;1;1;1;blue
31;247;8,700073;1;2;2;blue
31;248;9,400177;1;4;4;blue
32;249;4,183105;1;2;2;blue
32;250;4,616577;1;3;3;blue
32;251;5,216553;1;1;1;blue
32;252;5,766418;1;4;4;blue
32;253;6,783142;1;3;3;blue
32;254;7,699799;1;1;1;blue
32;255;8,249939;1;2;2;blue
32;256;8,799957;1;4;4;blue
33;257;3,833405;1;1;1;yellow
33;258;4,949738;1;3;3;yellow
33;259;5,766449;1;4;4;yellow
33;260;6,683411;1;2;2;yellow
33;261;7,966614;1;4;4;yellow
33;262;9,016266;1;1;1;yellow
33;263;9,983185;1;3;3;yellow
33;264;10,91635;1;2;2;yellow
34;265;4,15036;1;2;2;blue
34;266;4,650085;1;3;3;blue
34;267;5,349884;1;1;1;blue
34;268;5,867004;1;4;4;blue
34;269;6,733826;1;3;3;blue
34;270;6,86673;0;1;3;blue
34;271;8,283691;1;2;2;blue
34;272;9,016693;1;4;4;blue
35;273;4,633331;1;3;3;green
35;274;5,266663;1;4;4;green
35;275;6,016876;1;2;2;green
35;276;7,033325;1;1;1;green
35;277;8,083374;1;3;3;green
35;278;9,083344;1;2;2;green
35;279;9,85025;1;4;4;green
35;280;10,33347;1;1;1;green
36;281;4,049927;1;2;2;blue
36;282;4,499695;1;3;3;blue
36;283;5,383209;1;1;1;blue
36;284;5,966522;1;4;4;blue
36;285;6,716492;1;3;3;blue
36;286;7,683319;1;1;1;blue
36;287;8,099854;1;2;2;blue
36;288;8,800201;1;4;4;blue
37;289;4,233063;1;2;2;blue
37;290;4,73288;1;3;3;blue
37;291;5,333008;1;1;1;blue
37;292;5,899597;1;4;4;blue
37;293;6,882996;1;3;3;blue
37;294;7,716522;1;1;1;blue
37;295;8,201965;1;2;2;blue
37;296;8,782867;1;4;4;blue
38;297;4,383698;1;3;3;green
38;298;4,966797;1;4;4;green
38;299;5,883331;1;2;2;green
38;300;6,533356;1;1;1;green
38;301;7,866974;1;3;3;green
38;302;8,666748;1;2;2;green
38;303;9,333252;1;4;4;green
38;304;9,850067;1;1;1;green
39;305;4,183197;1;3;3;green
39;306;5,199951;1;4;4;green
39;307;5,850067;1;2;2;green
39;308;6,466644;1;1;1;green
39;309;8,549835;1;3;3;green
39;310;9,584808;1;2;2;green
39;311;10,24991;1;4;4;green
39;312;10,78302;1;1;1;green
40;313;3,93454;1;2;2;blue
40;314;4,399933;1;3;3;blue
40;315;5,216797;1;1;1;blue
40;316;5,75;1;4;4;blue
40;317;6,583496;1;3;3;blue
40;318;7,416748;1;1;1;blue
40;319;7,80014;1;2;2;blue
40;320;8,400085;1;4;4;blue
41;321;3,900696;1;2;2;blue
41;322;4,333282;1;3;3;blue
41;323;5,033752;1;1;1;blue
41;324;5,567322;1;4;4;blue
41;325;6,566956;1;3;3;blue
41;326;7,450012;1;1;1;blue
41;327;7,999969;1;2;2;blue
41;328;8,533356;1;4;4;blue
42;329;3,983337;1;1;1;yellow
42;330;4,416687;1;2;2;yellow
42;331;5,283417;1;4;4;yellow
42;332;6,350128;1;1;1;yellow
42;333;7,134094;1;3;3;yellow
42;334;8,299774;1;4;4;yellow
42;335;9,433167;1;2;2;yellow
42;336;10,29984;1;3;3;yellow
43;337;3,933441;1;2;2;blue
43;338;4,300262;1;3;3;blue
