BlockNumber;EventNumber;Time Since Block start;isHit;target;pressed;sequence
1;1;4,183212;1;4;4;yellow
1;2;4,633186;1;3;3;yellow
1;3;5,18335;1;1;1;yellow
1;4;5,716362;1;4;4;yellow
1;5;6,351868;1;3;3;yellow
1;6;6,883202;1;1;1;yellow
1;7;7,532967;1;4;4;yellow
1;8;8,049919;1;2;2;yellow
2;9;3,999809;1;4;4;yellow
2;10;4,466209;1;3;3;yellow
2;11;5,016403;1;1;1;yellow
2;12;5,6166;1;4;4;yellow
2;13;6,13308;1;3;3;yellow
2;14;6,733116;1;1;1;yellow
2;15;7,36631;1;4;4;yellow
2;16;7,966438;1;2;2;yellow
3;17;4,716492;1;2;2;blue
3;18;5,266487;1;3;3;blue
3;19;5,883255;1;1;1;blue
3;20;6,482918;1;4;4;blue
3;21;7,049797;1;3;3;blue
3;22;7,68309;1;1;1;blue
3;23;8,350159;1;2;2;blue
3;24;8,699944;1;4;4;blue
4;25;4,833496;1;3;3;green
4;26;5,383018;1;4;4;green
4;27;5,899757;1;2;2;green
4;28;6,466599;1;1;1;green
4;29;8,049911;1;3;3;green
4;30;8,766319;1;2;2;green
4;31;9,282921;1;4;4;green
4;32;9,816406;1;1;1;green
5;33;4,666611;1;2;2;blue
5;34;5,216476;1;3;3;blue
5;35;5,818756;1;1;1;blue
5;36;6,450256;1;4;4;blue
5;37;7,049767;1;3;3;blue
5;38;7,633057;1;1;1;blue
5;39;8,11657;1;2;2;blue
5;40;8,566742;1;4;4;blue
6;41;4,149765;1;3;3;green
6;42;4,699829;1;4;4;green
6;43;5,21637;1;2;2;green
6;44;5,799568;1;1;1;green
6;45;6,866516;1;3;3;green
6;46;7,466278;1;2;2;green
6;47;8,033073;1;4;4;green
6;48;8,433212;1;1;1;green
7;49;4,449738;1;2;2;blue
7;50;4,999962;1;3;3;blue
7;51;5,566345;1;1;1;blue
7;52;6,216492;1;4;4;blue
7;53;6,699684;1;3;3;blue
7;54;7,266251;1;1;1;blue
7;55;7,866341;1;2;2;blue
7;56;8,333191;1;4;4;blue
8;57;4,349823;1;2;2;blue
8;58;4,883316;1;3;3;blue
8;59;5,485519;1;1;1;blue
8;60;6,066452;1;4;4;blue
8;61;6,599655;1;3;3;blue
8;62;7,149918;1;1;1;blue
8;63;7,682877;1;2;2;blue
8;64;8,099655;1;4;4;blue
9;65;4,333435;1;2;2;blue
9;66;4,866806;1;3;3;blue
9;67;5,416916;1;1;1;blue
9;68;5,933594;1;4;4;blue
9;69;6,4832;1;3;3;blue
9;70;6,999969;1;1;1;blue
9;71;7,483536;1;2;2;blue
9;72;8,03334;1;4;4;blue
10;73;3,949829;0;2;3;blue
10;74;4,149994;1;3;3;blue
10;75;5,949905;1;1;1;blue
10;76;7,066711;1;4;4;blue
10;77;7,61673;1;3;3;blue
10;78;8,166626;1;1;1;blue
10;79;8,749908;1;2;2;blue
10;80;9,266541;1;4;4;blue
11;81;4,233444;1;2;2;blue
11;82;4,783508;1;3;3;blue
11;83;5,350006;1;1;1;blue
11;84;5,866577;1;4;4;blue
11;85;6,366699;1;3;3;blue
11;86;6,866531;1;1;1;blue
11;87;7,416672;1;2;2;blue
11;88;7,966629;1;4;4;blue
12;89;4,216721;1;2;2;blue
12;90;4,750336;1;3;3;blue
12;91;5,216522;1;1;1;blue
12;92;5,766861;1;4;4;blue
12;93;6,316757;1;3;3;blue
12;94;6,816849;1;1;1;blue
12;95;7,317017;1;2;2;blue
12;96;7,800247;1;4;4;blue
13;97;4,099762;1;2;2;blue
13;98;4,59964;1;3;3;blue
13;99;5,116348;1;1;1;blue
13;100;5,649536;1;4;4;blue
13;101;6,083069;1;3;3;blue
13;102;6,616379;1;1;1;blue
13;103;7,116119;1;2;2;blue
13;104;7,566162;1;4;4;blue
14;105;4,833282;1;3;3;green
14;106;5,283264;1;4;4;green
14;107;5,86673;1;2;2;green
14;108;6,516785;1;1;1;green
14;109;7,633224;1;3;3;green
14;110;8,283249;1;2;2;green
14;111;8,799988;1;4;4;green
14;112;8,983521;0;1;4;green
15;113;5,116394;1;2;2;yellow
15;114;5,6996;1;1;1;yellow
15;115;6,483139;1;4;4;yellow
15;116;7,199753;1;1;1;yellow
15;117;8,399933;1;3;3;yellow
