BlockNumber;EventNumber;Time Since Block start;isHit;target;pressed;sequence
1;1;4,317089;1;2;2;blue
1;2;4,999939;1;3;3;blue
1;3;5,483067;1;1;1;blue
1;4;6,016582;1;4;4;blue
1;5;6,6497;1;3;3;blue
1;6;7,266651;1;1;1;blue
1;7;7,816555;1;2;2;blue
1;8;8,583057;1;4;4;blue
2;9;4,516945;1;2;2;yellow
2;10;5,81678;1;4;4;yellow
2;11;6,250237;1;1;1;yellow
2;12;6,966721;1;3;3;yellow
2;13;7,78331;1;4;4;yellow
2;14;8,483612;1;2;2;yellow
2;15;9,516815;1;3;3;yellow
2;16;10,08373;1;1;1;yellow
3;17;4,132927;1;1;1;yellow
3;18;5,166473;1;3;3;yellow
3;19;5,616066;1;4;4;yellow
3;20;6,166283;1;2;2;yellow
3;21;6,782768;1;4;4;yellow
3;22;7,349571;1;1;1;yellow
3;23;8,032852;1;3;3;yellow
3;24;8,566338;1;2;2;yellow
4;25;3,883125;1;4;4;yellow
4;26;4,449928;1;3;3;yellow
4;27;4,96653;1;1;1;yellow
4;28;5,583366;1;4;4;yellow
4;29;6,266708;1;3;3;yellow
4;30;7,049706;1;1;1;yellow
4;31;7,683418;1;4;4;yellow
4;32;8,283257;1;2;2;yellow
5;33;4,166557;1;2;2;blue
5;34;4,949921;1;3;3;blue
5;35;5,733353;1;1;1;blue
5;36;6,349876;1;4;4;blue
5;37;6,983421;1;3;3;blue
5;38;7,700439;1;1;1;blue
5;39;8,249863;1;2;2;blue
5;40;8,883499;1;4;4;blue
6;41;4,249718;1;2;2;yellow
6;42;5,032928;1;1;1;yellow
6;43;5,733086;1;4;4;yellow
6;44;6,282951;1;1;1;yellow
6;45;7,100006;1;3;3;yellow
6;46;7,683098;1;2;2;yellow
6;47;8,333183;1;4;4;yellow
6;48;8,999855;1;3;3;yellow
7;49;4,149887;1;2;2;blue
7;50;4,883095;1;3;3;blue
7;51;5,450333;1;1;1;blue
7;52;6,116547;1;4;4;blue
7;53;6,799744;1;3;3;blue
7;54;7,433159;1;1;1;blue
7;55;7,949791;1;2;2;blue
7;56;8,666527;1;4;4;blue
8;57;3,916557;1;2;2;blue
8;58;4,566612;1;3;3;blue
8;59;5,333321;1;1;1;blue
8;60;5,983437;1;4;4;blue
8;61;6,700523;1;3;3;blue
8;62;7,366974;1;1;1;blue
8;63;7,93354;1;2;2;blue
8;64;8,583199;1;4;4;blue
9;65;4,000168;1;3;3;green
9;66;4,633575;1;4;4;green
9;67;5,200104;1;2;2;green
9;68;5,766632;1;1;1;green
9;69;6,583374;1;3;3;green
9;70;7,183273;1;2;2;green
9;71;7,816788;1;4;4;green
9;72;8,349945;1;1;1;green
10;73;4,250015;1;2;2;blue
10;74;4,916779;1;3;3;blue
10;75;5,400131;1;1;1;blue
10;76;6,166672;1;4;4;blue
10;77;6,900269;1;3;3;blue
10;78;8,016693;1;1;1;blue
10;79;8,716675;1;2;2;blue
10;80;9,316635;1;4;4;blue
11;81;4,250031;1;2;2;blue
11;82;4,933228;1;3;3;blue
11;83;5,48349;1;1;1;blue
11;84;6,183304;1;4;4;blue
11;85;6,816818;1;3;3;blue
11;86;7,466812;1;1;1;blue
11;87;7,983765;1;2;2;blue
11;88;8,633377;1;4;4;blue
12;89;3,94986;1;3;3;green
12;90;4,533539;1;4;4;green
12;91;5,233292;1;2;2;green
12;92;5,750015;1;1;1;green
12;93;6,483353;1;3;3;green
12;94;7,13324;1;2;2;green
12;95;7,800034;1;4;4;green
12;96;8,316635;1;1;1;green
13;97;4,216476;1;2;2;blue
13;98;4,949768;1;3;3;blue
13;99;5,4832;1;1;1;blue
13;100;6,100113;1;4;4;blue
13;101;6,833694;1;3;3;blue
13;102;7,433319;1;1;1;blue
13;103;7,983231;1;2;2;blue
13;104;8,616333;1;4;4;blue
14;105;3,950394;1;2;2;blue
14;106;5,050308;1;3;3;blue
14;107;5,717072;1;1;1;blue
14;108;6,316986;1;4;4;blue
14;109;7,000107;1;3;3;blue
14;110;7,617065;1;1;1;blue
14;111;8,166824;1;2;2;blue
14;112;8,83345;1;4;4;blue
15;113;4,000076;1;3;3;green
15;114;4,583344;1;4;4;green
15;115;5,166718;1;2;2;green
15;116;5,750275;1;1;1;green
15;117;6,450089;1;3;3;green
15;118;7,08374;1;2;2;green
15;119;7,716797;1;4;4;green
15;120;8,233429;1;1;1;green
16;121;4,050125;1;1;1;yellow
16;122;4,749878;1;3;3;yellow
16;123;5,333176;1;4;4;yellow
16;124;5,950333;1;2;2;yellow
16;125;6,633453;1;4;4;yellow
16;126;7,550262;1;1;1;yellow
16;127;8,300171;1;3;3;yellow
16;128;8,833298;1;2;2;yellow
17;129;4,033249;1;2;2;blue
17;130;4,833115;1;3;3;blue
17;131;5,833145;1;1;1;blue
17;132;6,483215;1;4;4;blue
17;133;7,116699;1;3;3;blue
17;134;7,699905;1;1;1;blue
17;135;8,23317;1;2;2;blue
17;136;8,816528;1;4;4;blue
18;137;3,983551;1;2;2;blue
18;138;4,749908;1;3;3;blue
18;139;5,316849;1;1;1;blue
18;140;5,950089;1;4;4;blue
18;141;6,616653;1;3;3;blue
18;142;7,266632;1;1;1;blue
18;143;7,84993;1;2;2;blue
18;144;8,849899;1;4;4;blue
19;145;4,117035;1;2;2;blue
19;146;4,700211;1;3;3;blue
19;147;5,316574;1;1;1;blue
19;148;5,966751;1;4;4;blue
19;149;6,600052;1;3;3;blue
19;150;7,21669;1;1;1;blue
19;151;7,733307;1;2;2;blue
19;152;8,349945;1;4;4;blue
20;153;3,933426;1;1;1;yellow
20;154;4,666824;1;2;2;yellow
20;155;5,200211;1;4;4;yellow
20;156;5,816818;1;1;1;yellow
20;157;7,33374;1;3;3;yellow
20;158;8,066757;1;4;4;yellow
20;159;8,66687;1;2;2;yellow
20;160;10,04999;1;3;3;yellow
21;161;4,116943;1;2;2;blue
21;162;5,05014;1;3;3;blue
21;163;5,78363;1;1;1;blue
21;164;6,333389;1;4;4;blue
21;165;7,066559;1;3;3;blue
21;166;7,550156;1;1;1;blue
21;167;8,050018;1;2;2;blue
21;168;8,633286;1;4;4;blue
22;169;5,066879;1;2;2;blue
22;170;6,016769;1;3;3;blue
22;171;6,716858;1;1;1;blue
22;172;7,333405;1;4;4;blue
22;173;7,949966;1;3;3;blue
22;174;8,516678;1;1;1;blue
22;175;9,050217;1;2;2;blue
22;176;9,633804;1;4;4;blue
23;177;3,982895;1;2;2;blue
23;178;4,566086;1;3;3;blue
23;179;5,083115;1;1;1;blue
23;180;5,683121;1;4;4;blue
23;181;6,333054;1;3;3;blue
23;182;6,866196;1;1;1;blue
23;183;7,399429;1;2;2;blue
23;184;7,999649;1;4;4;blue
24;185;4,31662;1;2;2;blue
24;186;4,94989;1;3;3;blue
24;187;5,533264;1;1;1;blue
24;188;6,166656;1;4;4;blue
24;189;6,833252;1;3;3;blue
24;190;7,449982;1;1;1;blue
24;191;7,949829;1;2;2;blue
24;192;8,583527;1;4;4;blue
25;193;4,399841;1;3;3;green
25;194;4,999847;1;4;4;green
25;195;5,64978;1;2;2;green
25;196;6,416504;1;1;1;green
25;197;7,199524;1;3;3;green
25;198;7,983063;1;2;2;green
25;199;8,583191;1;4;4;green
25;200;9,082916;1;1;1;green
26;201;4,400391;1;2;2;blue
26;202;4,966644;1;3;3;blue
26;203;5,500488;1;1;1;blue
26;204;6,11673;1;4;4;blue
26;205;6,76651;1;3;3;blue
26;206;7,333405;1;1;1;blue
26;207;7,866547;1;2;2;blue
26;208;8,466614;1;4;4;blue
27;209;4,133209;1;2;2;blue
27;210;4,766968;1;3;3;blue
27;211;5,31665;1;1;1;blue
27;212;5,949951;1;4;4;blue
27;213;6,616821;1;3;3;blue
27;214;7,216583;1;1;1;blue
27;215;7,699951;1;2;2;blue
27;216;8,399902;1;4;4;blue
28;217;4,066681;1;2;2;blue
28;218;4,650024;1;3;3;blue
28;219;5,133331;1;1;1;blue
28;220;5,733398;1;4;4;blue
28;221;6,35025;1;3;3;blue
28;222;6,866669;1;1;1;blue
28;223;7,400146;1;2;2;blue
28;224;8,050049;1;4;4;blue
29;225;4,333191;1;2;2;yellow
29;226;4,883514;1;3;3;yellow
29;227;5,450073;1;1;1;yellow
29;228;6,066803;1;4;4;yellow
29;229;6,666687;1;3;3;yellow
29;230;7,333252;1;1;1;yellow
29;231;7,850128;1;2;2;yellow
29;232;8,499939;1;4;4;yellow
30;233;3,93338;1;2;2;blue
30;234;4,649963;1;3;3;blue
30;235;5,266754;1;1;1;blue
30;236;5,833282;1;4;4;blue
30;237;6,48349;1;3;3;blue
30;238;7,200714;1;1;1;blue
