BlockNumber;EventNumber;Time Since Block start;isHit;target;pressed;sequence
1;1;4,817009;1;2;2;blue
1;2;5,216721;1;3;3;blue
1;3;5,70015;1;1;1;blue
1;4;6,149796;1;4;4;blue
1;5;6,79985;1;3;3;blue
1;6;7,266617;1;1;1;blue
1;7;7,966751;1;2;2;blue
1;8;8,466476;1;4;4;blue
2;9;4,41674;1;3;3;green
2;10;5,199989;1;4;4;green
2;11;5,68338;1;2;2;green
2;12;6,133339;1;1;1;green
2;13;7,366676;1;3;3;green
2;14;7,849915;1;2;2;green
2;15;8,383522;1;4;4;green
2;16;9,116676;1;1;1;green
3;17;4,716537;1;2;2;blue
3;18;5,13324;1;3;3;blue
3;19;5,566658;1;1;1;blue
3;20;6,000443;1;4;4;blue
3;21;6,433243;1;3;3;blue
3;22;6,850204;1;1;1;blue
3;23;7,333374;1;2;2;blue
3;24;7,766769;1;4;4;blue
4;25;5,016388;1;2;2;blue
4;26;5,349731;1;3;3;blue
4;27;5,749802;1;1;1;blue
4;28;6,14978;1;4;4;blue
4;29;6,533218;1;3;3;blue
4;30;6,916962;1;1;1;blue
4;31;7,282928;1;2;2;blue
4;32;7,782944;1;4;4;blue
5;33;4,683914;1;2;2;blue
5;34;5,033356;1;3;3;blue
5;35;5,467056;1;1;1;blue
5;36;5,883545;1;4;4;blue
5;37;6,45018;1;3;3;blue
5;38;6,833298;1;1;1;blue
5;39;7,350098;1;2;2;blue
5;40;7,749985;1;4;4;blue
6;41;5,249939;1;3;3;green
6;42;5,650009;1;4;4;green
6;43;6,067001;1;2;2;green
6;44;6,5;1;1;1;green
6;45;7,166733;1;3;3;green
6;46;7,683319;1;2;2;green
6;47;8,099976;1;4;4;green
6;48;8,500229;1;1;1;green
7;49;4,266571;1;3;3;green
7;50;4,633194;1;4;4;green
7;51;5,06633;1;2;2;green
7;52;5,466537;1;1;1;green
7;53;5,916504;1;3;3;green
7;54;6,349823;1;2;2;green
7;55;6,799911;1;4;4;green
7;56;7,133255;1;1;1;green
8;57;4,34967;1;2;2;blue
8;58;4,699799;1;3;3;blue
8;59;5,016296;1;1;1;blue
8;60;5,416443;1;4;4;blue
8;61;5,766388;1;3;3;blue
8;62;6,283203;1;1;1;blue
8;63;7,066422;1;2;2;blue
8;64;7,416306;1;4;4;blue
9;65;4,31665;1;2;2;blue
9;66;4,666718;1;3;3;blue
9;67;5,050003;1;1;1;blue
9;68;5,450256;1;4;4;blue
9;69;5,833572;1;3;3;blue
9;70;6,250061;1;1;1;blue
9;71;6,650192;1;2;2;blue
9;72;7,050125;1;4;4;blue
10;73;4,249878;1;3;3;green
10;74;4,583603;1;4;4;green
10;75;4,999817;1;2;2;green
10;76;5,400284;1;1;1;green
10;77;5,833191;1;3;3;green
10;78;6,31662;1;2;2;green
10;79;6,716858;1;4;4;green
10;80;7,083038;1;1;1;green
11;81;4,200043;1;4;4;yellow
11;82;4,600082;1;1;1;yellow
11;83;5,317093;1;3;3;yellow
11;84;5,750183;1;2;2;yellow
11;85;6,216782;1;4;4;yellow
11;86;7,016815;1;3;3;yellow
11;87;7,583633;1;1;1;yellow
11;88;7,933456;1;2;2;yellow
12;89;4,316849;1;3;3;green
12;90;4,666595;1;4;4;green
12;91;5,116653;1;2;2;green
12;92;5,533188;1;1;1;green
12;93;6,149841;1;3;3;green
12;94;6,583344;1;2;2;green
12;95;6,983398;1;4;4;green
12;96;7,333344;1;1;1;green
13;97;4,049927;1;3;3;green
13;98;4,416519;1;4;4;green
13;99;4,833542;1;2;2;green
13;100;5,21669;1;1;1;green
13;101;5,650238;1;3;3;green
13;102;6,016449;1;2;2;green
13;103;6,433105;1;4;4;green
13;104;6,766602;1;1;1;green
14;105;4,099945;1;2;2;yellow
14;106;4,516693;1;3;3;yellow
14;107;4,899765;1;1;1;yellow
14;108;5,299942;1;4;4;yellow
14;109;5,666473;1;3;3;yellow
14;110;5,983597;1;1;1;yellow
14;111;6,43309;1;2;2;yellow
14;112;6,833099;1;4;4;yellow
15;113;4,083374;1;2;2;blue
15;114;4,450134;1;3;3;blue
15;115;4,86673;1;1;1;blue
15;116;5,300095;1;4;4;blue
15;117;5,666962;1;3;3;blue
15;118;6,049927;1;1;1;blue
15;119;6,416718;1;2;2;blue
15;120;6,800018;1;4;4;blue
16;121;4,150558;1;2;2;blue
16;122;4,499969;1;3;3;blue
16;123;4,850006;1;1;1;blue
16;124;5,233276;1;4;4;blue
16;125;5,599976;1;3;3;blue
16;126;5,933395;1;1;1;blue
16;127;6,383545;1;2;2;blue
16;128;6,733765;1;4;4;blue
17;129;4,566345;1;2;2;yellow
17;130;4,93277;1;1;1;yellow
17;131;5,366135;1;3;3;yellow
17;132;5,816315;1;4;4;yellow
17;133;6,83313;1;2;2;yellow
17;134;7,332901;1;4;4;yellow
17;135;7,816422;1;1;1;yellow
17;136;8,38298;1;2;2;yellow
18;137;5,683105;1;2;2;blue
18;138;6,049896;1;3;3;blue
18;139;6,416489;1;1;1;blue
18;140;6,79982;1;4;4;blue
18;141;7,216293;1;3;3;blue
18;142;7,616592;1;1;1;blue
18;143;8,250122;1;2;2;blue
18;144;8,866302;1;4;4;blue
19;145;4,066833;1;2;2;blue
19;146;4,400116;1;3;3;blue
19;147;4,80011;1;1;1;blue
19;148;5,150131;1;4;4;blue
19;149;5,766861;1;3;3;blue
19;150;6,167191;1;1;1;blue
19;151;6,53389;1;2;2;blue
19;152;6,966766;1;4;4;blue
20;153;4,383194;1;4;4;yellow
20;154;4,716537;1;1;1;yellow
20;155;5,833359;1;3;3;yellow
20;156;6,316681;1;2;2;yellow
20;157;6,916519;1;4;4;yellow
20;158;7,716629;1;3;3;yellow
20;159;8,050034;1;1;1;yellow
20;160;8,466599;1;2;2;yellow
21;161;4,283356;1;3;3;green
21;162;4,649841;1;4;4;green
21;163;5,133179;1;2;2;green
21;164;5,583344;1;1;1;green
21;165;6,616547;1;3;3;green
21;166;7,049957;1;2;2;green
21;167;7,466522;1;4;4;green
21;168;7,833252;1;1;1;green
22;169;4,866974;1;2;2;blue
22;170;5,216766;1;3;3;blue
22;171;5,599884;1;1;1;blue
22;172;5,999908;1;4;4;blue
22;173;6,383362;1;3;3;blue
22;174;6,783112;1;1;1;blue
22;175;7,366669;1;2;2;blue
22;176;7,833191;1;4;4;blue
23;177;4,649963;1;3;3;green
23;178;5,31665;1;4;4;green
23;179;5,983459;1;2;2;green
23;180;6,483276;1;1;1;green
23;181;7,216614;1;3;3;green
23;182;7,633942;1;2;2;green
23;183;8,033356;1;4;4;green
23;184;8,416504;1;1;1;green
