BlockNumber;EventNumber;Time Since Block start;isHit;target;pressed;sequence
1;1;4,616467;1;1;1;yellow
1;2;5,849823;1;2;2;yellow
1;3;5,916473;0;4;1;yellow
1;4;7,366421;1;1;1;yellow
1;5;7,466434;0;3;2;yellow
1;6;9,316494;1;4;4;yellow
1;7;11,39978;0;2;4;yellow
1;8;11,81646;0;3;2;yellow
2;9;5,183334;1;2;2;yellow
2;10;5,899979;1;1;1;yellow
2;11;6,816589;1;3;3;yellow
2;12;7,516548;1;4;4;yellow
2;13;10,18324;1;2;2;yellow
2;14;11,2832;1;4;4;yellow
2;15;12,25011;1;1;1;yellow
2;16;13,43327;1;2;2;yellow
3;17;4,449852;1;2;2;blue
3;18;5,299889;1;3;3;blue
3;19;6,216568;1;1;1;blue
3;20;7,11676;1;4;4;blue
3;21;8,283417;1;3;3;blue
3;22;9,233231;1;1;1;blue
3;23;10,06659;1;2;2;blue
3;24;10,94991;1;4;4;blue
4;25;4,399994;1;4;4;yellow
4;26;5,18335;1;3;3;yellow
4;27;5,883362;1;1;1;yellow
4;28;6,616684;1;4;4;yellow
4;29;8,083183;1;3;3;yellow
4;30;9,099945;1;1;1;yellow
4;31;9,799942;1;4;4;yellow
4;32;12,13506;1;2;2;yellow
5;33;5,148148;1;2;2;blue
5;34;5,648132;0;3;2;blue
5;35;5,981567;0;1;3;blue
5;36;7,231453;1;4;4;blue
5;37;8,148125;1;3;3;blue
5;38;8,914932;1;1;1;blue
5;39;10,23149;1;2;2;blue
5;40;11,23144;1;4;4;blue
6;41;4,400002;1;2;2;blue
6;42;5,183296;1;3;3;blue
6;43;6,150078;1;1;1;blue
6;44;6,866699;1;4;4;blue
6;45;7,666885;1;3;3;blue
6;46;8,81665;1;1;1;blue
6;47;10,04997;1;2;2;blue
6;48;10,81658;0;4;2;blue
7;49;4,666664;1;3;3;green
7;50;5,550011;1;4;4;green
7;51;7,233421;1;2;2;green
7;52;8,249962;1;1;1;green
7;53;9,116646;1;3;3;green
7;54;9,849937;1;2;2;green
7;55;10,76665;1;4;4;green
7;56;11,79998;1;1;1;green
8;57;4,133362;1;2;2;blue
8;58;4,950165;1;3;3;blue
8;59;5,783264;1;1;1;blue
8;60;6,549927;1;4;4;blue
8;61;7,283203;1;3;3;blue
8;62;8,16655;1;1;1;blue
8;63;9,249878;0;2;1;blue
8;64;9,266647;0;4;2;blue
9;65;4,166763;1;2;2;blue
9;66;5,16658;1;3;3;blue
9;67;5,383408;0;1;2;blue
9;68;7,233261;1;4;4;blue
9;69;8,133286;1;3;3;blue
9;70;9,149826;1;1;1;blue
9;71;9,999954;1;2;2;blue
9;72;10,31648;0;4;2;blue
10;73;5,600037;1;2;2;blue
10;74;6,600113;1;3;3;blue
10;75;7,366623;1;1;1;blue
10;76;8,149963;1;4;4;blue
10;77;9,199997;1;3;3;blue
10;78;9,999985;1;1;1;blue
10;79;10,75011;1;2;2;blue
10;80;11,64996;1;4;4;blue
11;81;5,150269;1;2;2;blue
11;82;5,983276;1;3;3;blue
11;83;7,000031;1;1;1;blue
11;84;7,683258;1;4;4;blue
11;85;8,699997;1;3;3;blue
11;86;9,516586;1;1;1;blue
11;87;10,5667;1;2;2;blue
11;88;10,68344;0;4;1;blue
12;89;10,33311;0;2;4;blue
12;90;16,58308;0;3;4;blue
12;91;17,01639;0;1;4;blue
12;92;17,36633;1;4;4;blue
12;93;20,69978;1;3;3;blue
12;94;21,54976;1;1;1;blue
12;95;22,61646;1;2;2;blue
12;96;22,68303;0;4;1;blue
13;97;5,183304;1;2;2;blue
13;98;5,949982;1;3;3;blue
13;99;7,399979;1;1;1;blue
13;100;8,283295;1;4;4;blue
13;101;9,016693;1;3;3;blue
13;102;9,866638;1;1;1;blue
13;103;10,93329;1;2;2;blue
13;104;11,0166;0;4;1;blue
14;105;4,866623;1;2;2;blue
14;106;5,600098;0;3;2;blue
14;107;6,899933;0;1;2;blue
14;108;7,016663;0;4;2;blue
14;109;7,116638;0;3;2;blue
14;110;9,083267;1;1;1;blue
14;111;10,26657;1;2;2;blue
14;112;12,04996;1;4;4;blue
15;113;4,449982;1;3;3;green
15;114;5,266739;1;4;4;green
15;115;7,216599;1;2;2;green
15;116;7,56662;0;1;2;green
15;117;9,466888;1;3;3;green
15;118;11,06665;1;2;2;green
15;119;12,63327;1;4;4;green
15;120;12,64996;0;1;2;green
16;121;5,016693;1;2;2;yellow
16;122;6,499908;1;1;1;yellow
16;123;7,449875;1;4;4;yellow
16;124;8,11647;1;1;1;yellow
16;125;8,999817;1;3;3;yellow
16;126;9,833221;1;2;2;yellow
16;127;10,49983;0;4;2;yellow
16;128;10,81778;0;3;4;yellow
17;129;10,86548;1;2;2;blue
17;130;11,59869;1;3;3;blue
17;131;13,03198;1;1;1;blue
17;132;14,16537;1;4;4;blue
17;133;14,96536;1;3;3;blue
17;134;15,99869;1;1;1;blue
17;135;17,19864;1;2;2;blue
17;136;18,08197;0;4;2;blue
18;137;4,550018;0;2;1;yellow
18;138;9,583313;1;3;3;yellow
18;139;10,69998;1;1;1;yellow
18;140;11,61661;1;4;4;yellow
18;141;12,50012;1;3;3;yellow
18;142;13,53333;1;1;1;yellow
18;143;14,81665;1;2;2;yellow
18;144;16,23325;1;4;4;yellow
19;145;5,316681;1;3;3;green
19;146;6,416718;1;4;4;green
19;147;7,466583;1;2;2;green
19;148;8,56665;1;1;1;green
19;149;9,56662;1;3;3;green
19;150;10,54996;1;2;2;green
19;151;11,34995;0;4;2;green
19;152;11,48331;0;1;2;green
20;153;12,78329;1;3;3;green
20;154;13,84988;1;4;4;green
20;155;15,26657;1;2;2;green
20;156;16,19989;1;1;1;green
20;157;17,14981;1;3;3;green
20;158;18,31647;1;2;2;green
20;159;19,81647;1;4;4;green
20;160;19,86652;0;1;2;green
21;161;5,100037;1;2;2;blue
21;162;7,049927;1;3;3;blue
21;163;8,299927;1;1;1;blue
21;164;8,966614;1;4;4;blue
21;165;9,799927;1;3;3;blue
21;166;11,58331;0;1;2;blue
21;167;14,31665;1;2;2;blue
21;168;15,81683;1;4;4;blue
22;169;4,899689;1;2;2;blue
22;170;6,39975;1;3;3;blue
22;171;7,333069;1;1;1;blue
22;172;8,53299;1;4;4;blue
22;173;9,516357;1;3;3;blue
22;174;10,8663;1;1;1;blue
22;175;11,74966;1;2;2;blue
22;176;13,04968;1;4;4;blue
23;177;4,633301;1;2;2;blue
23;178;6,233643;1;3;3;blue
23;179;7,466614;1;1;1;blue
23;180;8,899963;1;4;4;blue
23;181;11,73322;1;3;3;blue
23;182;12,83325;1;1;1;blue
23;183;13,86658;1;2;2;blue
23;184;15,11685;1;4;4;blue
24;185;4,34967;1;3;3;green
24;186;6,132996;1;4;4;green
24;187;7,266296;1;2;2;green
24;188;8,332947;1;1;1;green
24;189;9,199829;1;3;3;green
24;190;10,36624;1;2;2;green
24;191;12,14969;1;4;4;green
24;192;13,28296;1;1;1;green
25;193;4,483246;1;3;3;green
25;194;5,983307;1;4;4;green
25;195;7,06665;1;2;2;green
25;196;8,666687;1;1;1;green
25;197;9,550232;1;3;3;green
25;198;11,44989;1;2;2;green
25;199;13,06662;1;4;4;green
25;200;14,18332;1;1;1;green
